Hollis Creek Heritage Museum - Membership Export
Members with a payment on or after 07/01/2025 | run 09/15/2026 07:02
Member #,First Name,Last Name,Email,Level,Term,Last Payment,Amount,Payment Method,Expiration,Status,Member Since,Notes
HC-4260,Susan,Davis,susan_davis@me.com,Individual,Annual,02/15/2026,55.00,Check,02/15/2027,Active,05/20/2021,
HC-4266,Nadia,Diaz,diaz.nadia@yahoo.com,Family,Annual,05/13/2026,100.00,Card,05/13/2027,Active,06/05/2020,
HC-4194,Sharon,Diaz,sharon_diaz@hotmail.com,Dual,Annual,10/15/2025,80.00,Card,10/15/2026,Active,09/09/2022,
HC-4558,George,Edwards,george_edwards@protonmail.com,Sustainer,Monthly,08/23/2026,10.00,Card,,Active,12/11/2024,
HC-4240,Nancy,Edwards,edwards.nancy@yahoo.com,Dual,Annual,03/29/2026,80.00,Check,03/29/2027,Active,01/08/2016,
HC-4223,Nadia,Evans,nadiaevans48@hotmail.com,Sustainer,Monthly,09/03/2026,10.00,Card,,Active,01/25/2022,
HC-4319,Chloe,Flores,chloeflores17@protonmail.com,Individual,Annual,08/27/2025,55.00,Card,08/27/2026,Expired,12/22/2015,
HC-4452,Edward,Flores,edward.flores@icloud.com,Patron,Annual,06/23/2026,250.00,Card,06/23/2027,Active,04/13/2015,
HC-4146,Kathleen,Flores,flores.kathleen@aol.com,Family,Annual,07/25/2025,100.00,Card,07/25/2026,Expired,09/08/2022,
HC-4482,Patricia,Flores,patricia.flores@protonmail.com,Student,Annual,07/17/2025,25.00,Check,07/17/2026,Expired,01/18/2016,
HC-4447,Christopher,Foster,foster.christopher@aol.com,Individual,Annual,07/04/2026,55.00,Cash,07/04/2027,Active,07/25/2023,
HC-4400,Nancy,Gonzalez,ngonzalez@gmail.com,Family,Annual,08/22/2025,100.00,Check,08/22/2026,Expired,09/28/2023,
HC-4129,Susan,Gonzalez,susan_gonzalez@outlook.com,Family,Annual,09/05/2026,100.00,Card,09/05/2027,Active,07/10/2022,
HC-4330,Eric,Gray,eric.gray@hotmail.com,Sustainer,Monthly,09/01/2026,10.00,Card,,Active,08/05/2025,
HC-4586,Sarah,Gray,sarah.gray@hotmail.com,Sustainer,Monthly,09/13/2026,10.00,Check,,Active,08/18/2014,
HC-4395,Nadia,Green,nadiagreen47@aol.com,Individual,Annual,08/21/2025,55.00,Card,08/21/2026,Expired,07/06/2023,
HC-4377,Nancy,Gutierrez,gutierrez.nancy@gmail.com,Dual,Annual,05/21/2026,80.00,Card,05/21/2027,Active,11/03/2025,
HC-4174,Robert,Gutierrez,rgutierrez@outlook.com,Family,Annual,10/04/2025,100.00,Card,10/04/2026,Active,12/14/2021,
HC-4601,Thomas,Gutierrez,gutierrez.thomas@gmail.com,Patron,Annual,07/05/2025,250.00,Card,07/05/2026,Expired,11/19/2019,
HC-4308,Wei,Gutierrez,wgutierrez@icloud.com,Sustainer,Monthly,09/06/2026,10.00,Card,,Active,07/07/2014,
HC-4399,Elizabeth,Haddad,elizabethhaddad42@yahoo.com,Individual,Annual,10/15/2025,55.00,Card,10/15/2026,Active,07/22/2018,
HC-4518,Laura,Haddad,laura.haddad@hotmail.com,Dual,Annual,08/18/2025,80.00,Card,08/18/2026,Expired,03/23/2019,
HC-4122,Gary,Harris,gary.harris@hotmail.com,Dual,Annual,09/06/2026,80.00,Card,09/06/2027,Active,10/05/2021,
HC-4356,Mary,Harris,mharris@protonmail.com,Individual,Annual,07/08/2026,55.00,Card,07/08/2027,Active,03/23/2024,
HC-4283,Steven,Hernandez,steven.hernandez@outlook.com,Patron,Annual,07/17/2026,250.00,Card,07/17/2027,Active,07/07/2022,
HC-4314,John,Howard,howard.john@hotmail.com,Sustainer,Monthly,10/09/2025,10.00,Card,,Active,03/15/2014,
HC-4168,Shirley,Howard,shirley_howard@protonmail.com,Sustainer,Monthly,09/05/2026,10.00,Card,,Active,10/23/2022,
HC-4228,Joseph,Kelly,jkelly@me.com,Sustainer,Monthly,08/28/2026,10.00,Card,,Active,02/16/2019,
HC-4294,Jennifer,King,jennifer_king@yahoo.com,Individual,Annual,06/16/2026,55.00,Cash,06/16/2027,Active,10/15/2018,
HC-4367,Kimberly,King,king.kimberly@outlook.com,Dual,Annual,10/01/2025,80.00,Card,10/01/2026,Active,08/20/2025,
HC-4485,Edward,Lee,edward.lee@protonmail.com,Family,Annual,07/27/2026,100.00,Card,07/27/2027,Active,12/04/2012,
HC-4530,Nadia,Lee,nadia_lee@aol.com,Sustainer,Monthly,06/24/2026,10.00,Card,,Active,10/24/2024,
HC-4290,Dmitri,Lewis,dlewis@yahoo.com,Dual,Annual,08/25/2025,80.00,Card,08/25/2026,Expired,09/06/2022,
HC-4503,Elizabeth,Lewis,elizabethlewis89@yahoo.com,Patron,Annual,06/10/2026,250.00,Card,06/10/2027,Active,04/03/2014,
HC-4403,Jacob,Lewis,jlewis@protonmail.com,Dual,Annual,03/13/2026,80.00,Check,03/13/2027,Active,06/19/2016,
HC-4131,Hiroshi,Lindqvist,hiroshilindqvist22@hotmail.com,Individual,Annual,07/15/2026,55.00,Card,07/15/2027,Active,07/19/2024,
HC-4464,Christopher,Long,christopherlong62@outlook.com,Sustainer,Monthly,09/05/2026,10.00,Card,,Active,01/11/2012,
HC-4182,Ingrid,Long,ilong@me.com,Family,Annual,06/05/2026,100.00,Card,06/05/2027,Active,06/14/2016,
HC-4392,Lisa,Long,lisa_long@yahoo.com,Student,Annual,09/02/2025,25.00,Card,09/02/2026,Expired,02/22/2024,
HC-4436,Rebecca,Long,rebecca.long@yahoo.com,Sustainer,Monthly,09/02/2026,10.00,Card,,Active,11/27/2013,
HC-4442,Linda,Lopez,lopez.linda@hotmail.com,Dual,Annual,08/16/2025,80.00,Card,08/16/2026,Expired,07/23/2020,
HC-4374,Ashley,Martin,ashley.martin@gmail.com,Sustainer,Monthly,08/23/2026,10.00,Card,,Active,07/03/2023,
HC-4212,James,Martin,james.martin@hotmail.com,Individual,Annual,08/24/2025,55.00,Card,08/24/2026,Expired,09/08/2017,
HC-4100,Marcus,Martin,mmartin@icloud.com,Student,Annual,08/13/2026,25.00,Card,08/13/2027,Active,11/06/2022,
HC-4270,Jeffrey,Martinez,martinez.jeffrey@outlook.com,Dual,Annual,09/07/2026,80.00,Check,09/07/2027,Active,04/19/2013,
HC-4252,Omar,Martinez,omar.martinez@gmail.com,Dual,Annual,04/30/2026,80.00,Card,04/30/2027,Active,02/28/2014,
HC-4318,Dmitri,Mensah,dmensah@gmail.com,Sustainer,Monthly,09/11/2026,10.00,Cash,,Active,05/04/2016,
HC-4153,Joshua,Mensah,joshua.mensah@icloud.com,Individual,Annual,03/09/2026,55.00,Card,03/09/2027,Active,08/07/2013,
HC-4496,Ronald,Mensah,ronald_mensah@gmail.com,Individual,Annual,07/26/2025,0.00,Comp,07/26/2026,Expired,05/13/2019,Volunteer - docent
HC-4591,Angela,Mitchell,angela_mitchell@me.com,Patron,Annual,10/11/2025,0.00,Comp,10/11/2026,Active,09/11/2017,Honorary
HC-4477,Patricia,Mitchell,pmitchell@gmail.com,Family,Annual,10/09/2025,100.00,Check,10/09/2026,Active,11/04/2012,
HC-4202,Robert,Mitchell,robertmitchell66@me.com,Dual,Annual,09/10/2025,80.00,Card,09/10/2026,Expired,09/12/2012,
HC-4295,Tomasz,Mitchell,tmitchell@outlook.com,Family,Annual,11/22/2025,100.00,Card,11/22/2026,Active,04/04/2021,
HC-4350,Daniel,Moore,daniel.moore@hotmail.com,Dual,Annual,02/23/2026,80.00,Card,02/23/2027,Active,08/01/2020,
HC-4495,Eric,Moore,emoore@icloud.com,Sustainer,Monthly,08/16/2026,10.00,Card,,Active,03/20/2014,
HC-4271,Amanda,Morales,amanda_morales@protonmail.com,Family,Annual,02/12/2026,100.00,Card,02/12/2027,Active,04/12/2016,
HC-4364,Anthony,Morales,anthonymorales4@me.com,Family,Annual,05/27/2026,100.00,Card,05/27/2027,Active,01/24/2020,
HC-4381,Ronald,Morales,ronald.morales@icloud.com,Family,Annual,03/06/2026,100.00,Card,03/06/2027,Active,06/08/2021,
HC-4540,Ryan,Morales,ryan_morales@outlook.com,Family,Annual,03/11/2026,0.00,Comp,03/11/2027,Active,07/17/2018,Volunteer
HC-4430,Michelle,Morgan,michellemorgan70@icloud.com,Dual,Annual,07/17/2025,80.00,Cash,07/17/2026,Expired,12/13/2014,
HC-4277,Anthony,Myers,anthonymyers42@gmail.com,Individual,Annual,03/09/2026,55.00,Card,03/09/2027,Active,06/06/2019,
HC-4180,Jennifer,Myers,myers.jennifer@yahoo.com,Individual,Annual,07/26/2026,55.00,Card,07/26/2027,Active,11/05/2022,
HC-4280,George,Nguyen,george.nguyen@outlook.com,Family,Annual,06/14/2026,100.00,Check,06/14/2027,Active,10/07/2013,
HC-4416,Shirley,Okafor,shirleyokafor41@yahoo.com,Sustainer,Monthly,09/12/2026,10.00,Card,,Active,08/12/2017,
HC-4352,Emily,Ortiz,emily_ortiz@me.com,Family,Annual,10/30/2025,100.00,Card,10/30/2026,Active,06/08/2013,
HC-4301,Jason,Ortiz,ortiz.jason@icloud.com,Sustainer,Monthly,08/24/2026,10.00,Check,,Active,10/05/2019,
HC-4190,Angela,Osei,angelaosei12@icloud.com,Individual,Annual,02/01/2026,55.00,Card,02/01/2027,Active,12/08/2015,
HC-4421,George,Osei,gosei@me.com,Individual,Annual,02/12/2026,55.00,Check,02/12/2027,Active,04/09/2022,
HC-4201,Jennifer,Osei,jennifer_osei@yahoo.com,Individual,Annual,11/04/2025,55.00,Card,11/04/2026,Active,02/20/2017,
HC-4420,Sofia,Osei,sofia_osei@me.com,Dual,Annual,06/02/2026,80.00,Card,06/02/2027,Active,09/12/2022,
HC-4358,Amanda,Patel,amandapatel16@gmail.com,Patron,Annual,02/19/2026,250.00,Card,02/19/2027,Active,07/11/2015,
HC-4585,Michelle,Patel,michelle.patel@gmail.com,Sustainer,Monthly,09/10/2026,0.00,Comp,,Active,04/27/2025,Volunteer
HC-4306,Wei,Patel,patel.wei@yahoo.com,Family,Annual,05/14/2026,100.00,Check,05/14/2027,Active,09/18/2021,
HC-4222,Christopher,Perez,cperez@icloud.com,Individual,Annual,12/20/2025,55.00,Card,12/20/2026,Active,10/12/2025,
HC-4474,Laura,Peterson,laura_peterson@me.com,Family,Annual,11/11/2025,100.00,Card,11/11/2026,Active,09/28/2017,
HC-4139,Carol,Price,carol.price@hotmail.com,Individual,Annual,12/04/2025,55.00,Card,12/04/2026,Active,11/12/2013,
HC-4542,Anthony,Ramos,anthony.ramos@gmail.com,Student,Annual,10/14/2025,25.00,Card,10/14/2026,Active,07/04/2013,
HC-4598,Deborah,Ramos,deborahramos93@outlook.com,Family,Annual,07/09/2025,100.00,Card,07/09/2026,Expired,01/28/2016,
HC-4466,Hiroshi,Ramos,hiroshi.ramos@outlook.com,Family,Annual,02/02/2026,100.00,Card,02/02/2027,Active,01/14/2024,
HC-4500,Omar,Ramos,ramos.omar@me.com,Individual,Annual,08/21/2025,55.00,Card,08/21/2026,Expired,04/14/2016,
HC-4489,Brian,Reed,brian_reed@icloud.com,Individual,Annual,05/28/2026,55.00,Check,05/28/2027,Active,07/25/2012,
HC-4571,Gary,Reyes,greyes@hotmail.com,Student,Annual,08/29/2026,25.00,Card,08/29/2027,Active,08/17/2012,
HC-4387,Ryan,Reyes,rreyes@aol.com,Sustainer,Monthly,08/28/2026,10.00,Card,,Active,10/28/2020,
HC-4149,Nadia,Richardson,nrichardson@yahoo.com,Sustainer,Monthly,08/20/2026,10.00,Card,,Active,08/21/2022,
HC-4370,Stephanie,Richardson,stephanie_richardson@me.com,Family,Annual,02/18/2026,100.00,Card,02/18/2027,Active,12/23/2021,
HC-4133,Amara,Rivera,arivera@aol.com,Dual,Annual,08/20/2025,80.00,Cash,08/20/2026,Expired,06/05/2014,
HC-4185,John,Roberts,jroberts@outlook.com,Dual,Annual,10/25/2025,80.00,Card,10/25/2026,Active,03/04/2018,
HC-4245,Amara,Robinson,amara.robinson@gmail.com,Individual,Annual,09/02/2026,55.00,Check,09/02/2027,Active,06/02/2015,
HC-4247,Yuki,Robinson,robinson.yuki@outlook.com,Dual,Annual,11/17/2025,80.00,Card,11/17/2026,Active,03/14/2017,
HC-4344,Angela,Rogers,angela_rogers@icloud.com,Dual,Annual,04/02/2026,80.00,Check,04/02/2027,Active,11/10/2025,
HC-4324,George,Rogers,georgerogers69@yahoo.com,Family,Annual,09/07/2025,100.00,Card,09/07/2026,Expired,06/10/2016,
HC-4105,Joseph,Rogers,joseph_rogers@aol.com,Sustainer,Monthly,08/22/2026,10.00,Card,,Active,03/06/2025,
HC-4479,Kwame,Ross,kwame_ross@outlook.com,Family,Annual,08/25/2026,100.00,Check,08/25/2027,Active,10/05/2019,
HC-4311,Margaret,Ruiz,ruiz.margaret@protonmail.com,Individual,Annual,11/12/2025,55.00,Card,11/12/2026,Active,12/02/2020,
HC-4115,Michelle,Sanchez,sanchez.michelle@outlook.com,Sustainer,Monthly,08/28/2026,10.00,Cash,,Active,10/08/2022,
HC-4170,Gary,Scott,gscott@protonmail.com,Student,Annual,02/09/2026,25.00,Card,02/09/2027,Active,05/16/2020,
HC-4196,John,Smith,john.smith@protonmail.com,Family,Annual,11/21/2025,100.00,Card,11/21/2026,Active,03/05/2018,
HC-4440,Tomasz,Smith,tomasz_smith@protonmail.com,Patron,Annual,03/17/2026,250.00,Card,03/17/2027,Active,03/06/2015,
HC-4491,Paul,Tanaka,ptanaka@gmail.com,Individual,Annual,03/01/2026,55.00,Card,03/01/2027,Active,12/17/2014,
HC-4110,John,Taylor,taylor.john@hotmail.com,Individual,Annual,01/30/2026,55.00,Cash,01/30/2027,Active,04/28/2019,
HC-4548,Steven,Taylor,steventaylor78@yahoo.com,Student,Annual,06/17/2026,25.00,Cash,06/17/2027,Active,06/12/2021,
HC-4138,James,Torres,jamestorres92@hotmail.com,Sustainer,Monthly,09/11/2026,10.00,Card,,Active,03/25/2013,
HC-4412,Joseph,Torres,jtorres@outlook.com,Sustainer,Monthly,08/20/2026,10.00,Card,,Active,07/19/2022,
HC-4258,Ingrid,Turner,iturner@gmail.com,Individual,Annual,07/11/2026,55.00,Card,07/11/2027,Active,02/15/2021,
HC-4428,Michael,Turner,mturner@gmail.com,Sustainer,Monthly,08/18/2026,0.00,Comp,,Active,06/07/2012,Volunteer
HC-4118,Barbara,Walker,bwalker@hotmail.com,Individual,Annual,11/14/2025,55.00,Check,11/14/2026,Active,10/14/2016,
HC-4336,Daniel,Walker,daniel_walker@yahoo.com,Sustainer,Monthly,09/09/2026,10.00,Card,,Active,10/16/2024,
HC-4236,Brian,Ward,ward.brian@outlook.com,Dual,Annual,02/21/2026,80.00,Check,02/21/2027,Active,08/14/2020,
HC-4230,Jessica,Ward,jward@icloud.com,Family,Annual,07/17/2025,100.00,Card,07/17/2026,Expired,04/27/2012,
HC-4288,Lisa,Ward,lisa.ward@aol.com,Individual,Annual,07/13/2025,55.00,Card,07/13/2026,Expired,07/13/2025,
HC-4242,Robert,White,robertwhite74@yahoo.com,Sustainer,Monthly,08/28/2026,10.00,Card,,Active,01/09/2021,
HC-4545,Aisha,Williams,aisha_williams@gmail.com,Student,Annual,10/09/2025,25.00,Check,10/09/2026,Active,06/04/2012,
HC-4578,Angela,Williams,awilliams@outlook.com,Individual,Annual,12/12/2025,55.00,Card,12/12/2026,Active,12/22/2018,
HC-4532,Michelle,Williams,michelle_williams@hotmail.com,Dual,Annual,06/20/2026,80.00,Card,06/20/2027,Active,02/08/2012,
HC-4177,Rahul,Williams,rahul.williams@outlook.com,Sustainer,Monthly,09/05/2026,10.00,Card,,Active,01/05/2019,
HC-4126,Nadia,Wilson,nadiawilson86@me.com,Dual,Annual,11/09/2025,80.00,Check,11/09/2026,Active,07/16/2013,
HC-4215,Richard,Wilson,wilson.richard@aol.com,Dual,Annual,03/01/2026,80.00,Card,03/01/2027,Active,10/14/2016,
HC-4233,Sandra,Wilson,sandra.wilson@me.com,Sustainer,Monthly,09/13/2026,10.00,Card,,Active,11/09/2020,
HC-4209,Cynthia,Wood,cynthia_wood@me.com,Family,Annual,11/10/2025,0.00,Comp,11/10/2026,Active,03/11/2013,Volunteer
HC-4581,Fatima,Wood,fatima_wood@aol.com,Individual,Annual,03/01/2026,55.00,Card,03/01/2027,Active,02/06/2016,
HC-4276,Nicholas,Wood,nicholas_wood@aol.com,Individual,Annual,02/06/2026,55.00,Card,02/06/2027,Active,05/26/2024,
HC-4536,Michael,Wright,wright.michael@outlook.com,Dual,Annual,05/17/2026,80.00,Check,05/17/2027,Active,05/28/2022,
HC-4346,Daniel,Young,young.daniel@gmail.com,Family,Annual,08/23/2026,100.00,Cash,08/23/2027,Active,07/23/2012,
HC-4205,John,Young,john_young@protonmail.com,Patron,Annual,04/05/2026,250.00,Check,04/05/2027,Active,06/16/2022,
HC-4326,Paul,Young,paul_young@hotmail.com,Student,Annual,07/05/2026,25.00,Card,07/05/2027,Active,02/16/2022,
HC-4510,Shirley,Young,shirleyyoung14@outlook.com,Sustainer,Monthly,08/20/2026,0.00,Comp,,Active,02/24/2017,Volunteer
