Tallyrun Payroll Register - Sable Creek Commercial Cleaning LLC
Regular payrolls, check dates 12/01/2025 - 03/31/2026
Check Date,Period Start,Period End,Employee,Emp ID,Gross Pay,Federal Income Tax,Social Security,Medicare,State Income Tax,Net Pay,ER Social Security,ER Medicare,ER FUTA,ER SUI
01/02/2026,12/15/2025,12/28/2025,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$21.37,$60.55
01/02/2026,12/15/2025,12/28/2025,Wei Gonzalez,E222,"$2,136.12",$188.78,$132.44,$30.97,$93.99,"$1,689.94",$132.44,$30.97,$12.82,$36.31
01/02/2026,12/15/2025,12/28/2025,Jeffrey Gutierrez,E257,$909.34,$56.14,$56.38,$13.19,$40.01,$743.62,$56.38,$13.19,$5.46,$15.46
01/02/2026,12/15/2025,12/28/2025,Dorothy Howard,E145,"$1,664.97",$122.03,$103.23,$24.14,$73.26,"$1,342.31",$103.23,$24.14,$9.99,$28.30
01/02/2026,12/15/2025,12/28/2025,Steven Morgan,E180,"$1,157.23",$91.43,$71.75,$16.78,$50.92,$926.35,$71.75,$16.78,$6.94,$19.67
01/02/2026,12/15/2025,12/28/2025,Joshua Morris,E138,"$1,370.94",$126.15,$85.00,$19.88,$60.32,"$1,079.59",$85.00,$19.88,$8.23,$23.31
01/02/2026,12/15/2025,12/28/2025,Priya Morris,E250,"$1,230.52",$128.28,$76.29,$17.84,$54.14,$953.97,$76.29,$17.84,$7.38,$20.92
01/02/2026,12/15/2025,12/28/2025,Richard Myers,E201,"$1,412.84",$135.71,$87.60,$20.49,$62.16,"$1,106.88",$87.60,$20.49,$8.48,$24.02
01/02/2026,12/15/2025,12/28/2025,Deborah Okafor,E110,"$3,447.20",$397.73,$213.73,$49.98,$151.68,"$2,634.08",$213.73,$49.98,$20.68,$58.60
01/02/2026,12/15/2025,12/28/2025,Dorothy Parker,E229,"$1,066.71",$89.46,$66.14,$15.47,$46.94,$848.70,$66.14,$15.47,$6.40,$18.13
01/02/2026,12/15/2025,12/28/2025,Gary Phillips,E131,"$1,926.04",$202.45,$119.41,$27.93,$84.75,"$1,491.50",$119.41,$27.93,$11.56,$32.74
01/02/2026,12/15/2025,12/28/2025,Richard Richardson,E173,"$1,417.00",$125.54,$87.85,$20.55,$62.35,"$1,120.71",$87.85,$20.55,$8.50,$24.09
01/02/2026,12/15/2025,12/28/2025,Kimberly Rogers,E124,"$3,606.40",$306.23,$223.60,$52.29,$158.68,"$2,865.60",$223.60,$52.29,$21.64,$61.31
01/02/2026,12/15/2025,12/28/2025,Elizabeth Ruiz,E208,"$2,144.62",$204.86,$132.97,$31.10,$94.36,"$1,681.34",$132.97,$31.10,$12.87,$36.46
01/02/2026,12/15/2025,12/28/2025,Kevin Stewart,E215,"$2,295.88",$230.14,$142.34,$33.29,$101.02,"$1,789.09",$142.34,$33.29,$13.78,$39.03
01/02/2026,12/15/2025,12/28/2025,Sarah Torres,E159,"$1,375.48",$134.20,$85.28,$19.94,$60.52,"$1,075.54",$85.28,$19.94,$8.25,$23.38
01/02/2026,12/15/2025,12/28/2025,Kenneth Ward,E236,"$2,110.05",$162.00,$130.82,$30.60,$92.84,"$1,693.79",$130.82,$30.60,$12.66,$35.87
01/02/2026,,,TOTAL FOR CHECK DATE,,"$38,806.70","$3,519.59","$2,406.02",$562.70,"$1,707.49","$30,610.91","$2,406.02",$562.70,$232.85,$659.71
01/16/2026,12/29/2025,01/11/2026,Yuki Clark,E243,"$1,419.24",$97.93,$87.99,$20.58,$62.45,"$1,150.29",$87.99,$20.58,$8.52,$24.13
01/16/2026,12/29/2025,01/11/2026,Margaret Cook,E152,"$1,231.31",$148.11,$76.34,$17.85,$54.18,$934.83,$76.34,$17.85,$7.39,$20.93
01/16/2026,12/29/2025,01/11/2026,Marcus Cox,E187,"$1,315.44",$164.38,$81.56,$19.07,$57.88,$992.55,$81.56,$19.07,$7.89,$22.36
01/16/2026,12/29/2025,01/11/2026,Charles Flores,E194,$962.73,$92.75,$59.69,$13.96,$42.36,$753.97,$59.69,$13.96,$5.78,$16.37
01/16/2026,12/29/2025,01/11/2026,Sarah Foster,E166,"$1,217.30",$155.29,$75.47,$17.65,$53.56,$915.33,$75.47,$17.65,$7.30,$20.69
01/16/2026,12/29/2025,01/11/2026,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$20.63,$60.55
01/16/2026,12/29/2025,01/11/2026,Wei Gonzalez,E222,"$2,066.19",$182.60,$128.10,$29.96,$90.91,"$1,634.62",$128.10,$29.96,$12.40,$35.13
01/16/2026,12/29/2025,01/11/2026,Jeffrey Gutierrez,E257,"$1,501.61",$92.70,$93.10,$21.77,$66.07,"$1,227.97",$93.10,$21.77,$9.01,$25.53
01/16/2026,12/29/2025,01/11/2026,Dorothy Howard,E145,"$1,241.42",$90.99,$76.97,$18.00,$54.62,"$1,000.84",$76.97,$18.00,$7.45,$21.10
01/16/2026,12/29/2025,01/11/2026,Steven Morgan,E180,"$1,152.58",$91.06,$71.46,$16.71,$50.71,$922.64,$71.46,$16.71,$6.92,$19.59
01/16/2026,12/29/2025,01/11/2026,Joshua Morris,E138,$893.52,$82.22,$55.40,$12.96,$39.31,$703.63,$55.40,$12.96,$5.36,$15.19
01/16/2026,12/29/2025,01/11/2026,Priya Morris,E250,"$1,739.47",$181.34,$107.85,$25.22,$76.54,"$1,348.53",$107.85,$25.22,$10.44,$29.57
01/16/2026,12/29/2025,01/11/2026,Deborah Okafor,E110,"$3,447.20",$397.73,$213.73,$49.98,$151.68,"$2,634.08",$213.73,$49.98,$20.68,$58.60
01/16/2026,12/29/2025,01/11/2026,Dorothy Parker,E229,"$1,022.00",$85.71,$63.36,$14.82,$44.97,$813.14,$63.36,$14.82,$6.13,$17.37
01/16/2026,12/29/2025,01/11/2026,Gary Phillips,E131,"$1,940.36",$203.95,$120.30,$28.14,$85.38,"$1,502.59",$120.30,$28.14,$11.64,$32.99
01/16/2026,12/29/2025,01/11/2026,Richard Richardson,E173,"$2,196.35",$194.59,$136.17,$31.85,$96.64,"$1,737.10",$136.17,$31.85,$13.18,$37.34
01/16/2026,12/29/2025,01/11/2026,Kimberly Rogers,E124,"$3,606.40",$306.23,$223.60,$52.29,$158.68,"$2,865.60",$223.60,$52.29,$20.36,$61.31
01/16/2026,12/29/2025,01/11/2026,Kevin Stewart,E215,"$1,945.01",$194.97,$120.59,$28.20,$85.58,"$1,515.67",$120.59,$28.20,$11.67,$33.07
01/16/2026,12/29/2025,01/11/2026,Kenneth Ward,E236,"$1,775.22",$136.29,$110.06,$25.74,$78.11,"$1,425.02",$110.06,$25.74,$10.65,$30.18
01/16/2026,,,TOTAL FOR CHECK DATE,,"$34,234.95","$3,098.48","$2,122.56",$496.39,"$1,506.34","$27,011.19","$2,122.56",$496.39,$203.40,$582.00
01/30/2026,01/12/2026,01/25/2026,Yuki Clark,E243,"$1,153.45",$79.59,$71.51,$16.73,$50.75,$934.87,$71.51,$16.73,$6.92,$19.61
01/30/2026,01/12/2026,01/25/2026,Charles Flores,E194,"$1,176.14",$113.32,$72.92,$17.05,$51.75,$921.10,$72.92,$17.05,$7.06,$19.99
01/30/2026,01/12/2026,01/25/2026,Sarah Foster,E166,"$1,165.50",$148.68,$72.26,$16.90,$51.28,$876.38,$72.26,$16.90,$6.99,$19.81
01/30/2026,01/12/2026,01/25/2026,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$0.00,$60.55
01/30/2026,01/12/2026,01/25/2026,Wei Gonzalez,E222,"$1,519.44",$134.28,$94.21,$22.03,$66.86,"$1,202.06",$94.21,$22.03,$9.12,$25.83
01/30/2026,01/12/2026,01/25/2026,Jeffrey Gutierrez,E257,"$1,920.38",$118.56,$119.06,$27.85,$84.50,"$1,570.41",$119.06,$27.85,$11.52,$32.65
01/30/2026,01/12/2026,01/25/2026,Dorothy Howard,E145,"$1,942.47",$142.37,$120.43,$28.17,$85.47,"$1,566.03",$120.43,$28.17,$11.65,$33.02
01/30/2026,01/12/2026,01/25/2026,Steven Morgan,E180,$910.91,$71.97,$56.48,$13.21,$40.08,$729.17,$56.48,$13.21,$5.47,$15.49
01/30/2026,01/12/2026,01/25/2026,Joshua Morris,E138,"$1,243.92",$114.46,$77.12,$18.04,$54.73,$979.57,$77.12,$18.04,$7.46,$21.15
01/30/2026,01/12/2026,01/25/2026,Priya Morris,E250,"$1,849.00",$192.76,$114.64,$26.81,$81.36,"$1,433.43",$114.64,$26.81,$11.09,$31.43
01/30/2026,01/12/2026,01/25/2026,Deborah Okafor,E110,"$3,447.20",$397.73,$213.73,$49.98,$151.68,"$2,634.08",$213.73,$49.98,$0.63,$58.60
01/30/2026,01/12/2026,01/25/2026,Dorothy Parker,E229,"$2,120.65",$177.85,$131.48,$30.75,$93.31,"$1,687.26",$131.48,$30.75,$12.72,$36.05
01/30/2026,01/12/2026,01/25/2026,Gary Phillips,E131,"$1,525.08",$160.30,$94.55,$22.11,$67.10,"$1,181.02",$94.55,$22.11,$9.15,$25.93
01/30/2026,01/12/2026,01/25/2026,Richard Richardson,E173,"$1,459.51",$129.31,$90.49,$21.16,$64.22,"$1,154.33",$90.49,$21.16,$8.76,$24.81
01/30/2026,01/12/2026,01/25/2026,Kimberly Rogers,E124,"$3,606.40",$306.23,$223.60,$52.29,$158.68,"$2,865.60",$223.60,$52.29,$0.00,$61.31
01/30/2026,01/12/2026,01/25/2026,Elizabeth Ruiz,E208,"$1,510.50",$144.28,$93.65,$21.90,$66.46,"$1,184.21",$93.65,$21.90,$9.06,$25.68
01/30/2026,01/12/2026,01/25/2026,Kevin Stewart,E215,"$1,296.67",$129.98,$80.39,$18.80,$57.05,"$1,010.45",$80.39,$18.80,$7.78,$22.04
01/30/2026,01/12/2026,01/25/2026,Sarah Torres,E159,"$1,671.66",$163.09,$103.64,$24.24,$73.55,"$1,307.14",$103.64,$24.24,$10.03,$28.42
01/30/2026,01/12/2026,01/25/2026,Kenneth Ward,E236,"$1,516.20",$116.41,$94.00,$21.98,$66.71,"$1,217.10",$94.00,$21.98,$9.10,$25.78
01/30/2026,,,TOTAL FOR CHECK DATE,,"$34,596.68","$3,040.81","$2,144.98",$501.64,"$1,522.25","$27,387.00","$2,144.98",$501.64,$144.51,$588.15
02/13/2026,01/26/2026,02/08/2026,Yuki Clark,E243,$962.88,$66.44,$59.70,$13.96,$42.37,$780.41,$59.70,$13.96,$5.78,$16.37
02/13/2026,01/26/2026,02/08/2026,Marcus Cox,E187,"$1,218.00",$152.20,$75.52,$17.66,$53.59,$919.03,$75.52,$17.66,$7.31,$20.71
02/13/2026,01/26/2026,02/08/2026,Charles Flores,E194,"$1,095.52",$105.55,$67.92,$15.89,$48.20,$857.96,$67.92,$15.89,$6.57,$18.62
02/13/2026,01/26/2026,02/08/2026,Sarah Foster,E166,"$1,253.56",$159.91,$77.72,$18.18,$55.16,$942.59,$77.72,$18.18,$7.52,$21.31
02/13/2026,01/26/2026,02/08/2026,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$0.00,$60.55
02/13/2026,01/26/2026,02/08/2026,Wei Gonzalez,E222,"$1,106.20",$97.76,$68.58,$16.04,$48.67,$875.15,$68.58,$16.04,$6.64,$18.81
02/13/2026,01/26/2026,02/08/2026,Jeffrey Gutierrez,E257,"$1,513.57",$93.44,$93.84,$21.95,$66.60,"$1,237.74",$93.84,$21.95,$9.08,$25.73
02/13/2026,01/26/2026,02/08/2026,Dorothy Howard,E145,"$1,190.31",$87.24,$73.80,$17.26,$52.37,$959.64,$73.80,$17.26,$7.14,$20.24
02/13/2026,01/26/2026,02/08/2026,Steven Morgan,E180,"$1,022.45",$80.78,$63.39,$14.83,$44.99,$818.46,$63.39,$14.83,$6.13,$17.38
02/13/2026,01/26/2026,02/08/2026,Priya Morris,E250,"$1,211.19",$126.27,$75.09,$17.56,$53.29,$938.98,$75.09,$17.56,$7.27,$20.59
02/13/2026,01/26/2026,02/08/2026,Richard Myers,E201,"$1,108.64",$106.49,$68.74,$16.08,$48.78,$868.55,$68.74,$16.08,$6.65,$18.85
02/13/2026,01/26/2026,02/08/2026,Deborah Okafor,E110,"$3,447.20",$397.73,$213.73,$49.98,$151.68,"$2,634.08",$213.73,$49.98,$0.00,$58.60
02/13/2026,01/26/2026,02/08/2026,Dorothy Parker,E229,"$1,213.62",$101.78,$75.24,$17.60,$53.40,$965.61,$75.24,$17.60,$7.28,$20.63
02/13/2026,01/26/2026,02/08/2026,Gary Phillips,E131,"$1,174.24",$123.43,$72.80,$17.03,$51.67,$909.31,$72.80,$17.03,$7.05,$19.96
02/13/2026,01/26/2026,02/08/2026,Richard Richardson,E173,"$1,962.55",$173.88,$121.68,$28.46,$86.35,"$1,552.17",$121.68,$28.46,$11.56,$33.36
02/13/2026,01/26/2026,02/08/2026,Kimberly Rogers,E124,"$3,606.40",$306.23,$223.60,$52.29,$158.68,"$2,865.60",$223.60,$52.29,$0.00,$61.31
02/13/2026,01/26/2026,02/08/2026,Elizabeth Ruiz,E208,"$2,002.12",$191.25,$124.13,$29.03,$88.09,"$1,569.62",$124.13,$29.03,$12.01,$34.04
02/13/2026,01/26/2026,02/08/2026,Kevin Stewart,E215,"$1,792.46",$179.67,$111.13,$25.99,$78.87,"$1,396.80",$111.13,$25.99,$8.77,$30.47
02/13/2026,01/26/2026,02/08/2026,Sarah Torres,E159,"$1,239.94",$120.97,$76.88,$17.98,$54.56,$969.55,$76.88,$17.98,$7.44,$21.08
02/13/2026,,,TOTAL FOR CHECK DATE,,"$31,682.45","$2,870.66","$1,964.31",$459.41,"$1,394.03","$24,994.04","$1,964.31",$459.41,$124.20,$538.61
02/27/2026,02/09/2026,02/22/2026,Margaret Cook,E152,"$1,335.29",$160.62,$82.79,$19.36,$58.75,"$1,013.77",$82.79,$19.36,$8.01,$22.70
02/27/2026,02/09/2026,02/22/2026,Marcus Cox,E187,$968.31,$121.00,$60.04,$14.04,$42.61,$730.62,$60.04,$14.04,$5.81,$16.46
02/27/2026,02/09/2026,02/22/2026,Charles Flores,E194,$943.76,$90.93,$58.51,$13.68,$41.53,$739.11,$58.51,$13.68,$5.66,$16.04
02/27/2026,02/09/2026,02/22/2026,Sarah Foster,E166,"$1,367.52",$174.45,$84.79,$19.83,$60.17,"$1,028.28",$84.79,$19.83,$8.21,$23.25
02/27/2026,02/09/2026,02/22/2026,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$0.00,$60.55
02/27/2026,02/09/2026,02/22/2026,Jeffrey Gutierrez,E257,"$1,070.87",$66.11,$66.39,$15.53,$47.12,$875.72,$66.39,$15.53,$6.43,$18.20
02/27/2026,02/09/2026,02/22/2026,Dorothy Howard,E145,"$2,344.10",$171.81,$145.33,$33.99,$103.14,"$1,889.83",$145.33,$33.99,$5.76,$39.85
02/27/2026,02/09/2026,02/22/2026,Steven Morgan,E180,"$1,473.26",$116.39,$91.34,$21.36,$64.82,"$1,179.35",$91.34,$21.36,$8.84,$25.05
02/27/2026,02/09/2026,02/22/2026,Joshua Morris,E138,"$1,370.94",$126.15,$85.00,$19.88,$60.32,"$1,079.59",$85.00,$19.88,$8.23,$23.31
02/27/2026,02/09/2026,02/22/2026,Priya Morris,E250,"$1,372.25",$143.06,$85.08,$19.90,$60.38,"$1,063.83",$85.08,$19.90,$5.82,$23.33
02/27/2026,02/09/2026,02/22/2026,Richard Myers,E201,"$2,075.32",$199.35,$128.67,$30.09,$91.31,"$1,625.90",$128.67,$30.09,$12.45,$35.28
02/27/2026,02/09/2026,02/22/2026,Deborah Okafor,E110,"$3,447.20",$397.73,$213.73,$49.98,$151.68,"$2,634.08",$213.73,$49.98,$0.00,$58.60
02/27/2026,02/09/2026,02/22/2026,Dorothy Parker,E229,"$1,015.61",$85.18,$62.97,$14.73,$44.69,$808.04,$62.97,$14.73,$6.09,$17.27
02/27/2026,02/09/2026,02/22/2026,Gary Phillips,E131,"$1,625.32",$170.84,$100.77,$23.57,$71.51,"$1,258.63",$100.77,$23.57,$2.61,$27.63
02/27/2026,02/09/2026,02/22/2026,Richard Richardson,E173,"$1,523.28",$134.96,$94.44,$22.09,$67.02,"$1,204.77",$94.44,$22.09,$0.00,$25.90
02/27/2026,02/09/2026,02/22/2026,Kimberly Rogers,E124,"$3,606.40",$306.23,$223.60,$52.29,$158.68,"$2,865.60",$223.60,$52.29,$0.00,$61.31
02/27/2026,02/09/2026,02/22/2026,Elizabeth Ruiz,E208,"$2,023.50",$193.29,$125.46,$29.34,$89.03,"$1,586.38",$125.46,$29.34,$8.06,$34.40
02/27/2026,02/09/2026,02/22/2026,Kevin Stewart,E215,"$1,250.91",$125.39,$77.56,$18.14,$55.04,$974.78,$77.56,$18.14,$0.00,$21.27
02/27/2026,02/09/2026,02/22/2026,Sarah Torres,E159,"$1,380.50",$134.69,$85.59,$20.02,$60.74,"$1,079.46",$85.59,$20.02,$8.28,$23.47
02/27/2026,02/09/2026,02/22/2026,Kenneth Ward,E236,"$1,004.48",$77.12,$62.28,$14.56,$44.20,$806.32,$62.28,$14.56,$6.03,$17.08
02/27/2026,,,TOTAL FOR CHECK DATE,,"$34,760.42","$3,194.94","$2,155.16",$504.02,"$1,529.45","$27,376.85","$2,155.16",$504.02,$106.29,$590.95
03/13/2026,02/23/2026,03/08/2026,Yuki Clark,E243,$877.62,$60.56,$54.41,$12.73,$38.62,$711.31,$54.41,$12.73,$5.27,$14.92
03/13/2026,02/23/2026,03/08/2026,Margaret Cook,E152,"$1,581.55",$190.24,$98.06,$22.93,$69.59,"$1,200.73",$98.06,$22.93,$9.49,$26.89
03/13/2026,02/23/2026,03/08/2026,Marcus Cox,E187,"$1,881.81",$235.16,$116.67,$27.29,$82.80,"$1,419.89",$116.67,$27.29,$11.29,$31.99
03/13/2026,02/23/2026,03/08/2026,Charles Flores,E194,"$1,294.70",$124.74,$80.27,$18.77,$56.97,"$1,013.95",$80.27,$18.77,$7.77,$22.01
03/13/2026,02/23/2026,03/08/2026,Sarah Foster,E166,"$1,357.16",$173.13,$84.14,$19.68,$59.72,"$1,020.49",$84.14,$19.68,$8.14,$23.07
03/13/2026,02/23/2026,03/08/2026,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$0.00,$60.55
03/13/2026,02/23/2026,03/08/2026,Wei Gonzalez,E222,"$2,072.55",$183.16,$128.50,$30.05,$91.19,"$1,639.64",$128.50,$30.05,$1.03,$35.23
03/13/2026,02/23/2026,03/08/2026,Dorothy Howard,E145,"$2,125.03",$155.75,$131.75,$30.81,$93.50,"$1,713.22",$131.75,$30.81,$0.00,$36.13
03/13/2026,02/23/2026,03/08/2026,Steven Morgan,E180,"$1,036.39",$81.88,$64.26,$15.03,$45.60,$829.62,$64.26,$15.03,$6.22,$17.62
03/13/2026,02/23/2026,03/08/2026,Joshua Morris,E138,"$1,213.26",$111.64,$75.22,$17.59,$53.38,$955.43,$75.22,$17.59,$7.28,$20.63
