Tuition invoices - Autumn 2025 term (closed)
Invoice No,Family ID,Student,Program,Term,Amount,Due
INV-2025-4068,F-1233,Paul Edwards,Primary,Autumn 2025,"$5,184.00",2025-09-10
INV-2025-4070,F-1234,Sofia Ramirez,Primary,Autumn 2025,"5,184.00",10-Sep-2025
INV-2025-4072,F-1235,Gary Mensah,Primary,Autumn 2025,"5,184.00",09/10/2025
INV-2025-4074,F-1236,Andrew Cook,Primary,Autumn 2025,"5,184.00",2025-09-10
INV-2025-4076,F-1237,Steven Wilson,Primary,Autumn 2025,"5,184.00",10-Sep-2025
INV-2025-4078,F-1238,Jessica Lopez,Primary,Autumn 2025,"5,184.00",09/10/2025
INV-2025-4080,F-1239,Emily Scott,Primary,Autumn 2025,"$5,184.00",2025-09-10
INV-2025-4082,F-1240,Jessica Brown,Primary,Autumn 2025,"$5,184.00",10-Sep-2025
INV-2025-4084,F-1241,Christopher Long,Primary,Autumn 2025,"$5,184.00",09/10/2025
INV-2025-4086,F-1242,Edward Anderson,Primary,Autumn 2025,"$5,184.00",2025-09-10
INV-2025-4088,F-1243,Nadia Ortiz,Primary,Autumn 2025,"$5,184.00",10-Sep-2025
INV-2025-4090,F-1244,Amara Lopez,Lower Elementary,Autumn 2025,"5,952.00",09/10/2025
INV-2025-4092,F-1245,Jason Morris,Lower Elementary,Autumn 2025,"5,952.00",2025-09-10
INV-2025-4094,F-1246,Nadia Perez,Lower Elementary,Autumn 2025,"5,952.00",10-Sep-2025
INV-2025-4096,F-1247,Jonathan Roberts,Lower Elementary,Autumn 2025,"5,952.00",09/10/2025
INV-2025-4098,F-1248,Ryan Flores,Lower Elementary,Autumn 2025,"5,952.00",2025-09-10
INV-2025-4100,F-1249,Gary Collins,Lower Elementary,Autumn 2025,"5,952.00",10-Sep-2025
INV-2025-4102,F-1250,Sharon Turner,Lower Elementary,Autumn 2025,"5,952.00",09/10/2025
INV-2025-4104,F-1251,Luis Gonzalez,Lower Elementary,Autumn 2025,"5,952.00",2025-09-10
INV-2025-4106,F-1252,Steven Stewart,Lower Elementary,Autumn 2025,"5,952.00",10-Sep-2025
INV-2025-4108,F-1253,Ronald Walker,Lower Elementary,Autumn 2025,"5,952.00",09/10/2025
INV-2025-4110,F-1254,Laura Ward,Lower Elementary,Autumn 2025,"$5,952.00",2025-09-10
INV-2025-4112,F-1255,Gary Rodriguez,Lower Elementary,Autumn 2025,"$5,952.00",10-Sep-2025
INV-2025-4114,F-1256,Carlos Jackson,Lower Elementary,Autumn 2025,"$5,952.00",09/10/2025
INV-2025-4116,F-1257,Gary Alvarez,Lower Elementary,Autumn 2025,"$5,952.00",2025-09-10
INV-2025-4118,F-1258,Paul Kelly,Lower Elementary,Autumn 2025,"$5,952.00",10-Sep-2025
INV-2025-4120,F-1259,Jeffrey Williams,Lower Elementary,Autumn 2025,"5,952.00",09/10/2025
INV-2025-4122,F-1260,Marcus Phillips,Lower Elementary,Autumn 2025,"5,952.00",2025-09-10
INV-2025-4124,F-1261,Jason Williams,Lower Elementary,Autumn 2025,"5,952.00",10-Sep-2025
INV-2025-4126,F-1262,Brian Alvarez,Lower Elementary,Autumn 2025,"5,952.00",09/10/2025
INV-2025-4128,F-1263,Carlos Mitchell,Lower Elementary,Autumn 2025,"5,952.00",2025-09-10
INV-2025-4130,F-1264,Jacob King,Lower Elementary,Autumn 2025,"$5,952.00",10-Sep-2025
INV-2025-4132,F-1265,Dorothy Hill,Lower Elementary,Autumn 2025,"$5,952.00",09/10/2025
INV-2025-4134,F-1266,Shirley Harris,Afterschool,Autumn 2025,"$1,104.00",2025-09-10
INV-2025-4136,F-1267,Jennifer Watson,Afterschool,Autumn 2025,"$1,104.00",10-Sep-2025
INV-2025-4138,F-1268,Wei Stewart,Afterschool,Autumn 2025,"$1,104.00",09/10/2025
INV-2025-4140,F-1269,Steven Gonzalez,Afterschool,Autumn 2025,"1,104.00",2025-09-10
INV-2025-4142,F-1270,Deborah Gonzalez,Afterschool,Autumn 2025,"1,104.00",10-Sep-2025
INV-2025-4144,F-1271,John Harris,Afterschool,Autumn 2025,"1,104.00",09/10/2025
INV-2025-4146,F-1272,Michelle Brown,Afterschool,Autumn 2025,"1,104.00",2025-09-10
INV-2025-4148,F-1273,James Ramos,Afterschool,Autumn 2025,"1,104.00",10-Sep-2025
INV-2025-4150,F-1274,Nicholas Torres,Afterschool,Autumn 2025,"$1,104.00",09/10/2025
INV-2025-4152,F-1275,Eric Mensah,Afterschool,Autumn 2025,"$1,104.00",2025-09-10
INV-2025-4154,F-1276,Dorothy Allen,Afterschool,Autumn 2025,"$1,104.00",10-Sep-2025
INV-2025-4156,F-1277,Joseph Jones,Afterschool,Autumn 2025,"$1,104.00",09/10/2025
INV-2025-4158,F-1278,Charles Lindqvist,Afterschool,Autumn 2025,"$1,104.00",2025-09-10
INV-2025-4160,F-1279,Betty Smith,Afterschool,Autumn 2025,"1,104.00",10-Sep-2025
INV-2025-4162,F-1280,Sandra Allen,Afterschool,Autumn 2025,"1,104.00",09/10/2025
INV-2025-4164,F-1281,Nicholas King,Afterschool,Autumn 2025,"1,104.00",2025-09-10
INV-2025-4166,F-1282,Nancy Young,Afterschool,Autumn 2025,"1,104.00",10-Sep-2025
INV-2025-4168,F-1283,Anthony Cox,Afterschool,Autumn 2025,"1,104.00",09/10/2025
INV-2025-4170,F-1284,Nadia Nelson,Afterschool,Autumn 2025,"$1,104.00",2025-09-10
INV-2025-4172,F-1285,Donna Patel,Afterschool,Autumn 2025,"$1,104.00",10-Sep-2025
INV-2025-4174,F-1286,Melissa Jones,Afterschool,Autumn 2025,"$1,104.00",09/10/2025
INV-2025-4176,F-1287,Wei Kim,Afterschool,Autumn 2025,"$1,104.00",2025-09-10
INV-2025-4178,F-1288,Christopher Rogers,Afterschool,Autumn 2025,"$1,104.00",10-Sep-2025
INV-2025-4180,F-1289,Mateo Sanchez,Afterschool,Autumn 2025,"1,104.00",09/10/2025
