Bank feed - tuition receipts
01/05/2026 through 06/30/2026
Payment ID,Received,Family ID,Payer,Applied to,Amount,Method,Status,Memo
PMT-8100,02/05/2026,F-1243,Ortiz family,INV-2026-4087,"$1,080.00",Check,Cleared,
PMT-8141,2026-02-05,F-1258,Kelly family,INV-2026-4117,"$1,963.33",Check,Cleared,
PMT-8157,02/05/2026,F-1265,Hill family,INV-2026-4131,"$1,240.00",Bank transfer,Cleared,
PMT-8162,2026-02-05,F-1266,Harris family,INV-2026-4133,$230.00,Check,Cleared,
PMT-8182,05-Feb-2026,F-1273,Ramos family,INV-2026-4147,$383.33,Bank transfer,Cleared,
PMT-8224,05-Feb-2026,F-1287,Kim family,INV-2026-4175,$364.17,ACH,Cleared,
PMT-8016,02/06/2026,F-1209,King family,INV-2026-4019,"$1,600.00",Bank transfer,Cleared,
PMT-8022,02/06/2026,F-1212,Mensah family,INV-2026-4025,"$1,440.00",ACH,Cleared,
PMT-8037,02/06/2026,F-1219,Thomas family,INV-2026-4039,"$1,710.00",Card,Cleared,
PMT-8058,02/06/2026,F-1230,Gonzalez family,INV-2026-4061,"$1,800.00",Check,Cleared,
PMT-8069,2026-02-06,F-1233,Edwards family,INV-2026-4067,"$1,800.00",Bank transfer,Cleared,
PMT-8106,02/06/2026,F-1245,Morris family,INV-2026-4091,"$1,240.00",Check,Cleared,
PMT-8114,2026-02-06,F-1247,Roberts family,INV-2026-4095,"$2,066.67",ACH,Cleared,
PMT-8144,2026-02-06,,Williams family,,"$2,066.67",Bank transfer,Cleared,Ref INV-2026-4119
PMT-8167,06-Feb-2026,F-1268,Stewart family,INV-2026-4137,$383.33,Check,Cleared,
PMT-8171,2026-02-06,F-1270,Gonzalez family,INV-2026-4141,$0.00,Bank transfer,Cleared,
PMT-8186,2026-02-06,F-1275,Mensah family,INV-2026-4151,$230.00,Card,Cleared,
PMT-8204,2026-02-06,F-1281,King family,INV-2026-4163,$383.33,ACH,Cleared,
PMT-8216,2026-02-06,F-1285,Patel family,INV-2026-4171,$364.17,Check,Cleared,
PMT-8219,2026-02-06,F-1286,Jones family,INV-2026-4173,$230.00,Check,Cleared,
PMT-8013,02/07/2026,F-1207,Ruiz family,INV-2026-4015,"$1,600.00",ACH,Cleared,
PMT-8019,02/07/2026,F-1210,Green family,INV-2026-4021,"$1,600.00",Bank transfer,Cleared,
PMT-8092,07-Feb-2026,F-1241,Long family,INV-2026-4083,"$1,800.00",ACH,Cleared,
PMT-8117,2026-02-07,F-1248,Flores family,INV-2026-4097,"$1,240.00",ACH,Cleared,
PMT-8126,2026-02-07,F-1251,Gonzalez family,INV-2026-4103,"$2,066.67",ACH,Cleared,
PMT-8137,07-Feb-2026,F-1254,Ward family,INV-2026-4109,"$1,766.67",ACH,Cleared,
PMT-8148,02/07/2026,F-1261,Williams family,INV-2026-4123,"$2,066.67",ACH,Cleared,
PMT-8179,07-Feb-2026,F-1272,Brown family,INV-2026-4145,$383.33,ACH,Cleared,
PMT-8195,2026-02-07,F-1278,Lindqvist family,INV-2026-4157,$50.00,Bank transfer,Cleared,
PMT-8201,2026-02-07,F-1280,Allen family,INV-2026-4161,$383.33,ACH,Cleared,
PMT-8031,02/08/2026,F-1216,Bennett family,INV-2026-4033,"$1,600.00",ACH,Cleared,
PMT-8034,02/08/2026,F-1218,Wood family,INV-2026-4037,"$1,800.00",Check,Cleared,
PMT-8050,08-Feb-2026,F-1228,Brooks family,INV-2026-4057,"$1,080.00",Bank transfer,Cleared,
PMT-8086,08-Feb-2026,F-1239,Scott family,INV-2026-4079,"$1,080.00",Check,Returned,
PMT-8152,08-Feb-2026,F-1264,King family,INV-2026-4129,"$1,240.00",Check,Cleared,
PMT-8176,08-Feb-2026,F-1271,Harris family,INV-2026-4143,$383.33,Check,Cleared,
PMT-8192,2026-02-08,F-1277,Jones family,INV-2026-4155,$383.33,Check,Cleared,
PMT-8213,2026-02-08,F-1284,Nelson family,INV-2026-4169,$383.33,Card,Cleared,
PMT-8228,2026-02-08,F-1289,Sanchez family,INV-2026-4179,$383.33,ACH,Cleared,
PMT-8004,02/09/2026,F-1204,Nguyen family,INV-2026-4009,"$1,200.00",ACH,Cleared,
PMT-8007,02/09/2026,F-1205,Bennett family,INV-2026-4011,"$1,600.00",Bank transfer,Cleared,
PMT-8061,02/09/2026,,Rogers family,,"$1,200.00",ACH,Cleared,Ref INV-2026-4063
PMT-8073,02/09/2026,F-1235,Mensah family,INV-2026-4071,"$1,080.00",Check,Cleared,
PMT-8095,09-Feb-2026,F-1242,Anderson family,INV-2026-4085,"$1,080.00",ACH,Cleared,
PMT-8111,2026-02-09,F-1246,Perez family,INV-2026-4093,"$1,766.67",Card,Cleared,
PMT-8122,09-Feb-2026,F-1249,Collins family,INV-2026-4099,"$1,666.67",Card,Cleared,
PMT-8129,2026-02-09,F-1252,Stewart family,INV-2026-4105,"$2,066.67",Check,Cleared,
PMT-8132,2026-02-09,F-1253,Walker family,INV-2026-4107,"$1,240.00",Check,Cleared,
PMT-8207,2026-02-09,F-1282,Young family,INV-2026-4165,$0.00,Card,Cleared,
PMT-8210,2026-02-09,F-1283,Cox family,INV-2026-4167,$383.33,Card,Cleared,
PMT-8234,2026-02-09,F-1226,Ruiz family,INV-2025-4054,"$5,184.00",Bank transfer,Cleared,
PMT-8185,10-Feb-2026,F-1274,Torres family,INV-2026-4149,"$1,150.00",ACH,Cleared,
PMT-8233,10-Feb-2026,F-1237,Wilson family,INV-2025-4076,"$5,184.00",Bank transfer,Cleared,
PMT-8231,2026-02-12,F-1250,Turner family,INV-2025-4102,"$2,976.00",ACH,Cleared,
PMT-8002,13-Feb-2026,F-1202,Ortiz family,INV-2026-4005,"$4,560.00",Bank transfer,Cleared,
PMT-8227,15-Feb-2026,F-1288,Rogers family,INV-2026-4177,"$1,150.00",Check,Cleared,
PMT-8003,2026-02-17,F-1203,Wright family,INV-2026-4007,"$4,800.00",ACH,Cleared,
PMT-8041,19-Feb-2026,F-1221,Hernandez family,INV-2026-4043,"$5,400.00",Card,Cleared,
PMT-8242,20-Feb-2026,F-1235,Mensah family,INV-2025-4072,"$2,592.00",Check,Cleared,
PMT-8239,22-Feb-2026,F-1271,Harris family,INV-2025-4144,"$1,104.00",ACH,Cleared,
PMT-8040,02/28/2026,F-1220,Baker family,INV-2026-4041,"$5,400.00",ACH,Cleared,
PMT-8170,04-Mar-2026,F-1269,Gonzalez family,INV-2026-4139,$0.00,Check,Cleared,
PMT-8236,06-Mar-2026,F-1252,Stewart family,INV-2025-4106,"$5,952.00",ACH,Cleared,
PMT-8008,07-Mar-2026,F-1205,Bennett family,INV-2026-4011,"$1,600.00",Bank transfer,Cleared,
PMT-8043,03/07/2026,F-1222,Clark family,INV-2026-4045,"$1,080.00",Bank transfer,Cleared,
PMT-8056,07-Mar-2026,F-1229,Campbell family,INV-2026-4059,"$1,530.00",Card,Cleared,
PMT-8059,07-Mar-2026,F-1230,Gonzalez family,INV-2026-4061,"$1,800.00",Bank transfer,Cleared,
PMT-8062,07-Mar-2026,F-1231,Rogers family,INV-2026-4063,"$1,200.00",ACH,Cleared,
PMT-8070,03/07/2026,F-1233,Edwards family,INV-2026-4067,"$1,800.00",Check,Cleared,
PMT-8079,03/07/2026,F-1236,Cook family,INV-2026-4073,"$1,080.00",Bank transfer,Cleared,
PMT-8130,03/07/2026,F-1252,Stewart family,INV-2026-4105,"$2,066.67",Card,Cleared,
PMT-8153,2026-03-07,F-1264,King family,INV-2026-4129,"$1,240.00",Card,Cleared,
PMT-8163,03/07/2026,F-1266,Harris family,INV-2026-4133,$230.00,Card,Cleared,
PMT-8214,03/07/2026,F-1284,Nelson family,INV-2026-4169,$383.33,Card,Cleared,
PMT-8217,03/07/2026,F-1285,Patel family,INV-2026-4171,$364.17,Card,Cleared,
PMT-8026,08-Mar-2026,F-1213,Watson family,INV-2026-4027,$960.00,Check,Cleared,
PMT-8032,08-Mar-2026,F-1216,Bennett family,INV-2026-4033,"$1,600.00",ACH,Cleared,
PMT-8065,08-Mar-2026,F-1232,Harris family,INV-2026-4065,"$1,080.00",ACH,Cleared,
PMT-8074,08-Mar-2026,F-1235,Mensah family,INV-2026-4071,"$1,080.00",ACH,Cleared,
PMT-8087,2026-03-08,,Scott family,,"$1,080.00",Bank transfer,Cleared,Ref INV-2026-4079
PMT-8093,2026-03-08,F-1241,Long family,INV-2026-4083,"$1,800.00",Bank transfer,Cleared,
PMT-8101,08-Mar-2026,F-1243,Ortiz family,INV-2026-4087,"$1,080.00",Check,Cleared,
PMT-8115,03/08/2026,F-1247,Roberts family,INV-2026-4095,"$2,066.67",Card,Cleared,
PMT-8145,03/08/2026,F-1259,Williams family,INV-2026-4119,"$2,066.67",Check,Cleared,
PMT-8177,2026-03-08,F-1271,Harris family,INV-2026-4143,$383.33,Bank transfer,Cleared,
PMT-8240,2026-03-08,F-1273,Ramos family,INV-2025-4148,$552.00,Check,Cleared,
PMT-8005,09-Mar-2026,F-1204,Nguyen family,INV-2026-4009,"$1,200.00",ACH,Cleared,
PMT-8014,09-Mar-2026,F-1207,Ruiz family,INV-2026-4015,"$1,600.00",Check,Cleared,
PMT-8038,09-Mar-2026,F-1219,Thomas family,INV-2026-4039,"$1,710.00",ACH,Cleared,
PMT-8051,2026-03-09,F-1228,Brooks family,INV-2026-4057,"$1,080.00",Check,Cleared,
PMT-8091,03/09/2026,F-1240,Brown family,INV-2026-4081,"$4,500.00",ACH,Cleared,
PMT-8096,2026-03-09,F-1242,Anderson family,INV-2026-4085,"$1,080.00",Check,Cleared,
PMT-8107,09-Mar-2026,F-1245,Morris family,INV-2026-4091,"$1,240.00",Check,Cleared,
PMT-8138,2026-03-09,F-1254,Ward family,INV-2026-4109,"$1,766.67",Card,Cleared,
PMT-8151,03/09/2026,F-1263,Mitchell family,INV-2026-4127,"$5,580.00",Check,Cleared,
PMT-8168,2026-03-09,F-1268,Stewart family,INV-2026-4137,$383.33,Card,Cleared,
PMT-8193,03/09/2026,F-1277,Jones family,INV-2026-4155,$383.33,ACH,Cleared,
PMT-8196,03/09/2026,F-1278,Lindqvist family,INV-2026-4157,$50.00,Bank transfer,Cleared,
PMT-8202,03/09/2026,,Allen family,,$383.33,ACH,Cleared,Ref INV-2026-4161
PMT-8205,03/09/2026,F-1281,King family,INV-2026-4163,$383.33,ACH,Cleared,
PMT-8211,03/09/2026,F-1283,Cox family,INV-2026-4167,$383.33,ACH,Cleared,
PMT-8011,10-Mar-2026,F-1206,Hill family,INV-2026-4013,"$1,520.00",ACH,Cleared,
PMT-8020,10-Mar-2026,F-1210,Green family,INV-2026-4021,"$1,600.00",Bank transfer,Cleared,
PMT-8023,10-Mar-2026,F-1212,Mensah family,INV-2026-4025,"$1,440.00",ACH,Cleared,
PMT-8035,10-Mar-2026,F-1218,Wood family,INV-2026-4037,"$1,800.00",ACH,Cleared,
PMT-8072,2026-03-10,F-1234,Ramirez family,INV-2026-4069,"$5,400.00",ACH,Cleared,
PMT-8084,2026-03-10,F-1238,Lopez family,INV-2026-4077,"$1,800.00",Card,Cleared,
PMT-8112,03/10/2026,F-1246,Perez family,INV-2026-4093,"$1,766.67",ACH,Cleared,
PMT-8118,03/10/2026,F-1248,Flores family,INV-2026-4097,"$1,240.00",ACH,Cleared,
PMT-8127,03/10/2026,F-1251,Gonzalez family,INV-2026-4103,"$2,066.67",ACH,Cleared,
PMT-8142,03/10/2026,F-1258,Kelly family,INV-2026-4117,"$1,963.33",ACH,Cleared,
PMT-8158,10-Mar-2026,F-1265,Hill family,INV-2026-4131,"$1,240.00",ACH,Cleared,
PMT-8172,03/10/2026,F-1270,Gonzalez family,INV-2026-4141,$0.00,Check,Cleared,
PMT-8220,03/10/2026,F-1286,Jones family,INV-2026-4173,$230.00,Bank transfer,Cleared,
PMT-8017,11-Mar-2026,F-1209,King family,INV-2026-4019,"$1,600.00",ACH,Cleared,
PMT-8123,2026-03-11,F-1249,Collins family,INV-2026-4099,"$1,666.67",ACH,Cleared,
PMT-8133,03/11/2026,F-1253,Walker family,INV-2026-4107,"$1,240.00",ACH,Cleared,
PMT-8149,11-Mar-2026,F-1261,Williams family,INV-2026-4123,"$2,066.67",Check,Cleared,
PMT-8180,2026-03-11,F-1272,Brown family,INV-2026-4145,$383.33,Card,Cleared,
PMT-8183,2026-03-11,F-1273,Ramos family,INV-2026-4147,$383.33,Check,Cleared,
PMT-8187,03/11/2026,F-1275,Mensah family,INV-2026-4151,$230.00,ACH,Cleared,
PMT-8208,03/11/2026,F-1282,Young family,INV-2026-4165,$0.00,Card,Cleared,
PMT-8225,2026-03-11,F-1287,Kim family,INV-2026-4175,$364.17,Bank transfer,Cleared,
PMT-8229,03/11/2026,F-1289,Sanchez family,INV-2026-4179,$383.33,Card,Cleared,
PMT-8047,12-Mar-2026,F-1225,Gonzalez family,INV-2026-4051,"$5,400.00",ACH,Cleared,
PMT-8049,03/15/2026,F-1227,Howard family,INV-2026-4055,"$5,400.00",ACH,Cleared,
PMT-8243,2026-03-18,F-1205,Bennett family,INV-2025-4012,"$2,304.00",ACH,Cleared,
PMT-8241,03/31/2026,F-1257,Alvarez family,INV-2025-4116,"$5,952.00",ACH,Cleared,
PMT-8237,2026-04-03,F-1248,Flores family,INV-2025-4098,"$2,976.00",Check,Cleared,
PMT-8018,2026-04-06,F-1209,King family,INV-2026-4019,"$1,600.00",ACH,Cleared,
PMT-8033,2026-04-06,F-1216,Bennett family,INV-2026-4033,"$1,600.00",Check,Cleared,
PMT-8044,06-Apr-2026,F-1222,Clark family,INV-2026-4045,"$1,080.00",Card,Cleared,
PMT-8063,2026-04-06,F-1231,Rogers family,INV-2026-4063,"$1,200.00",ACH,Cleared,
PMT-8085,04/06/2026,F-1238,Lopez family,INV-2026-4077,"$1,800.00",ACH,Cleared,
PMT-8088,04/06/2026,F-1239,Scott family,INV-2026-4079,"$1,080.00",Card,Cleared,
PMT-8119,06-Apr-2026,F-1248,Flores family,INV-2026-4097,"$1,240.00",ACH,Cleared,
PMT-8124,04/06/2026,F-1249,Collins family,INV-2026-4099,"$1,666.67",Card,Cleared,
PMT-8131,06-Apr-2026,F-1252,Stewart family,INV-2026-4105,"$2,066.67",Bank transfer,Returned,
PMT-8143,06-Apr-2026,F-1258,Kelly family,INV-2026-4117,"$1,963.33",Check,Cleared,
PMT-8150,2026-04-06,F-1261,Williams family,INV-2026-4123,"$2,066.67",ACH,Cleared,
PMT-8159,2026-04-06,F-1265,Hill family,INV-2026-4131,"$1,240.00",ACH,Cleared,
PMT-8181,04/06/2026,F-1272,Brown family,INV-2026-4145,$383.33,ACH,Cleared,
PMT-8184,04/06/2026,F-1273,Ramos family,INV-2026-4147,$383.33,Bank transfer,Cleared,
PMT-8212,06-Apr-2026,F-1283,Cox family,INV-2026-4167,$383.33,ACH,Cleared,
PMT-8009,2026-04-07,F-1205,Bennett family,INV-2026-4011,"$1,600.00",ACH,Cleared,
PMT-8024,2026-04-07,F-1212,Mensah family,INV-2026-4025,"$1,440.00",ACH,Cleared,
PMT-8060,2026-04-07,F-1230,Gonzalez family,INV-2026-4061,"$1,800.00",ACH,Cleared,
PMT-8075,2026-04-07,F-1235,Mensah family,INV-2026-4071,"$1,080.00",ACH,Cleared,
PMT-8108,2026-04-07,F-1245,Morris family,INV-2026-4091,"$1,240.00",ACH,Cleared,
PMT-8113,07-Apr-2026,F-1246,Perez family,INV-2026-4093,"$1,766.67",ACH,Cleared,
PMT-8116,07-Apr-2026,F-1247,Roberts family,INV-2026-4095,"$2,066.67",Bank transfer,Cleared,
PMT-8139,04/07/2026,F-1254,Ward family,INV-2026-4109,"$1,766.67",ACH,Cleared,
PMT-8221,07-Apr-2026,F-1286,Jones family,INV-2026-4173,$230.00,Bank transfer,Cleared,
PMT-8006,2026-04-08,F-1204,Nguyen family,INV-2026-4009,"$1,200.00",Check,Cleared,
PMT-8015,2026-04-08,F-1207,Ruiz family,INV-2026-4015,"$1,600.00",Bank transfer,Cleared,
PMT-8027,2026-04-08,F-1213,Watson family,INV-2026-4027,$960.00,ACH,Cleared,
PMT-8052,04/08/2026,F-1228,Brooks family,INV-2026-4057,"$1,080.00",Check,Cleared,
PMT-8057,2026-04-08,F-1229,Campbell family,INV-2026-4059,"$1,530.00",Check,Cleared,
PMT-8071,08-Apr-2026,F-1233,Edwards family,INV-2026-4067,"$1,800.00",ACH,Cleared,
PMT-8080,08-Apr-2026,F-1236,Cook family,INV-2026-4073,"$1,080.00",Card,Cleared,
PMT-8097,04/08/2026,F-1242,Anderson family,INV-2026-4085,"$1,080.00",Check,Cleared,
PMT-8154,04/08/2026,F-1264,King family,INV-2026-4129,"$1,240.00",Bank transfer,Cleared,
PMT-8164,08-Apr-2026,F-1266,Harris family,INV-2026-4133,$230.00,ACH,Cleared,
PMT-8173,08-Apr-2026,F-1270,Gonzalez family,INV-2026-4141,$0.00,ACH,Cleared,
PMT-8194,08-Apr-2026,F-1277,Jones family,INV-2026-4155,$383.33,ACH,Cleared,
PMT-8197,08-Apr-2026,F-1278,Lindqvist family,INV-2026-4157,$50.00,ACH,Cleared,
PMT-8203,08-Apr-2026,F-1280,Allen family,INV-2026-4161,$383.33,Check,Cleared,
PMT-8230,08-Apr-2026,F-1289,Sanchez family,INV-2026-4179,$383.33,Bank transfer,Cleared,
PMT-8012,2026-04-09,F-1206,Hill family,INV-2026-4013,"$1,520.00",Card,Cleared,
PMT-8021,2026-04-09,F-1210,Green family,INV-2026-4021,"$1,600.00",Card,Cleared,
PMT-8094,04/09/2026,F-1241,Long family,INV-2026-4083,"$1,800.00",Check,Cleared,
PMT-8102,2026-04-09,F-1243,Ortiz family,INV-2026-4087,"$1,080.00",Card,Cleared,
PMT-8128,09-Apr-2026,F-1251,Gonzalez family,INV-2026-4103,"$2,066.67",ACH,Cleared,
PMT-8134,09-Apr-2026,F-1253,Walker family,INV-2026-4107,"$1,240.00",ACH,Cleared,
PMT-8146,09-Apr-2026,F-1259,Williams family,INV-2026-4119,"$2,066.67",ACH,Cleared,
PMT-8169,04/09/2026,F-1268,Stewart family,INV-2026-4137,$383.33,ACH,Cleared,
PMT-8188,09-Apr-2026,F-1275,Mensah family,INV-2026-4151,$230.00,ACH,Cleared,
PMT-8206,09-Apr-2026,F-1281,King family,INV-2026-4163,$383.33,ACH,Cleared,
PMT-8215,09-Apr-2026,F-1284,Nelson family,INV-2026-4169,$383.33,Card,Cleared,
PMT-8226,04/09/2026,F-1287,Kim family,INV-2026-4175,$364.17,Card,Cleared,
PMT-8036,2026-04-10,F-1218,Wood family,INV-2026-4037,"$1,800.00",Card,Cleared,
PMT-8039,2026-04-10,F-1219,Thomas family,INV-2026-4039,"$1,710.00",Card,Cleared,
PMT-8066,2026-04-10,F-1232,Harris family,INV-2026-4065,"$1,080.00",Bank transfer,Cleared,
PMT-8178,04/10/2026,F-1271,Harris family,INV-2026-4143,$383.33,ACH,Cleared,
PMT-8209,10-Apr-2026,F-1282,Young family,INV-2026-4165,$0.00,Check,Cleared,
PMT-8218,10-Apr-2026,F-1285,Patel family,INV-2026-4171,$364.17,Bank transfer,Cleared,
PMT-8238,04/25/2026,F-1285,Patel family,INV-2025-4172,"$1,104.00",ACH,Cleared,
PMT-8103,05/06/2026,,Ortiz family,,"$1,080.00",Check,Cleared,Ref INV-2026-4087
PMT-8160,05/06/2026,F-1265,Hill family,INV-2026-4131,"$1,240.00",ACH,Cleared,
PMT-8165,2026-05-06,F-1266,Harris family,INV-2026-4133,$230.00,Bank transfer,Cleared,
PMT-8028,05/07/2026,F-1213,Watson family,INV-2026-4027,$960.00,ACH,Cleared,
PMT-8067,05/07/2026,F-1232,Harris family,INV-2026-4065,"$1,080.00",Bank transfer,Cleared,
PMT-8081,2026-05-07,F-1236,Cook family,INV-2026-4073,"$1,080.00",ACH,Cleared,
PMT-8098,07-May-2026,F-1242,Anderson family,INV-2026-4085,"$1,080.00",ACH,Cleared,
PMT-8174,2026-05-07,F-1270,Gonzalez family,INV-2026-4141,$0.00,ACH,Cleared,
PMT-8198,2026-05-07,F-1278,Lindqvist family,INV-2026-4157,$50.00,ACH,Cleared,
PMT-8109,05/08/2026,F-1245,Morris family,INV-2026-4091,"$1,240.00",Check,Cleared,
PMT-8135,2026-05-08,F-1253,Walker family,INV-2026-4107,"$1,240.00",Card,Cleared,
PMT-8045,2026-05-09,F-1222,Clark family,INV-2026-4045,"$1,080.00",Card,Cleared,
PMT-8222,2026-05-09,F-1286,Jones family,INV-2026-4173,$230.00,Card,Cleared,
PMT-8053,10-May-2026,F-1228,Brooks family,INV-2026-4057,"$1,080.00",Card,Cleared,
PMT-8076,05/10/2026,F-1235,Mensah family,INV-2026-4071,"$1,080.00",ACH,Cleared,
PMT-8089,10-May-2026,F-1239,Scott family,INV-2026-4079,"$1,080.00",Check,Cleared,
PMT-8120,2026-05-10,F-1248,Flores family,INV-2026-4097,"$1,240.00",Card,Returned,
PMT-8155,10-May-2026,F-1264,King family,INV-2026-4129,"$1,240.00",ACH,Cleared,
PMT-8189,2026-05-10,F-1275,Mensah family,INV-2026-4151,$230.00,Check,Cleared,
PMT-8235,05/14/2026,F-1258,Kelly family,INV-2025-4118,"$5,952.00",Check,Cleared,
PMT-8244,05/20/2026,F-1261,Williams family,INV-2025-4124,"$2,976.00",Check,Cleared,
PMT-8110,05-Jun-2026,F-1245,Morris family,INV-2026-4091,"$1,240.00",Bank transfer,Cleared,
PMT-8175,06/05/2026,F-1270,Gonzalez family,INV-2026-4141,$0.00,ACH,Cleared,
PMT-8104,06-Jun-2026,F-1243,Ortiz family,INV-2026-4087,"$1,080.00",ACH,Scheduled,
PMT-8161,06-Jun-2026,F-1265,Hill family,INV-2026-4131,"$1,240.00",Bank transfer,Scheduled,
PMT-8166,06/06/2026,F-1266,Harris family,INV-2026-4133,$230.00,ACH,Scheduled,
PMT-8046,06/07/2026,F-1222,Clark family,INV-2026-4045,"$1,080.00",Card,Scheduled,
PMT-8054,2026-06-07,F-1228,Brooks family,INV-2026-4057,"$1,080.00",Bank transfer,Scheduled,
PMT-8077,07-Jun-2026,F-1235,Mensah family,INV-2026-4071,"$1,080.00",ACH,Scheduled,
PMT-8090,2026-06-07,F-1239,Scott family,INV-2026-4079,"$1,080.00",ACH,Scheduled,
PMT-8099,2026-06-07,F-1242,Anderson family,INV-2026-4085,"$1,080.00",Check,Scheduled,
PMT-8190,06/07/2026,F-1275,Mensah family,INV-2026-4151,$230.00,ACH,Scheduled,
PMT-8029,08-Jun-2026,F-1213,Watson family,INV-2026-4027,$960.00,Bank transfer,Scheduled,
PMT-8082,06/08/2026,F-1236,Cook family,INV-2026-4073,"$1,080.00",ACH,Scheduled,
PMT-8121,06/08/2026,F-1248,Flores family,INV-2026-4097,"$1,240.00",Card,Scheduled,
PMT-8136,06/08/2026,F-1253,Walker family,INV-2026-4107,"$1,240.00",Bank transfer,Scheduled,
PMT-8223,06/08/2026,F-1286,Jones family,INV-2026-4173,$230.00,ACH,Scheduled,
PMT-8068,09-Jun-2026,F-1232,Harris family,INV-2026-4065,"$1,080.00",Bank transfer,Scheduled,
PMT-8156,2026-06-09,F-1264,King family,INV-2026-4129,"$1,240.00",ACH,Scheduled,
PMT-8199,06/09/2026,F-1278,Lindqvist family,INV-2026-4157,$50.00,ACH,Scheduled,
