Ticket ID,Created,Requester,Requester email,Subject,Description,Tags,Status,Assignee,Latest public reply
20427,2026-07-08 23:13,Joseph Sanchez,joseph_sanchez@icloud.com,Order problem,"Hi,

The Morning Chorus bag burst in transit, coffee everywhere.

Thanks,
Joseph",damaged,Closed,Luis,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20428,2026-07-09 01:34,Yuki Cruz,yuki.cruz@protonmail.com,Cancel subscription,"Hi,

Can I cancel after just one shipment or is there a commitment?

Thanks,
Yuki",,Closed,Luis,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20429,2026-07-10 06:12,Matthew Bailey,Matthew.bailey@hotmail.com,Re: Damaged bag,"Hi, still waiting on a reply to my earlier email.

Matthew",,Closed,Luis,Thanks for following up - see my earlier reply above.
20430,2026-07-10 09:31,Sandra Brooks,sandra_brooks@icloud.com,Issue with my delivery,"Hi,

This month's Morning Chorus tastes flat, roast date on the bag is almost two months ago?

Thanks,
Sandra",damaged,Closed,Tyler,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20431,2026-07-10 13:40,Robert Garcia,robert.garcia@aol.com,Going away,"Hi,

Please pause my subscription until I get back from a work trip (3 weeks).

Thanks,
Robert",,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20432,2026-07-10 22:11,Linda Lee,lee.linda@protonmail.com,Update next shipment,"Hi,

If I change my coffee on Friday, does it apply to this week's roast?

Thanks,
Linda",subscription,Closed,Tyler,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20433,2026-07-11 10:02,Edward Rodriguez,edward_rodriguez@me.com,Issue with my delivery,"Hi,

The Colombia Huila bag burst in transit, coffee everywhere.

Thanks,
Edward",quality,Closed,Maya,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20434,2026-07-12 23:56,Betty Wright,betty.wright@outlook.com,Question,"Hi,

Missed the window to change my order again. What's the deadline exactly?

Thanks,
Betty",account,Closed,Maya,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20435,2026-07-14 03:26,Stephanie Adams,sadams@protonmail.com,vacation,"Hi,

Please pause my subscription until I get back from a work trip (3 weeks).

Thanks,
Stephanie",subscription,Closed,Luis,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20436,2026-07-14 19:12,Anna Turner,anna_turner@icloud.com,Question about shipping,"Hi,

What's your free shipping threshold these days?

Thanks,
Anna",shipping,Closed,Tyler,Orders over $35 ship free within the US.
20437,2026-07-14 19:57,Kwame Lindqvist,kwamelindqvist50@hotmail.com,Shipping to Canada,"Hi,

How much is shipping to Canada?

Thanks,
Kwame",shipping,Pending,Tyler,We ship to Canada for a flat $12.
20438,2026-07-15 02:11,James Kelly,james_kelly@aol.com,Shipping charge,"Hi,

Shipping fee on a $42.00 order seems steep - is there a free shipping minimum?

Thanks,
James",shipping,Closed,Maya,Orders over $35 ship free within the US.
20439,2026-07-15 05:44,Deborah Chavez,deborah_chavez@icloud.com,hold deliveries,"Hi,

Can I pause for 5 weeks? I still have two unopened bags.

Thanks,
Deborah",account,Closed,Luis,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20440,2026-07-15 06:44,Emily Martin,emily.martin@outlook.com,Cancel,"Hi,

I'd like to cancel please, moving abroad.

Thanks,
Emily",subscription,Closed,Maya,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20441,2026-07-15 11:56,Betty Wright,BETTY.WRIGHT@OUTLOOK.COM,Re: Question,"Sending this again in case it got lost.

Betty",,Open,Luis,
20442,2026-07-15 17:15,Anthony Mensah,anthonymensah99@gmail.com,Shipping charge,"Hi,

Why was I charged shipping on my one-off order of $24.00?

Thanks,
Anthony",,Closed,Luis,Orders over $35 ship free within the US.
20443,2026-07-15 22:25,Jacob Diaz,jacobdiaz25@outlook.com,Free shipping?,"Hi,

What's your free shipping threshold these days?

Thanks,
Jacob",billing,Closed,Tyler,Orders over $35 ship free within the US.
20444,2026-07-16 11:48,Susan Flores,susan.flores@me.com,stale coffee,"Hi,

The box was crushed and one bag split open all over the mailbox. Order #40675.

Thanks,
Susan",shipping,Closed,Maya,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20445,2026-07-17 00:44,Deborah Chavez,Deborah_chavez@icloud.com,Re: hold deliveries,"Just checking whether anyone saw my last ticket.

Deborah",,Closed,Maya,Thanks for following up - see my earlier reply above.
20446,2026-07-17 00:50,Kimberly Anderson,kanderson@aol.com,Question,"Hi,

What's the last day I can change my next bag before it roasts?

Thanks,
Kimberly",account,Closed,Maya,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20447,2026-07-17 11:43,Joshua Robinson,jrobinson@aol.com,Shipping charge,"Hi,

How much do I have to spend to get free shipping?

Thanks,
Joshua",shipping,Closed,Tyler,Orders over $35 ship free within the US.
20448,2026-07-18 09:22,Sarah Ortiz,sarah.ortiz@yahoo.com,Changing my next order,"Hi,

If I change my coffee on Wednesday, does it apply to this week's roast?

Thanks,
Sarah",,Closed,Tyler,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20449,2026-07-18 15:57,Kwame Lindqvist,Kwamelindqvist50@hotmail.com,Re: Shipping to Canada,"Just checking whether anyone saw my last ticket.

Kwame",,Open,Luis,
20450,2026-07-18 23:22,Chloe Jones,chloe.jones@yahoo.com,Too late to swap?,"Hi,

Missed the window to change my order again. What's the deadline exactly?

Thanks,
Chloe",account,Closed,Maya,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20451,2026-07-19 13:31,Jason Ruiz,jruiz@hotmail.com,Question about shipping,"Hi,

How much do I have to spend to get free shipping?

Thanks,
Jason",shipping,Closed,Tyler,Orders over $35 ship free within the US.
20452,2026-07-19 16:57,Kwame Lindqvist,KWAMELINDQVIST50@HOTMAIL.COM,Re: Shipping to Canada,"Just checking whether anyone saw my last ticket.

Kwame",,Open,Maya,
20453,2026-07-19 23:15,Sandra Allen,sandra.allen@yahoo.com,stale coffee,"Hi,

The coffee I got is not what I ordered and it's stale. How do refunds work?

Thanks,
Sandra",damaged,Closed,Tyler,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20454,2026-07-20 00:13,Chloe Bailey,cbailey@me.com,vacation,"Hi,

Can you put order #43215 and the next ones on hold for 6 weeks?

Thanks,
Chloe",account,Closed,Luis,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20455,2026-07-20 02:09,Jennifer Thompson,jennifer.thompson@gmail.com,Going away,"Hi,

I want a break from deliveries over the summer, not cancel. Possible?

Thanks,
Jennifer",,Closed,Luis,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20456,2026-07-20 04:52,Carlos Wright,carlos_wright@aol.com,shipping cost,"Hi,

Do subscriptions ship free or just big orders?

Thanks,
Carlos",shipping,Closed,Tyler,Orders over $35 ship free within the US.
20457,2026-07-20 18:00,Steven Edwards,steven_edwards@hotmail.com,Question about pausing,"Hi,

Please pause my subscription until I get back from a work trip (6 weeks).

Thanks,
Steven",pause,Closed,Maya,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20458,2026-07-21 00:46,Jennifer Cox,jennifercox89@yahoo.com,Gifts,"Hi,

Do you have gift subscriptions? Want to send 3 months to my dad.

Thanks,
Jennifer",product,Closed,Luis,"Gift subscriptions come in 3, 6 and 12 months."
20459,2026-07-22 17:41,Ingrid Long,ingrid_long@me.com,Decaf,"Hi,

Is your decaf Swiss Water process?

Thanks,
Ingrid",,Closed,Tyler,"Yes, our decaf is a Swiss Water process Colombian."
20460,2026-07-22 18:44,Aisha Patel,apatel@hotmail.com,Stop subscription,"Hi,

I'd like to cancel please, moving abroad.

Thanks,
Aisha",cancel,Closed,Maya,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20461,2026-07-22 21:03,Stephanie Collins,stephanie.collins@icloud.com,Question about shipping,"Hi,

Can I send a subscription to my sister in Vancouver?

Thanks,
Stephanie",shipping,Closed,Tyler,We ship to Canada for a flat $12.
20462,2026-07-23 06:23,Priya Stewart,priya.stewart@aol.com,Bag arrived torn,"Hi,

This month's Guatemala Antigua tastes flat, roast date on the bag is almost two months ago?

Thanks,
Priya",,Closed,Maya,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20463,2026-07-23 07:45,Elizabeth Morris,morris.elizabeth@icloud.com,Changing my next order,"Hi,

When do I need to make changes to my upcoming delivery?

Thanks,
Elizabeth",,Closed,Tyler,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20464,2026-07-23 12:10,Carol Adams,caroladams57@outlook.com,Question about shipping,"Hi,

Do you deliver internationally? Specifically Canada.

Thanks,
Carol",international,Closed,Maya,We ship to Canada for a flat $12.
20465,2026-07-23 12:21,Melissa Peterson,peterson.melissa@protonmail.com,Order problem,"Hi,

Beans arrived broken and dusty, the seal was open. Not happy.

Thanks,
Melissa",refund,Closed,Maya,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20466,2026-07-24 08:08,Amy Adams,amy.adams@gmail.com,Order problem,"Hi,

Bag arrived ripped. Can I get a replacement or my money back?

Thanks,
Amy",,Closed,Maya,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20467,2026-07-24 10:02,Linda King,king.linda@gmail.com,Changing my next order,"Hi,

By when do I have to switch coffees for next week's box?

Thanks,
Linda",account,Pending,Luis,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20468,2026-07-24 11:10,Carol Adams,CAROLADAMS57@OUTLOOK.COM,Re: Question about shipping,"Hello? Second time asking.

Carol",,Open,Luis,
20469,2026-07-24 18:10,Carol Adams,caroladams57@outlook.com,Re: Question about shipping,"Sending this again in case it got lost.

Carol",,Closed,Luis,Thanks for following up - see my earlier reply above.
20470,2026-07-25 03:10,Anna Osei,annaosei69@gmail.com,decaf?,"Hi,

Do you have a decaf option for subscriptions?

Thanks,
Anna",,Pending,Maya,"Yes, our decaf is a Swiss Water process Colombian."
20471,2026-07-25 13:14,Deborah Gomez,gomez.deborah@aol.com,Question about pausing,"Hi,

Is there a way to stop deliveries for a bit without cancelling? Moving house next month.

Thanks,
Deborah",subscription,Closed,Maya,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20472,2026-07-25 20:12,Sandra Sanchez,sandra_sanchez@yahoo.com,cutoff,"Hi,

When do I need to make changes to my upcoming delivery?

Thanks,
Sandra",,Pending,Luis,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20473,2026-07-25 23:37,Cynthia Peterson,cynthia_peterson@me.com,Damaged bag,"Hi,

Beans arrived broken and dusty, the seal was open. Not happy.

Thanks,
Cynthia",,Closed,Maya,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20474,2026-07-26 09:58,Amanda Turner,aturner@gmail.com,International shipping,"Hi,

How much is shipping to Canada?

Thanks,
Amanda",shipping,Closed,Tyler,We ship to Canada for a flat $12.
20475,2026-07-26 13:56,Donna Osei,donna_osei@me.com,Cancel subscription,"Hi,

Can I cancel after just one shipment or is there a commitment?

Thanks,
Donna",subscription,Closed,Tyler,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20476,2026-07-26 14:12,Carlos Green,carlos.green@me.com,Too late to swap?,"Hi,

What's the last day I can change my next bag before it roasts?

Thanks,
Carlos",account,Closed,Maya,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20477,2026-07-27 16:31,Rahul Green,green.rahul@aol.com,Cancel subscription,"Hi,

How do I cancel my subscription?

Thanks,
Rahul",,Closed,Luis,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20478,2026-07-27 21:49,Deborah Smith,dsmith@yahoo.com,vacation,"Hi,

Can you put order #40903 and the next ones on hold for 10 weeks?

Thanks,
Deborah",pause,Closed,Luis,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20479,2026-07-28 03:58,Amanda Turner,Aturner@gmail.com,Re: International shipping,"Hello? Second time asking.

Amanda",,Closed,Luis,Thanks for following up - see my earlier reply above.
20480,2026-07-28 17:10,Carol Adams,Caroladams57@outlook.com,Re: Question about shipping,"Sending this again in case it got lost.

Carol",,Closed,Luis,Thanks for following up - see my earlier reply above.
20481,2026-07-28 18:49,Betty Walker,walker.betty@icloud.com,Going away,"Hi,

Can I pause for 5 weeks? I still have two unopened bags.

Thanks,
Betty",pause,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20482,2026-07-28 18:56,Donna Osei,donna_osei@me.com,Re: Cancel subscription,"Sending this again in case it got lost.

Donna",,Open,Luis,
20483,2026-07-28 20:37,Sarah Miller,sarahmiller65@protonmail.com,Bag arrived torn,"Hi,

The box was crushed and one bag split open all over the mailbox. Order #42991.

Thanks,
Sarah",quality,Closed,Tyler,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20484,2026-07-28 23:59,Wei Gray,wgray@me.com,Bag arrived torn,"Hi,

Bag arrived ripped. Can I get a replacement or my money back?

Thanks,
Wei",shipping,Closed,Luis,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20485,2026-07-29 05:53,David Parker,david.parker@hotmail.com,Grind question,"Hi,

Is your espresso grind fine enough for a home machine?

Thanks,
David",product,Closed,Luis,AeroPress: medium-fine. French press: coarse. Whole bean is always available.
20486,2026-07-29 11:56,Donna Osei,Donna_osei@me.com,Re: Cancel subscription,"Hi, still waiting on a reply to my earlier email.

Donna",,Closed,Maya,Thanks for following up - see my earlier reply above.
20487,2026-07-29 12:48,Timothy King,tking@icloud.com,Question about pausing,"Hi,

Can I pause for 6 weeks? I still have two unopened bags.

Thanks,
Timothy",,Closed,Luis,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20488,2026-07-30 07:28,Yuki Johnson,yuki.johnson@me.com,Pause subscription,"Hi,

Can you put order #46925 and the next ones on hold for 6 weeks?

Thanks,
Yuki",subscription,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20489,2026-07-30 08:37,Nancy Lopez,nlopez@icloud.com,Cancel,"Hi,

I'd like to cancel please, moving abroad.

Thanks,
Nancy",,Closed,Tyler,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20490,2026-07-30 12:07,Eric Murphy,eric_murphy@yahoo.com,Update next shipment,"Hi,

Missed the window to change my order again. What's the deadline exactly?

Thanks,
Eric",account,Closed,Tyler,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20491,2026-07-30 15:37,Joshua Hughes,joshuahughes31@aol.com,decaf?,"Hi,

Is your decaf Swiss Water process?

Thanks,
Joshua",,Pending,Maya,"Yes, our decaf is a Swiss Water process Colombian."
20492,2026-07-31 01:50,Dmitri Lee,dmitri.lee@yahoo.com,cancellation,"Hi,

Can I cancel after just one shipment or is there a commitment?

Thanks,
Dmitri",churn,Closed,Maya,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20493,2026-07-31 09:58,Amanda Turner,Aturner@gmail.com,Re: International shipping,"Any update on this?

Amanda",,Closed,Luis,Thanks for following up - see my earlier reply above.
20494,2026-08-01 05:58,Amanda Turner,ATURNER@GMAIL.COM,Re: International shipping,"Just checking whether anyone saw my last ticket.

Amanda",,Closed,Maya,Thanks for following up - see my earlier reply above.
20495,2026-08-01 10:42,Kevin Parker,parker.kevin@outlook.com,Stop subscription,"Hi,

Please cancel my subscription effective immediately.

Thanks,
Kevin",,Closed,Tyler,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20496,2026-08-01 11:37,Nancy Lopez,nlopez@icloud.com,Re: Cancel,"Following up on my message from last week - I haven't heard back.

Nancy",,Closed,Luis,Thanks for following up - see my earlier reply above.
20497,2026-08-01 12:03,Joshua Nguyen,joshua_nguyen@icloud.com,Pause subscription,"Hi,

I want a break from deliveries over the summer, not cancel. Possible?

Thanks,
Joshua",pause,Closed,Luis,"You can pause any subscription for up to 12 weeks from Account > Subscriptions > Pause, and it restarts on its own."
20498,2026-08-03 03:11,Dmitri Kim,kim.dmitri@icloud.com,Free shipping?,"Hi,

Is shipping free if I add a mug to my order?

Thanks,
Dmitri",shipping,Closed,Tyler,Orders over $35 ship free within the US.
20499,2026-08-03 08:57,Jason King,jason_king@me.com,Bag arrived torn,"Hi,

The Colombia Huila bag burst in transit, coffee everywhere.

Thanks,
Jason",,Closed,Maya,"Sorry about that! Send us a photo within 30 days of delivery and we'll send a free replacement or refund you, your choice."
20500,2026-08-03 21:40,Yuki Carter,yuki_carter@me.com,cutoff,"Hi,

If I change my coffee on Friday, does it apply to this week's roast?

Thanks,
Yuki",account,Closed,Tyler,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20501,2026-08-03 23:34,Paul Wood,paulwood96@protonmail.com,Bag arrived torn,"Hi,

The box was crushed and one bag split open all over the mailbox. Order #42052.

Thanks,
Paul",refund,Closed,Luis,"Sorry about that! Send us a photo within 30 days of delivery and we'll send a free replacement or refund you, your choice."
20502,2026-08-04 12:37,Nancy Lopez,nlopez@icloud.com,Re: Cancel,"Sending this again in case it got lost.

Nancy",,Closed,Luis,Thanks for following up - see my earlier reply above.
20503,2026-08-04 17:01,Donald Flores,donaldflores84@icloud.com,Pause subscription,"Hi,

hey can i hold my shipments for a couple months, have too much coffee lol

Thanks,
Donald",pause,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20504,2026-08-05 02:55,Carol Okafor,okafor.carol@gmail.com,stale coffee,"Hi,

Beans arrived broken and dusty, the seal was open. Not happy.

Thanks,
Carol",shipping,Closed,Luis,"Sorry about that! Send us a photo within 30 days of delivery and we'll send a free replacement or refund you, your choice."
20505,2026-08-05 08:06,James Cooper,james_cooper@aol.com,Stop subscription,"Hi,

Want to stop my subscription for good. What do I do?

Thanks,
James",cancel,Pending,Luis,You can cancel any time from Account > Subscriptions. No minimum and no fee.
20506,2026-08-05 09:53,Steven Kim,steven_kim@hotmail.com,hold deliveries,"Hi,

Can I pause for 3 weeks? I still have two unopened bags.

Thanks,
Steven",account,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20507,2026-08-05 12:10,Cynthia Ross,cynthia.ross@icloud.com,Going away,"Hi,

I'm going to be traveling for 10 weeks in October. Can I put my subscription on hold while I'm away?

Thanks,
Cynthia",,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20508,2026-08-06 20:28,Michelle Peterson,michelle_peterson@gmail.com,Grind question,"Hi,

What grind size is best for a French press?

Thanks,
Michelle",,Closed,Maya,AeroPress: medium-fine. French press: coarse. Whole bean is always available.
20509,2026-08-07 04:55,Anthony Evans,anthony.evans@hotmail.com,vacation,"Hi,

How long can I pause my coffee subscription? We have a new baby and are drowning in beans.

Thanks,
Anthony",account,Closed,Luis,"You can pause any subscription for up to 12 weeks from Account > Subscriptions > Pause, and it restarts on its own."
20510,2026-08-07 05:50,John Thomas,john.thomas@gmail.com,Bag arrived torn,"Hi,

The coffee I got is not what I ordered and it's stale. How do refunds work?

Thanks,
John",damaged,Closed,Maya,"Sorry about that! Send us a photo within 30 days of delivery and we'll send a free replacement or refund you, your choice."
20511,2026-08-07 06:16,Amara Stewart,astewart@hotmail.com,Bag arrived torn,"Hi,

The box was crushed and one bag split open all over the mailbox. Order #41544.

Thanks,
Amara",refund,Closed,Maya,"Sorry about that! Send us a photo within 30 days of delivery and we'll send a free replacement or refund you, your choice."
20512,2026-08-07 11:49,Kathleen Ramos,ramos.kathleen@yahoo.com,Gift subscription,"Hi,

Gift card or gift subscription options?

Thanks,
Kathleen",gift,Closed,Tyler,"Gift subscriptions come in 3, 6 and 12 months."
20513,2026-08-08 00:57,Ryan Cox,ryan.cox@outlook.com,Question about shipping,"Hi,

Do you deliver internationally? Specifically Canada.

Thanks,
Ryan",international,Closed,Luis,We ship to Canada for a flat $14 per order; duties are included.
20514,2026-08-08 13:09,Tomasz Osei,tosei@protonmail.com,Pause subscription,"Hi,

Can you put order #44062 and the next ones on hold for 6 weeks?

Thanks,
Tomasz",,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20515,2026-08-08 17:04,Carlos Green,carlosgreen14@outlook.com,Question about pausing,"Hi,

I want a break from deliveries over the summer, not cancel. Possible?

Thanks,
Carlos",pause,Closed,Maya,"You can pause any subscription for up to 12 weeks from Account > Subscriptions > Pause, and it restarts on its own."
20516,2026-08-08 18:34,Amanda Ross,amanda.ross@yahoo.com,International shipping,"Hi,

Do you deliver internationally? Specifically Canada.

Thanks,
Amanda",shipping,Closed,Maya,We ship to Canada for a flat $14 per order; duties are included.
20517,2026-08-09 06:16,Carol Hughes,hughes.carol@protonmail.com,Whole bean?,"Hi,

Which grind should I pick for an AeroPress?

Thanks,
Carol",product,Closed,Luis,AeroPress: medium-fine. French press: coarse. Whole bean is always available.
20518,2026-08-09 10:22,Jason Murphy,jmurphy@me.com,vacation,"Hi,

Is there a way to stop deliveries for a bit without cancelling? Moving house next month.

Thanks,
Jason",account,Closed,Maya,"You can pause any subscription for up to 12 weeks from Account > Subscriptions > Pause, and it restarts on its own."
20519,2026-08-09 11:57,Paul Baker,baker.paul@hotmail.com,stale coffee,"Hi,

Bag arrived ripped. Can I get a replacement or my money back?

Thanks,
Paul",quality,Closed,Maya,"Sorry about that! Send us a photo within 30 days of delivery and we'll send a free replacement or refund you, your choice."
20520,2026-08-09 17:57,Ryan Cox,RYAN.COX@OUTLOOK.COM,Re: Question about shipping,"Hi, still waiting on a reply to my earlier email.

Ryan",,Closed,Maya,Thanks for following up - see my earlier reply above.
20521,2026-08-10 00:43,Marcus Roberts,mroberts@aol.com,Gifts,"Hi,

Do you have gift subscriptions? Want to send 3 months to my dad.

Thanks,
Marcus",gift,Closed,Tyler,"Gift subscriptions come in 3, 6 and 12 months."
20522,2026-08-10 06:39,Michael Johnson,michaeljohnson23@me.com,Pause subscription,"Hi,

I'm going to be traveling for 10 weeks in October. Can I put my subscription on hold while I'm away?

Thanks,
Michael",subscription,Closed,Maya,"You can pause any subscription for up to 12 weeks from Account > Subscriptions > Pause, and it restarts on its own."
20523,2026-08-10 10:56,Gary Hall,gary_hall@protonmail.com,Free shipping?,"Hi,

Shipping fee on a $22.00 order seems steep - is there a free shipping minimum?

Thanks,
Gary",shipping,Closed,Maya,"US orders of $45 or more ship free, and subscriptions always ship free."
20524,2026-08-10 17:52,Ashley Mendoza,amendoza@yahoo.com,stale coffee,"Hi,

Order #45639 showed up soaking wet, bag is ruined.

Thanks,
Ashley",damaged,Closed,Tyler,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20525,2026-08-11 05:56,Kathleen Ross,kathleen.ross@outlook.com,Too late to swap?,"Hi,

What's the last day I can change my next bag before it roasts?

Thanks,
Kathleen",subscription,Closed,Tyler,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20526,2026-08-11 09:57,Ryan Cox,Ryan.cox@outlook.com,Re: Question about shipping,"Any update on this?

Ryan",,Closed,Luis,Thanks for following up - see my earlier reply above.
20527,2026-08-12 04:23,Dmitri Cooper,dmitri_cooper@aol.com,Shipping charge,"Hi,

Shipping fee on a $32.00 order seems steep - is there a free shipping minimum?

Thanks,
Dmitri",billing,Closed,Tyler,Orders over $35 ship free within the US.
20528,2026-08-12 16:43,Omar Ramos,ramos.omar@me.com,Issue with my delivery,"Hi,

The coffee I got is not what I ordered and it's stale. How do refunds work?

Thanks,
Omar",,Closed,Tyler,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
20529,2026-08-12 19:57,Ryan Cox,RYAN.COX@OUTLOOK.COM,Re: Question about shipping,"Hello? Second time asking.

Ryan",,Closed,Luis,Thanks for following up - see my earlier reply above.
20530,2026-08-13 10:20,Jeffrey Edwards,edwards.jeffrey@aol.com,Going away,"Hi,

hey can i hold my shipments for a couple months, have too much coffee lol

Thanks,
Jeffrey",pause,Pending,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20531,2026-08-14 00:04,Kimberly Ramos,ramos.kimberly@aol.com,Gifts,"Hi,

Do you have gift subscriptions? Want to send 3 months to my dad.

Thanks,
Kimberly",gift,Pending,Maya,"Gift subscriptions come in 3, 6 and 12 months and you pick the start date."
20532,2026-08-14 01:13,Kimberly Kelly,kimberlykelly46@gmail.com,Cancel,"Hi,

Please cancel my subscription effective immediately.

Thanks,
Kimberly",cancel,Closed,Tyler,Subscriptions have a minimum of three shipments; after that you can cancel from your account page.
20533,2026-08-14 17:07,Sharon King,sking@gmail.com,cutoff,"Hi,

If I change my coffee on Wednesday, does it apply to this week's roast?

Thanks,
Sharon",order-change,Closed,Tyler,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20534,2026-08-14 21:20,Angela Clark,clark.angela@icloud.com,Question,"Hi,

I tried to swap my Colombia Huila for the Night Owl Blend but it said too late. When is the cutoff?

Thanks,
Angela",order-change,Closed,Luis,Changes to your next shipment need to be made by Thursday at 11:59 pm Pacific; we roast and ship on Monday.
20535,2026-08-15 00:22,Timothy Carter,carter.timothy@icloud.com,Damaged bag,"Hi,

The box was crushed and one bag split open all over the mailbox. Order #48706.

Thanks,
Timothy",quality,Closed,Luis,"Sorry about that! Send us a photo within 30 days of delivery and we'll send a free replacement or refund you, your choice."
