Pay week (Sun-Sat),Shift date,Employee,Hours
2026-08-09,2026-08-11,Amara Cole,6.00
2026-08-09,2026-08-12,Ingrid Lindqvist,9.00
2026-08-09,2026-08-12,Sofia Castillo,8.00
2026-08-09,2026-08-12,Jonah Reed,7.50
2026-08-09,2026-08-12,Omar Haddad,7.50
2026-08-09,2026-08-12,Dmitri Petrov,8.00
2026-08-09,2026-08-12,Kwame Osei,8.00
2026-08-09,2026-08-13,Omar Haddad,9.00
2026-08-09,2026-08-13,Dmitri Petrov,7.50
2026-08-09,2026-08-13,Sofia Castillo,8.00
2026-08-09,2026-08-13,Mateo Ruiz,5.50
2026-08-09,2026-08-13,Marcus Bennett,8.00
2026-08-09,2026-08-13,Leila Mensah,6.00
2026-08-09,2026-08-14,Ingrid Lindqvist,5.50
2026-08-09,2026-08-14,Jonah Reed,6.00
2026-08-09,2026-08-14,Amara Cole,5.50
2026-08-09,2026-08-14,Yuki Tanaka,8.00
2026-08-09,2026-08-14,Sofia Castillo,8.00
2026-08-09,2026-08-14,Mateo Ruiz,8.00
2026-08-09,2026-08-15,Kwame Osei,8.00
2026-08-09,2026-08-15,Jonah Reed,8.00
2026-08-09,2026-08-15,Dmitri Petrov,7.50
2026-08-09,2026-08-15,Yuki Tanaka,5.50
2026-08-09,2026-08-15,Marcus Bennett,8.00
2026-08-09,2026-08-15,Leila Mensah,9.00
2026-08-09,2026-08-15,Sofia Castillo,9.00
2026-08-09,2026-08-15,Mateo Ruiz,5.50
2026-08-09,2026-08-15,Omar Haddad,5.50
2026-08-16,2026-08-16,Kwame Osei,6.00
2026-08-16,2026-08-16,Dmitri Petrov,7.50
2026-08-16,2026-08-16,Sofia Castillo,9.00
2026-08-16,2026-08-16,Yuki Tanaka,8.00
2026-08-16,2026-08-18,Ingrid Lindqvist,7.50
2026-08-16,2026-08-18,Amara Cole,5.50
2026-08-16,2026-08-18,Mateo Ruiz,7.50
2026-08-16,2026-08-18,Yuki Tanaka,5.50
2026-08-16,2026-08-18,Sofia Castillo,8.00
2026-08-16,2026-08-18,Leila Mensah,8.00
2026-08-16,2026-08-19,Amara Cole,8.00
2026-08-16,2026-08-19,Yuki Tanaka,9.00
2026-08-16,2026-08-19,Kwame Osei,9.00
2026-08-16,2026-08-19,Mateo Ruiz,8.00
2026-08-16,2026-08-19,Jonah Reed,9.00
2026-08-16,2026-08-19,Leila Mensah,8.00
2026-08-16,2026-08-20,Yuki Tanaka,6.00
2026-08-16,2026-08-20,Sofia Castillo,9.00
2026-08-16,2026-08-20,Jonah Reed,6.00
2026-08-16,2026-08-20,Amara Cole,8.00
2026-08-16,2026-08-20,Kwame Osei,6.00
2026-08-16,2026-08-20,Omar Haddad,8.00
2026-08-16,2026-08-21,Amara Cole,9.00
2026-08-16,2026-08-21,Sofia Castillo,6.00
2026-08-16,2026-08-21,Ingrid Lindqvist,8.00
2026-08-16,2026-08-21,Leila Mensah,8.00
2026-08-16,2026-08-21,Mateo Ruiz,9.00
2026-08-16,2026-08-21,Jonah Reed,9.00
2026-08-16,2026-08-22,Sofia Castillo,9.00
2026-08-16,2026-08-22,Amara Cole,6.00
2026-08-16,2026-08-22,Jonah Reed,8.00
2026-08-16,2026-08-22,Dmitri Petrov,9.00
2026-08-16,2026-08-22,Mateo Ruiz,6.00
2026-08-16,2026-08-22,Ingrid Lindqvist,6.00
2026-08-16,2026-08-22,Marcus Bennett,8.00
2026-08-16,2026-08-22,Omar Haddad,8.00
2026-08-16,2026-08-22,Kwame Osei,7.50
2026-08-23,2026-08-23,Marcus Bennett,9.00
2026-08-23,2026-08-23,Omar Haddad,9.00
2026-08-23,2026-08-23,Mateo Ruiz,8.00
2026-08-23,2026-08-23,Amara Cole,9.00
2026-08-23,2026-08-23,Jonah Reed,6.00
2026-08-23,2026-08-23,Sofia Castillo,6.00
2026-08-23,2026-08-23,Leila Mensah,8.00
2026-08-23,2026-08-23,Dmitri Petrov,5.50
2026-08-23,2026-08-25,Amara Cole,8.00
2026-08-23,2026-08-25,Leila Mensah,7.50
2026-08-23,2026-08-25,Yuki Tanaka,9.00
2026-08-23,2026-08-25,Kwame Osei,9.00
2026-08-23,2026-08-25,Ingrid Lindqvist,6.00
2026-08-23,2026-08-25,Marcus Bennett,7.50
2026-08-23,2026-08-26,Amara Cole,5.50
2026-08-23,2026-08-26,Yuki Tanaka,5.50
2026-08-23,2026-08-26,Dmitri Petrov,9.00
2026-08-23,2026-08-26,Marcus Bennett,5.50
2026-08-23,2026-08-26,Jonah Reed,9.00
2026-08-23,2026-08-26,Ingrid Lindqvist,6.00
2026-08-23,2026-08-27,Leila Mensah,5.50
2026-08-23,2026-08-27,Yuki Tanaka,6.00
2026-08-23,2026-08-27,Kwame Osei,9.00
2026-08-23,2026-08-27,Sofia Castillo,5.50
2026-08-23,2026-08-27,Mateo Ruiz,5.50
2026-08-23,2026-08-27,Omar Haddad,5.50
2026-08-23,2026-08-28,Jonah Reed,6.00
2026-08-23,2026-08-28,Omar Haddad,8.00
2026-08-23,2026-08-28,Yuki Tanaka,7.50
2026-08-23,2026-08-28,Amara Cole,5.50
2026-08-23,2026-08-28,Kwame Osei,5.50
2026-08-23,2026-08-28,Ingrid Lindqvist,8.00
2026-08-23,2026-08-29,Amara Cole,6.00
2026-08-23,2026-08-29,Ingrid Lindqvist,8.00
2026-08-23,2026-08-29,Yuki Tanaka,8.00
2026-08-23,2026-08-29,Mateo Ruiz,8.00
2026-08-23,2026-08-29,Leila Mensah,9.00
2026-08-23,2026-08-29,Sofia Castillo,6.00
2026-08-23,2026-08-29,Jonah Reed,7.50
2026-08-23,2026-08-29,Kwame Osei,9.00
2026-08-23,2026-08-29,Dmitri Petrov,9.00
2026-08-30,2026-08-30,Ingrid Lindqvist,9.00
2026-08-30,2026-08-30,Leila Mensah,9.00
2026-08-30,2026-08-30,Mateo Ruiz,6.00
2026-08-30,2026-08-30,Yuki Tanaka,6.00
2026-08-30,2026-08-31,Leila Mensah,6.00
2026-08-30,2026-09-01,Kwame Osei,8.00
2026-08-30,2026-09-01,Marcus Bennett,8.00
2026-08-30,2026-09-01,Yuki Tanaka,8.00
2026-08-30,2026-09-01,Amara Cole,9.00
2026-08-30,2026-09-01,Mateo Ruiz,9.00
2026-08-30,2026-09-01,Ingrid Lindqvist,8.00
2026-08-30,2026-09-02,Yuki Tanaka,9.00
2026-08-30,2026-09-02,Leila Mensah,9.00
2026-08-30,2026-09-02,Ingrid Lindqvist,9.00
2026-08-30,2026-09-02,Omar Haddad,9.00
2026-08-30,2026-09-02,Kwame Osei,8.00
2026-08-30,2026-09-02,Mateo Ruiz,8.00
2026-08-30,2026-09-03,Mateo Ruiz,8.00
2026-08-30,2026-09-03,Sofia Castillo,6.00
2026-08-30,2026-09-03,Kwame Osei,9.00
2026-08-30,2026-09-03,Leila Mensah,6.00
2026-08-30,2026-09-03,Yuki Tanaka,8.00
2026-08-30,2026-09-03,Jonah Reed,6.00
2026-08-30,2026-09-04,Ingrid Lindqvist,9.00
2026-08-30,2026-09-04,Kwame Osei,7.50
2026-08-30,2026-09-04,Marcus Bennett,8.00
2026-08-30,2026-09-04,Jonah Reed,9.00
2026-08-30,2026-09-04,Mateo Ruiz,8.00
2026-08-30,2026-09-04,Sofia Castillo,9.00
2026-08-30,2026-09-05,Sofia Castillo,8.00
2026-08-30,2026-09-05,Omar Haddad,8.00
2026-08-30,2026-09-05,Ingrid Lindqvist,7.50
2026-08-30,2026-09-05,Amara Cole,8.00
2026-08-30,2026-09-05,Yuki Tanaka,7.50
2026-08-30,2026-09-05,Leila Mensah,6.00
2026-08-30,2026-09-05,Dmitri Petrov,5.50
2026-08-30,2026-09-05,Mateo Ruiz,6.00
2026-08-30,2026-09-05,Kwame Osei,8.00
2026-09-06,2026-09-06,Ingrid Lindqvist,5.50
2026-09-06,2026-09-06,Kwame Osei,7.50
2026-09-06,2026-09-06,Yuki Tanaka,7.50
2026-09-06,2026-09-06,Omar Haddad,8.00
2026-09-06,2026-09-08,Jonah Reed,8.00
2026-09-06,2026-09-08,Omar Haddad,5.50
2026-09-06,2026-09-08,Leila Mensah,9.00
2026-09-06,2026-09-08,Sofia Castillo,7.50
2026-09-06,2026-09-08,Amara Cole,5.50
2026-09-06,2026-09-08,Marcus Bennett,7.50
2026-09-06,2026-09-09,Mateo Ruiz,8.00
2026-09-06,2026-09-09,Yuki Tanaka,8.00
2026-09-06,2026-09-09,Jonah Reed,8.00
2026-09-06,2026-09-09,Leila Mensah,8.00
2026-09-06,2026-09-09,Kwame Osei,6.00
2026-09-06,2026-09-09,Omar Haddad,5.50
2026-09-06,2026-09-10,Mateo Ruiz,8.00
2026-09-06,2026-09-10,Omar Haddad,6.00
2026-09-06,2026-09-10,Marcus Bennett,7.50
2026-09-06,2026-09-10,Jonah Reed,8.00
2026-09-06,2026-09-10,Ingrid Lindqvist,5.50
2026-09-06,2026-09-10,Leila Mensah,8.00
2026-09-06,2026-09-11,Marcus Bennett,5.50
2026-09-06,2026-09-11,Ingrid Lindqvist,8.00
2026-09-06,2026-09-11,Mateo Ruiz,9.00
2026-09-06,2026-09-11,Dmitri Petrov,8.00
2026-09-06,2026-09-11,Omar Haddad,9.00
2026-09-06,2026-09-11,Yuki Tanaka,8.00
2026-09-06,2026-09-12,Marcus Bennett,6.00
2026-09-06,2026-09-12,Amara Cole,7.50
2026-09-06,2026-09-12,Mateo Ruiz,8.00
2026-09-06,2026-09-12,Jonah Reed,6.00
2026-09-06,2026-09-12,Dmitri Petrov,8.00
2026-09-06,2026-09-12,Sofia Castillo,9.00
2026-09-06,2026-09-12,Yuki Tanaka,8.00
2026-09-06,2026-09-12,Leila Mensah,8.00
2026-09-06,2026-09-12,Omar Haddad,7.50
2026-09-13,2026-09-13,Leila Mensah,5.50
2026-09-13,2026-09-13,Dmitri Petrov,5.50
2026-09-13,2026-09-13,Omar Haddad,9.00
2026-09-13,2026-09-13,Amara Cole,9.00
2026-09-13,2026-09-13,Sofia Castillo,8.00
2026-09-13,2026-09-13,Ingrid Lindqvist,7.50
2026-09-13,2026-09-13,Marcus Bennett,8.00
2026-09-13,2026-09-13,Kwame Osei,5.50
2026-09-13,2026-09-13,Jonah Reed,5.50
2026-09-13,2026-09-15,Sofia Castillo,5.50
2026-09-13,2026-09-15,Marcus Bennett,9.00
2026-09-13,2026-09-15,Leila Mensah,9.00
2026-09-13,2026-09-15,Jonah Reed,9.00
2026-09-13,2026-09-15,Kwame Osei,7.50
2026-09-13,2026-09-15,Mateo Ruiz,7.50
2026-09-13,2026-09-16,Amara Cole,7.50
2026-09-13,2026-09-16,Leila Mensah,6.00
2026-09-13,2026-09-16,Dmitri Petrov,6.00
2026-09-13,2026-09-16,Kwame Osei,8.00
2026-09-13,2026-09-16,Jonah Reed,6.00
2026-09-13,2026-09-16,Ingrid Lindqvist,5.50
2026-09-13,2026-09-17,Marcus Bennett,9.00
2026-09-13,2026-09-17,Ingrid Lindqvist,8.00
2026-09-13,2026-09-17,Jonah Reed,9.00
2026-09-13,2026-09-17,Amara Cole,8.00
2026-09-13,2026-09-17,Omar Haddad,8.00
2026-09-13,2026-09-17,Kwame Osei,9.00
2026-09-13,2026-09-18,Dmitri Petrov,7.50
2026-09-13,2026-09-18,Leila Mensah,5.50
2026-09-13,2026-09-18,Amara Cole,5.50
2026-09-13,2026-09-18,Kwame Osei,6.00
2026-09-13,2026-09-18,Sofia Castillo,5.50
2026-09-13,2026-09-18,Mateo Ruiz,6.00
2026-09-13,2026-09-19,Ingrid Lindqvist,5.50
2026-09-13,2026-09-19,Amara Cole,5.50
2026-09-13,2026-09-19,Kwame Osei,5.50
2026-09-13,2026-09-19,Mateo Ruiz,7.50
2026-09-13,2026-09-19,Omar Haddad,8.00
2026-09-13,2026-09-19,Sofia Castillo,7.50
2026-09-13,2026-09-19,Marcus Bennett,6.00
2026-09-13,2026-09-19,Yuki Tanaka,9.00
2026-09-13,2026-09-19,Dmitri Petrov,8.00
