Email Address,Source,Status,Optin Time
jcampbell@gmail.com,Eye exam booking,subscribed,2026-08-22 19:12
perez.jennifer@hotmail.com,In-store tablet,subscribed,2026-08-22 19:32
jonathan_martin@protonmail.com,In-store tablet,subscribed,2026-08-23 18:34
carlosyoung28@protonmail.com,Eye exam booking,unsubscribed,2026-08-24 05:18
tomasz_castillo@protonmail.com,Checkout,unsubscribed,2026-08-25 02:26
carlosgarcia53@me.com,Footer form,subscribed,2026-08-25 02:27
walker.betty@outlook.com,In-store tablet,subscribed,2026-08-25 03:32
mwright@outlook.com,In-store tablet,subscribed,2026-08-25 08:58
priya.myers@icloud.com,Eye exam booking,subscribed,2026-08-25 18:37
george.gray@yahoo.com,Checkout,subscribed,2026-08-25 22:15
daniel.gonzalez@me.com,Footer form,subscribed,2026-08-26 04:27
karen_diaz@yahoo.com,In-store tablet,unsubscribed,2026-08-26 06:19
edwards.andrew@me.com,Footer form,subscribed,2026-08-26 12:29
fatima.perez@hotmail.com,In-store tablet,subscribed,2026-08-26 12:35
barbara_castillo@hotmail.com,Checkout,subscribed,2026-08-26 19:37
paul_okafor@aol.com,Footer form,subscribed,2026-08-27 02:03
angela_allen@protonmail.com,Eye exam booking,subscribed,2026-08-27 04:24
omar.miller@outlook.com,In-store tablet,subscribed,2026-08-27 05:00
weiwatson68@protonmail.com,In-store tablet,subscribed,2026-08-27 05:04
ryanperez85@yahoo.com,Footer form,subscribed,2026-08-27 09:13
howard.aisha@gmail.com,Checkout,subscribed,2026-08-27 10:44
edward_gomez@gmail.com,Checkout,subscribed,2026-08-28 07:51
ptorres@aol.com,Eye exam booking,cleaned,2026-08-29 18:18
hphillips@me.com,Footer form,unsubscribed,2026-08-29 21:13
cwright@protonmail.com,In-store tablet,subscribed,2026-08-30 05:30
spatel@protonmail.com,In-store tablet,subscribed,2026-08-30 11:03
pperez@hotmail.com,In-store tablet,subscribed,2026-08-30 15:56
rodriguez.anthony@aol.com,Footer form,subscribed,2026-08-30 20:37
stephanie_murphy@gmail.com,Eye exam booking,subscribed,2026-08-31 01:09
lindqvist.dmitri@me.com,In-store tablet,subscribed,2026-08-31 05:27
mnelson@hotmail.com,In-store tablet,subscribed,2026-08-31 06:15
tomasz_thomas@yahoo.com,Eye exam booking,subscribed,2026-08-31 15:31
anthonyward19@hotmail.com,In-store tablet,subscribed,2026-09-01 18:28
aevans@me.com,In-store tablet,subscribed,2026-09-02 04:04
lisa_bennett@icloud.com,Checkout,subscribed,2026-09-02 13:18
yukimoore38@protonmail.com,Checkout,subscribed,2026-09-03 05:34
sharon_cooper@gmail.com,Eye exam booking,unsubscribed,2026-09-03 08:04
wei_kim@aol.com,Eye exam booking,subscribed,2026-09-03 09:34
yukihughes48@me.com,Eye exam booking,subscribed,2026-09-03 20:04
andrewadams30@icloud.com,In-store tablet,cleaned,2026-09-03 20:12
campbell.carol@outlook.com,Eye exam booking,subscribed,2026-09-04 04:20
cbennett@icloud.com,Footer form,unsubscribed,2026-09-04 05:17
fatima_rodriguez@yahoo.com,Footer form,subscribed,2026-09-04 06:49
charles.lindqvist@gmail.com,Checkout,subscribed,2026-09-04 08:41
charles.ward@yahoo.com,Checkout,subscribed,2026-09-04 14:53
johntorres53@aol.com,Checkout,subscribed,2026-09-04 21:52
amoore@yahoo.com,In-store tablet,subscribed,2026-09-05 00:15
kimberly.cooper@outlook.com,In-store tablet,subscribed,2026-09-05 12:30
badams@gmail.com,Footer form,subscribed,2026-09-05 12:35
deborah_sanchez@icloud.com,Eye exam booking,subscribed,2026-09-06 20:57
gosei@outlook.com,Eye exam booking,cleaned,2026-09-07 00:52
david.wright@gmail.com,In-store tablet,subscribed,2026-09-07 09:23
anderson.hiroshi@hotmail.com,Footer form,subscribed,2026-09-07 16:09
jessica_wright@outlook.com,Checkout,subscribed,2026-09-07 17:31
maryflores33@icloud.com,Eye exam booking,subscribed,2026-09-08 03:00
thomastanaka19@icloud.com,Checkout,subscribed,2026-09-08 03:20
cramos@outlook.com,Eye exam booking,unsubscribed,2026-09-08 04:30
mchavez@outlook.com,Footer form,subscribed,2026-09-08 16:57
melissa.king@outlook.com,In-store tablet,subscribed,2026-09-08 20:05
yukiwhite80@aol.com,Checkout,subscribed,2026-09-09 16:00
sprice@hotmail.com,Checkout,subscribed,2026-09-10 01:57
mateo_diaz@aol.com,Eye exam booking,subscribed,2026-09-10 12:52
ogreen@gmail.com,Checkout,subscribed,2026-09-10 13:26
dmitrimoore19@outlook.com,Footer form,unsubscribed,2026-09-10 14:30
michelle.brooks@outlook.com,Eye exam booking,subscribed,2026-09-10 20:56
anthony_ramos@yahoo.com,Checkout,subscribed,2026-09-10 23:28
kennethroberts88@outlook.com,Eye exam booking,subscribed,2026-09-11 00:30
matthew_mitchell@icloud.com,Footer form,subscribed,2026-09-11 07:13
lewis.daniel@icloud.com,Footer form,subscribed,2026-09-11 09:00
pdavis@outlook.com,In-store tablet,unsubscribed,2026-09-11 10:02
ericsmith38@yahoo.com,Eye exam booking,subscribed,2026-09-11 22:53
cooper.donald@protonmail.com,In-store tablet,subscribed,2026-09-12 01:44
dmitri_gray@gmail.com,Checkout,subscribed,2026-09-12 13:33
campbell.kwame@aol.com,Footer form,subscribed,2026-09-12 18:19
patricia.turner@gmail.com,Eye exam booking,subscribed,2026-09-13 05:14
collins.donald@gmail.com,Checkout,subscribed,2026-09-13 07:40
lindastewart42@aol.com,Eye exam booking,subscribed,2026-09-13 13:01
deborah_morgan@outlook.com,Footer form,subscribed,2026-09-13 15:04
margaret_ross@icloud.com,In-store tablet,cleaned,2026-09-13 19:09
moore.carlos@yahoo.com,Eye exam booking,subscribed,2026-09-15 12:07
anderson.rahul@icloud.com,Footer form,subscribed,2026-09-15 12:31
