Order #,Order Date,Attendee #,First Name,Last Name,Email,Ticket Type,Total Paid,Order Type,Attendee Status
1461201271,2026-08-24 19:55:00,1461201271002,Cynthia,Roberts,cynthia.roberts@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
1461201301,2026-08-26 00:35:00,1461201301001,Rahul,Sanchez,rahul_sanchez@protonmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201301,2026-08-26 00:35:00,1461201301002,Rahul,Sanchez,rahul_sanchez@protonmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201347,2026-08-27 04:38:00,1461201347001,Nadia,Evans,evans.nadia@hotmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201384,2026-08-27 11:02:00,1461201384001,Joshua,Peterson,joshua.peterson@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461201428,2026-08-28 10:35:00,1461201428001,Leila,Lee,lee.leila@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461201459,2026-08-29 11:56:00,1461201459001,Anna,Edwards,anna.edwards@aol.com,General Admission,25.00,Eventbrite Completed,Cancelled
1461201490,2026-08-29 20:16:00,1461201490001,Amy,Brooks,abrooks@icloud.com,General Admission,25.00,Eventbrite Completed,Attending
1461201532,2026-08-30 17:40:00,1461201532001,John,Murphy,johnmurphy42@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461201574,2026-08-30 22:25:00,1461201574001,Dana,Hernandez,dhernandez@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461201574,2026-08-30 22:25:00,1461201574002,Dana,Hernandez,dhernandez@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461201621,2026-08-31 02:21:00,1461201621001,Marcus,Rodriguez,rodriguez.marcus@icloud.com,General Admission,25.00,Eventbrite Completed,Attending
1461201629,2026-08-31 23:56:00,1461201629001,Kenneth,Smith,kenneth.smith@gmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201679,2026-09-01 04:09:00,1461201679001,Rahul,Williams,rahul_williams@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
1461201679,2026-09-01 04:09:00,1461201679002,Rahul,Williams,rahul_williams@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
1461201711,2026-09-05 10:27:00,1461201711001,John,Murphy,johnmurphy42@me.com,General Admission,25.00,Eventbrite Completed,Attending
