Order #,Order Date,Customer Email,Customer Name,Status,Total,Refunded
#10558,2026-01-19 22:01,deborahwhite33@aol.com,Deborah White,Fulfilled,$87.50,
#10559,2026-01-20 11:55,rkim@hotmail.com ,Robert Kim,Refunded,$112.00,$112.00
#10560,2026-01-20 22:27,yuki.martinez@outlook.com,Yuki Martinez,Cancelled,$23.00,
#10561,2026-01-21 09:25,cooper.cynthia@hotmail.com,Cynthia Cooper,Fulfilled,$42.00,
#10562,2026-01-22 14:43,daniel_patel@gmail.com,Daniel Patel,Fulfilled,$55.00,
#10563,2026-01-22 17:41,daniel_patel@gmail.com,Daniel Patel,Fulfilled,$56.00,
#10564,2026-01-23 07:36,luis_gomez@yahoo.com,Luis Gomez,Paid,$98.00,
#10565,2026-01-23 10:14,eedwards@yahoo.com,Elizabeth Edwards,Fulfilled,$17.50,
#10566,2026-01-24 07:40,lindqvist.amy@outlook.com,Amy Lindqvist,Fulfilled,$47.00,
#10567,2026-01-24 14:57,michelle_green@aol.com,Michelle Green,Refunded,$17.00,$17.00
#10568,2026-01-25 09:32,yuki_parker@icloud.com,Yuki Parker,Paid,$25.00,
#10569,2026-01-25 15:10,sarah.edwards@hotmail.com,Sarah Edwards,Delivered,$17.50,
#10570,2026-01-28 15:15,MICHELLE.WOOD@ICLOUD.COM,Michelle Wood,Fulfilled,$97.00,
#10571,2026-01-28 16:07,timothy_watson@outlook.com,Timothy Watson,Fulfilled,$55.00,
#10572,2026-01-28 20:15, emendoza@outlook.com,Eric Mendoza,Fulfilled,$60.00,
#10573,2026-01-29 18:46,michelle.jones@gmail.com,Michelle Jones,Delivered,$91.50,
#10574,2026-01-29 20:54,jacoballen61@me.com,Jacob Allen,Paid,$17.50,
#10575,2026-01-30 11:09,amarahill98@hotmail.com,Amara Hill,Delivered,$17.50,
#10576,2026-01-30 22:03,joseph.edwards@me.com,Joseph Edwards,Delivered,$59.00,
#10577,2026-01-31 10:14,MICHELLE_GREEN@AOL.COM,Michelle Green,Delivered,$85.50,
#10578,2026-01-31 14:59,taylor.fatima@outlook.com,Fatima Taylor,Paid,$39.00,
#10579,2026-01-31 21:58,eedwards@yahoo.com,Elizabeth Edwards,Fulfilled,$25.00,
#10580,2026-01-31 22:39,hiroshi_green@protonmail.com,Hiroshi Green,Delivered,$49.50,
#10581,2026-02-01 06:44,emendoza@outlook.com,Eric Mendoza,Fulfilled,$22.50,
#10582,2026-02-01 10:11,TIMOTHY.CARTER@HOTMAIL.COM,Timothy Carter,Fulfilled,$106.50,
#10583,2026-02-01 15:38,DONALDADAMS11@YAHOO.COM,Donald Adams,Fulfilled,$67.00,
#10584,2026-02-01 16:18,anthony.gonzalez@me.com,Anthony Gonzalez,Fulfilled,$25.00,
#10585,2026-02-01 18:07,cynthia.adams@gmail.com,Cynthia Adams,Fulfilled,$24.50,
#10586,2026-02-02 07:24,JOSHUA.JACKSON@OUTLOOK.COM,Joshua Jackson,Paid,$18.00,
#10587,2026-02-02 08:39,yanderson@aol.com,Yuki Anderson,Fulfilled,$18.00,
#10588,2026-02-02 12:20,anthony.gonzalez@me.com ,Anthony Gonzalez,Fulfilled,$97.50,
#10589,2026-02-02 13:00, morales.emily@yahoo.com,Emily Morales,Fulfilled,$25.00,
#10590,2026-02-03 11:34,daniel_patel@gmail.com,Daniel Patel,Paid,$42.00,
#10591,2026-02-03 13:30,hiroshi_green@protonmail.com,Hiroshi Green,Paid,$25.50,
#10592,2026-02-04 11:54,Lee.matthew@gmail.com,Matthew Lee,Fulfilled,$50.00,
#10593,2026-02-04 16:34,srogers@outlook.com,Sandra Rogers,Fulfilled,$18.00,
#10594,2026-02-05 10:20,leila.gutierrez@aol.com,Leila Gutierrez,Fulfilled,$149.50,
#10595,2026-02-05 16:47,timothy_watson@outlook.com,Timothy Watson,Paid,$17.00,
#10596,2026-02-05 18:36,LMORALES@GMAIL.COM,Luis Morales,Fulfilled,$66.50,
#10597,2026-02-05 18:47,leila.gutierrez@aol.com,Leila Gutierrez,Fulfilled,$65.50,
#10598,2026-02-05 19:27,Ingrid_chavez@outlook.com,Ingrid Chavez,Delivered,$89.00,
#10599,2026-02-06 13:24,johnrogers68@me.com,John Rogers,Fulfilled,$24.50,
#10600,2026-02-06 14:45,emartinez@yahoo.com,Elizabeth Martinez,Partially refunded,$67.50,$16.88
#10601,2026-02-06 17:52,dana_richardson@protonmail.com,Dana Richardson,Fulfilled,$67.00,
#10602,2026-02-06 18:39,marcus_scott@gmail.com,Marcus Scott,Refunded,$97.00,$97.00
#10603,2026-02-06 18:42,anderson.leila@aol.com,Leila Anderson,Fulfilled,$39.00,
#10604,2026-02-07 08:52, williamgutierrez59@icloud.com,William Gutierrez,Cancelled,$56.50,
#10605,2026-02-07 17:20,carol_king@yahoo.com,Carol King,Fulfilled,$64.50,
#10606,2026-02-07 21:44,MARTIN.KWAME@PROTONMAIL.COM,Kwame Martin,Paid,$25.50,
#10607,2026-02-09 09:30,MICHELLE.WOOD@ICLOUD.COM,Michelle Wood,Fulfilled,$85.00,
#10608,2026-02-09 15:13,gutierrez.karen@outlook.com,Karen Gutierrez,Paid,$18.00,
#10609,2026-02-09 21:28, jwood@protonmail.com,Jonathan Wood,Paid,$34.00,
#10610,2026-02-10 06:44,gary.allen@me.com,Gary Allen,Fulfilled,$24.00,
#10611,2026-02-10 08:48,Laurayoung7@outlook.com,Laura Young,Fulfilled,$68.00,
#10612,2026-02-10 13:20,morales.emily@yahoo.com,Emily Morales,Fulfilled,$25.00,
#10613,2026-02-10 18:31,brian.cook@aol.com,Brian Cook,Paid,$50.00,
#10614,2026-02-11 09:28,jessicaramirez31@yahoo.com,Jessica Ramirez,Fulfilled,$39.00,
#10615,2026-02-11 09:51,Elizabeth.scott@me.com,Elizabeth Scott,Partially refunded,$41.50,$20.75
#10616,2026-02-11 12:59,taylor.fatima@outlook.com,Fatima Taylor,Fulfilled,$24.50,
#10617,2026-02-11 18:12,DGUTIERREZ@PROTONMAIL.COM,Donna Gutierrez,Fulfilled,$50.00,
#10618,2026-02-12 11:05,daniel_castillo@outlook.com,Daniel Castillo,Paid,$39.00,
#10619,2026-02-12 17:39,patricia.lindqvist@hotmail.com,Patricia Lindqvist,Fulfilled,$42.00,
#10620,2026-02-13 08:43,sandramorris75@yahoo.com,Sandra Morris,Paid,$50.00,
#10621,2026-02-14 13:55,david_taylor@gmail.com,David Taylor,Delivered,$61.00,
#10622,2026-02-14 14:12,ward.nicholas@yahoo.com ,Nicholas Ward,Paid,$89.00,
#10623,2026-02-14 14:21,anthony_miller@gmail.com,Anthony Miller,Delivered,$17.00,
#10624,2026-02-15 21:40,daviddavis17@protonmail.com,David Davis,Delivered,$117.00,
#10625,2026-02-16 07:15,johnrogers68@me.com,John Rogers,Fulfilled,$68.00,
#10626,2026-02-16 08:02,hbrooks@yahoo.com,Hiroshi Brooks,Paid,$25.50,
#10627,2026-02-16 12:59,miller.rebecca@protonmail.com,Rebecca Miller,Fulfilled,$74.00,
#10628,2026-02-16 18:19,PRIYA.REED@HOTMAIL.COM,Priya Reed,Paid,$84.00,
#10629,2026-02-16 18:19,sarah.stewart@aol.com,Sarah Stewart,Fulfilled,$104.50,
#10630,2026-02-16 19:32,LUIS_GOMEZ@YAHOO.COM,Luis Gomez,Fulfilled,$52.00,
#10631,2026-02-16 21:37,Rkim@hotmail.com,Robert Kim,Delivered,$18.00,
#10632,2026-02-17 12:34,dgutierrez@protonmail.com,Donna Gutierrez,Paid,$25.00,
#10633,2026-02-17 15:14,yuki.martinez@outlook.com,Yuki Martinez,Delivered,$23.00,
#10634,2026-02-17 17:14,martin.kwame@protonmail.com,Kwame Martin,Fulfilled,$73.50,
#10635,2026-02-17 17:54,tomaszhoward16@me.com,Tomasz Howard,Delivered,$73.50,
#10636,2026-02-17 19:28,paul.evans@icloud.com,Paul Evans,Fulfilled,$34.00,
#10637,2026-02-18 06:16,rebeccaosei60@yahoo.com,Rebecca Osei,Paid,$69.00,
#10638,2026-02-18 07:36,jacobmorgan19@outlook.com,Jacob Morgan,Fulfilled,$156.00,
#10639,2026-02-18 09:31, timothy_watson@outlook.com,Timothy Watson,Fulfilled,$42.00,
#10640,2026-02-19 15:29,hbrooks@yahoo.com,Hiroshi Brooks,Fulfilled,$56.00,
#10641,2026-02-19 16:13,taylor.fatima@outlook.com,Fatima Taylor,Fulfilled,$24.00,
#10642,2026-02-19 20:15,LINDQVIST.AMY@OUTLOOK.COM,Amy Lindqvist,Fulfilled,$39.00,
#10643,2026-02-19 20:21,gutierrez.karen@outlook.com,Karen Gutierrez,Fulfilled,$17.50,
#10644,2026-02-19 21:16,osei.charles@me.com ,Charles Osei,Paid,$51.50,
#10645,2026-02-20 06:12,lmorales@gmail.com,Luis Morales,Paid,$25.50,
#10646,2026-02-20 07:53,MBROWN@HOTMAIL.COM,Matthew Brown,Fulfilled,$23.00,
#10647,2026-02-20 09:26,carlos.watson@gmail.com,Carlos Watson,Fulfilled,$17.50,
#10648,2026-02-21 06:30,daniel_patel@gmail.com,Daniel Patel,Refunded,$17.00,$17.00
#10649,2026-02-22 06:19,emendoza@outlook.com,Eric Mendoza,Paid,$105.50,
#10650,2026-02-22 06:52,nadia.haddad@protonmail.com,Nadia Haddad,Fulfilled,$35.50,
#10651,2026-02-22 16:23,emilyperez53@gmail.com,Emily Perez,Delivered,$18.00,
#10652,2026-02-22 21:59,sandramorris75@yahoo.com,Sandra Morris,Fulfilled,$106.00,
#10653,2026-02-23 07:54,robinson.michelle@yahoo.com,Michelle Robinson,Fulfilled,$57.00,
#10654,2026-02-23 08:56,joseph.edwards@me.com,Joseph Edwards,Fulfilled,$23.00,
#10655,2026-02-23 12:17,David_diaz@gmail.com,David Diaz,Fulfilled,$55.00,
#10656,2026-02-23 22:41,carol_king@yahoo.com,Carol King,Paid,$106.00,
#10657,2026-02-24 08:52,Lindqvist.amy@outlook.com,Amy Lindqvist,Paid,$50.00,
#10658,2026-02-24 09:37,SOFIA_BENNETT@HOTMAIL.COM,Sofia Bennett,Fulfilled,$34.00,
#10659,2026-02-24 18:32,osei.charles@me.com,Charles Osei,Fulfilled,$83.50,
#10660,2026-02-24 18:46,ashley_johnson@gmail.com,Ashley Johnson,Delivered,$34.50,
#10661,2026-02-25 16:49,Anthonymoore45@aol.com,Anthony Moore,Fulfilled,$56.00,
#10662,2026-02-25 19:31,sofia_bennett@hotmail.com,Sofia Bennett,Paid,$147.50,
#10663,2026-02-26 16:14,jonathan_osei@hotmail.com,Jonathan Osei,Fulfilled,$67.00,
#10664,2026-02-26 16:33,joshua.jackson@outlook.com,Joshua Jackson,Delivered,$63.50,
#10665,2026-02-26 16:34,lindqvist.paul@outlook.com,Paul Lindqvist,Paid,$42.00,
#10666,2026-02-27 10:29,tomaszhoward16@me.com,Tomasz Howard,Fulfilled,$76.00,
#10667,2026-03-01 11:34,alvarez.william@outlook.com,William Alvarez,Fulfilled,$22.00,
#10668,2026-03-01 20:34, sarah.edwards@hotmail.com,Sarah Edwards,Fulfilled,$67.50,
#10669,2026-03-01 21:42,cooper.cynthia@hotmail.com ,Cynthia Cooper,Fulfilled,$25.50,
#10670,2026-03-02 07:41, brian.cook@aol.com,Brian Cook,Delivered,$105.00,
#10671,2026-03-03 06:41,JOSEPH.EDWARDS@ME.COM,Joseph Edwards,Fulfilled,$47.00,
#10672,2026-03-04 06:33, ingridmartinez89@me.com,Ingrid Martinez,Fulfilled,$34.00,
#10673,2026-03-05 17:00,williamjones40@me.com,William Jones,Fulfilled,$59.50,
#10674,2026-03-06 08:40,dwilliams@icloud.com,Dana Williams,Fulfilled,$63.50,
#10675,2026-03-06 18:19,LINDQVIST.AMY@OUTLOOK.COM,Amy Lindqvist,Fulfilled,$49.50,
#10676,2026-03-07 09:45,anderson.leila@aol.com,Leila Anderson,Delivered,$65.50,
#10677,2026-03-07 17:15,HBROOKS@YAHOO.COM,Hiroshi Brooks,Fulfilled,$80.00,
#10678,2026-03-07 20:15,jacoballen61@me.com,Jacob Allen,Paid,$114.00,
#10679,2026-03-08 18:10,ward.nicholas@yahoo.com,Nicholas Ward,Delivered,$58.50,
#10680,2026-03-08 22:30,jacob.scott@aol.com,Jacob Scott,Paid,$17.00,
#10681,2026-03-09 07:04,gutierrez.karen@outlook.com,Karen Gutierrez,Fulfilled,$89.00,
#10682,2026-03-09 08:56,leila.gutierrez@aol.com,Leila Gutierrez,Fulfilled,$25.00,
#10683,2026-03-09 08:58,nadia.haddad@protonmail.com,Nadia Haddad,Fulfilled,$49.00,
#10684,2026-03-09 14:54,jessicaramirez31@yahoo.com,Jessica Ramirez,Paid,$17.50,
#10685,2026-03-09 15:44,Sarahmartinez27@aol.com,Sarah Martinez,Delivered,$56.00,
#10686,2026-03-10 11:17,brian.cook@aol.com,Brian Cook,Delivered,$41.50,
#10687,2026-03-11 17:20,SSANCHEZ@YAHOO.COM,Steven Sanchez,Partially refunded,$17.50,$8.75
#10688,2026-03-12 15:33,HBROOKS@YAHOO.COM,Hiroshi Brooks,Delivered,$65.50,
#10689,2026-03-12 19:13,mitchell.luis@yahoo.com,Luis Mitchell,Paid,$80.00,
#10690,2026-03-12 21:20,priya.turner@yahoo.com,Priya Turner,Fulfilled,$24.50,
#10691,2026-03-12 22:07,ruiz.elizabeth@hotmail.com,Elizabeth Ruiz,Fulfilled,$66.50,
#10692,2026-03-13 12:28,pwalker@hotmail.com,Paul Walker,Fulfilled,$23.00,
#10693,2026-03-13 16:32,krodriguez@aol.com,Kathleen Rodriguez,Delivered,$25.50,
#10694,2026-03-13 19:48,ascott@protonmail.com,Aisha Scott,Paid,$24.00,
#10695,2026-03-14 07:52, wei_wood@me.com,Wei Wood,Fulfilled,$64.50,
#10696,2026-03-14 17:27,williamgutierrez59@icloud.com,William Gutierrez,Fulfilled,$47.00,
#10697,2026-03-14 19:07,anthonymoore45@aol.com,Anthony Moore,Delivered,$23.00,
#10698,2026-03-15 08:01,anderson.leila@aol.com,Leila Anderson,Paid,$63.50,
#10699,2026-03-15 17:29,osei.charles@me.com,Charles Osei,Fulfilled,$57.50,
#10700,2026-03-16 11:01,gutierrez.karen@outlook.com,Karen Gutierrez,Paid,$22.00,
#10701,2026-03-16 15:30,cynthia.adams@gmail.com,Cynthia Adams,Fulfilled,$107.00,
#10702,2026-03-16 18:07,johnrogers68@me.com,John Rogers,Fulfilled,$52.00,
#10703,2026-03-17 07:26,rahulward73@gmail.com,Rahul Ward,Delivered,$56.00,
#10704,2026-03-17 08:03,jacob.scott@aol.com ,Jacob Scott,Delivered,$57.50,
#10705,2026-03-17 09:11,hiroshimoore82@icloud.com,Hiroshi Moore,Paid,$31.50,
#10706,2026-03-17 13:29,cooper.cynthia@hotmail.com,Cynthia Cooper,Fulfilled,$60.00,
#10707,2026-03-17 19:51,laurayoung7@outlook.com,Laura Young,Fulfilled,$67.00,
#10708,2026-03-19 09:37,SROGERS@OUTLOOK.COM,Sandra Rogers,Fulfilled,$31.50,
#10709,2026-03-19 10:33,ingridmartinez89@me.com,Ingrid Martinez,Fulfilled,$41.50,
#10710,2026-03-19 10:45,dana_richardson@protonmail.com,Dana Richardson,Fulfilled,$17.50,
#10711,2026-03-19 12:41,DANIEL_TORRES@ME.COM,Daniel Torres,Delivered,$56.00,
#10712,2026-03-19 15:25,lewis.deborah@aol.com,Deborah Lewis,Fulfilled,$118.00,
#10713,2026-03-19 20:36, mmoore@me.com,Mateo Moore,Delivered,$18.00,
#10714,2026-03-20 08:29,white.matthew@outlook.com,Matthew White,Fulfilled,$24.00,
#10715,2026-03-20 13:48,sandramorris75@yahoo.com,Sandra Morris,Fulfilled,$55.00,
#10716,2026-03-20 19:06,joshua.jackson@outlook.com,Joshua Jackson,Delivered,$131.00,
#10717,2026-03-21 07:39,ashley.roberts@icloud.com,Ashley Roberts,Fulfilled,$148.00,
#10718,2026-03-21 09:10,JWOOD@PROTONMAIL.COM,Jonathan Wood,Fulfilled,$68.00,
#10719,2026-03-21 13:43, williamjones40@me.com,William Jones,Delivered,$92.00,
#10720,2026-03-21 14:07,Ymitchell@outlook.com,Yuki Mitchell,Fulfilled,$41.50,
#10721,2026-03-22 10:06,mateo_castillo@me.com,Mateo Castillo,Fulfilled,$67.50,
#10722,2026-03-22 10:41,sarah.stewart@aol.com,Sarah Stewart,Paid,$68.00,
#10723,2026-03-22 10:55,ward.nicholas@yahoo.com,Nicholas Ward,Fulfilled,$41.50,
#10724,2026-03-22 19:56,JNELSON@GMAIL.COM,Jonathan Nelson,Paid,$24.00,
#10725,2026-03-23 14:23,daviddavis17@protonmail.com,David Davis,Fulfilled,$18.00,
#10726,2026-03-23 21:22,jessicaramirez31@yahoo.com,Jessica Ramirez,Paid,$35.50,
#10727,2026-03-24 19:04,collins.stephanie@icloud.com ,Stephanie Collins,Fulfilled,$72.00,
#10728,2026-03-24 19:36,KWAME_WARD@ICLOUD.COM,Kwame Ward,Paid,$17.00,
#10729,2026-03-25 08:26,wei_wood@me.com,Wei Wood,Fulfilled,$50.00,
#10730,2026-03-25 10:57,Rebeccaosei60@yahoo.com,Rebecca Osei,Fulfilled,$56.50,
#10731,2026-03-25 11:23,DWILLIAMS@ICLOUD.COM,Dana Williams,Fulfilled,$24.00,
#10732,2026-03-25 22:54,carloswilliams24@icloud.com,Carlos Williams,Fulfilled,$22.00,
#10733,2026-03-27 13:30,margaret.evans@yahoo.com,Margaret Evans,Delivered,$41.50,
#10734,2026-03-27 19:22,ryan_taylor@gmail.com,Ryan Taylor,Fulfilled,$58.50,
#10735,2026-03-28 15:39,mitchell.luis@yahoo.com,Luis Mitchell,Paid,$57.50,
#10736,2026-03-29 08:58,daniel_torres@me.com,Daniel Torres,Fulfilled,$50.00,
#10737,2026-03-30 06:49,jnelson@gmail.com,Jonathan Nelson,Fulfilled,$65.00,
#10738,2026-03-30 11:29,ingrid_chavez@outlook.com,Ingrid Chavez,Fulfilled,$81.00,
#10739,2026-03-30 15:51,taylor.fatima@outlook.com,Fatima Taylor,Fulfilled,$48.50,
#10740,2026-03-30 17:17,ramos.angela@hotmail.com,Angela Ramos,Fulfilled,$67.00,
#10741,2026-03-30 18:44,dana_richardson@protonmail.com,Dana Richardson,Fulfilled,$61.00,
#10742,2026-03-31 09:24,ruiz.elizabeth@hotmail.com,Elizabeth Ruiz,Fulfilled,$31.50,
#10743,2026-04-01 06:56,sandramorris75@yahoo.com,Sandra Morris,Fulfilled,$50.00,
#10744,2026-04-01 09:05,sarahmartinez27@aol.com,Sarah Martinez,Fulfilled,$75.50,
#10745,2026-04-01 11:01,mbrown@hotmail.com,Matthew Brown,Delivered,$25.50,
#10746,2026-04-01 19:19,ssanchez@yahoo.com,Steven Sanchez,Fulfilled,$67.50,
#10747,2026-04-02 11:25,jwood@protonmail.com,Jonathan Wood,Refunded,$41.00,$41.00
#10748,2026-04-02 20:06,lindagarcia16@me.com,Linda Garcia,Fulfilled,$67.00,
#10749,2026-04-03 11:34,matthew_edwards@me.com,Matthew Edwards,Fulfilled,$93.50,
#10750,2026-04-03 17:22,JONATHAN_OSEI@HOTMAIL.COM,Jonathan Osei,Fulfilled,$117.00,
#10751,2026-04-04 08:36,sandramorris75@yahoo.com,Sandra Morris,Fulfilled,$123.00,
#10752,2026-04-04 14:11,Bevans@protonmail.com,Barbara Evans,Fulfilled,$42.00,
#10753,2026-04-05 07:33,melissaortiz77@protonmail.com,Melissa Ortiz,Delivered,$74.00,
#10754,2026-04-05 08:27,bsanchez@gmail.com,Betty Sanchez,Fulfilled,$49.50,
#10755,2026-04-06 07:39,hbrooks@yahoo.com,Hiroshi Brooks,Paid,$47.00,
#10756,2026-04-06 07:57,STEVENTURNER85@GMAIL.COM,Steven Turner,Fulfilled,$25.00,
#10757,2026-04-06 10:38,mfoster@aol.com ,Mary Foster,Paid,$77.00,
#10758,2026-04-06 14:40, lewis.deborah@aol.com,Deborah Lewis,Fulfilled,$77.50,
#10759,2026-04-06 15:43,eedwards@yahoo.com,Elizabeth Edwards,Fulfilled,$23.00,
#10760,2026-04-06 20:14,johnson.hiroshi@yahoo.com,Hiroshi Johnson,Delivered,$50.00,
#10761,2026-04-07 15:33,cooper.cynthia@hotmail.com,Cynthia Cooper,Paid,$107.50,
#10762,2026-04-07 15:42,timothy_watson@outlook.com,Timothy Watson,Delivered,$115.50,
#10763,2026-04-07 16:46,elizabeth_jones@hotmail.com,Elizabeth Jones,Delivered,$41.00,
#10764,2026-04-07 18:00,dwilliams@icloud.com,Dana Williams,Delivered,$43.50,
#10765,2026-04-07 19:03,ryan_taylor@gmail.com ,Ryan Taylor,Refunded,$43.00,$43.00
#10766,2026-04-08 07:58,Omarnelson30@hotmail.com,Omar Nelson,Partially refunded,$63.50,$15.88
#10767,2026-04-08 11:30,joshua.jackson@outlook.com ,Joshua Jackson,Delivered,$87.50,
#10768,2026-04-08 20:50,emily.cox@hotmail.com,Emily Cox,Delivered,$56.00,
#10769,2026-04-09 14:45,amorris@protonmail.com,Amara Morris,Paid,$84.00,
#10770,2026-04-10 10:10,LMORALES@GMAIL.COM,Luis Morales,Fulfilled,$73.00,
#10771,2026-04-10 13:48,lmorales@gmail.com,Luis Morales,Fulfilled,$49.50,
#10772,2026-04-10 14:45,dana_richardson@protonmail.com,Dana Richardson,Fulfilled,$50.00,
#10773,2026-04-10 16:57,carol_wood@me.com,Carol Wood,Fulfilled,$24.00,
#10774,2026-04-10 17:27,daniel_torres@me.com,Daniel Torres,Delivered,$73.00,
#10775,2026-04-10 22:53,JESSICARAMIREZ31@YAHOO.COM,Jessica Ramirez,Fulfilled,$50.00,
#10776,2026-04-11 08:21,fatima_rivera@gmail.com,Fatima Rivera,Fulfilled,$22.50,
#10777,2026-04-11 14:13,david_diaz@gmail.com,David Diaz,Delivered,$47.00,
#10778,2026-04-11 19:32,morris.deborah@gmail.com ,Deborah Morris,Paid,$57.00,
#10779,2026-04-11 20:14,Barbaramorris4@protonmail.com,Barbara Morris,Fulfilled,$47.00,
#10780,2026-04-11 22:55,johnson.hiroshi@yahoo.com ,Hiroshi Johnson,Partially refunded,$43.00,$21.50
#10781,2026-04-12 06:23,anthony_miller@gmail.com,Anthony Miller,Fulfilled,$56.00,
#10782,2026-04-12 06:38,jacoballen61@me.com,Jacob Allen,Fulfilled,$18.00,
#10783,2026-04-12 12:23,oward@gmail.com,Omar Ward,Paid,$42.00,
#10784,2026-04-12 18:02,margaret.evans@yahoo.com,Margaret Evans,Fulfilled,$22.50,
#10785,2026-04-13 09:07,bramirez@me.com,Betty Ramirez,Delivered,$24.50,
#10786,2026-04-13 13:53,michelle.jones@gmail.com,Michelle Jones,Delivered,$42.00,
#10787,2026-04-14 06:54,WATSON.SUSAN@YAHOO.COM,Susan Watson,Fulfilled,$58.00,
#10788,2026-04-14 12:41,mrichardson@hotmail.com,Melissa Richardson,Paid,$17.50,
#10789,2026-04-14 13:39,eedwards@yahoo.com,Elizabeth Edwards,Fulfilled,$95.50,
#10790,2026-04-14 19:30,hbrooks@yahoo.com,Hiroshi Brooks,Paid,$82.00,
#10791,2026-04-15 08:27,Williamgutierrez59@icloud.com,William Gutierrez,Delivered,$49.50,
#10792,2026-04-15 12:16,margaret.evans@yahoo.com,Margaret Evans,Fulfilled,$34.00,
#10793,2026-04-16 09:56,michelle.wood@icloud.com,Michelle Wood,Fulfilled,$75.00,
#10794,2026-04-16 13:24,clark.barbara@me.com,Barbara Clark,Delivered,$92.00,
#10795,2026-04-16 17:33,williamjones40@me.com,William Jones,Fulfilled,$55.00,
#10796,2026-04-16 19:07,jennifer_long@hotmail.com,Jennifer Long,Fulfilled,$94.00,
#10797,2026-04-17 06:59,jacoballen61@me.com,Jacob Allen,Delivered,$118.00,
#10798,2026-04-17 07:17,emilyperez53@gmail.com,Emily Perez,Fulfilled,$17.00,
#10799,2026-04-17 15:14,smurphy@me.com,Sarah Murphy,Fulfilled,$129.00,
#10800,2026-04-17 16:41, jones.dana@hotmail.com,Dana Jones,Paid,$22.00,
#10801,2026-04-17 16:55,wei_wood@me.com,Wei Wood,Fulfilled,$34.00,
