Order,Placed,Buyer E-mail,Buyer,Amount,State
10433,09/11/2025,donna_murphy@yahoo.com,Donna Murphy,59.00,complete
10434,09/12/2025,TURNER.THOMAS@OUTLOOK.COM,Thomas Turner,84.50,complete
10435,09/12/2025,stewart.angela@hotmail.com,Angela Stewart,65.50,complete
10436,09/17/2025,joseph.gomez@protonmail.com,Joseph Gomez,17.00,complete
10437,09/18/2025,jonathan.hughes@protonmail.com,Jonathan Hughes,25.50,complete
10438,09/20/2025,bettygutierrez2@aol.com,Betty Gutierrez,34.00,complete
10439,09/20/2025,nancygomez18@aol.com,Nancy Gomez,17.50,complete
10440,09/21/2025,srogers@outlook.com,Sandra Rogers,34.00,complete
10441,09/22/2025,alopez@outlook.com,Amanda Lopez,56.50,complete
10442,09/25/2025,ngonzalez@hotmail.com,Nancy Gonzalez,22.50,complete
10443,09/30/2025, kwame_ward@icloud.com,Kwame Ward,109.00,complete
10444,10/02/2025,margaret.cruz@gmail.com ,Margaret Cruz,50.00,complete
10445,10/03/2025,Edward_peterson@protonmail.com,Edward Peterson,17.00,complete
10446,10/06/2025,Snguyen@icloud.com,Susan Nguyen,117.00,complete
10447,10/07/2025,deborah.rodriguez@hotmail.com,Deborah Rodriguez,49.50,complete
10448,10/07/2025,carlos.watson@gmail.com,Carlos Watson,67.00,complete
10449,10/13/2025,cynthia.adams@gmail.com,Cynthia Adams,51.50,complete
10450,10/14/2025,MARY_ORTIZ@ME.COM,Mary Ortiz,85.50,complete
10451,10/14/2025, jessica_moore@yahoo.com,Jessica Moore,131.50,complete
10452,10/15/2025,angelaharris47@protonmail.com,Angela Harris,107.50,complete
10453,10/17/2025,jcarter@aol.com,Jacob Carter,61.00,complete
10454,10/18/2025,michellenelson21@yahoo.com,Michelle Nelson,130.00,complete
10455,10/18/2025, alvarez.william@outlook.com,William Alvarez,68.00,complete
10456,10/18/2025,matthew_edwards@me.com,Matthew Edwards,51.00,complete
10457,10/20/2025,lindqvist.betty@me.com,Betty Lindqvist,24.50,complete
10458,10/22/2025,ascott@protonmail.com,Aisha Scott,102.00,complete
10459,10/25/2025,mary.evans@outlook.com,Mary Evans,72.00,complete
10460,10/26/2025,MARCUS.GOMEZ@AOL.COM,Marcus Gomez,41.50,complete
10461,10/27/2025,ngonzalez@hotmail.com ,Nancy Gonzalez,60.00,complete
10462,10/29/2025,turner.thomas@outlook.com,Thomas Turner,24.00,complete
10463,10/30/2025,rclark@protonmail.com,Robert Clark,140.00,complete
10464,10/31/2025,roberts.mateo@gmail.com,Mateo Roberts,39.00,complete
10465,11/02/2025,Margaret.cruz@gmail.com,Margaret Cruz,52.00,complete
10466,11/04/2025,rmartinez@yahoo.com,Rebecca Martinez,34.00,complete
10467,11/04/2025,deborah.rodriguez@hotmail.com,Deborah Rodriguez,90.00,complete
10468,11/06/2025,Nadia.bailey@icloud.com,Nadia Bailey,56.00,complete
10469,11/06/2025,lindareyes66@protonmail.com,Linda Reyes,81.50,complete
10470,11/07/2025,srogers@outlook.com,Sandra Rogers,47.00,complete
10471,11/12/2025,ascott@protonmail.com,Aisha Scott,25.50,complete
10472,11/14/2025,jramos@icloud.com,Jeffrey Ramos,24.50,complete
10473,11/16/2025,thompson.gary@aol.com,Gary Thompson,55.00,complete
10474,11/17/2025,cynthia.edwards@icloud.com,Cynthia Edwards,22.50,complete
10475,11/17/2025,johnson.kimberly@gmail.com,Kimberly Johnson,25.00,complete
10476,11/21/2025,andrewbrown30@outlook.com,Andrew Brown,99.00,complete
10477,11/21/2025,reed.david@aol.com,David Reed,18.00,complete
10478,11/22/2025,dkim@protonmail.com,Donald Kim,67.50,complete
10479,11/25/2025,CYNTHIA.ADAMS@GMAIL.COM,Cynthia Adams,98.00,complete
10480,11/25/2025,luis_gomez@yahoo.com ,Luis Gomez,101.50,complete
10481,11/25/2025,nancygomez18@aol.com,Nancy Gomez,34.00,complete
10482,11/25/2025,wright.james@aol.com,James Wright,43.00,complete
10483,11/26/2025,christopher_richardson@hotmail.com,Christopher Richardson,31.50,complete
10484,11/27/2025,sgreen@icloud.com,Steven Green,53.00,complete
10485,11/27/2025,garcia.yuki@gmail.com,Yuki Garcia,84.00,complete
10486,11/28/2025,kwame_ward@icloud.com,Kwame Ward,49.50,complete
10487,11/30/2025,richard_johnson@protonmail.com,Richard Johnson,24.00,complete
10488,11/30/2025,daviddavis17@protonmail.com,David Davis,49.00,complete
10489,11/30/2025,white.matthew@outlook.com,Matthew White,115.00,complete
10490,12/02/2025,joseph.gomez@protonmail.com,Joseph Gomez,17.00,complete
10491,12/03/2025,amarahill98@hotmail.com,Amara Hill,25.50,complete
10492,12/04/2025,SROGERS@OUTLOOK.COM,Sandra Rogers,56.00,complete
10493,12/05/2025,patricia.lindqvist@hotmail.com,Patricia Lindqvist,97.50,complete
10494,12/07/2025,ramos.angela@hotmail.com,Angela Ramos,53.00,complete
10495,12/10/2025,lopez.charles@yahoo.com,Charles Lopez,34.00,complete
10496,12/11/2025,harris.john@aol.com,John Harris,29.00,complete
10497,12/11/2025,Ramirez.rebecca@icloud.com,Rebecca Ramirez,50.00,complete
10498,12/12/2025,MARGARET.CRUZ@GMAIL.COM,Margaret Cruz,97.00,complete
10499,12/12/2025,daviddavis17@protonmail.com,David Davis,92.00,complete
10500,12/12/2025,marcus.gomez@aol.com,Marcus Gomez,22.00,complete
10501,12/12/2025,ashley.alvarez@aol.com,Ashley Alvarez,81.50,complete
10502,12/13/2025,laura_bailey@me.com,Laura Bailey,47.00,complete
10503,12/14/2025,ramirez.james@outlook.com,James Ramirez,102.00,complete
10504,12/15/2025,reed.david@aol.com,David Reed,131.00,complete
10505,12/16/2025,bennett.james@yahoo.com,James Bennett,74.00,complete
10506,12/16/2025,sandrabrooks93@icloud.com,Sandra Brooks,97.50,complete
10507,12/16/2025,jenniferjackson10@hotmail.com,Jennifer Jackson,68.00,complete
10508,12/19/2025,sgreen@icloud.com,Steven Green,29.00,complete
10509,12/20/2025,dkim@protonmail.com,Donald Kim,41.50,complete
10510,12/23/2025,collins.william@hotmail.com,William Collins,118.00,complete
10511,12/23/2025,Robert.ruiz@protonmail.com,Robert Ruiz,24.00,complete
10512,12/24/2025, jessica_moore@yahoo.com,Jessica Moore,73.50,complete
10513,12/24/2025,nancygomez18@aol.com,Nancy Gomez,25.00,complete
10514,12/25/2025, lindareyes66@protonmail.com,Linda Reyes,42.00,complete
10515,12/26/2025,thompson.gary@aol.com,Gary Thompson,56.00,complete
10516,12/26/2025,Edward_peterson@protonmail.com,Edward Peterson,75.50,complete
10517,12/27/2025,wood.omar@me.com,Omar Wood,51.50,complete
10518,12/28/2025,sphillips@icloud.com,Susan Phillips,39.00,complete
10519,12/29/2025,ngonzalez@hotmail.com,Nancy Gonzalez,39.00,complete
10520,12/29/2025,laura_hill@icloud.com,Laura Hill,91.00,complete
10521,12/31/2025,angelaharris47@protonmail.com,Angela Harris,17.00,complete
10522,12/31/2025,anthony_miller@gmail.com,Anthony Miller,61.00,complete
