Asset Tag,Employee,Email,Assigned On,Returned On,Assigned By
3354,Kwame Young,kyoung@calderfreight.com,23-Jul-2021,2024-09-30,IT Helpdesk
2473,Matthew Lopez,mlopez@calderfreight.com,2021-08-05,02/19/2026,it-helpdesk
001804,Michael Turner,mturner@calderfreight.com,"August 13, 2021",06-Aug-2025,IT Helpdesk
IT-001855,Tomasz Hall,thall@calderfreight.com,08/29/2021,06/08/23,jmorales
IT-000843,Sandra Bennett,sbennett@calderfreight.com,2021-09-01,,jmorales
637,Paul Scott,pscott@calderfreight.com,10/14/21,03/23/2026,IT Helpdesk
IT-002363,Laura Williams,lwilliams@calderfreight.com,10/24/2021,04/25/26,it-helpdesk
IT-3238,Matthew Hughes,mhughes@calderfreight.com,01-Nov-2021,,IT Helpdesk
IT-004041,Amanda Edwards,aedwards@calderfreight.com,2021-11-01,"May 26, 2023",kpatel
003055,Cynthia Parker,cparker@calderfreight.com,07-Nov-2021,,kpatel
IT-000390,Betty Smith,bsmith@calderfreight.com,11/09/2021,"May 05, 2023",IT Helpdesk
IT-2533,Paul Collins,pcollins@calderfreight.com,2021-11-26,05/04/25,kpatel
IT-002492,Laura Thompson,lthompson@calderfreight.com,12/01/2021,02/08/2026,IT Helpdesk
3152,James Campbell,jcampbell@calderfreight.com,"December 02, 2021",2024-07-25,jmorales
IT-003155,Donald Moore,dmoore@calderfreight.com,12/21/21,2022-12-20,jmorales
IT-004683,Betty Smith,bsmith@calderfreight.com,12/27/21,08/26/25,kpatel
2665,Amara Brooks,abrooks@calderfreight.com,2021-12-29,,IT Helpdesk
IT-003543,Steven Lewis,slewis@calderfreight.com,2022-01-05,,it-helpdesk
1037,Carlos Diaz,cdiaz@calderfreight.com,2022-01-13,,IT Helpdesk
IT-002096,Anthony Mendoza,amendoza@calderfreight.com,22-Jan-2022,,IT Helpdesk
IT-000589,Nadia Ruiz,nruiz@calderfreight.com,"February 08, 2022",,jmorales
IT-000874,Laura Thompson,lthompson@calderfreight.com,2022-02-14,09/15/24,jmorales
001205,Dana Nguyen,dnguyen@calderfreight.com,02/24/22,,it-helpdesk
IT-704,Edward Martinez,emartinez@calderfreight.com,2022-03-08,,jmorales
IT-003116,Michael Lewis,mlewis@calderfreight.com,"March 11, 2022",,jmorales
IT-001328,Donald Moore,dmoore@calderfreight.com,03/24/2022,,jmorales
IT-000522,Amy Foster,afoster@calderfreight.com,"April 18, 2022",2024-06-12,it-helpdesk
003865,Susan Wilson,swilson@calderfreight.com,29-Apr-2022,"December 18, 2023",jmorales
003501,Lisa Price,lprice@calderfreight.com,2022-05-05,2026-06-18,jmorales
4787,Laura Thompson,lthompson@calderfreight.com,"May 07, 2022",05/17/2026,it-helpdesk
001227,Nadia Lee,nlee@calderfreight.com,"May 08, 2022",,jmorales
4523,Daniel Morales,dmorales@calderfreight.com,05/09/2022,,jmorales
IT-466,Ryan Harris,rharris@calderfreight.com,25-May-2022,11/12/2025,jmorales
3962,Sharon Wilson,swilson@calderfreight.com,2022-06-09,,it-helpdesk
IT-002453,Leila Morris,lmorris@calderfreight.com,07/06/2022,,jmorales
IT-001055,James Carter,jcarter@calderfreight.com,07/15/2022,12/19/25,it-helpdesk
1053,Edward Young,eyoung@calderfreight.com,07/17/2022,04/22/2023,kpatel
IT-002841,Steven Brooks,sbrooks@calderfreight.com,"August 24, 2022",,IT Helpdesk
IT-002127,Nadia Lee,nlee@calderfreight.com,08/31/22,,it-helpdesk
IT-000038,Gary Price,gprice@calderfreight.com,09/18/2022,2025-12-14,kpatel
IT-002756,Jeffrey Alvarez,jalvarez@calderfreight.com,24-Oct-2022,,it-helpdesk
IT-2599,Chloe Evans,cevans@calderfreight.com,2022-10-25,09-Apr-2026,it-helpdesk
IT-001502,Amara Brooks,abrooks@calderfreight.com,2022-10-31,02/07/2024,jmorales
IT-001781,Amanda Bennett,abennett@calderfreight.com,10/31/22,07/18/26,kpatel
003917,Carlos Diaz,cdiaz@calderfreight.com,11/08/2022,,it-helpdesk
IT-000300,Paul Nelson,pnelson@calderfreight.com,24-Nov-2022,"February 28, 2023",IT Helpdesk
000081,Edward Sanchez,esanchez@calderfreight.com,12/11/22,,kpatel
IT-002861,Wei Campbell,wcampbell@calderfreight.com,14-Dec-2022,19-May-2023,jmorales
1543,Mark Rodriguez,mrodriguez@calderfreight.com,12/15/22,04/15/2024,IT Helpdesk
IT-000213,Edward Chavez,echavez@calderfreight.com,"December 25, 2022",,IT Helpdesk
4398,Mark Ruiz,mruiz@calderfreight.com,12/27/22,2023-10-13,kpatel
IT-001572,Tomasz Hall,thall@calderfreight.com,01/01/23,,jmorales
IT-002464,Wei Campbell,wcampbell@calderfreight.com,2023-01-05,,it-helpdesk
921,Priya Haddad,phaddad@calderfreight.com,01/18/23,,jmorales
IT-004176,Aisha Anderson,aanderson@calderfreight.com,01/20/2023,"May 24, 2023",it-helpdesk
IT-003426,Carlos Campbell,ccampbell@calderfreight.com,01/21/23,"December 25, 2024",IT Helpdesk
004696,Leila Castillo,lcastillo@calderfreight.com,29-Jan-2023,"June 14, 2026",it-helpdesk
IT-002044,Gary Rogers,grogers@calderfreight.com,2023-02-03,,jmorales
IT-000334,Yuki Chavez,ychavez@calderfreight.com,02/26/2023,,IT Helpdesk
IT-002833,Dorothy Ramirez,dramirez@calderfreight.com,03/04/23,11/02/24,jmorales
IT-000300,Kimberly Turner,kturner@calderfreight.com,03/09/23,,jmorales
IT-000527,Daniel Morales,dmorales@calderfreight.com,2023-03-10,"November 08, 2024",jmorales
IT-3839,Timothy Baker,tbaker@calderfreight.com,15-Mar-2023,,it-helpdesk
IT-003359,Amy Jackson,ajackson@calderfreight.com,03/21/2023,,jmorales
003416,Tomasz Reed,treed@calderfreight.com,03/25/2023,2026-08-09,IT Helpdesk
700,Christopher Reyes,creyes@calderfreight.com,2023-03-28,,jmorales
IT-002720,Melissa Brown,mbrown@calderfreight.com,03/31/23,"May 07, 2024",it-helpdesk
IT-001518,Marcus Gomez,mgomez@calderfreight.com,04/06/2023,02-Feb-2024,kpatel
IT-001053,Nadia Lee,nlee@calderfreight.com,2023-04-23,,kpatel
IT-390,Sandra Adams,sadams@calderfreight.com,05/12/23,,it-helpdesk
IT-002861,Lisa Flores,lflores@calderfreight.com,"May 27, 2023",,jmorales
4176,Jeffrey Alvarez,jalvarez@calderfreight.com,05/27/23,,jmorales
IT-003053,Patricia Rodriguez,prodriguez@calderfreight.com,2023-06-24,2025-05-22,kpatel
2104,Chloe Johnson,cjohnson@calderfreight.com,07/09/23,2026-08-18,it-helpdesk
IT-004080,Christopher Scott,cscott@calderfreight.com,"July 09, 2023",2026-08-14,it-helpdesk
932,Rahul Rogers,rrogers@calderfreight.com,07/21/2023,2025-03-12,kpatel
IT-673,Amanda Wright,awright@calderfreight.com,24-Jul-2023,21-Nov-2021,IT Helpdesk
4127,Sharon Wilson,swilson@calderfreight.com,07/24/2023,2025-01-02,kpatel
IT-000137,Edward Sanchez,esanchez@calderfreight.com,"July 28, 2023",,it-helpdesk
001093,Dmitri Davis,ddavis@calderfreight.com,08/10/23,11/21/2025,it-helpdesk
IT-003380,Paul Scott,pscott@calderfreight.com,12-Aug-2023,,jmorales
IT-000655,Steven Diaz,sdiaz@calderfreight.com,20-Aug-2023,02/04/2024,it-helpdesk
IT-002653,Amanda Parker,aparker@calderfreight.com,2023-08-27,,kpatel
IT-000377,Michael Taylor,mtaylor@calderfreight.com,15-Sep-2023,2024-12-16,IT Helpdesk
003470,Andrew Gray,agray@calderfreight.com,09/15/2023,02/28/2025,kpatel
IT-003143,Ingrid Johnson,ijohnson@calderfreight.com,09/18/23,,kpatel
2779,Deborah Okafor,dokafor@calderfreight.com,2023-09-30,03/16/24,IT Helpdesk
IT-004398,Tomasz Brown,tbrown@calderfreight.com,15-Oct-2023,,it-helpdesk
IT-003731,Betty Brooks,bbrooks@calderfreight.com,10/30/23,,kpatel
IT-000339,Michael Taylor,mtaylor@calderfreight.com,18-Nov-2023,,kpatel
3671,Christopher Reyes,creyes@calderfreight.com,2023-12-20,23-Dec-2024,IT Helpdesk
IT-004313,James Campbell,jcampbell@calderfreight.com,"February 29, 2024",04-Oct-2024,jmorales
IT-001185,Emily Cooper,ecooper@calderfreight.com,03/21/2024,,it-helpdesk
IT-93,Steven Flores,sflores@calderfreight.com,04/19/24,,IT Helpdesk
IT-001518,Barbara Hill,bhill@calderfreight.com,04/20/2024,01/06/2026,IT Helpdesk
IT-003653,Kimberly Turner,kturner@calderfreight.com,05/31/24,,kpatel
IT-004070,Ryan Nelson,rnelson@calderfreight.com,"June 03, 2024",,IT Helpdesk
IT-002670,Cynthia Parker,cparker@calderfreight.com,04-Jun-2024,2026-06-28,kpatel
IT-001855,George Sanchez,gsanchez@calderfreight.com,06/11/24,2025-01-16,jmorales
IT-000522,Leila Morris,lmorris@calderfreight.com,"June 14, 2024",,jmorales
IT-001177,Gary Phillips,gphillips@calderfreight.com,06/24/24,,kpatel
2690,Gary Stewart,gstewart@calderfreight.com,24-Jun-2024,,it-helpdesk
2799,James Campbell,jcampbell@calderfreight.com,2024-06-27,,jmorales
IT-003152,Ryan Nelson,rnelson@calderfreight.com,"July 26, 2024",,kpatel
IT-003955,Michael Taylor,mtaylor@calderfreight.com,2024-07-27,,IT Helpdesk
IT-3869,Elizabeth Martin,emartin@calderfreight.com,08/08/24,2025-09-01,kpatel
IT-2384,Paul Scott,pscott@calderfreight.com,2024-09-03,11/26/2025,it-helpdesk
IT-000397,Tomasz Edwards,tedwards@calderfreight.com,2024-09-12,,it-helpdesk
IT-001081,Stephanie Howard,showard@calderfreight.com,2024-09-12,,jmorales
777,Amy Foster,afoster@calderfreight.com,"September 15, 2024",,IT Helpdesk
IT-000874,Jacob Green,jgreen@calderfreight.com,09/21/24,,it-helpdesk
IT-941,Lisa Price,lprice@calderfreight.com,11/04/2024,02-Apr-2025,IT Helpdesk
IT-2720,Daniel Morales,dmorales@calderfreight.com,11/13/2024,04-Nov-2025,it-helpdesk
IT-002955,Gary Rogers,grogers@calderfreight.com,"December 17, 2024",,kpatel
IT-003426,Michael Turner,mturner@calderfreight.com,12/27/24,,it-helpdesk
IT-000527,George Hernandez,ghernandez@calderfreight.com,"December 28, 2024",10-Feb-2026,jmorales
IT-003671,Mark Rodriguez,mrodriguez@calderfreight.com,28-Dec-2024,,IT Helpdesk
IT-000549,Paul Scott,pscott@calderfreight.com,2025-01-04,,IT Helpdesk
IT-002414,Linda Price,lprice@calderfreight.com,06-Jan-2025,"July 25, 2026",jmorales
IT-1469,Omar Lindqvist,olindqvist@calderfreight.com,01/14/2025,12/04/2025,IT Helpdesk
IT-004096,Kimberly Clark,kclark@calderfreight.com,01/18/2025,02-Mar-2026,it-helpdesk
IT-001855,Kenneth Reed,kreed@calderfreight.com,2025-01-23,,IT Helpdesk
IT-004164,Michael Ward,mward@calderfreight.com,"January 27, 2025",07-Aug-2026,jmorales
IT-000180,Linda Nguyen,lnguyen@calderfreight.com,01/28/25,03/21/26,jmorales
IT-2423,George Haddad,ghaddad@calderfreight.com,02/25/2025,2026-05-19,jmorales
IT-1289,Robert Gutierrez,rgutierrez@calderfreight.com,03/07/2025,06/28/2026,jmorales
IT-3470,Robert Gutierrez,rgutierrez@calderfreight.com,2025-03-07,,it-helpdesk
IT-001969,Nadia Lee,nlee@calderfreight.com,03/18/25,2026-03-11,it-helpdesk
1006,Gary Stewart,gstewart@calderfreight.com,03/27/25,08/29/25,kpatel
000673,Kwame Hill,khill@calderfreight.com,28-Mar-2025,,kpatel
IT-000091,Leila Morris,lmorris@calderfreight.com,"April 19, 2025",,IT Helpdesk
002619,George Sanchez,gsanchez@calderfreight.com,04/19/2025,,it-helpdesk
IT-003435,Patricia Campbell,pcampbell@calderfreight.com,04/24/25,07/17/2025,kpatel
1252,Omar Myers,omyers@calderfreight.com,"May 17, 2025",04/06/26,kpatel
IT-002916,Matthew Lopez,mlopez@calderfreight.com,"May 18, 2025",,kpatel
IT-003053,Priya Haddad,phaddad@calderfreight.com,05/23/25,,it-helpdesk
IT-70,Linda Collins,lcollins@calderfreight.com,2025-06-09,"August 20, 2025",kpatel
IT-003159,Paul Nelson,pnelson@calderfreight.com,06/21/2025,04-May-2026,kpatel
IT-000277,Shirley Mendoza,smendoza@calderfreight.com,2025-07-02,,jmorales
IT-001215,Omar Myers,omyers@calderfreight.com,"July 11, 2025",08/01/2026,jmorales
002081,Gary Price,gprice@calderfreight.com,07/17/2025,2026-02-10,IT Helpdesk
IT-003435,Laura Thompson,lthompson@calderfreight.com,2025-07-19,19-Sep-2025,IT Helpdesk
IT-000555,Daniel Morales,dmorales@calderfreight.com,2025-07-22,"October 07, 2025",IT Helpdesk
IT-000230,Joshua Castillo,jcastillo@calderfreight.com,07/24/2025,2025-08-15,it-helpdesk
IT-001950,Gary Reed,greed@calderfreight.com,07/24/25,02-May-2026,jmorales
IT-70,Paul Nelson,pnelson@calderfreight.com,"August 27, 2025",,IT Helpdesk
IT-3036,William Murphy,wmurphy@calderfreight.com,31-Aug-2025,06/17/2026,jmorales
IT-003686,Sandra Gomez,sgomez@calderfreight.com,31-Aug-2025,,kpatel
IT-000680,Edward Johnson,ejohnson@calderfreight.com,09/14/25,,IT Helpdesk
IT-003435,Linda Nguyen,lnguyen@calderfreight.com,"September 20, 2025",,it-helpdesk
IT-004675,Christopher Reyes,creyes@calderfreight.com,09/22/2025,,IT Helpdesk
IT-003994,Laura Myers,lmyers@calderfreight.com,09/25/25,,kpatel
IT-1095,Lisa Price,lprice@calderfreight.com,2025-09-26,14-Jan-2026,IT Helpdesk
IT-001293,Edward Young,eyoung@calderfreight.com,"September 27, 2025",,kpatel
IT-2901,Richard Torres,rtorres@calderfreight.com,10/11/25,,jmorales
IT-001543,Ryan Harris,rharris@calderfreight.com,2025-10-15,"December 05, 2025",jmorales
IT-3869,Matthew Lopez,mlopez@calderfreight.com,10/17/2025,05/29/26,kpatel
1700,Kwame Thompson,kthompson@calderfreight.com,"October 28, 2025",,it-helpdesk
IT-002720,Sandra Gomez,sgomez@calderfreight.com,12-Nov-2025,,it-helpdesk
IT-000466,Yuki Chavez,ychavez@calderfreight.com,"November 13, 2025",,jmorales
001093,Kevin Stewart,kstewart@calderfreight.com,"November 27, 2025",,jmorales
IT-000555,Jessica Edwards,jedwards@calderfreight.com,"December 04, 2025",08/19/26,it-helpdesk
IT-001543,Tomasz Thomas,tthomas@calderfreight.com,08-Dec-2025,,it-helpdesk
000038,Jeffrey Alvarez,jalvarez@calderfreight.com,19-Dec-2025,,IT Helpdesk
1055,Paul Mendoza,pmendoza@calderfreight.com,"December 23, 2025",,IT Helpdesk
IT-003179,Deborah Okafor,dokafor@calderfreight.com,2025-12-31,,jmorales
IT-001925,Gary Phillips,gphillips@calderfreight.com,"January 11, 2026",2026-07-08,kpatel
IT-001518,Joshua Castillo,jcastillo@calderfreight.com,12-Jan-2026,,jmorales
IT-001689,Hiroshi Miller,hmiller@calderfreight.com,17-Jan-2026,2026-04-08,kpatel
IT-001095,Brian Morales,bmorales@calderfreight.com,"January 19, 2026",,it-helpdesk
001469,Marcus Osei,mosei@calderfreight.com,01/24/2026,05/10/26,IT Helpdesk
000941,Emily Cooper,ecooper@calderfreight.com,26-Jan-2026,02/23/2026,jmorales
IT-000377,Susan Alvarez,salvarez@calderfreight.com,2026-01-28,2026-07-01,jmorales
IT-000527,Jessica Edwards,jedwards@calderfreight.com,02/13/2026,,jmorales
000941,Charles Bailey,cbailey@calderfreight.com,2026-02-25,,IT Helpdesk
IT-001561,Sharon Harris,sharris@calderfreight.com,"February 25, 2026",2026-07-12,it-helpdesk
IT-003187,Daniel Lee,dlee@calderfreight.com,03/08/2026,,IT Helpdesk
IT-004770,Omar Cox,ocox@calderfreight.com,2026-03-08,,kpatel
IT-001006,Robert Gutierrez,rgutierrez@calderfreight.com,03/13/2026,03/17/26,jmorales
1006,Kimberly Turner,kturner@calderfreight.com,"March 21, 2026",,IT Helpdesk
IT-002851,James Carter,jcarter@calderfreight.com,04/05/2026,,it-helpdesk
IT-001689,Kenneth Campbell,kcampbell@calderfreight.com,"April 12, 2026",,kpatel
IT-2599,Marcus Lopez,mlopez@calderfreight.com,12-Apr-2026,,it-helpdesk
IT-000754,Paul Scott,pscott@calderfreight.com,04/14/26,,it-helpdesk
IT-004313,James Chavez,jchavez@calderfreight.com,25-Apr-2026,06/23/2026,jmorales
IT-001919,Sarah Peterson,speterson@calderfreight.com,04/26/26,30-Jun-2026,jmorales
IT-2363,Sandra Gomez,sgomez@calderfreight.com,05/05/26,,jmorales
IT-3159,Margaret Ross,mross@calderfreight.com,05/05/26,,kpatel
IT-003453,Michael Cooper,mcooper@calderfreight.com,2026-05-07,,kpatel
1950,Patricia Hall,phall@calderfreight.com,08-May-2026,,IT Helpdesk
870,Emily Brooks,ebrooks@calderfreight.com,"May 09, 2026",,it-helpdesk
IT-1469,Omar Thompson,othompson@calderfreight.com,05/15/26,,IT Helpdesk
004347,Richard Anderson,randerson@calderfreight.com,"May 15, 2026",06/23/26,it-helpdesk
IT-001969,Amanda Adams,aadams@calderfreight.com,2026-05-16,2026-07-04,kpatel
IT-003869,Gary Rogers,grogers@calderfreight.com,06/07/26,,IT Helpdesk
IT-004148,Michael Patel,mpatel@calderfreight.com,2026-06-20,07/27/26,it-helpdesk
IT-004696,Sandra Adams,sadams@calderfreight.com,2026-06-23,,IT Helpdesk
IT-004347,Kwame Hill,khill@calderfreight.com,06/30/2026,,it-helpdesk
IT-004313,Amy Jackson,ajackson@calderfreight.com,01-Jul-2026,,jmorales
IT-002670,Linda Collins,lcollins@calderfreight.com,04-Jul-2026,,it-helpdesk
IT-000377,Emily Brooks,ebrooks@calderfreight.com,"July 05, 2026",,IT Helpdesk
001969,Paul Mendoza,pmendoza@calderfreight.com,07/06/26,,kpatel
IT-001289,Paul Nelson,pnelson@calderfreight.com,"July 08, 2026",,it-helpdesk
IT-2396,Emily Cooper,ecooper@calderfreight.com,"July 09, 2026",,kpatel
IT-001925,Leila Morris,lmorris@calderfreight.com,"July 14, 2026",,it-helpdesk
IT-001561,Amanda Edwards,aedwards@calderfreight.com,07/17/26,,it-helpdesk
1893,James Chavez,jchavez@calderfreight.com,07/26/2026,,kpatel
IT-002414,Linda Price,lprice@calderfreight.com,"August 01, 2026",,kpatel
IT-001078,Stephanie Castillo,scastillo@calderfreight.com,08/06/26,,jmorales
IT-001215,Joseph Murphy,jmurphy@calderfreight.com,08/07/26,,it-helpdesk
IT-004164,Christopher Scott,cscott@calderfreight.com,2026-08-15,,kpatel
IT-004080,Sarah Richardson,srichardson@calderfreight.com,2026-08-16,,IT Helpdesk
IT-000555,Elizabeth Morgan,emorgan@calderfreight.com,25-Aug-2026,,jmorales
