date,shift,employee,hours,tip_share
2026-08-12,Lunch,"Ruiz, Timothy",4.00,67.46
2026-08-12,Dinner,"Johnson, Anna",6.50,72.12
2026-08-12,Dinner,"Gonzalez, Anthony",5.25,58.25
2026-08-12,Dinner,"Parker, Deborah",6.25,69.34
2026-08-12,Dinner,"Brown, Gary",6.75,74.89
2026-08-12,Dinner,"Okafor, Ingrid",6.25,69.34
2026-08-12,Dinner,"Murphy, Jessica",6.50,72.12
2026-08-12,Dinner,"Wright, Laura",5.75,63.80
2026-08-12,Dinner,"Williams, Patricia",5.50,61.02
2026-08-12,Dinner,"Ramos, Sandra",6.25,69.34
2026-08-12,Dinner,"Reed, Sarah",7.00,77.66
2026-08-12,Dinner,"Green, Susan",5.75,63.80
2026-08-13,Lunch,"Carter, Aisha",4.50,73.03
2026-08-13,Lunch,"Brown, Gary",4.75,77.09
2026-08-13,Lunch,"Okafor, Ingrid",5.50,89.26
2026-08-13,Lunch,"Wood, Patricia",4.75,77.09
2026-08-13,Lunch,"Ramos, Sandra",4.00,64.92
2026-08-13,Lunch,"Reed, Sarah",4.50,73.03
2026-08-13,Lunch,"Green, Susan",4.00,64.92
2026-08-13,Lunch,"Ruiz, Timothy",4.00,64.91
2026-08-13,Dinner,"Gonzalez, Anthony",5.25,63.97
2026-08-13,Dinner,"Allen, David",6.50,79.20
2026-08-13,Dinner,"Parker, Deborah",7.00,85.29
2026-08-13,Dinner,"Brown, Gary",5.50,67.02
2026-08-13,Dinner,"Price, James",6.00,73.11
2026-08-13,Dinner,"Murphy, Jessica",5.50,67.02
2026-08-13,Dinner,"Wright, Laura",6.75,82.25
2026-08-13,Dinner,"Wood, Patricia",6.00,73.11
2026-08-13,Dinner,"Ramos, Sandra",6.00,73.11
2026-08-13,Dinner,"Green, Susan",6.25,76.15
2026-08-13,Dinner,"Ruiz, Timothy",6.75,82.25
2026-08-14,Lunch,"Johnson, Anna",3.75,48.10
2026-08-14,Lunch,"Brown, Gary",5.00,64.13
2026-08-14,Lunch,"Price, James",4.75,60.92
2026-08-14,Lunch,"Murphy, Jessica",4.25,54.51
2026-08-14,Lunch,"Wright, Laura",4.25,54.51
2026-08-14,Lunch,"Williams, Patricia",4.25,54.51
2026-08-14,Lunch,"Reed, Sarah",3.50,44.89
2026-08-14,Lunch,"Green, Susan",5.00,64.13
2026-08-14,Dinner,"Carter, Aisha",6.00,73.25
2026-08-14,Dinner,"Johnson, Anna",8.00,97.67
2026-08-14,Dinner,"Gonzalez, Anthony",8.00,97.67
2026-08-14,Dinner,"Parker, Deborah",8.25,100.72
2026-08-14,Dinner,"Brown, Gary",7.75,94.61
2026-08-14,Dinner,"Okafor, Ingrid",7.50,91.56
2026-08-14,Dinner,"Stewart, Laura",7.75,94.61
2026-08-14,Dinner,"Wright, Laura",7.25,88.51
2026-08-14,Dinner,"Williams, Patricia",7.50,91.56
2026-08-14,Dinner,"Wood, Patricia",8.00,97.66
2026-08-14,Dinner,"Ramos, Sandra",7.50,91.56
2026-08-14,Dinner,"Reed, Sarah",7.50,91.56
2026-08-15,Lunch,"Johnson, Anna",4.75,70.03
2026-08-15,Lunch,"Allen, David",5.00,73.72
2026-08-15,Lunch,"Brown, Gary",4.50,66.35
2026-08-15,Lunch,"Price, James",3.50,51.61
2026-08-15,Lunch,"Murphy, Jessica",4.25,62.66
2026-08-15,Lunch,"Williams, Patricia",4.25,62.66
2026-08-15,Lunch,"Ramos, Sandra",4.75,70.03
2026-08-15,Lunch,"Reed, Sarah",3.25,47.92
2026-08-15,Lunch,"Green, Susan",5.50,81.09
2026-08-15,Dinner,"Allen, David",6.00,80.96
2026-08-15,Dinner,"Parker, Deborah",8.25,111.32
2026-08-15,Dinner,"Brown, Gary",7.75,104.57
2026-08-15,Dinner,"Okafor, Ingrid",6.50,87.71
2026-08-15,Dinner,"Murphy, Jessica",6.75,91.08
2026-08-15,Dinner,"Stewart, Laura",7.50,101.20
2026-08-15,Dinner,"Wright, Laura",8.00,107.94
2026-08-15,Dinner,"Williams, Patricia",7.50,101.20
2026-08-15,Dinner,"Ramos, Sandra",6.25,84.33
2026-08-15,Dinner,"Reed, Sarah",7.50,101.20
2026-08-15,Dinner,"Green, Susan",8.25,111.32
2026-08-15,Dinner,"Ruiz, Timothy",4.50,60.72
2026-08-16,Lunch,"Carter, Aisha",5.00,101.91
2026-08-16,Lunch,"Allen, David",3.50,71.33
2026-08-16,Lunch,"Brown, Gary",4.75,96.81
2026-08-16,Lunch,"Okafor, Ingrid",4.75,96.81
2026-08-16,Lunch,"Williams, Patricia",4.50,91.72
2026-08-16,Lunch,"Wood, Patricia",3.75,76.43
2026-08-16,Lunch,"Ramos, Sandra",4.25,86.62
2026-08-16,Lunch,"Ruiz, Timothy",4.00,81.53
2026-08-16,Dinner,"Gonzalez, Anthony",7.00,51.70
2026-08-16,Dinner,"Allen, David",8.00,59.09
2026-08-16,Dinner,"Parker, Deborah",7.75,57.24
2026-08-16,Dinner,"Brown, Gary",7.50,55.39
2026-08-16,Dinner,"Okafor, Ingrid",7.75,57.24
2026-08-16,Dinner,"Murphy, Jessica",7.50,55.39
2026-08-16,Dinner,"Wright, Laura",5.75,42.47
2026-08-16,Dinner,"Williams, Patricia",6.00,44.31
2026-08-16,Dinner,"Wood, Patricia",7.50,55.39
2026-08-16,Dinner,"Ramos, Sandra",8.00,59.08
2026-08-16,Dinner,"Reed, Sarah",8.50,62.78
2026-08-16,Dinner,"Ruiz, Timothy",7.75,57.24
