First Name,Last Name,Company,Title,Email,Phone,Lead Source,Lead Status,City,State/Province Code,Country Code,Lead Owner
Kevin,Cooper,[not provided],Transportation Analyst,kevin_cooper@protonmail.com,206.555.7129,Web,Closed - Not Converted,Memphis,TN,US,tomasz.lindqvist@silverlinelogistics.com
Kimberly,Davis,Oakhurst Pediatrics,Logistics Manager,kimberly.davis@oakhurstpeds.org,3035555038,Trade Show,Closed - Not Converted,Edmonton,AB,CA,sreyes@silverlinelogistics.com.sales
Luis,Mensah,Blue Heron Consulting,VP Operations,luismensah59@blueheronconsulting.com,303-555-1450,Advertisement,Working - Contacted,Columbus,OH,US,dana.okafor@silverlinelogistics.com
Margaret,Cook,Everline Insurance,Purchasing Manager,mcook@everline.com,+1 (206) 555-8340,Phone Inquiry,Open - Not Contacted,Columbus,OH,US,dana.okafor@silverlinelogistics.com
Marcus,Cox,Brightwater Dental,Logistics Manager,mcox@brightwaterdental.com,+52 81 5550 6357,Web,Closed - Not Converted,Querétaro,,MX,dana.okafor@silverlinelogistics.com
Anthony,Mensah,Thistle & Thread Alterations,Purchasing Manager,mensah.anthony@thistlethread.com,+1 (617) 555-2996,Partner Referral,Working - Contacted,Charlotte,NC,US,sreyes@silverlinelogistics.com.sales
Charles,Mensah,Larkspur Yoga,Warehouse Manager,mensah.charles@larkspuryoga.com,1-206-555-6871,Trade Show,Open - Not Contacted,Columbus,OH,US,sreyes@silverlinelogistics.com.sales
Amy,Nelson,Riverbend Physio,Transportation Analyst,nelson.amy@riverbendphysio.com,7205557536,Web,Working - Contacted,Newark,NJ,US,mkim@silverlinelogistics.com.sales
Ingrid,Peterson,Kingfisher Charters,Director of Supply Chain,peterson.ingrid@kingfishercharters.com,1-802-555-7295,Web,Open - Not Contacted,Phoenix,AZ,US,mkim@silverlinelogistics.com.sales
Jessica,Peterson,Yellowtail Seafood,Warehouse Manager,peterson.jessica@yellowtailseafood.com,(802) 555-4957,Web,Working - Contacted,Long Beach,CA,US,tomasz.lindqvist@silverlinelogistics.com
Priya,Morris,Zephyr Bike Works,Transportation Analyst,priya.morris@zephyrbikes.com,608.555.4432,Web,Open - Not Contacted,Newark,NJ,US,mkim@silverlinelogistics.com.sales
Richard,Richardson,Foxglove Interiors,Logistics Manager,richard_richardson@foxgloveinteriors.com,303.555.9824,Advertisement,Closed - Not Converted,Joliet,IL,US,sreyes@silverlinelogistics.com.sales
Richard,Myers,Fernbrook Montessori,Purchasing Manager,rmyers@fernbrookmontessori.org,+1 512 555 4849,Web,Closed - Not Converted,Cincinnati,OH,US,priya.natarajan@silverlinelogistics.com
Kenneth,Rogers,Acme Industrial,Shipping Coordinator,rogers.kenneth@acmeindustrial.com,(971) 555-3605,Employee Referral,Open - Not Contacted,Nashville,TN,US,priya.natarajan@silverlinelogistics.com
Kimberly,Rogers,Everline Insurance,Logistics Manager,rogers.kimberly@everline.com,720.555.8900,Advertisement,Open - Not Contacted,Houston,TX,US,sreyes@silverlinelogistics.com.sales
Sarah,Torres,Wren & Sparrow Bookshop,Office Manager,sarah.torres@wrensparrowbooks.com,1-512-555-2219,Advertisement,Working - Contacted,Mississauga,ON,CA,sreyes@silverlinelogistics.com.sales
Sarah,Foster,Meridian Title,Owner,sfoster@meridiantitle.com,1-303-555-5876,Trade Show,Open - Not Contacted,Charlotte,NC,US,sreyes@silverlinelogistics.com.sales
Stephanie,Alvarez,Ellington Bakeries,Logistics Manager,stephanie_alvarez@ellingtonbakes.com,+52 81 5550 5828,Phone Inquiry,Closed - Not Converted,Ciudad Juárez,,MX,tomasz.lindqvist@silverlinelogistics.com
Steven,Morgan,Umber Ceramics,Office Manager,stevenmorgan84@umberceramics.com,+1 303 555 9922,Web,Closed - Not Converted,Toronto,ON,CA,sreyes@silverlinelogistics.com.sales
Wei,Gonzalez,[not provided],Owner,wgonzalez@icloud.com,+49 40 55503331,Web,Open - Not Contacted,Duisburg,,DE,dana.okafor@silverlinelogistics.com
Yuki,Clark,Orchard Hill Dental,Transportation Analyst,yukiclark61@orchardhilldental.com,(617) 555-2277,Employee Referral,Working - Contacted,Houston,TX,US,sreyes@silverlinelogistics.com.sales
