Floor tablet export - near miss reports
01/01/2026 - 06/30/2026
Report ID,Date,Site,What happened,Logged by
NM-5205,04/04/2026,WAREHOUSE,Near miss - moving a pallet with the walkie,Carol Carter
NM-5249,04/06/2026,Warehouse,Near miss - decanting solvent in the paint room,Eric Turner
NM-5210,04/08/2026,PLANT 1,Near miss - grinding a weld seam,Jessica Foster
NM-5255,04/11/2026,PLANT 1,Near miss - stacking plate on the rack,Nadia Gutierrez
NM-5266,04/15/2026,Plant One,Near miss - stacking plate on the rack,Leila Bennett
NM-5259,04/21/2026,PLANT 1,Near miss - changing the plasma consumables,Sarah Bailey
NM-5239,04/22/2026,Plant 1,Near miss - pulling stock out of the rack,Michelle Moore
NM-5216,04/25/2026,East Fab,Near miss - stacking plate on the rack,Michelle Evans
NM-5243,04/28/2026,Plant One,Near miss - stacking plate on the rack,Kimberly Ortiz
NM-5231,05/05/2026,Plant 1,Near miss - decanting solvent in the paint room,Ronald Morris
NM-5218,05/06/2026,East Fab Shop,Near miss - moving a pallet with the walkie,Dana Cooper
NM-5217,05/07/2026,Fab East,Near miss - changing the plasma consumables,Ryan Reyes
NM-5226,05/09/2026,Plant Two,Near miss - stacking plate on the rack,Steven Brown
NM-5236,05/09/2026,Fab East,Near miss - pulling stock out of the rack,Paul Smith
NM-5220,05/21/2026,EAST FAB,Near miss - changing the plasma consumables,Carlos Young
NM-5251,05/29/2026,Warehouse 7,Near miss - grinding a weld seam,Hiroshi Howard
NM-5204,06/09/2026,Plant 1,Near miss - moving a pallet with the walkie,Matthew Hernandez
NM-5254,06/11/2026,PLANT 1,Near miss - pulling stock out of the rack,Nancy Kim
NM-5227,06/12/2026,PLANT 1,Near miss - grinding a weld seam,Barbara Peterson
NM-5261,06/17/2026,Plant #2,Near miss - changing the plasma consumables,Patricia Ortiz
NM-5241,06/18/2026,Warehouse 7,Near miss - clearing offcut from the saw,Stephanie Morris
NM-5238,06/23/2026,East Fab Shop,Near miss - pulling stock out of the rack,Amara Taylor
NM-5208,06/23/2026,Warehouse,Near miss - pulling stock out of the rack,Priya Chavez
NM-5209,06/26/2026,Warehouse 7,Near miss - pulling stock out of the rack,Paul Thomas
NM-5207,06/27/2026,Warehouse,Near miss - clearing offcut from the saw,Jennifer Diaz
NM-5203,06/29/2026,Plant 2,Near miss - grinding a weld seam,Leila Nelson
