Final mile - stop scans
08/01/2026 - 08/31/2026
Stop ID,Shipment,Hub,Customer,Item,Pieces,Promised date,Promised window,Scanned at,Stop status,Late reason
ST-900118,SHP-60113,Portland,Rahul Ramos,Wall oven,2,08/03/2026,13:00-15:00,2026-08-03T21:01:00Z,Delivered,
ST-900328,SHP-60308,Austin,Jason Richardson,Chest freezer,2,2026-08-03,PM,2026-08-03T21:19:00Z,Delivered,
ST-900186,SHP-60176,Denver,Jeffrey Lopez,Sectional sofa,2,2026-08-03,13:00-15:00,2026-08-03T22:18:00Z,Delivered,weather
ST-900368,SHP-60345,Austin,Shirley Allen,Wall oven,2,2026-08-04,All day,2026-08-04T13:21:00Z,Delivered,
ST-900400,SHP-60374,Austin,Deborah Okafor,Recliner,2,08/04/2026,08:00-10:00,2026-08-04T14:08:00Z,Delivered,
ST-900309,SHP-60292,Austin,Kevin Harris,Washer/dryer pair,3,08/04/2026,All day,2026-08-04T14:22:00Z,Delivered,
ST-900094,SHP-60089,Portland,Emily Gutierrez,Recliner,3,2026-08-04,AM,2026-08-04T15:29:00Z,Delivered,
ST-900075,SHP-60070,Portland,Mateo Price,Washer/dryer pair,2,08/04/2026,08:00-10:00,2026-08-04T16:30:00Z,Delivered,
ST-900359,SHP-60338,Austin,Leila Gomez,Chest freezer,3,2026-08-04,All day,2026-08-04T17:32:00Z,Delivered,
ST-900208,SHP-60197,Denver,Margaret Cook,Washer/dryer pair,3,08/04/2026,AM,2026-08-04T17:51:00Z,Delivered,
ST-900357,SHP-60336,Austin,Priya Morris,Washer/dryer pair,1,2026-08-04,All day,2026-08-04T19:34:00Z,Delivered,
ST-900384,SHP-60359,Austin,Melissa Osei,Washer/dryer pair,3,2026-08-04,13:00-15:00,2026-08-04T19:50:00Z,Delivered,
ST-900200,SHP-60189,Denver,Ashley Myers,Refrigerator,3,08/04/2026,13:00-15:00,2026-08-04T20:06:00Z,Delivered,
ST-900098,SHP-60093,Portland,Charles Flores,Bedroom set,1,2026-08-04,13:00-15:00,2026-08-04T20:08:00Z,Delivered,
ST-900265,SHP-60250,Denver,Chloe Watson,Sectional sofa,3,2026-08-04,13:00-15:00,2026-08-04T20:15:00Z,Delivered,
ST-900092,SHP-60087,Portland,Priya Morris,Washer/dryer pair,1,2026-08-04,13:00-15:00,2026-08-04T20:29:00Z,Delivered,
ST-900223,SHP-60212,Denver,Daniel Johnson,Recliner,1,2026-08-04,13:00-15:00,2026-08-04T20:49:00Z,Delivered,
ST-900110,SHP-60105,Portland,Donald Ramirez,Mattress set,3,08/04/2026,AM,2026-08-04T21:18:00Z,Delivered,Address issue
ST-900102,SHP-60097,Portland,Jason Davis,Bedroom set,3,2026-08-04,AM,2026-08-04T21:37:00Z,Delivered,customer asked for later
ST-900369,SHP-60345,Austin,Shirley Allen,Wall oven,3,08/04/2026,All day,2026-08-04T21:51:00Z,Delivered,
ST-900399,SHP-60373,Austin,Yuki Clark,Chest freezer,3,2026-08-04,13:00-15:00,2026-08-04T22:20:00Z,Delivered,Address issue
ST-900141,SHP-60135,Denver,David Harris,Bedroom set,3,08/05/2026,08:00-10:00,2026-08-05T14:20:00Z,Delivered,
ST-900385,SHP-60360,Austin,John Ward,Sectional sofa,3,08/05/2026,08:00-10:00,2026-08-05T14:34:00Z,Delivered,
ST-900167,SHP-60158,Denver,Joshua Morris,Refrigerator,2,08/05/2026,All day,2026-08-05T15:00:00Z,Delivered,
ST-900226,SHP-60214,Denver,Carol Alvarez,Refrigerator,1,08/05/2026,AM,2026-08-05T15:02:00Z,Delivered,
ST-900079,SHP-60074,Portland,Amy Nelson,Washer/dryer pair,2,08/05/2026,AM,2026-08-05T15:30:00Z,Delivered,
ST-900090,SHP-60085,Portland,Rahul Ramos,Mattress set,1,2026-08-05,08:00-10:00,2026-08-05T15:41:00Z,Delivered,
ST-900119,SHP-60114,Portland,Amara Torres,Refrigerator,3,2026-08-05,08:00-10:00,2026-08-05T15:56:00Z,Delivered,
ST-900054,SHP-60050,Portland,Cynthia Garcia,Refrigerator,1,2026-08-05,AM,2026-08-05T16:33:00Z,Delivered,
ST-900283,SHP-60268,Austin,Kevin Cooper,Dining set,3,2026-08-05,PM,2026-08-05T18:48:00Z,Delivered,
ST-900336,SHP-60316,Austin,Ashley Williams,Bedroom set,3,08/05/2026,13:00-15:00,2026-08-05T19:30:00Z,Delivered,
ST-900112,SHP-60107,Portland,Elizabeth Chavez,Chest freezer,2,08/05/2026,PM,2026-08-05T19:40:00Z,Delivered,
ST-900292,SHP-60275,Austin,Amara Torres,Mattress set,3,2026-08-05,13:00-15:00,2026-08-05T20:20:00Z,Delivered,Address issue
ST-900059,SHP-60055,Portland,Luis Mensah,Dining set,1,08/05/2026,13:00-15:00,2026-08-05T20:46:00Z,Delivered,
ST-900171,SHP-60161,Denver,Dmitri King,Mattress set,1,2026-08-05,PM,2026-08-05T22:37:00Z,Delivered,
ST-900284,SHP-60268,Austin,Kevin Cooper,Dining set,3,08/05/2026,PM,2026-08-05T23:32:00Z,Delivered,WEATHER DELAY
ST-900210,SHP-60199,Denver,Joshua Hall,Recliner,2,2026-08-05,PM,2026-08-06T01:22:00Z,Delivered,overloaded route
ST-900185,SHP-60175,Denver,Ingrid Kelly,Refrigerator,2,08/05/2026,All day,2026-08-06T01:28:00Z,Delivered,MECHANICAL - lift gate
ST-900168,SHP-60158,Denver,Joshua Morris,Refrigerator,2,2026-08-05,All day,2026-08-06T02:25:00Z,Delivered,WEATHER DELAY
ST-900254,SHP-60239,Denver,Dorothy Parker,Dining set,2,2026-08-05,All day,2026-08-06T02:39:00Z,Delivered,breakdown on route
ST-900390,SHP-60365,Austin,Kevin Stewart,Sectional sofa,2,08/06/2026,08:00-10:00,2026-08-06T13:14:00Z,Delivered,
ST-900391,SHP-60365,Austin,Kevin Stewart,Sectional sofa,3,2026-08-06,08:00-10:00,2026-08-06T14:46:00Z,Delivered,
ST-900115,SHP-60110,Portland,Dmitri King,Refrigerator,3,2026-08-06,AM,2026-08-06T15:06:00Z,Delivered,
ST-900162,SHP-60153,Denver,Charles Mensah,Sectional sofa,3,2026-08-06,AM,2026-08-06T15:07:00Z,Delivered,
ST-900030,SHP-60028,Portland,Linda Haddad,Washer/dryer pair,2,2026-08-06,08:00-10:00,2026-08-06T15:15:00Z,Delivered,
ST-900031,SHP-60028,Portland,Linda Haddad,Washer/dryer pair,1,08/06/2026,08:00-10:00,2026-08-06T16:33:00Z,Delivered,
ST-900176,SHP-60166,Denver,Barbara Mitchell,Refrigerator,1,08/06/2026,PM,2026-08-06T18:34:00Z,Delivered,
ST-900100,SHP-60095,Portland,Barbara Mitchell,Chest freezer,2,2026-08-06,08:00-10:00,2026-08-06T19:09:00Z,Delivered,Address issue
ST-900050,SHP-60046,Portland,Emily Gutierrez,Refrigerator,1,2026-08-06,08:00-10:00,2026-08-06T19:52:00Z,Delivered,Customer NH
ST-900024,SHP-60023,Portland,Lisa Nelson,Dining set,1,08/06/2026,PM,2026-08-06T20:00:00Z,Cancelled by retailer,
ST-900213,SHP-60202,Denver,Lisa Nelson,Refrigerator,3,08/06/2026,All day,2026-08-06T20:05:00Z,Delivered,
ST-900258,SHP-60243,Denver,Jason Davis,Sectional sofa,2,2026-08-06,13:00-15:00,2026-08-06T20:46:00Z,Delivered,
ST-900069,SHP-60064,Portland,Melissa Osei,Bedroom set,3,2026-08-06,PM,2026-08-06T20:55:00Z,Delivered,
ST-900321,SHP-60302,Austin,Rebecca Howard,Chest freezer,1,08/06/2026,All day,2026-08-06T20:57:00Z,Delivered,
ST-900190,SHP-60180,Denver,Barbara Mendoza,Bedroom set,2,08/06/2026,PM,2026-08-06T22:22:00Z,Delivered,
ST-900305,SHP-60288,Austin,Kevin Harris,Wall oven,2,08/06/2026,PM,2026-08-06T23:33:00Z,Delivered,
ST-900366,SHP-60344,Austin,Joshua Morris,Washer/dryer pair,2,2026-08-07,All day,2026-08-07T13:49:00Z,Delivered,
ST-900282,SHP-60267,Austin,Richard Haddad,Chest freezer,3,08/07/2026,All day,2026-08-07T14:42:00Z,Delivered,
ST-900263,SHP-60248,Denver,Lisa Nelson,Recliner,1,2026-08-07,08:00-10:00,2026-08-07T15:51:00Z,Attempted - customer absent,
ST-900114,SHP-60109,Portland,Jacob Rodriguez,Recliner,1,08/07/2026,AM,2026-08-07T17:03:00Z,Delivered,
ST-900349,SHP-60329,Austin,Dorothy Howard,Refrigerator,3,08/07/2026,All day,2026-08-07T17:14:00Z,Delivered,
ST-900038,SHP-60035,Portland,Yuki Clark,Mattress set,2,2026-08-07,AM,2026-08-07T18:07:00Z,Delivered,
ST-900356,SHP-60335,Austin,Matthew White,Mattress set,1,08/07/2026,All day,2026-08-07T18:21:00Z,Delivered,
ST-900347,SHP-60327,Austin,Kevin Harris,Mattress set,2,08/07/2026,All day,2026-08-07T19:06:00Z,Delivered,
ST-900365,SHP-60343,Austin,Jason Richardson,Bedroom set,2,08/07/2026,13:00-15:00,2026-08-07T19:44:00Z,Delivered,
ST-900067,SHP-60062,Portland,Richard Myers,Dining set,1,2026-08-07,All day,2026-08-07T21:03:00Z,Delivered,
ST-900367,SHP-60344,Austin,Joshua Morris,Washer/dryer pair,2,08/07/2026,All day,2026-08-07T21:21:00Z,Delivered,
ST-900350,SHP-60329,Austin,Dorothy Howard,Refrigerator,3,08/07/2026,All day,2026-08-07T21:44:00Z,Delivered,
ST-900231,SHP-60219,Denver,Dorothy Myers,Mattress set,3,08/07/2026,PM,2026-08-07T22:21:00Z,Delivered,
ST-900044,SHP-60040,Portland,Kenneth Rogers,Refrigerator,3,08/07/2026,All day,2026-08-08T00:48:00Z,Delivered,weather hold
ST-900294,SHP-60277,Austin,Linda Mendoza,Recliner,1,2026-08-08,08:00-10:00,2026-08-08T13:07:00Z,Delivered,
ST-900286,SHP-60270,Austin,Ingrid Williams,Refrigerator,2,08/08/2026,All day,2026-08-08T13:15:00Z,Delivered,
ST-900307,SHP-60290,Austin,Daniel Johnson,Washer/dryer pair,3,08/08/2026,08:00-10:00,2026-08-08T13:57:00Z,Attempted - customer absent,
ST-900046,SHP-60042,Portland,Lisa Price,Chest freezer,1,08/08/2026,08:00-10:00,2026-08-08T15:26:00Z,Delivered,
ST-900013,SHP-60013,Portland,John Hernandez,Refrigerator,3,08/08/2026,AM,2026-08-08T15:53:00Z,Refused at door,
ST-900081,SHP-60076,Portland,Linda Cook,Washer/dryer pair,3,2026-08-08,08:00-10:00,2026-08-08T16:03:00Z,Refused at door,
ST-900372,SHP-60348,Austin,Joseph Jones,Wall oven,3,08/08/2026,All day,2026-08-08T16:22:00Z,Attempted - customer absent,
ST-900130,SHP-60125,Portland,Marcus Lewis,Refrigerator,1,08/08/2026,08:00-10:00,2026-08-08T16:48:00Z,Attempted - no access,
ST-900319,SHP-60301,Austin,Sarah Foster,Washer/dryer pair,1,2026-08-08,All day,2026-08-08T17:04:00Z,Delivered,
ST-900388,SHP-60363,Austin,Gary Phillips,Bedroom set,1,2026-08-08,13:00-15:00,2026-08-08T18:18:00Z,Delivered,
ST-900360,SHP-60339,Austin,Ingrid Peterson,Refrigerator,2,2026-08-08,13:00-15:00,2026-08-08T18:56:00Z,Delivered,
ST-900150,SHP-60142,Denver,David Lewis,Recliner,2,08/08/2026,13:00-15:00,2026-08-08T19:00:00Z,Delivered,
ST-900010,SHP-60010,Portland,Carol Alvarez,Dining set,1,2026-08-08,08:00-10:00,2026-08-08T20:13:00Z,Delivered,customer unavailable
ST-900230,SHP-60218,Denver,David Harris,Bedroom set,1,2026-08-08,AM,2026-08-08T20:38:00Z,Delivered,truck breakdown
ST-900320,SHP-60301,Austin,Sarah Foster,Washer/dryer pair,2,2026-08-08,All day,2026-08-08T21:32:00Z,Delivered,
ST-900151,SHP-60143,Denver,David Harris,Bedroom set,3,2026-08-08,13:00-15:00,2026-08-08T21:42:00Z,Delivered,bad address on the order
ST-900339,SHP-60319,Austin,Thomas Martin,Refrigerator,2,2026-08-08,PM,2026-08-09T01:24:00Z,Delivered,breakdown on route
ST-900389,SHP-60364,Austin,Fatima Walker,Refrigerator,3,08/09/2026,08:00-10:00,2026-08-09T14:04:00Z,Delivered,
ST-900317,SHP-60299,Austin,Sarah Foster,Chest freezer,1,2026-08-09,All day,2026-08-09T14:09:00Z,Delivered,
ST-900370,SHP-60346,Austin,Fatima Brooks,Bedroom set,1,08/09/2026,AM,2026-08-09T14:19:00Z,Delivered,
ST-900352,SHP-60331,Austin,Ingrid Williams,Refrigerator,2,08/09/2026,AM,2026-08-09T14:20:00Z,Delivered,
ST-900128,SHP-60123,Portland,Jeffrey Lopez,Wall oven,2,2026-08-09,AM,2026-08-09T15:48:00Z,Delivered,
ST-900101,SHP-60096,Portland,Fatima Walker,Bedroom set,1,08/09/2026,08:00-10:00,2026-08-09T16:18:00Z,Delivered,
ST-900216,SHP-60205,Denver,Luis Mensah,Refrigerator,3,2026-08-09,AM,2026-08-09T16:19:00Z,Delivered,
ST-900275,SHP-60260,Austin,John Hernandez,Recliner,2,08/09/2026,PM,2026-08-09T17:39:00Z,Delivered,
ST-900157,SHP-60148,Denver,Gary Wilson,Refrigerator,1,2026-08-09,AM,2026-08-09T17:41:00Z,Delivered,
ST-900207,SHP-60196,Denver,Anthony Mensah,Mattress set,2,2026-08-09,13:00-15:00,2026-08-09T19:39:00Z,Delivered,
ST-900061,SHP-60057,Portland,Amara Torres,Refrigerator,1,2026-08-09,13:00-15:00,2026-08-09T20:04:00Z,Delivered,
ST-900037,SHP-60034,Portland,Deborah Green,Mattress set,3,08/09/2026,PM,2026-08-09T23:22:00Z,Delivered,
ST-900272,SHP-60257,Austin,Dorothy Howard,Sectional sofa,2,2026-08-10,AM,2026-08-10T13:15:00Z,Delivered,
ST-900247,SHP-60232,Denver,Linda Mendoza,Dining set,1,2026-08-10,08:00-10:00,2026-08-10T14:17:00Z,Delivered,
ST-900285,SHP-60269,Austin,Kimberly Rogers,Washer/dryer pair,3,2026-08-10,PM,2026-08-10T17:38:00Z,Delivered,
ST-900371,SHP-60347,Austin,Cynthia Garcia,Bedroom set,1,2026-08-10,All day,2026-08-10T19:40:00Z,Delivered,
ST-900134,SHP-60129,Portland,Carol Alvarez,Washer/dryer pair,3,08/10/2026,All day,2026-08-10T20:25:00Z,Delivered,
ST-900335,SHP-60315,Austin,Anna Edwards,Washer/dryer pair,1,2026-08-10,All day,2026-08-10T21:15:00Z,Delivered,
ST-900125,SHP-60120,Portland,Lisa Price,Washer/dryer pair,2,08/10/2026,All day,2026-08-11T03:24:00Z,Delivered,Address issue
ST-900215,SHP-60204,Denver,Gary Phillips,Chest freezer,3,08/11/2026,08:00-10:00,2026-08-11T14:23:00Z,Attempted - customer absent,
ST-900236,SHP-60224,Denver,Ashley Myers,Sectional sofa,1,2026-08-11,08:00-10:00,2026-08-11T14:23:00Z,Delivered,
ST-900295,SHP-60278,Austin,Linda Cook,Bedroom set,3,08/11/2026,08:00-10:00,2026-08-11T14:52:00Z,Delivered,
ST-900301,SHP-60284,Austin,Linda Mendoza,Sectional sofa,2,08/11/2026,AM,2026-08-11T15:14:00Z,Delivered,
ST-900148,SHP-60140,Denver,Elizabeth Ruiz,Chest freezer,3,2026-08-11,AM,2026-08-11T15:43:00Z,Delivered,
ST-900025,SHP-60024,Portland,Jessica Gomez,Washer/dryer pair,2,2026-08-11,08:00-10:00,2026-08-11T15:58:00Z,Delivered,
ST-900041,SHP-60038,Portland,Priya Morris,Washer/dryer pair,3,2026-08-11,AM,2026-08-11T16:34:00Z,Delivered,
ST-900237,SHP-60224,Denver,Ashley Myers,Sectional sofa,1,08/11/2026,08:00-10:00,2026-08-11T17:41:00Z,Delivered,Customer NH
ST-900029,SHP-60027,Portland,Dorothy Parker,Chest freezer,3,2026-08-11,AM,2026-08-11T18:10:00Z,Delivered,
ST-900318,SHP-60300,Austin,Betty King,Washer/dryer pair,1,08/11/2026,13:00-15:00,2026-08-11T18:38:00Z,Delivered,
ST-900163,SHP-60154,Denver,Donna White,Chest freezer,1,08/11/2026,AM,2026-08-11T18:47:00Z,Delivered,too many stops
ST-900026,SHP-60024,Portland,Jessica Gomez,Washer/dryer pair,3,08/11/2026,08:00-10:00,2026-08-11T19:09:00Z,Delivered,Customer NH
ST-900005,SHP-60005,Portland,Dorothy Parker,Dining set,2,2026-08-11,All day,2026-08-11T19:50:00Z,Delivered,
ST-900218,SHP-60207,Denver,Yuki Harris,Mattress set,3,2026-08-11,PM,2026-08-11T23:48:00Z,Delivered,overloaded route
ST-900323,SHP-60304,Austin,Barbara Hernandez,Sectional sofa,3,08/12/2026,08:00-10:00,2026-08-12T14:40:00Z,Delivered,
ST-900169,SHP-60159,Denver,Dorothy Hernandez,Wall oven,1,08/12/2026,08:00-10:00,2026-08-12T14:44:00Z,Delivered,
ST-900001,SHP-60001,Portland,Jonathan Cox,Wall oven,1,2026-08-12,All day,2026-08-12T15:27:00Z,Delivered,
ST-900080,SHP-60075,Portland,Rebecca Garcia,Bedroom set,3,08/12/2026,AM,2026-08-12T16:02:00Z,Delivered,
ST-900233,SHP-60221,Denver,Jason Davis,Chest freezer,3,08/12/2026,All day,2026-08-12T16:17:00Z,Delivered,
ST-900047,SHP-60043,Portland,Matthew White,Wall oven,1,2026-08-12,AM,2026-08-12T16:43:00Z,Delivered,
ST-900042,SHP-60039,Portland,Jeffrey Lopez,Recliner,2,08/12/2026,All day,2026-08-12T17:09:00Z,Delivered,
ST-900221,SHP-60210,Denver,Edward Reed,Chest freezer,3,2026-08-12,AM,2026-08-12T18:23:00Z,Delivered,ADDRESS - gate code
ST-900139,SHP-60133,Denver,Joseph Morales,Recliner,2,2026-08-12,13:00-15:00,2026-08-12T19:13:00Z,Delivered,
ST-900241,SHP-60227,Denver,Rahul Lee,Sectional sofa,3,2026-08-12,PM,2026-08-12T19:15:00Z,Delivered,
ST-900089,SHP-60084,Portland,Rebecca Howard,Mattress set,1,2026-08-12,PM,2026-08-12T19:47:00Z,Attempted - customer absent,
ST-900124,SHP-60119,Portland,Luis Mensah,Sectional sofa,1,2026-08-12,AM,2026-08-12T20:35:00Z,Delivered,
ST-900260,SHP-60245,Denver,Rebecca Garcia,Dining set,2,08/12/2026,13:00-15:00,2026-08-12T20:40:00Z,Delivered,
ST-900129,SHP-60124,Portland,Kenneth Rogers,Chest freezer,2,08/12/2026,13:00-15:00,2026-08-12T21:06:00Z,Refused at door,
ST-900093,SHP-60088,Portland,Kathleen Clark,Wall oven,3,08/12/2026,PM,2026-08-12T22:15:00Z,Attempted - customer absent,
ST-900242,SHP-60227,Denver,Rahul Lee,Sectional sofa,2,08/12/2026,PM,2026-08-12T22:36:00Z,Delivered,
ST-900043,SHP-60039,Portland,Jeffrey Lopez,Recliner,3,2026-08-12,All day,2026-08-12T23:26:00Z,Delivered,
ST-900182,SHP-60172,Denver,Kenneth Ward,Bedroom set,2,2026-08-12,13:00-15:00,2026-08-12T23:57:00Z,Delivered,Address issue
ST-900290,SHP-60273,Austin,Cynthia Garcia,Recliner,2,2026-08-13,08:00-10:00,2026-08-13T13:28:00Z,Delivered,
ST-900327,SHP-60307,Austin,Barbara Patel,Recliner,2,08/13/2026,08:00-10:00,2026-08-13T13:31:00Z,Delivered,
ST-900214,SHP-60203,Denver,Dorothy Hernandez,Bedroom set,1,2026-08-13,08:00-10:00,2026-08-13T14:28:00Z,Delivered,
ST-900232,SHP-60220,Denver,Barbara Mendoza,Refrigerator,1,2026-08-13,08:00-10:00,2026-08-13T14:57:00Z,Delivered,
ST-900039,SHP-60036,Portland,Sharon White,Wall oven,1,08/13/2026,08:00-10:00,2026-08-13T15:10:00Z,Delivered,
ST-900194,SHP-60184,Denver,Wei Gonzalez,Dining set,2,08/13/2026,All day,2026-08-13T15:29:00Z,Delivered,
ST-900398,SHP-60372,Austin,Amara Torres,Refrigerator,3,08/13/2026,AM,2026-08-13T15:31:00Z,Delivered,
ST-900004,SHP-60004,Portland,Linda Mendoza,Sectional sofa,1,08/13/2026,AM,2026-08-13T17:01:00Z,Delivered,
ST-900380,SHP-60355,Austin,Jacob Ruiz,Sectional sofa,3,2026-08-13,PM,2026-08-13T17:08:00Z,Delivered,
ST-900314,SHP-60297,Austin,Jacob Ruiz,Sectional sofa,3,08/13/2026,PM,2026-08-13T17:18:00Z,Delivered,
ST-900074,SHP-60069,Portland,Joseph Jones,Wall oven,3,2026-08-13,AM,2026-08-13T18:42:00Z,Delivered,
ST-900342,SHP-60322,Austin,Marcus Cox,Mattress set,3,2026-08-13,All day,2026-08-13T19:20:00Z,Delivered,
ST-900040,SHP-60037,Portland,Elizabeth Chavez,Sectional sofa,3,08/13/2026,AM,2026-08-13T19:37:00Z,Delivered,bad address on the order
ST-900354,SHP-60333,Austin,Donna White,Washer/dryer pair,1,08/13/2026,AM,2026-08-13T20:40:00Z,Delivered,too many stops
ST-900018,SHP-60017,Portland,Joshua Peterson,Bedroom set,3,2026-08-13,13:00-15:00,2026-08-13T21:30:00Z,Delivered,
ST-900315,SHP-60297,Austin,Jacob Ruiz,Sectional sofa,3,2026-08-13,PM,2026-08-13T21:48:00Z,Delivered,
ST-900264,SHP-60249,Denver,Joshua Hall,Mattress set,1,08/13/2026,PM,2026-08-14T00:29:00Z,Delivered,MECHANICAL - lift gate
ST-900195,SHP-60184,Denver,Wei Gonzalez,Dining set,1,2026-08-13,All day,2026-08-14T00:40:00Z,Delivered,bad address on the order
ST-900332,SHP-60312,Austin,Mateo Price,Washer/dryer pair,3,08/14/2026,AM,2026-08-14T13:00:00Z,Delivered,
ST-900268,SHP-60253,Austin,Patricia Thomas,Washer/dryer pair,1,08/14/2026,08:00-10:00,2026-08-14T13:04:00Z,Delivered,
ST-900310,SHP-60293,Austin,Kenneth Rogers,Mattress set,3,08/14/2026,08:00-10:00,2026-08-14T14:39:00Z,Delivered,
ST-900135,SHP-60130,Portland,Dmitri King,Sectional sofa,3,2026-08-14,08:00-10:00,2026-08-14T15:00:00Z,Delivered,
ST-900034,SHP-60031,Portland,Kevin Harris,Sectional sofa,2,2026-08-14,08:00-10:00,2026-08-14T15:19:00Z,Delivered,
ST-900378,SHP-60354,Austin,Dorothy Myers,Refrigerator,3,08/14/2026,All day,2026-08-14T16:28:00Z,Delivered,
ST-900121,SHP-60116,Portland,Kimberly Davis,Sectional sofa,3,08/14/2026,08:00-10:00,2026-08-14T16:46:00Z,Refused at door,
ST-900120,SHP-60115,Portland,Jessica Gomez,Sectional sofa,3,2026-08-14,AM,2026-08-14T17:04:00Z,Delivered,
ST-900276,SHP-60261,Austin,Joshua Peterson,Washer/dryer pair,3,2026-08-14,PM,2026-08-14T17:55:00Z,Delivered,
ST-900201,SHP-60190,Denver,Sarah Torres,Washer/dryer pair,3,2026-08-14,PM,2026-08-14T18:28:00Z,Delivered,
ST-900257,SHP-60242,Denver,Lisa Nelson,Washer/dryer pair,2,08/14/2026,13:00-15:00,2026-08-14T19:02:00Z,Delivered,
ST-900386,SHP-60361,Austin,Lisa Nelson,Mattress set,1,2026-08-14,13:00-15:00,2026-08-14T19:45:00Z,Delivered,
ST-900300,SHP-60283,Austin,Rahul Ramos,Sectional sofa,1,2026-08-14,13:00-15:00,2026-08-14T19:50:00Z,Delivered,
ST-900274,SHP-60259,Austin,Nadia Martinez,Recliner,2,2026-08-14,AM,2026-08-14T20:19:00Z,Delivered,bad address on the order
ST-900122,SHP-60117,Portland,Richard Richardson,Washer/dryer pair,1,2026-08-14,PM,2026-08-14T20:36:00Z,Delivered,
ST-900006,SHP-60006,Portland,Jason Davis,Mattress set,2,08/14/2026,13:00-15:00,2026-08-14T20:47:00Z,Delivered,
ST-900082,SHP-60077,Portland,Rebecca Howard,Recliner,3,08/14/2026,13:00-15:00,2026-08-14T20:49:00Z,Delivered,
ST-900036,SHP-60033,Portland,Linda Haddad,Chest freezer,1,2026-08-14,13:00-15:00,2026-08-14T21:29:00Z,Delivered,
ST-900351,SHP-60330,Austin,Jeffrey Lopez,Sectional sofa,1,2026-08-14,All day,2026-08-14T21:44:00Z,Delivered,
ST-900379,SHP-60354,Austin,Dorothy Myers,Refrigerator,2,2026-08-14,All day,2026-08-14T21:46:00Z,Delivered,
ST-900249,SHP-60234,Denver,Charles Price,Bedroom set,1,2026-08-14,PM,2026-08-15T02:42:00Z,Delivered,bad address on the order
ST-900304,SHP-60287,Austin,Betty King,Mattress set,3,2026-08-15,08:00-10:00,2026-08-15T13:17:00Z,Delivered,
ST-900191,SHP-60181,Denver,Jeffrey Gutierrez,Wall oven,3,2026-08-15,08:00-10:00,2026-08-15T14:11:00Z,Refused at door,
ST-900008,SHP-60008,Portland,Robert Cooper,Recliner,2,08/15/2026,08:00-10:00,2026-08-15T16:06:00Z,Delivered,
ST-900396,SHP-60370,Austin,Sharon White,Mattress set,1,08/15/2026,All day,2026-08-15T16:43:00Z,Delivered,
ST-900012,SHP-60012,Portland,Linda Haddad,Recliner,2,2026-08-15,AM,2026-08-15T16:45:00Z,Delivered,
ST-900244,SHP-60229,Denver,Fatima Brooks,Mattress set,2,08/15/2026,AM,2026-08-15T16:58:00Z,Delivered,
ST-900174,SHP-60164,Denver,Linda Mendoza,Mattress set,2,08/15/2026,All day,2026-08-15T18:24:00Z,Delivered,
