Order #,Order Date,Ship To Name,Ship To Company,Address,City,State,ZIP,Weight (lb),Dims (in),Contents
UC-5359,09/11/2026,Kimberly King,Driftwood Studio,7754 Ridge Rd,Pittsburgh,PA,15222,13.0,21 x 9 x 8,Salad bowl
UC-5361,09/11/2026,Angela Long,,7476 Union St,Burlington,VT,5401,13.7,10 x 15 x 24,Cake stand
UC-5364,09/11/2026,Eric Morris,,7319 Ridge Rd,Salt Lake City,UT,84111-9262,7.8,12 x 14 x 11,Pitcher
UC-5367,09/11/2026,David Tanaka,,5016 Sycamore Ln,Bend,OR,97701,17.6,9 x 14 x 15,Lamp base
UC-5370,09/11/2026,Andrew Parker,,9195 Park Ave,Ann Arbor,MI,48104,6.8,24 x 17 x 9,Wall planter
UC-5375,09/11/2026,Donna Martin,Glassworks Optical,2120 School St,Richmond,VA,23219,12.9,18 x 17 x 10,Serving platter
UC-5377,09/11/2026,Daniel Kim,,9229 Birch Ct,Tacoma,WA,98402,20.9,7 x 11 x 22,Lamp base
UC-5379,09/11/2026,Matthew Cox,,2885 Walnut St,Sacramento,CA,95814-6170,22.5,20 x 21 x 20,Wall planter
UC-5382,09/11/2026,Richard Murphy,,1933 Willow Way,Seattle,WA,98101,23.2,15 x 15 x 11,Lamp base
UC-5385,09/11/2026,Tomasz Morgan,,8371 Elm Dr,Atlanta,GA,30303,9 oz,8 x 7 x 5,Pitcher
UC-5390,09/11/2026,Barbara Cook,Juniper Street Cafe,6602 Pine Rd,San Diego,CA,92101,11 oz,5 x 7 x 8,Cake stand
UC-5393,09/11/2026,George Johnson,Tamarack Brewing,7243 River St,Chicago,IL,60601,15.8,15 x 11 x 11,Wall planter
UC-5396,09/11/2026,Jennifer Smith,,7584 Birch Ct,Brooklyn,NY,11201,22.5,25 x 18 x 12,Planter large
UC-5397,09/11/2026,Cynthia Price,,2450 Spruce Blvd,Bend,OR,97701,3.6,15 x 18 x 22,Salad bowl
UC-5400,09/11/2026,John Rivera,Larkspur Yoga,3686 Hill St,Tucson,AZ,85701,1.2,11 x 13 x 17,Lamp base
UC-5403,09/11/2026,Yuki Cox,Driftwood Studio,190 Birch Ct,Denver,CO,80202,21.3,18 x 16 x 10,Lamp base
UC-5407,09/11/2026,Nicholas Ortiz,Orchard Hill Dental,2083 Hickory Pl,Minneapolis,MN,55401,23.6,25 x 12 x 10,Tile sample box
UC-5409,09/11/2026,Donna Osei,Quarry Road Nursery,2547 Oak Ave,Las Vegas,NV,89101,21.1,14 x 15 x 20,Umbrella stand
UC-5412,09/11/2026,Karen Rogers,,4278 Oak Ave,Chicago,IL,60601,15.0,15 x 17 x 19,Pitcher
UC-5415,09/11/2026,James Green,,1398 Oak Ave,Columbus,OH,43215,2.4,20 x 21 x 17,Lamp base
UC-5419,09/11/2026,Michelle Turner,Blue Heron Consulting,1171 Oak Ave,Raleigh,NC,27601,9 oz,6 x 9 x 5,Ramen bowls x2
UC-5422,09/11/2026,Robert King,,1680 Bridge St,Columbus,OH,43215,23.1,8 x 22 x 29,Ramen bowls x2
UC-5426,09/11/2026,Susan Nelson,Tamarack Brewing,579 Magnolia Dr,Santa Fe,NM,87501,23.9,26 x 9 x 6,Pitcher
UC-5428,09/11/2026,Ashley Hall,Foxglove Interiors,9496 Union St,Tucson,AZ,85701,2.7,22 x 30 x 9,Wall planter
UC-5432,09/11/2026,Cynthia Murphy,Juniper Street Cafe,8570 Sycamore Ln,Tucson,AZ,85701,21.7,8 x 13 x 20,Lamp base
UC-5433,09/11/2026,Sofia Osei,,5683 Market St,Bend,OR,97701,7.7,15 x 13 x 12,Salad bowl
UC-5436,09/11/2026,Kenneth Cruz,Driftwood Studio,9790 Prospect Ave,Salt Lake City,UT,84111,20.7,17 x 14 x 9,Dinner plates x4
UC-5441,09/11/2026,Linda Haddad,,189 Willow Way,San Diego,CA,92101,33.0,12 x 20 x 54,Floor vase
UC-5442,09/11/2026,Susan Stewart,Quarry Road Nursery,4671 Church St,Portland,ME,4101,11.1,13 x 14 x 9,Planter large
UC-5447,09/11/2026,Ashley Hall,Harbor Light Marine,8170 Market St,Atlanta,GA,30303,21.4,14 x 12 x 8,Wall planter
UC-5449,09/11/2026,Aisha Adams,Harbor Light Marine,3581 School St,Omaha,NE,68102,18.4,18 x 8 x 8,Stoneware mug set
UC-5453,09/11/2026,Kathleen Castillo,N/A,284 Ash St,Pittsburgh,PA,15222,6.3,22 x 20 x 9,Serving platter
UC-5456,09/11/2026,Mark Roberts,Quarry Road Nursery,4566 Main St,Savannah,GA,31401,15.8,12 x 16 x 16,Floor vase
UC-5459,09/11/2026,Marcus Robinson,,193 Prospect Ave,Denver,CO,80202-4364,13.5,28 x 14 x 7,Floor vase
UC-5461,09/11/2026,Tomasz Cruz,none,2949 Hawthorn Blvd,Denver,CO,80202,15.4,10 x 17 x 8,Dinner plates x4
UC-5463,09/11/2026,Elizabeth Hughes,Ivy Lane Florist,1500 Church St,Tacoma,WA,98402,10.0,26 x 13 x 9,Floor vase
UC-5468,09/11/2026,Jennifer Morales,Ivy Lane Florist,3345 Elm Dr,Richmond,VA,23219,6.9,22 x 18 x 9,Bud vase trio
UC-5469,09/11/2026,Ronald Martinez,Riverbend Physio,9310 School St,Cheyenne,WY,82001,19.8,28 x 19 x 9,Wall planter
UC-5474,09/11/2026,Ingrid Alvarez,Foxglove Interiors,707 Church St,Pittsburgh,PA,15222,21.4,6 x 8 x 12,Dinner plates x4
UC-5477,09/11/2026,Chloe Turner,Larkspur Yoga,4668 Willow Way,Nashville,TN,37203-8189,12.0,14 x 17 x 10,Bud vase trio
UC-5478,09/11/2026,Elizabeth Robinson,,3555 Lake Dr,Seattle,WA,98101,22.1,22 x 20 x 15,Wall planter
UC-5483,09/11/2026,Wei Thomas,Orchard Hill Dental,6829 Sycamore Ln,Bend,OR,97701-2601,19.9,23 x 20 x 18,Dinner plates x4
UC-5486,09/11/2026,Barbara Gutierrez,,8382 Highland Ave,Minneapolis,MN,55401,14.5,21 x 29 x 18,Salad bowl
UC-5487,09/11/2026,Anna Davis,,6114 Ash St,Chicago,IL,60601,18.9,14 x 48 x 12,Floor vase
UC-5491,09/11/2026,Jennifer Garcia,,7808 Hill St,Austin,TX,78701,6 oz,8 x 8 x 4,Lamp base
UC-5493,09/11/2026,Carlos Allen,Orchard Hill Dental,3178 Spruce Blvd,Portland,OR,97209,21.7,20 x 12 x 11,Lamp base
