Transaction ID,Created,First Name,Last Name,Email,Amount,Refunded Amount,Status,Frequency,Type,Fundraising Page,Memo
GV-881150,2025-01-27 22:01:45,Sarah,Walker,sarahwalker62@hotmail.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-881157,2025-02-01 17:00:29,Amy,King,amy_king@protonmail.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-881199,2025-02-04 18:42:14,Yuki,Lopez,yuki_lopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-881188,2025-02-04 19:30:53,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-881230,2025-02-05 13:14:06,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-881266,2025-02-06 07:29:40,George,Reed,george_reed@outlook.com,25.00,0.00,Succeeded,One-time,Donation,,
GV-881240,2025-02-06 09:41:05,Kwame,Nelson,kwamenelson29@outlook.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-881302,2025-02-11 09:15:00,Anna,Clark,anna_clark@gmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-881321,2025-02-11 13:00:28,Betty,Cooper,betty.cooper@aol.com,250.00,0.00,Succeeded,One-time,Donation,,
GV-881340,2025-02-12 07:06:33,Priya,Taylor,ptaylor@gmail.com,150.00,75.00,Partially Refunded,One-time,Donation,,
GV-881369,2025-03-01 15:30:54,Dmitri,White,white.dmitri@gmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-881392,2025-03-02 08:43:17,Matthew,White,mwhite@outlook.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-881403,2025-03-04 12:22:50,Sarah,Walker,sarahwalker62@hotmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-881435,2025-03-04 14:26:38,Yuki,Lopez,ylopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-881431,2025-03-04 16:54:06,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-881486,2025-03-05 09:17:19,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-881458,2025-03-05 18:56:53,Kathleen,Anderson,kathleen.anderson@hotmail.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-881532,2025-03-08 08:20:05,Hiroshi,Lindqvist,hiroshi.lindqvist@yahoo.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-881518,2025-03-08 21:28:24,Matthew,Hernandez,hernandez.matthew@protonmail.com,100.00,0.00,Succeeded,One-time,Donation,Run for Hunger 2025 - Team Williams,
SC-881518,2025-03-08 21:28:26,Karen,Williams,karenwilliams17@yahoo.com,100.00,0.00,Succeeded,One-time,Soft Credit,Run for Hunger 2025 - Team Williams,soft credit for GV-881518
GV-881545,2025-03-10 07:12:13,Linda,Cook,linda.cook@protonmail.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-881571,2025-03-19 11:40:05,Linda,Cook,linda.cook@protonmail.com,250.00,0.00,Succeeded,One-time,Donation,,
GV-881632,2025-03-22 09:01:42,Yuki,Lopez,ylopez@gmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-881595,2025-03-22 19:13:44,Sarah,Walker,sarahwalker62@hotmail.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-881670,2025-03-23 14:55:46,Laura,Ortiz,ortiz.laura@gmail.com,50.00,0.00,Succeeded,One-time,Donation,Run for Hunger 2025 - Team Williams,
SC-881670,2025-03-23 14:55:48,Karen,Williams,karenwilliams17@yahoo.com,50.00,0.00,Succeeded,One-time,Soft Credit,Run for Hunger 2025 - Team Williams,soft credit for GV-881670
GV-881693,2025-03-28 10:29:45,Betty,Cooper,betty.cooper@aol.com,250.00,0.00,Succeeded,One-time,Donation,,
GV-881696,2025-04-04 13:04:14,Yuki,Lopez,yuki_lopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-881699,2025-04-04 17:02:05,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-881711,2025-04-05 10:32:52,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-881739,2025-04-07 19:24:56,Karen,Nguyen,karen.nguyen@gmail.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-881779,2025-04-10 11:32:44,Charles,Wilson,wilson.charles@outlook.com,150.00,75.00,Partially Refunded,One-time,Donation,,
GV-881804,2025-04-17 17:58:24,Matthew,White,mwhite@outlook.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-881843,2025-04-25 12:36:10,Tom,Johnson,thomas_johnson@aol.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-881846,2025-05-01 15:30:33,Ken,Ward,ward.kenneth@me.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-881876,2025-05-04 09:17:18,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-881888,2025-05-04 14:11:21,William,Lopez,lopez.william@hotmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-881900,2025-05-05 18:47:38,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-881906,2025-05-07 18:01:37,Karen,Nguyen,karen.nguyen@gmail.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-881920,2025-05-11 10:29:08,Yuki,Lopez,ylopez@gmail.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-881944,2025-05-15 20:13:32,Tim,Wilson,timothy_wilson@protonmail.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-881959,2025-05-16 20:00:54,Karen,Nguyen,karen.nguyen@gmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-881997,2025-05-19 18:31:23,Leila,Haddad,haddad.leila@yahoo.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-882046,2025-06-04 09:57:22,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-882033,2025-06-04 13:35:06,Yuki,Lopez,ylopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-882003,2025-06-04 19:56:29,Anna,Clark,clark.anna@hotmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-882065,2025-06-05 22:33:11,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882101,2025-06-07 17:42:14,Amara,Nguyen,amaranguyen12@outlook.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882115,2025-06-08 13:42:53,Ryan,Mitchell,mitchell.ryan@gmail.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-882139,2025-06-17 11:21:19,Angela,Flores,angela_flores@outlook.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-882167,2025-06-19 14:29:29,Jon,Kim,jonathan_kim@icloud.com,100.00,0.00,Succeeded,One-time,Donation,Run for Hunger 2025 - Team Cook,
SC-882167,2025-06-19 14:29:31,Linda,Cook,linda.cook@protonmail.com,100.00,0.00,Succeeded,One-time,Soft Credit,Run for Hunger 2025 - Team Cook,soft credit for GV-882167
GV-882172,2025-06-20 13:40:42,Bill,Lopez,lopez.william@hotmail.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-882208,2025-06-23 19:54:48,Stephanie,Alvarez,stephanie.alvarez@me.com,250.00,0.00,Succeeded,One-time,Donation,,
GV-882243,2025-06-24 19:02:25,Rahul,Lee,rlee@outlook.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-882254,2025-06-30 12:53:54,Ken,Ward,ward.kenneth@me.com,50.00,0.00,Succeeded,One-time,Donation,Run for Hunger 2025 - Team Cook,
SC-882254,2025-06-30 12:53:56,Linda,Cook,linda.cook@protonmail.com,50.00,0.00,Succeeded,One-time,Soft Credit,Run for Hunger 2025 - Team Cook,soft credit for GV-882254
GV-882282,2025-07-04 18:34:00,Yuki,Lopez,ylopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-882263,2025-07-04 22:33:16,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-882297,2025-07-05 21:19:54,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882306,2025-07-07 07:12:29,Karen,Nguyen,knguyen@gmail.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882316,2025-07-09 16:14:00,Laura,Ortiz,lauraortiz42@cedarpine.co,25.00,0.00,Succeeded,One-time,Donation,,
GV-882330,2025-07-14 20:59:17,Charles,Mensah,charles.mensah@aol.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-882356,2025-07-21 18:20:35,Linda,Cook,linda.cook@protonmail.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-882369,2025-07-30 07:08:47,Ryan,Mitchell,mitchell.ryan@gmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-882385,2025-08-03 13:01:16,Aisha,Hernandez,aisha_hernandez@gmail.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-882416,2025-08-04 09:06:45,Yuki,Lopez,ylopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-882445,2025-08-04 12:03:15,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-882484,2025-08-05 20:23:44,Karen,Carter,karen.carter@outlook.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882535,2025-08-07 08:10:34,Karen,Nguyen,karen.nguyen@gmail.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882499,2025-08-07 18:46:32,George,Reed,reed.george@me.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-882558,2025-08-08 16:18:27,Hiroshi,Lindqvist,hiroshi_lindqvist@gmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-882595,2025-08-20 08:56:22,Matthew,White,matthew_white@yahoo.com,250.00,0.00,Succeeded,One-time,Donation,Run for Hunger 2025 - Team Cook,
SC-882595,2025-08-20 08:56:24,Linda,Cook,linda.cook@protonmail.com,250.00,0.00,Succeeded,One-time,Soft Credit,Run for Hunger 2025 - Team Cook,soft credit for GV-882595
GV-882612,2025-08-21 18:28:23,Betty,Cooper,betty.cooper@aol.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-882619,2025-08-24 12:04:41,Jonathan,Kim,jonathan_kim@icloud.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-882633,2025-09-04 09:24:16,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-882629,2025-09-04 17:27:31,Yuki,Lopez,ylopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-882652,2025-09-05 07:33:07,Karen,Carter,karen.carter@outlook.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882648,2025-09-05 22:10:38,Hiroshi,Lindqvist,hiroshi.lindqvist@yahoo.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-882692,2025-09-07 13:28:39,Amara,Nguyen,amaranguyen35@aol.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882701,2025-09-10 12:56:04,Thomas,Johnson,thomas.johnson@gmail.com,250.00,0.00,Succeeded,One-time,Donation,,
GV-882737,2025-09-13 16:09:55,Dana,Thomas,dana.thomas@gmail.com,25.00,0.00,Succeeded,One-time,Donation,,
GV-882766,2025-09-23 22:18:41,Matthew,Hernandez,matthew_hernandez@gmail.com,250.00,0.00,Succeeded,One-time,Donation,,
GV-882799,2025-10-04 17:43:32,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-882831,2025-10-04 22:52:05,Yuki,Lopez,yuki_lopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-882839,2025-10-05 17:04:50,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882872,2025-10-07 11:41:31,Karen,Nguyen,knguyen@gmail.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882901,2025-10-11 10:36:32,Anna,Clark,clark.anna@hotmail.com,150.00,0.00,Succeeded,One-time,Donation,Run for Hunger 2025 - Team Williams,
SC-882901,2025-10-11 10:36:34,Karen,Williams,karenwilliams17@yahoo.com,150.00,0.00,Succeeded,One-time,Soft Credit,Run for Hunger 2025 - Team Williams,soft credit for GV-882901
GV-882904,2025-10-13 21:44:37,Stephanie,Alvarez,stephanie.alvarez@me.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-882912,2025-11-04 15:48:35,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-882925,2025-11-04 17:32:47,Bill,Lopez,lopez.william@hotmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-882956,2025-11-05 18:20:49,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882970,2025-11-07 17:44:45,Amara,Nguyen,amaranguyen12@outlook.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-882993,2025-11-10 09:56:50,Angela,Flores,angelaflores50@outlook.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-883055,2025-12-04 08:38:25,Amy,King,aking@gmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-883016,2025-12-04 16:58:06,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-883088,2025-12-04 21:18:52,Bill,Lopez,lopez.william@hotmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-883115,2025-12-05 08:13:10,Karen,Carter,karen_carter@yahoo.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-883125,2025-12-07 09:05:49,Karen,Nguyen,karen.nguyen@gmail.com,15.00,0.00,Succeeded,Recurring,Donation,,
GV-883146,2025-12-20 16:49:03,Kathleen,Anderson,kanderson@outlook.com,25.00,0.00,Succeeded,One-time,Donation,,
