Team Sales - Opportunities by close date
Close date 08/01/2026 - 08/31/2026
Order #,Close Date,Account,Owner,Stage,Amount
SO-72027,08/31/2026,Magnolia Swim Club,Deborah Ward,Closed Won,"$6,090.19"
SO-72029,08/31/2026,Uptown Fitness,Daniel Kim,Closed Won,"$6,007.92"
SO-72033,08/31/2026,Tamarack Trail Runners,Daniel Kim,Closed Won,"$1,523.73"
SO-72037,08/31/2026,Uptown Fitness,Laila Haddad,Closed Won,"$4,417.29"
SO-72039,08/05/2026,Silverline Cycling Club,Laila Haddad,Quote Sent,"$7,373.19"
SO-72041,08/13/2026,Silverline Cycling Club,Daniel Kim,Negotiation,"$3,313.70"
SO-72045,08/29/2026,Uptown Fitness,Daniel Kim,Closed Lost,"$8,729.05"
SO-72048,08/28/2026,Magnolia Swim Club,Daniel Kim,Quote Sent,"$8,277.66"
SO-72052,08/23/2026,Larkspur Dance Academy,Rebecca Brooks,Closed Lost,"$1,898.99"
SO-72053,08/28/2026,Riverbend High School,Kwame Osei,Closed Lost,"$7,156.10"
SO-72054,08/19/2026,Oakhurst Rowing Club,Rebecca Brooks,Closed Lost,"$10,391.80"
SO-72055,08/03/2026,Harbor City FC,Daniel Kim,Quote Sent,"$2,476.86"
SO-72059,08/01/2026,Fernbrook Montessori,Rebecca Brooks,Negotiation,"$2,214.45"
