Low Meadow Land Trust - Gift Detail Report
Gift dates 06/01/2026 to 09/10/2026; all funds; all statuses

Gift ID,Donor ID,Donor Name,Gift Date,Amount,Fund Code,Gift Type,Status,Notes
G-40529,D51712,Sandra Morris,07/22/2026,"$3,000.00",HATCH,Pledge Payment,Posted,Installment 1
G-48542,D93427,William Cooper,07/27/2026,$93.00,GEN,Online,Posted,
G-45805,D56598,Joshua Parker,07/28/2026,"$3,333.00",HATCH,Pledge Payment,Posted,Installment 1
G-45087,D35764,Linda Moore,07/29/2026,$662.44,HATCH,Online,Posted,
G-48705,D12708,Dana Morales,07/29/2026,"$2,252.67",HATCH,Credit Card,Posted,
G-43489,D82545,Wei Morgan,07/30/2026,"$2,355.00",HATCH,Online,Posted,
G-46011,D98645,Steven Martin,07/30/2026,"$1,909.00",HATCH,Online,Posted,
G-48330,D88402,Matthew Campbell,08/01/2026,"$3,333.00",HATCH,Pledge Payment,Posted,Installment 1
G-41616,D49770,Eric Turner,08/02/2026,$788.00,HATCH,Check,Posted,
G-44084,D85458,Mary Harris,08/02/2026,$180.20,GEN,Check,Posted,
G-43885,D25347,Stephanie Walker,08/07/2026,"$1,119.00",HATCH,Credit Card,Posted,
G-41193,D16772,Melissa Kelly,08/07/2026,$467.00,HATCH,Credit Card,Posted,
G-49143,D51354,Jonathan Flores,08/08/2026,"$2,136.00",HATCH,Credit Card,Posted,
G-41848,D88402,Matthew Campbell,08/08/2026,"$10,000.00",HATCH,Check,Posted,Major gift
G-49162,D80774,Anthony Nelson,08/09/2026,"$1,963.00",HATCH,Check,Posted,
G-46644,D60354,Patricia Young,08/10/2026,$924.40,HATCH,Online,Posted,
G-46553,D80803,Marcus Alvarez,08/10/2026,"$2,314.00",HATCH,Credit Card,Posted,
G-49432,D79842,Karen Alvarez,08/12/2026,$378.00,HATCH,Online,Refunded,Duplicate charge - refunded 8/13
G-42668,D79842,Karen Alvarez,08/12/2026,$378.00,HATCH,Online,Posted,
G-47168,D99893,Wei Mensah,08/15/2026,$769.85,HATCH,Online,Posted,
G-40390,D22245,Laura Ramos,08/15/2026,$684.00,GEN,Credit Card,Posted,
G-49868,D49770,Eric Turner,08/15/2026,$764.88,GEN,Check,Posted,
G-44354,D22335,Lisa Nelson,08/16/2026,$493.00,GEN,Credit Card,Posted,
G-47799,D37664,Daniel Foster,08/19/2026,$715.00,GEN,Credit Card,Posted,
G-41924,D99710,Kenneth Brooks,08/22/2026,$748.00,HATCH,Credit Card,Posted,
G-41418,D66725,Amanda Williams,08/23/2026,"$1,257.15",HATCH,Online,Posted,
G-46451,D45727,Fatima Howard,08/24/2026,$627.40,HATCH,Online,Posted,
G-41621,D99710,Kenneth Brooks,08/26/2026,$489.00,GEN,Credit Card,Posted,
G-44957,D89153,Matthew Ross,08/28/2026,"$1,040.00",HATCH,Credit Card,Posted,
G-41575,D62911,Steven Bennett,08/28/2026,$707.00,HATCH,Credit Card,Posted,
G-48271,D79842,Karen Alvarez,08/29/2026,$945.65,HATCH,Check,Posted,
G-40910,D62823,Nadia Moore,09/01/2026,"$1,360.00",HATCH,Credit Card,Posted,
G-48855,D72141,William Cook,09/02/2026,$627.29,HATCH,Credit Card,Posted,
G-44385,D73807,Donna Miller,09/05/2026,"$4,000.00",HATCH,Pledge Payment,Posted,Installment 1
G-43237,D51796,Michelle Hall,09/08/2026,$980.00,HATCH,Online,Posted,
G-44729,D28560,Yuki Kim,09/08/2026,"$1,280.00",HATCH,Check,Posted,
G-40639,D80803,Marcus Alvarez,09/08/2026,"$1,024.00",GEN,Online,Posted,
G-49697,D85836,Michael Nelson,09/09/2026,$952.61,GEN,Check,Posted,
G-47843,D35643,Ronald White,09/09/2026,$157.00,HATCH,Credit Card,Posted,
G-47460,D32896,George Nguyen,09/10/2026,"$2,102.00",HATCH,Credit Card,Posted,
