Order Number,Order Date,Order Status,Payment Method Title,Customer Name,Billing State,SKU,Item Name,Product Categories,Quantity,Item Cost,Line Subtotal,Cart Discount,Order Shipping,Order Tax,Order Total,Refund Amount,Refund Date
10893,2026-08-04 19:23:00,completed,Credit Card (Stripe),Sarah Torres,CA,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,3,38.00,114.00,0.00,0.00,0.00,200.50,,
10893,2026-08-04 19:23:00,completed,Credit Card (Stripe),Sarah Torres,CA,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,0.00,0.00,200.50,,
10893,2026-08-04 19:23:00,completed,Credit Card (Stripe),Sarah Torres,CA,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,3,17.50,52.50,0.00,0.00,0.00,200.50,,
10894,2026-08-05 06:12:00,completed,Credit Card (Stripe),Sarah Foster,AZ,MER-TOTE,Canvas Tote,Merch,1,22.00,22.00,0.00,7.95,0.00,63.95,,
10894,2026-08-05 06:12:00,completed,Credit Card (Stripe),Sarah Foster,AZ,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,7.95,0.00,63.95,,
10895,2026-08-05 17:21:00,completed,Credit Card (Stripe),Richard Richardson,CO,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,2,16.50,33.00,0.00,7.95,1.35,42.30,16.50,2026-08-10
10896,2026-08-06 06:57:00,failed,Credit Card (Stripe),Steven Morgan,TX,EQP-DRIP,Pour-over Dripper,Brewing Equipment,3,28.00,84.00,0.00,0.00,0.00,84.00,,
10897,2026-08-06 14:07:00,completed,PayPal,Marcus Cox,CO,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,1,18.00,18.00,0.00,0.00,3.85,97.85,18.00,2026-08-11
10897,2026-08-06 14:07:00,completed,PayPal,Marcus Cox,CO,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,2,38.00,76.00,0.00,0.00,3.85,97.85,18.00,2026-08-11
10898,2026-08-07 06:08:00,refunded,Credit Card (Stripe),Charles Flores,OR,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,2,19.50,39.00,0.00,7.95,0.00,46.95,46.95,2026-08-10
10899,2026-08-07 16:57:00,completed,Credit Card (Stripe),Richard Myers,CO,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,1,16.50,16.50,0.00,0.00,5.56,141.06,,
10899,2026-08-07 16:57:00,completed,Credit Card (Stripe),Richard Myers,CO,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,5.56,141.06,,
10900,2026-08-08 03:59:00,completed,Credit Card (Stripe),Elizabeth Ruiz,IL,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,1,17.50,17.50,0.00,7.95,0.00,44.95,,
10900,2026-08-08 03:59:00,completed,Credit Card (Stripe),Elizabeth Ruiz,IL,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,1,19.50,19.50,0.00,7.95,0.00,44.95,,
10901,2026-08-08 16:41:00,completed,PayPal,Kevin Stewart,OR,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,1,16.50,16.50,0.00,7.95,0.00,24.45,,
10902,2026-08-09 02:22:00,completed,PayPal,Wei Gonzalez,CO,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,0.00,5.37,136.37,,
10902,2026-08-09 02:22:00,completed,PayPal,Wei Gonzalez,CO,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,1,18.00,18.00,0.00,0.00,5.37,136.37,,
10902,2026-08-09 02:22:00,completed,PayPal,Wei Gonzalez,CO,EQP-KETTLE,Gooseneck Kettle,Brewing Equipment,1,64.00,64.00,0.00,0.00,5.37,136.37,,
10902,2026-08-09 02:22:00,completed,PayPal,Wei Gonzalez,CO,EQP-DRIP,Pour-over Dripper,Brewing Equipment,1,28.00,28.00,0.00,0.00,5.37,136.37,,
10903,2026-08-09 12:24:00,completed,PayPal,Dorothy Parker,CO,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,7.95,1.39,43.34,,
10904,2026-08-10 01:58:00,completed,Credit Card (Stripe),Kenneth Ward,CO,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,1,38.00,38.00,3.80,7.95,1.40,43.55,,
10905,2026-08-10 12:50:00,completed,PayPal,Yuki Clark,WA,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,1,17.50,17.50,0.00,7.95,0.00,47.95,,
10905,2026-08-10 12:50:00,completed,PayPal,Yuki Clark,WA,EQP-FILT,Paper Filters (100),Brewing Equipment,3,7.50,22.50,0.00,7.95,0.00,47.95,,
10906,2026-08-11 02:09:00,completed,Credit Card (Stripe),Priya Morris,IL,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,1,17.50,17.50,0.00,0.00,0.00,136.50,,
10906,2026-08-11 02:09:00,completed,Credit Card (Stripe),Priya Morris,IL,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,0.00,136.50,,
10907,2026-08-11 12:21:00,completed,Credit Card (Stripe),Jeffrey Gutierrez,CO,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,7.95,0.86,29.81,,
10908,2026-08-12 00:37:00,completed,Credit Card (Stripe),Kimberly Davis,AZ,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,3,17.50,52.50,5.25,7.95,0.00,55.20,,
10909,2026-08-12 10:28:00,completed,Credit Card (Stripe),Priya Johnson,CO,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,3,38.00,114.00,0.00,0.00,6.54,166.04,,
10909,2026-08-12 10:28:00,completed,Credit Card (Stripe),Priya Johnson,CO,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,1,17.50,17.50,0.00,0.00,6.54,166.04,,
10909,2026-08-12 10:28:00,completed,Credit Card (Stripe),Priya Johnson,CO,EQP-DRIP,Pour-over Dripper,Brewing Equipment,1,28.00,28.00,0.00,0.00,6.54,166.04,,
10910,2026-08-12 22:44:00,completed,Credit Card (Stripe),Barbara Patel,CO,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,0.00,5.74,145.74,,
10910,2026-08-12 22:44:00,completed,Credit Card (Stripe),Barbara Patel,CO,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,5.74,145.74,,
10911,2026-08-13 11:07:00,pending,PayPal,Stephanie Alvarez,CO,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,3,18.00,54.00,0.00,0.00,4.02,102.02,,
10911,2026-08-13 11:07:00,pending,PayPal,Stephanie Alvarez,CO,MER-TOTE,Canvas Tote,Merch,2,22.00,44.00,0.00,0.00,4.02,102.02,,
10912,2026-08-13 22:51:00,completed,Credit Card (Stripe),Chloe Watson,CO,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,2,18.00,36.00,5.40,7.95,1.99,58.54,,
10912,2026-08-13 22:51:00,completed,Credit Card (Stripe),Chloe Watson,CO,SUB-1BAG,Coffee Subscription - 1 bag/mo,"Coffee > Single Origin, Subscriptions",1,18.00,18.00,5.40,7.95,1.99,58.54,,
10913,2026-08-14 10:23:00,cancelled,Credit Card (Stripe),James Ward,AZ,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,2,21.00,42.00,0.00,0.00,0.00,105.50,,
10913,2026-08-14 10:23:00,cancelled,Credit Card (Stripe),James Ward,AZ,MER-TOTE,Canvas Tote,Merch,1,22.00,22.00,0.00,0.00,0.00,105.50,,
10913,2026-08-14 10:23:00,cancelled,Credit Card (Stripe),James Ward,AZ,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,0.00,0.00,105.50,,
10913,2026-08-14 10:23:00,cancelled,Credit Card (Stripe),James Ward,AZ,EQP-FILT,Paper Filters (100),Brewing Equipment,1,7.50,7.50,0.00,0.00,0.00,105.50,,
10914,2026-08-14 21:02:00,completed,PayPal,Amy Nelson,CO,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,2,19.50,39.00,0.00,0.00,3.81,96.81,,
10914,2026-08-14 21:02:00,completed,PayPal,Amy Nelson,CO,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,3,18.00,54.00,0.00,0.00,3.81,96.81,,
10915,2026-08-15 10:56:00,completed,Credit Card (Stripe),Ashley Myers,UT,SUB-1BAG,Coffee Subscription - 1 bag/mo,"Coffee > Single Origin, Subscriptions",1,18.00,18.00,0.00,0.00,0.00,85.00,,
10915,2026-08-15 10:56:00,completed,Credit Card (Stripe),Ashley Myers,UT,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,0.00,0.00,85.00,,
10915,2026-08-15 10:56:00,completed,Credit Card (Stripe),Ashley Myers,UT,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,2,16.50,33.00,0.00,0.00,0.00,85.00,,
10916,2026-08-15 20:36:00,completed,Credit Card (Stripe),Carol Alvarez,OR,EQP-DRIP,Pour-over Dripper,Brewing Equipment,1,28.00,28.00,2.80,7.95,0.00,33.15,,
10917,2026-08-16 06:14:00,pending,Credit Card (Stripe),David Harris,WA,MER-MUG,Nightjar Mug,Merch,1,16.00,16.00,0.00,7.95,0.00,57.95,,
10917,2026-08-16 06:14:00,pending,Credit Card (Stripe),David Harris,WA,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,7.95,0.00,57.95,,
10918,2026-08-16 19:47:00,completed,Credit Card (Stripe),Carlos Lewis,CO,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,1,19.50,19.50,0.00,0.00,2.75,69.75,,
10918,2026-08-16 19:47:00,completed,Credit Card (Stripe),Carlos Lewis,CO,MER-MUG,Nightjar Mug,Merch,1,16.00,16.00,0.00,0.00,2.75,69.75,,
10918,2026-08-16 19:47:00,completed,Credit Card (Stripe),Carlos Lewis,CO,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,1,16.50,16.50,0.00,0.00,2.75,69.75,,
10918,2026-08-16 19:47:00,completed,Credit Card (Stripe),Carlos Lewis,CO,EQP-FILT,Paper Filters (100),Brewing Equipment,2,7.50,15.00,0.00,0.00,2.75,69.75,,
10919,2026-08-17 06:30:00,failed,PayPal,Donald Mensah,CO,EQP-KETTLE,Gooseneck Kettle,Brewing Equipment,1,64.00,64.00,0.00,0.00,4.96,125.96,,
10919,2026-08-17 06:30:00,failed,PayPal,Donald Mensah,CO,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,2,21.00,42.00,0.00,0.00,4.96,125.96,,
10919,2026-08-17 06:30:00,failed,PayPal,Donald Mensah,CO,EQP-FILT,Paper Filters (100),Brewing Equipment,2,7.50,15.00,0.00,0.00,4.96,125.96,,
10920,2026-08-17 19:35:00,completed,PayPal,Charles Mensah,NY,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,7.95,0.00,63.95,,
10920,2026-08-17 19:35:00,completed,PayPal,Charles Mensah,NY,MER-TOTE,Canvas Tote,Merch,1,22.00,22.00,0.00,7.95,0.00,63.95,,
10921,2026-08-18 06:19:00,refunded,Credit Card (Stripe),Anna Edwards,CO,SUB-1BAG,Coffee Subscription - 1 bag/mo,"Coffee > Single Origin, Subscriptions",1,18.00,18.00,4.00,7.95,1.48,45.43,45.43,2026-08-21
10921,2026-08-18 06:19:00,refunded,Credit Card (Stripe),Anna Edwards,CO,MER-TOTE,Canvas Tote,Merch,1,22.00,22.00,4.00,7.95,1.48,45.43,45.43,2026-08-21
10922,2026-08-18 17:18:00,completed,Credit Card (Stripe),Barbara Hernandez,CO,MER-MUG,Nightjar Mug,Merch,3,16.00,48.00,0.00,0.00,5.13,130.13,,
10922,2026-08-18 17:18:00,completed,Credit Card (Stripe),Barbara Hernandez,CO,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,0.00,5.13,130.13,,
10922,2026-08-18 17:18:00,completed,Credit Card (Stripe),Barbara Hernandez,CO,EQP-DRIP,Pour-over Dripper,Brewing Equipment,2,28.00,56.00,0.00,0.00,5.13,130.13,,
10923,2026-08-19 08:04:00,completed,Credit Card (Stripe),Kenneth Rogers,CO,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,1,16.50,16.50,0.00,7.95,0.68,25.13,,
10924,2026-08-19 19:06:00,completed,PayPal,Gary Wilson,CA,MER-MUG,Nightjar Mug,Merch,1,16.00,16.00,0.00,7.95,0.00,23.95,,
10925,2026-08-20 07:12:00,on-hold,Direct bank transfer,Joshua Peterson,TX,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,0.00,161.00,,
10925,2026-08-20 07:12:00,on-hold,Direct bank transfer,Joshua Peterson,TX,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,1,19.50,19.50,0.00,0.00,0.00,161.00,,
10925,2026-08-20 07:12:00,on-hold,Direct bank transfer,Joshua Peterson,TX,EQP-FILT,Paper Filters (100),Brewing Equipment,3,7.50,22.50,0.00,0.00,0.00,161.00,,
10926,2026-08-20 18:08:00,failed,PayPal,Donna Alvarez,UT,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,3,38.00,114.00,0.00,0.00,0.00,114.00,,
10927,2026-08-21 06:13:00,completed,Credit Card (Stripe),Jessica Peterson,UT,EQP-FILT,Paper Filters (100),Brewing Equipment,1,7.50,7.50,0.00,7.95,0.00,37.45,,
10927,2026-08-21 06:13:00,completed,Credit Card (Stripe),Jessica Peterson,UT,MER-TOTE,Canvas Tote,Merch,1,22.00,22.00,0.00,7.95,0.00,37.45,,
10928,2026-08-21 16:18:00,completed,Credit Card (Stripe),Kevin Cooper,WA,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,2,38.00,76.00,0.00,0.00,0.00,111.50,,
10928,2026-08-21 16:18:00,completed,Credit Card (Stripe),Kevin Cooper,WA,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,1,17.50,17.50,0.00,0.00,0.00,111.50,,
10928,2026-08-21 16:18:00,completed,Credit Card (Stripe),Kevin Cooper,WA,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,1,18.00,18.00,0.00,0.00,0.00,111.50,,
10929,2026-08-22 04:37:00,completed,Credit Card (Stripe),Anthony Mensah,CO,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,7.95,1.39,43.34,,
10930,2026-08-22 15:49:00,completed,Credit Card (Stripe),Ingrid Peterson,CO,EQP-KETTLE,Gooseneck Kettle,Brewing Equipment,1,64.00,64.00,6.40,0.00,2.36,59.96,,
10931,2026-08-23 01:15:00,completed,PayPal,Amara Torres,IL,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,16.00,0.00,0.00,144.00,,
10931,2026-08-23 01:15:00,completed,PayPal,Amara Torres,IL,MER-MUG,Nightjar Mug,Merch,3,16.00,48.00,16.00,0.00,0.00,144.00,,
10931,2026-08-23 01:15:00,completed,PayPal,Amara Torres,IL,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,2,17.50,35.00,16.00,0.00,0.00,144.00,,
10931,2026-08-23 01:15:00,completed,PayPal,Amara Torres,IL,EQP-DRIP,Pour-over Dripper,Brewing Equipment,2,28.00,56.00,16.00,0.00,0.00,144.00,,
10932,2026-08-23 16:12:00,cancelled,PayPal,Jeffrey Lopez,UT,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,1,19.50,19.50,0.00,7.95,0.00,27.45,,
10933,2026-08-24 02:33:00,completed,Credit Card (Stripe),Luis Mensah,CO,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,9.06,230.06,,
10933,2026-08-24 02:33:00,completed,Credit Card (Stripe),Luis Mensah,CO,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,0.00,9.06,230.06,,
10933,2026-08-24 02:33:00,completed,Credit Card (Stripe),Luis Mensah,CO,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,2,17.50,35.00,0.00,0.00,9.06,230.06,,
10933,2026-08-24 02:33:00,completed,Credit Card (Stripe),Luis Mensah,CO,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,2,16.50,33.00,0.00,0.00,9.06,230.06,,
10934,2026-08-24 15:24:00,completed,Credit Card (Stripe),Deborah Green,OR,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,3,17.50,52.50,0.00,0.00,0.00,120.50,,
10934,2026-08-24 15:24:00,completed,Credit Card (Stripe),Deborah Green,OR,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,0.00,0.00,120.50,,
10934,2026-08-24 15:24:00,completed,Credit Card (Stripe),Deborah Green,OR,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,1,18.00,18.00,0.00,0.00,0.00,120.50,,
10934,2026-08-24 15:24:00,completed,Credit Card (Stripe),Deborah Green,OR,MER-MUG,Nightjar Mug,Merch,1,16.00,16.00,0.00,0.00,0.00,120.50,,
10935,2026-08-25 00:03:00,completed,PayPal,Fatima Walker,WA,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,2,19.50,39.00,0.00,7.95,0.00,46.95,,
10936,2026-08-25 12:15:00,completed,Credit Card (Stripe),Donna White,NY,MER-MUG,Nightjar Mug,Merch,1,16.00,16.00,0.00,7.95,0.00,57.95,,
10936,2026-08-25 12:15:00,completed,Credit Card (Stripe),Donna White,NY,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,7.95,0.00,57.95,,
10937,2026-08-25 22:35:00,completed,PayPal,Matthew White,NY,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,3,19.50,58.50,0.00,0.00,0.00,177.50,,
10937,2026-08-25 22:35:00,completed,PayPal,Matthew White,NY,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,0.00,177.50,,
10938,2026-08-26 11:49:00,on-hold,Direct bank transfer,John Ward,CO,MER-MUG,Nightjar Mug,Merch,2,16.00,32.00,0.00,0.00,9.64,244.64,,
10938,2026-08-26 11:49:00,on-hold,Direct bank transfer,John Ward,CO,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,9.64,244.64,,
10938,2026-08-26 11:49:00,on-hold,Direct bank transfer,John Ward,CO,SUB-1BAG,Coffee Subscription - 1 bag/mo,"Coffee > Single Origin, Subscriptions",1,18.00,18.00,0.00,0.00,9.64,244.64,,
10938,2026-08-26 11:49:00,on-hold,Direct bank transfer,John Ward,CO,MER-TOTE,Canvas Tote,Merch,3,22.00,66.00,0.00,0.00,9.64,244.64,,
10939,2026-08-26 22:43:00,completed,Credit Card (Stripe),Dmitri King,TX,EQP-DRIP,Pour-over Dripper,Brewing Equipment,2,28.00,56.00,0.00,0.00,0.00,90.00,,
10939,2026-08-26 22:43:00,completed,Credit Card (Stripe),Dmitri King,TX,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,1,18.00,18.00,0.00,0.00,0.00,90.00,,
10939,2026-08-26 22:43:00,completed,Credit Card (Stripe),Dmitri King,TX,MER-MUG,Nightjar Mug,Merch,1,16.00,16.00,0.00,0.00,0.00,90.00,,
10940,2026-08-27 09:20:00,completed,Credit Card (Stripe),Jacob Rodriguez,UT,EQP-DRIP,Pour-over Dripper,Brewing Equipment,2,28.00,56.00,0.00,0.00,0.00,90.00,,
10940,2026-08-27 09:20:00,completed,Credit Card (Stripe),Jacob Rodriguez,UT,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,0.00,0.00,90.00,,
10941,2026-08-27 23:28:00,completed,Credit Card (Stripe),Barbara Mendoza,AZ,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,1,18.00,18.00,0.00,7.95,0.00,43.45,,
10941,2026-08-27 23:28:00,completed,Credit Card (Stripe),Barbara Mendoza,AZ,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,1,17.50,17.50,0.00,7.95,0.00,43.45,,
10942,2026-08-28 11:15:00,completed,Credit Card (Stripe),Thomas Martin,CA,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,1,19.50,19.50,1.95,7.95,0.00,25.50,19.50,2026-09-02
10943,2026-08-28 21:09:00,pending,Credit Card (Stripe),John Hernandez,CO,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,1,16.50,16.50,0.00,7.95,0.68,25.13,,
10944,2026-08-29 07:44:00,processing,Credit Card (Stripe),Leila Cooper,OR,MER-TOTE,Canvas Tote,Merch,1,22.00,22.00,0.00,7.95,0.00,29.95,,
10945,2026-08-29 23:13:00,processing,Credit Card (Stripe),Nadia Gomez,CA,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,1,38.00,38.00,0.00,0.00,0.00,114.50,,
10945,2026-08-29 23:13:00,processing,Credit Card (Stripe),Nadia Gomez,CA,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,0.00,0.00,114.50,,
10945,2026-08-29 23:13:00,processing,Credit Card (Stripe),Nadia Gomez,CA,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,2,19.50,39.00,0.00,0.00,0.00,114.50,,
10945,2026-08-29 23:13:00,processing,Credit Card (Stripe),Nadia Gomez,CA,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,1,16.50,16.50,0.00,0.00,0.00,114.50,,
10946,2026-08-30 11:29:00,processing,PayPal,Marcus Ortiz,IL,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,7.95,0.00,36.45,,
10946,2026-08-30 11:29:00,processing,PayPal,Marcus Ortiz,IL,EQP-FILT,Paper Filters (100),Brewing Equipment,1,7.50,7.50,0.00,7.95,0.00,36.45,,
10947,2026-08-30 19:43:00,processing,Credit Card (Stripe),Emily Gutierrez,TX,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,7.95,0.00,28.95,,
