Tenant,Email,Phone,Building,Unit,Lease Start,Lease End,Monthly Rent,Balance Due
Kevin Cox,kevin.cox@protonmail.com,253.555.2942,Riverside Commons,Unit 407,01-Aug-2025,2026-07-31,1800,0.00
John Peterson,john.peterson@outlook.com,(253) 555-9644,Riverside Commons,#403,1/1/2024,31-Dec-2024,1825,0.00
Kimberly Cook,cook.kimberly@protonmail.com,253-555-9519,Cedar Terrace,18,8/1/2024,31-Jul-2025,2175,0.00
Kevin Roberts,Kroberts@AOL.COM,+1 (253) 555-9288,Harbor View,210,8/1/2023,31-Jul-2024,"$1,675.00",0.00
Linda Campbell,lcampbell@yahoo.com,+1 253 555 1149,Cedar Terrace,Apt 27,2025-04-01,2026-03-31,"$2,225.00",0.00
Ronald Williams,ronald.williams@yahoo.com,1-253-555-6896,Northgate Lofts,Unit L201,11/1/2024,2026-10-31,1975,$0.00
Omar Miller,omarmiller86@yahoo.com,1-253-555-5445,CEDAR TERRACE,Apt 3,Mar 1 2023,2/29/2024,2050,$0.00
Kenneth Allen,kenneth.allen@outlook.com,253.555.6777,Northgate Lofts,L305,2025-06-01,31-May-2026,"$1,525.00",75.00
Tomasz Bailey,tomasz.bailey@hotmail.com,253.555.4175,Harbor View Apts,Apt 304,2025-10-01,2026-09-30,2225.00,$0.00
Donald Reyes,reyes.donald@icloud.com,1-253-555-6167,Elm Court,A4,2/1/2023,1/31/2024,1425.00,($60.00)
Robert Moore,rmoore@protonmail.com,253-555-2536,Harbor View Apts,109,2026-01-01,12/31/2026,2250,$0.00
Nancy Gonzalez,gonzalez.nancy@me.com,253-555-7170,Elm Court,A9,01-Oct-2024,Sep 30 2025,"$1,725.00",0.00
Edward Clark,edwardclark59@protonmail.com,253-555-6743,Maple Row Townhomes,Apt 5,01-Jun-2024,5/31/2025,"$2,550.00",0.00
Emily King,eking@aol.com,253-555-2383,Harbor View,Unit 206,1/1/2025,12/31/2026,2125.00,$0.00
Paul Cox,pcox@hotmail.com,253-555-6949,Northgate Lofts,L202,01-Jul-2026,2028-06-30,"$2,050.00",$0.00
Emily Castillo,emilycastillo17@gmail.com,253-555-4729,Riverside Commons,406,Mar 1 2023,2024-02-29,1525.00,$0.00
Amanda Stewart,astewart@hotmail.com,2535557778,Riverside Commons,Apt 305,Oct 1 2024,30-Sep-2025,1475,$0.00
Priya Peterson,ppeterson@gmail.com,+1 253 555 3410,Maple Row,Apt 3,3/1/2026,2/28/2027,2650.00,$0.00
Dana Turner,danaturner10@icloud.com,253.555.5172,Cedar Terrace,#26,Jun 1 2026,May 31 2027,2150.00,75.00
Joshua Moore,joshua.moore@outlook.com,(253) 555-6852,Riverside Commons,#304,2025-02-01,Jan 31 2026,"$1,625.00",$0.00
Susan Thompson,sthompson@protonmail.com,253.555.5985,Elm Court,Apt B8,01-Jan-2026,Dec 31 2026,1500,1500.00
Amy Ortiz,aortiz94@me.com,2535558972,Riverside Commons,201,01-Jul-2025,30-Jun-2026,1750.00,$0.00
Brian Collins,bcollins@aol.com,+1 (253) 555-7319,Cedar Ter.,9,Jun 1 2024,5/31/2025,2300,$0.00
Priya Ross,ross.priya@hotmail.com,+1 (253) 555-4273,Northgate Lofts LLC,Apt L402,2025-01-01,31-Dec-2025,2075.00,0.00
Richard Wright,wright.richard@gmail.com,253-555-9682,Northgate Lofts LLC,L101,Oct 1 2023,2024-09-30,"$1,900.00",$0.00
Christopher Chavez,cchavez@icloud.com,253.555.3768,Cedar Terrace,14,01-Mar-2024,2025-02-28,1900.00,$0.00
Donald Thompson,thompson.donald@hotmail.com,253.555.9010,Elm Court,A1,10/1/2024,Sep 30 2025,"$1,625.00",0.00
Deborah Davis,deborah.davis@icloud.com,+1 253 555 8856,ELM COURT,A2,Jan 1 2026,31-Dec-2026,1525.00,1525.00
Jessica Smith,jessicasmith30@hotmail.com,2535558768,Harbor View,Apt 310,01-Feb-2024,2026-01-31,2275,0.00
Wei Cox,wcox@aol.com,253.555.4683,ELM COURT,B6,2025-09-01,31-Aug-2026,1800.00,0.00
Fatima Bailey,fatima.bailey@icloud.com,+1 253 555 8212,Harbor View,301,2025-02-01,31-Jan-2027,1775,$0.00
Karen Jackson,kjackson@aol.com,+1 253 555 5480,Northgate Lofts LLC,Unit L108,8/1/2024,2025-07-31,1600,0.00
Jennifer Martinez,martinez.jennifer@hotmail.com,1-253-555-7807,Riverside Cmns,107,01-Mar-2024,28-Feb-2026,"$1,875.00",$75.00
Eric Chavez,eric.chavez@protonmail.com,+1 (253) 555-3693,Harbor View,Apt 401,3/1/2023,2025-02-28,1925.00,0.00
Linda Parker,linda.parker@me.com,253.555.1268,Elm Court,Unit A12,2025-12-01,Nov 30 2026,"$1,450.00",0.00
Paul Murphy,paul.murphy@hotmail.com,1-253-555-9348,Northgate Lofts,L401,May 1 2026,30-Apr-2027,2000.00,0.00
Joshua Gray,joshua.gray@protonmail.com,(253) 555-4491,Elm Court,Apt B9,12/1/2025,11/30/2026,"$1,775.00",0.00
Susan Perez,susan.perez@aol.com,(253) 555-1547,Cedar Terrace,Unit 13,Apr 1 2023,31-Mar-2024,"$2,275.00",($80.00)
Aisha Hill,ahill@protonmail.com,(253) 555-1358,Maple Row,Apt 6,3/1/2026,2028-02-29,2550.00,0.00
Melissa Walker,walker.melissa@yahoo.com,2535559013,Cedar Ter.,Apt 28,2026-02-01,2027-01-31,2000.00,0.00
Patricia Collins,patricia.collins@aol.com,+1 253 555 5800,Northgate Lofts LLC,L407,6/1/2024,31-May-2026,1875,0.00
Kwame Cooper,cooper.kwame@aol.com,253-555-8633,Cedar Terrace,Unit 16,Jan 1 2026,2027-12-31,1800.00,0.00
Kimberly Green,kimberly.green@hotmail.com,253-555-2345,Harbor View,405,01-Jul-2024,Jun 30 2026,2300.00,$0.00
Dana Haddad,haddad.dana@aol.com,+1 253 555 8786,Northgate Lofts,L109,01-Sep-2023,Aug 31 2024,1800,$125.00
Michelle Morales,michelle.morales@yahoo.com,253.555.9248,Harbor View Apts,Unit 407,2026-07-01,30-Jun-2027,"$2,225.00",$0.00
Angela Torres,torres.angela@yahoo.com,1-253-555-1108,Northgate Lofts LLC,L102,01-Mar-2025,28-Feb-2026,"$1,825.00",0.00
Ashley Martin,ashley.martin@yahoo.com,253-555-7842,Northgate Lofts,L105,2025-04-01,Mar 31 2026,2025.00,$0.00
Mary Mitchell,marymitchell13@me.com,253.555.6431,Cedar Terrace,Apt 8,6/1/2023,5/31/2024,2000.00,$0.00
Nancy Hughes,hughes.nancy@gmail.com,(253) 555-2291,Northgate Lofts LLC,L309,Jun 1 2023,2025-05-31,"$1,750.00",$0.00
Cynthia Moore,cmoore@outlook.com,+1 (253) 555-7130,Harbor View Apts,403,1/1/2023,2024-12-31,1925,$0.00
Jacob Campbell,jacob.campbell@hotmail.com,1-253-555-3758,Cedar Ter.,22,9/1/2024,2025-08-31,2200.00,0.00
Amanda Ramos,amanda.ramos@hotmail.com,+1 253 555 6851,Riverside Commons,#302,Nov 1 2024,31-Oct-2026,1500,0.00
Paul Moore,paul.moore@hotmail.com,1-253-555-8660,Riverside Cmns,206,01-Mar-2023,2025-02-28,1875,0.00
Amara Torres,atorres@yahoo.com,+1 (253) 555-7034,Cedar Terrace,23,4/1/2023,31-Mar-2025,"$2,225.00",480.00
Charles Gray,gray.charles@protonmail.com,253-555-4997,Riverside Commons,307,2/1/2025,31-Jan-2026,1850,0.00
Kenneth Phillips,kennethphillips66@outlook.com,1-253-555-2424,Maple Row Townhomes,Apt 15,2024-07-01,6/30/2025,2750,$0.00
Melissa Thompson,mthompson@protonmail.com,253.555.4466,Elm Court,B11,8/1/2026,31-Jul-2028,"$1,475.00",480.00
Betty Harris,betty.harris@protonmail.com,+1 253 555 1253,Maple Row,#4,Jun 1 2023,May 31 2024,2525,0.00
Andrew Murphy,andrewmurphy26@gmail.com,2535557845,Northgate Lofts,L104,2023-03-01,29-Feb-2024,1725,$0.00
Stephanie Okafor,stephanie.okafor@gmail.com,253.555.2144,Elm Court,B10,01-Jul-2023,2024-06-30,1575,0.00
Margaret Parker,margaret.parker@outlook.com,2535554315,Harbor View Apts,203,Jan 1 2024,31-Dec-2025,1800.00,$0.00
Barbara Brown,brown.barbara@yahoo.com,253.555.4852,Riverside Commons,#108,11/1/2024,Oct 31 2025,1675.00,$250.00
Carlos Bennett,cbennett@aol.com,+1 (253) 555-4325,Maple Row Townhomes,7,01-May-2024,2025-04-30,2750.00,$250.00
Rahul Campbell,campbell.rahul@icloud.com,+1 253 555 9152,CEDAR TERRACE,#19,Jan 1 2024,Dec 31 2025,2300,$0.00
Michael Osei,mosei@icloud.com,+1 (253) 555-3390,Northgate Lofts LLC,L304,01-May-2023,2024-04-30,2000.00,0.00
Michael Phillips,michaelphillips60@icloud.com,253.555.9183,Riverside Commons,Apt 404,10/1/2023,Sep 30 2025,1725,$0.00
Yuki Wilson,wilson.yuki@yahoo.com,(253) 555-8435,Elm Court,Apt B7,Mar 1 2025,28-Feb-2027,1775,0.00
Jeffrey Flores,flores.jeffrey@icloud.com,1-253-555-5382,Riverside Commons,101,5/1/2023,4/30/2024,1925.00,0.00
Kevin Cruz,kevincruz44@yahoo.com,253-555-1259,Harbor View,Apt 309,1/1/2023,12/31/2023,2100.00,0.00
Linda Tanaka,ltanaka@gmail.com,2535555379,Harbor View,Apt 307,2024-07-01,Jun 30 2026,2325.00,0.00
Amara Gonzalez,amaragonzalez43@me.com,(253) 555-8299,Elm Court,B12,4/1/2024,3/31/2025,1725.00,0.00
James Haddad,james.haddad@outlook.com,253.555.7489,Harbor View,#105,6/1/2026,31-May-2027,1775.00,0.00
Deborah Allen,deborah.allen@yahoo.com,(253) 555-1557,Harbor View,409,8/1/2023,31-Jul-2025,"$2,150.00",0.00
Kevin Davis,davis.kevin@hotmail.com,(253) 555-9096,Cedar Terrace,Unit 4,Apr 1 2024,2025-03-31,2050,$0.00
Ronald Young,ronald.young@aol.com,+1 253 555 9530,Harbor View,204,01-Jul-2023,6/30/2024,1950.00,0.00
Shirley Brooks,shirley.brooks@yahoo.com,253-555-6271,Elm Court,Unit A3,2026-02-01,31-Jan-2027,"$1,550.00",0.00
Yuki Phillips,yuki.phillips@me.com,+1 253 555 7272,Riverside Cmns,#102,2024-08-01,Jul 31 2026,1725.00,0.00
Leila Morales,leila.morales@gmail.com,2535558784,Harbor View,306,Feb 1 2024,Jan 31 2025,"$2,175.00",0.00
Nadia Cooper,nadia.cooper@icloud.com,2535557578,Maple Row Townhomes,9,Jul 1 2024,2025-06-30,"$2,725.00",$0.00
Margaret Green,mgreen@protonmail.com,253.555.9944,Northgate Lofts,L308,Jan 1 2023,Dec 31 2023,1625.00,0.00
Mark Ruiz,mruiz@yahoo.com,+1 253 555 2795,Elm Court,#A6,01-Oct-2025,30-Sep-2027,"$1,375.00",$0.00
Brian Baker,baker.brian@gmail.com,1-253-555-7793,Elm Court,Apt A8,Apr 1 2025,Mar 31 2026,1575.00,$0.00
Sofia Howard,howard.sofia@hotmail.com,+1 (253) 555-2033,Harbor View,106,Jun 1 2026,May 31 2028,1750,75.00
Susan Diaz,sdiaz@protonmail.com,253-555-9919,Harbor View,Apt 107,1/1/2023,Dec 31 2024,1700,$0.00
Linda Collins,lcollins@gmail.com,+1 253 555 3570,Cedar Terrace,5,01-Apr-2024,31-Mar-2025,"$1,875.00",$0.00
Jonathan Hill,jonathan.hill@me.com,1-253-555-5303,Harbor View,#202,May 1 2026,30-Apr-2027,1950,0.00
Edward Taylor,edwardtaylor13@protonmail.com,1-253-555-5575,CEDAR TERRACE,#7,2025-05-01,Apr 30 2026,"$2,275.00",$0.00
Christopher Hernandez,hernandez.christopher@aol.com,2535556008,Northgate Lofts,Apt L404,8/1/2024,2025-07-31,1800.00,$0.00
Angela Rodriguez,rodriguez.angela@hotmail.com,253-555-8469,Elm Court,B3,8/1/2025,7/31/2026,1450,$0.00
Brian Williams,williams.brian@hotmail.com,1-253-555-4437,Northgate Lofts,Apt L106,9/1/2023,31-Aug-2024,1875,$0.00
Amy Ortiz,aortiz@yahoo.com,1-253-555-4481,Harbor View,Apt 205,01-Feb-2024,2026-01-31,"$1,825.00",$0.00
Carol Mendoza,carolmendoza80@protonmail.com,253.555.9649,Maple Row,18,01-Dec-2025,30-Nov-2026,2675,0.00
Jacob Morris,jacobmorris42@aol.com,253-555-3925,Cedar Terrace,17,Mar 1 2024,28-Feb-2025,2150,0.00
John Hall,johnhall61@protonmail.com,1-253-555-9871,Harbor View,Apt 410,7/1/2024,2025-06-30,"$3,100.00",$0.00
Jonathan Torres,jonathantorres85@hotmail.com,253.555.7432,Northgate Lofts LLC,L301,01-Mar-2025,2/28/2027,2000,($25.00)
Lisa Ortiz,lisaortiz39@outlook.com,1-253-555-1212,Northgate Lofts LLC,L307,2025-02-01,1/31/2026,"$1,900.00",$0.00
Amanda Ramos,AMANDA.RAMOS@HOTMAIL.COM,253-555-6851,Riverside Commons,#302,2024-11-01,31-Oct-2026,1500,0.00
John Miller,miller.john@hotmail.com,2535557912,Northgate Lofts,L303,01-Mar-2025,2027-02-28,2000,$0.00
Margaret Harris,margaret.harris@icloud.com,+1 253 555 8773,Northgate Lofts,Apt L409,2024-09-01,8/31/2025,"$1,825.00",$0.00
Dorothy White,dorothywhite75@icloud.com,1-253-555-5484,ELM COURT,Apt A5,2023-03-01,29-Feb-2024,1425.00,$0.00
Richard Long,richardlong19@me.com,253.555.4527,Harbor View,#101,Jan 1 2025,Dec 31 2025,1925,$75.00
Jessica Scott,jessicascott35@me.com,2535552035,Cedar Terrace,#21,Aug 1 2024,7/31/2025,2200,125.00
Chloe Peterson,chloe.peterson@yahoo.com,1-253-555-1985,Riverside Commons,#202,2025-12-01,Nov 30 2027,1600,$0.00
Sandra Williams,williams.sandra@gmail.com,2535554012,Harbor View,308,Apr 1 2024,Mar 31 2025,"$1,750.00",0.00
Nancy Long,nlong@icloud.com,1-253-555-7838,Harbor View,#108,Feb 1 2025,2026-01-31,2325.00,$0.00
Laura Young,young.laura@icloud.com,+1 253 555 4265,Harbor View,305,2026-02-01,2027-01-31,1850.00,0.00
Mark Richardson,markrichardson59@gmail.com,(253) 555-8364,Northgate Lofts,#L408,01-Jan-2025,2025-12-31,2000.00,$0.00
David Bailey,david.bailey@yahoo.com,2535558139,Riverside Commons,Unit 105,01-May-2024,30-Apr-2025,1775,0.00
David Collins,davidcollins98@aol.com,2535556754,Northgate Lofts LLC,L207,01-Aug-2024,7/31/2025,"$1,900.00",0.00
Richard Bailey,rbailey@hotmail.com,253.555.2214,Harbor View Apts,201,Aug 1 2026,Jul 31 2027,1700,0.00
Brian Bennett,bennett.brian@protonmail.com,+1 253 555 5753,Northgate Lofts LLC,Unit L203,9/1/2024,31-Aug-2025,1600.00,0.00
Sofia Rodriguez,sofia.rodriguez@me.com,+1 (253) 555-6745,Maple Row Townhomes,13,8/1/2023,31-Jul-2024,2775.00,0.00
Fatima Williams,fatima.williams@me.com,(253) 555-2319,Northgate Lofts,Apt L405,01-Mar-2024,2/28/2025,1775,0.00
Andrew Garcia,andrewgarcia55@gmail.com,(253) 555-1053,Harbor View,102,6/1/2023,5/31/2025,"$2,325.00",0.00
Anna Cook,anna.cook@gmail.com,2535553768,Maple Row Townhomes,12,2/1/2024,Jan 31 2026,2550,0.00
Ronald Williams,ronald.williams@yahoo.com,1-253-555-6896,Northgate Lofts,Unit L201,11/1/2024,2026-10-31,1975,$0.00
Rebecca Diaz,diaz.rebecca@hotmail.com,1-253-555-7048,Cedar Ter.,Apt 11,01-Feb-2026,31-Jan-2028,"$1,925.00",0.00
Rebecca Flores,flores.rebecca@aol.com,253-555-6283,Northgate Lofts,Unit L107,2025-03-01,28-Feb-2026,1700.00,0.00
Kimberly Scott,scott.kimberly@me.com,+1 253 555 6763,Maple Row,Unit 8,7/1/2023,6/30/2024,2825.00,$0.00
Donald Turner,turner.donald@aol.com,+1 253 555 7279,Riverside Cmns,402,01-Aug-2025,31-Jul-2026,"$1,800.00",0.00
Wei Cox,WCOX@aol.com,2535554683,ELM COURT,B6,9/1/2025,31-Aug-2026,1800.00,0.00
Amanda Lindqvist,amandalindqvist85@aol.com,2535554433,Maple Row Townhomes,11,Oct 1 2023,2024-09-30,"$2,500.00",$0.00
Kathleen Martin,kmartin@protonmail.com,2535556221,Northgate Lofts LLC,L205,4/1/2023,31-Mar-2024,1850.00,0.00
Kevin Roberts,kroberts@aol.com,253.555.9288,Harbor View,210,8/1/2023,31-Jul-2024,"$1,675.00",0.00
Brian Ward,bward@hotmail.com,2535556202,Harbor View,406,Aug 1 2025,7/31/2026,"$1,675.00",0.00
Margaret Parker,margaret.parker@outlook.com,2535554315,Harbor View Apts,203,Jan 1 2024,31-Dec-2025,1800.00,$0.00
Angela Cruz,angelacruz73@icloud.com,+1 (253) 555-7795,Cedar Terrace,#25,2025-03-01,28-Feb-2026,"$1,925.00",$0.00
Aisha Morgan,aisha.morgan@gmail.com,253-555-4044,Harbor View Apts,110,Dec 1 2023,Nov 30 2025,1800.00,$0.00
Daniel Castillo,daniel.castillo@aol.com,253-555-2747,Riverside Commons,306,2024-09-01,Aug 31 2025,1550.00,0.00
Amanda Brooks,amanda.brooks@me.com,+1 253 555 3600,Harbor View,209,12/1/2025,Nov 30 2027,2075.00,$0.00
Nancy Wilson,nancywilson52@aol.com,+1 (253) 555-9187,Harbor View,Apt 104,May 1 2025,2026-04-30,"$1,650.00",0.00
Marcus Jones,marcusjones40@icloud.com,+1 253 555 7513,Riverside Commons,106,Jan 1 2026,Dec 31 2026,1575,$0.00
William Morgan,williammorgan29@aol.com,(253) 555-4429,Riverside Commons,104,3/1/2024,2025-02-28,"$1,675.00",0.00
Shirley Price,shirleyprice88@outlook.com,253.555.5444,Maple Row Townhomes,Unit 1,Jan 1 2026,31-Dec-2026,2350.00,($110.00)
Christopher Thomas,cthomas@aol.com,2535551132,Cedar Ter.,Apt 2,01-Dec-2024,11/30/2026,"$2,225.00",0.00
Jonathan Evans,jevans@protonmail.com,+1 (253) 555-7004,Northgate Lofts,Apt L406,11/1/2023,10/31/2024,1750,250.00
Nancy Lewis,nlewis@icloud.com,+1 (253) 555-1856,Northgate Lofts,#L206,3/1/2023,29-Feb-2024,1600,250.00
Richard Allen,rallen@aol.com,1-253-555-7121,Harbor View,Apt 404,01-Oct-2023,Sep 30 2024,2000,$0.00
Donna Miller,dmiller@outlook.com,253.555.8044,Northgate Lofts,Apt L403,01-Jul-2023,Jun 30 2024,1775.00,0.00
Brian Collins,bcollins@aol.com,+1 (253) 555-7319,Cedar Ter.,9,Jun 1 2024,5/31/2025,2300,$0.00
Anthony Diaz,diaz.anthony@aol.com,253.555.7083,Harbor View Apts,#408,01-Jul-2023,2025-06-30,"$1,925.00",$480.00
Jennifer Flores,jenniferflores30@icloud.com,253.555.3379,Cedar Ter.,6,Feb 1 2026,31-Jan-2028,"$1,750.00",$0.00
