Entry,Shift date,Name,Program,In,Out
K58244,2026-07-17,linda haddad,Overnight Shelter,21:00,07:00
K58245,2026-07-18,J. Rogers,Food Pantry,09:00,11:30
K58246,2026-07-18,Dmitri Chavez,Overnight Shelter,21:00,07:15
K58247,2026-07-18,"Haddad, Linda",Overnight Shelter,21:00,07:00
K58248,2026-07-18,Nicholas Brooks,Overnight Shelter,21:00,07:15
K58249,2026-07-20,"Castillo, Christopher",Meal Delivery,10:30,13:30
K58250,2026-07-20,JEN KIM,Youth Tutoring,15:30,17:45
K58251,2026-07-21,mark walker,Food Pantry,09:30,11:30
K58252,2026-07-22,C. Castillo,Meal Delivery,11:00,13:15
K58253,2026-07-23,Anna Ruiz,Food Pantry,08:45,12:00
K58254,2026-07-24,Donald Ramirez,Overnight Shelter,21:00,07:00
K58255,2026-07-25,"King, Steve",Food Pantry,09:00,12:00
K58256,2026-07-25,KEVIN YOUNG,Overnight Shelter,21:00,07:00
K58257,2026-07-25,"Brooks, Nicholas",Overnight Shelter,21:15,07:00
K58258,2026-07-27,chloe thompson,Meal Delivery,10:30,13:30
K58259,2026-07-27,Becky Garcia,Youth Tutoring,15:30,17:45
K58260,2026-07-28,TIMOTHY FOSTER,Food Pantry,09:15,11:30
K58261,2026-07-28,"Rogers, Joseph",Food Pantry,09:30,12:15
K58262,2026-07-29,Chloe Thompson,Meal Delivery,10:30,13:30
K58263,2026-07-29,DONALD RAMIREZ,Meal Delivery,10:45,13:30
K58264,2026-07-29,donald ramirez,Meal Delivery,10:45,13:30
K58265,2026-07-29,D. Chavez,Youth Tutoring,16:00,17:30
K58266,2026-08-03,Jennifer Kim,Youth Tutoring,15:15,17:00
K58267,2026-08-05,Donald Ramirez,Meal Delivery,10:30,13:00
K58268,2026-08-05,chloe thompson,Meal Delivery,10:30,13:30
K58269,2026-08-05,Anna Ruiz,Meal Delivery,11:00,13:00
K58270,2026-08-05,M. Thomas,Youth Tutoring,15:30,17:00
K58271,2026-08-05,"Kim, Jen",Youth Tutoring,15:30,17:15
K58272,2026-08-05,becky garcia,Youth Tutoring,15:45,17:00
K58273,2026-08-05,Rebecca Garcia,Youth Tutoring,15:45,17:00
K58274,2026-08-06,dorothy martinez,Food Pantry,09:00,12:15
K58275,2026-08-06,TIM FOSTER,Food Pantry,09:00,12:15
K58276,2026-08-08,DOROTHY MYERS,Food Pantry,09:00,12:00
K58277,2026-08-08,"Young, Kevin",Overnight Shelter,21:15,07:15
K58278,2026-08-08,Sofia Gonzalez,Overnight Shelter,21:30,07:00
K58279,2026-08-10,"Castillo, Christopher",Meal Delivery,10:15,13:15
K58280,2026-08-11,A. Ruiz,Food Pantry,08:45,12:00
K58281,2026-08-11,tim foster,Food Pantry,08:45,11:30
K58282,2026-08-13,A. Ruiz,Food Pantry,09:00,11:45
K58283,2026-08-13,A. Ruiz,Food Pantry,09:00,11:45
K58284,2026-08-14,K. Young,Overnight Shelter,20:45,07:00
K58285,2026-08-14,Kevin Young,Overnight Shelter,20:45,07:00
K58286,2026-08-15,D. Martinez,Food Pantry,09:00,12:00
K58287,2026-08-15,K. Diaz,Overnight Shelter,21:00,07:15
K58288,2026-08-17,donald ramirez,Meal Delivery,10:15,13:00
K58289,2026-08-17,  Dmitri Chavez,Youth Tutoring,15:30,17:30
K58290,2026-08-18,Steve King,Food Pantry,09:15,12:00
K58291,2026-08-19,Jen Kim,Youth Tutoring,15:30,17:30
K58292,2026-08-20,Mark Walker,Food Pantry,09:00,11:30
K58293,2026-08-20,Mark Walker,Food Pantry,09:00,11:30
K58294,2026-08-21,Nicholas Brooks,Overnight Shelter,20:45,07:00
K58295,2026-08-21,Gary Ramos,Overnight Shelter,21:15,07:00
K58296,2026-08-22,Joseph Rogers,Food Pantry,09:00,11:45
K58297,2026-08-22,"Myers, Dot",Food Pantry,09:00,12:00
K58298,2026-08-22,kevin young,Overnight Shelter,20:45,07:00
K58299,2026-08-22,D. Parker,Overnight Shelter,21:00,06:45
K58300,2026-08-24,Marcus Thomas,Youth Tutoring,15:30,17:30
K58301,2026-08-25,STEVE KING,Food Pantry,09:00,11:30
K58302,2026-08-26,C. Thompson,Meal Delivery,10:30,13:30
K58303,2026-08-27,Steven King,Food Pantry,09:00,11:45
K58304,2026-08-27,Dorothy Myers,Food Pantry,09:00,12:00
K58305,2026-08-28,DONALD RAMIREZ,Overnight Shelter,21:00,07:00
K58306,2026-08-29,Kevin  Young,Food Pantry,09:30,12:15
K58307,2026-08-29,STEPHANIE ALVAREZ,Overnight Shelter,21:00,06:30
K58308,2026-08-29,GARY RAMOS,Overnight Shelter,21:15,07:00
