Quote No,Quote Date,Rep,Customer,Status,Discount,SKU,Material,Qty,Unit Price,Decision Date
Q-2163,31-May-2026,Sven Lindqvist,Leila Martin,Lost,0.05,MCM-BN48,HIC-64-FAS,1,"$1,035.00",06/23/2026
Q-2163,31-May-2026,Sven Lindqvist,Leila Martin,Lost,0.05,STD-DC,ash-64-fas,5,$620.00,06/23/2026
Q-2163,31-May-2026,Sven Lindqvist,Leila Martin,lost,0.05,STD-DT96 ,ASH-64-FAS,2,3345.00,06/23/2026
Q-2164,06/04/2026,Jordan Price,Stephanie Long,Won,0.05,MCM-DT96,MAH-64-FAS,1,"$4,640.00",06/22/2026
Q-2165,06/14/26,Aaliyah Brooks,Stephanie Rogers,Won,5%,frm-dr6,WAL-64-SEL,1,4285.00,25-Jun-2026
Q-2165,06/14/26,Aaliyah Brooks,Stephanie Rogers,Won,5%,frm-dr6,WAL-64-SEL,1,4285.00,25-Jun-2026
Q-2165,06/14/26,Aaliyah Brooks,Stephanie Rogers,Won,5%,SHK-DT60,CHE-64-FAS,1,3245.00,25-Jun-2026
Q-2166,"June 20, 2026",Aaliyah Brooks,Dorothy Ortiz,lost,0.05,SHK-CT ,CHE-84-FAS,1,"$1,185.00","July 11, 2026"
Q-2167,2026-06-26,Sven Lindqvist,Ronald Wilson,Won,15%,FRM-BS4,RO-44-FAS,1,"1,635.00",2026-07-01
Q-2167,2026-06-26,Sven Lindqvist,Ronald Wilson,Won,15%,STD-CT ,WO-84-FAS,2,1230.00,2026-07-01
Q-2168,07/04/2026,Aaliyah Brooks,Glassworks Optical,Lost,,SHK-SB,hic-44-fas,1,3520.00,"August 05, 2026"
Q-2168,07/04/2026,Aaliyah Brooks,Glassworks Optical,Lost,,MCM-BFQ,POP-64-SEL,1,3250.00,"August 05, 2026"
Q-2169,"July 13, 2026",Aaliyah Brooks,Cynthia Bennett,Lost,5%,STD-BS4,che-44-sel,1,2000.00,"July 27, 2026"
Q-2169,"July 13, 2026",Aaliyah Brooks,Cynthia Bennett,Lost,5%,FRM-DT96,POP-84-FAS,2,3850.00,"July 27, 2026"
Q-2169,"July 13, 2026",Aaliyah Brooks,Cynthia Bennett,Lost,5%,STD-DT60,HIC-84-FAS,1,"2,995.00","July 27, 2026"
Q-2170,2026-07-15,Jordan Price,Jeffrey Foster,Won,15%,STD-BS4 ,ASH-44-FAS,1,"1,890.00",23-Aug-2026
Q-2171,"July 20, 2026",Aaliyah Brooks,Leila Hill,Draft,0%,MCM-DT60,HM-84-FAS,1,"2,660.00",
Q-2171,"July 20, 2026",Aaliyah Brooks,Leila Hill,Draft,0%,STD-NS,ASH-44-SEL,1,765.00,
Q-2172,"July 20, 2026",Sven Lindqvist,Yuki Watson,Sent,,std-sb,HIC-64-SEL,2,3200.00,
Q-2172,"July 20, 2026",Sven Lindqvist,Yuki Watson,Sent,,SHK-DT96,RO-84-FAS,2,"$4,140.00",
Q-2172,"July 20, 2026",Sven Lindqvist,Yuki Watson,Sent,,MCM-DT72,HIC-84-FAS,1,2835.00,
Q-2173,"July 21, 2026",AALIYAH BROOKS,Brian Hall,sent,0%,frm-ns,HM-64-SEL,1,"$1,015.00",
Q-2173,"July 21, 2026",AALIYAH BROOKS,Brian Hall,Sent,0%,STD-BFQ,HIC-64-FAS,1,2895.00,
Q-2174,"July 22, 2026",jordan price,Mateo Parker,Sent,,SHK-DC,SAP-44-FAS,6,725.00,
Q-2175,"July 23, 2026",Jordan Price,Jacob Smith,lost,0,FRM-BFQ,WAL-44-FAS,1,2995.00,21-Aug-2026
Q-2176,25-Jul-2026,Aaliyah Brooks,Brightwater Dental,Sent,0,STD-DT60,CHE-84-FAS,1,"$3,400.00",
Q-2177,"July 27, 2026",Aaliyah Brooks,Stephanie Rogers,Sent,,MCM-DT60,WO-64-SEL,1,"2,935.00",
Q-2178,2026-07-30,Jordan Price,Brightwater Dental,Won,0.12,SHK-DT84,WAL-64-SEL,2,"$4,025.00",24-Aug-2026
Q-2178,2026-07-30,Jordan Price,Brightwater Dental,Won,0.12,SHK-DT84,WAL-64-SEL,2,"$4,025.00",24-Aug-2026
Q-2178,2026-07-30,Jordan Price,Brightwater Dental,Won,0.12,SHK-WD,CHE-44-SEL,2,2475.00,24-Aug-2026
Q-2179,30-Jul-2026,Aaliyah Brooks,Cynthia Bennett,Sent,,shk-dt84,che-84-sel,1,"3,690.00",
Q-2179,30-Jul-2026,Aaliyah Brooks,Cynthia Bennett,Sent,,FRM-BS4,CHE-44-FAS,2,"$1,795.00",
Q-2180,07/30/2026,Aaliyah Brooks,Emily Mensah,Lost,0.12,MCM-DT84,WO-64-SEL,2,"3,880.00",08/24/2026
Q-2181,2026-07-31,Sven Lindqvist,Daniel Cruz,Draft,0%,SHK-DR6,CHE-44-FAS,1,"$3,510.00",
Q-2182,2026-07-31,Sven Lindqvist,Glassworks Optical,Sent,0.05,SHK-DC,HM-44-FAS,4,705.00,
Q-2183,2026-07-31,sven lindqvist,Robert Cox,Draft,,MCM-DT72,POP-64-SEL,1,"3,060.00",
Q-2183,2026-07-31,sven lindqvist,Robert Cox,Draft,,STD-DT96,CHE-64-FAS,1,3350.00,
Q-2184,"August 01, 2026",Jordan Price,Amy Harris,Draft,0%,STD-BST ,RO-64-FAS,2,480.00,
Q-2184,"August 01, 2026",Jordan Price,Amy Harris,Draft,0%,STD-DT60,CHE-84-SEL,1,2910.00,
Q-2184,"August 01, 2026",Jordan Price,Amy Harris,Draft,0%,shk-dt60,SAP-84-FAS,2,3185.00,
Q-2185,"August 01, 2026",Aaliyah Brooks,Paul Morales,Sent,0%,FRM-DT96,wo-64-fas,2,"$2,900.00",
Q-2185,"August 01, 2026",Aaliyah Brooks,Paul Morales,Sent,0%,STD-CON,CHE-84-SEL,2,990.00,
Q-2185,"August 01, 2026",Aaliyah Brooks,Paul Morales,Sent,0%,FRM-DC,pop-44-sel,7,745.00,
Q-2186,2026-08-01,Sven Lindqvist,Quill & Ink Print Shop,Won,0.1,FRM-CON,ASH-84-FAS,1,1060.00,09/01/26
Q-2186,2026-08-01,Sven Lindqvist,Quill & Ink Print Shop,Won,0.1,FRM-BN48,MAH-44-FAS,2,"$1,155.00",09/01/26
Q-2187,"August 02, 2026",Sven Lindqvist,Westbrook Plumbing,Draft,0.1,frm-bs4,WO-44-FAS,2,1860.00,
Q-2187,"August 02, 2026",Sven Lindqvist,Westbrook Plumbing,Draft,0.1,STD-DT84,WAL-84-FAS,-2,4375.00,
Q-2188,08/03/2026,Jordan Price,John Scott,Draft,5%,FRM-WD,HIC-44-FAS,1,1890.00,
Q-2189,08/03/26,Aaliyah Brooks,Westbrook Plumbing,Sent,0,STD-CT,HIC-84-SEL,1,"$1,240.00",
Q-2189,08/03/26,Aaliyah Brooks,Westbrook Plumbing,Sent,0,SHK-DC ,RO-44-SEL,4,$760.00,
Q-2190,08/04/26,jordan price,Chloe Kim,Draft,0.05,FRM-BST,SAP-64-FAS,4,$765.00,
Q-2190,08/04/26,jordan price,Chloe Kim,Draft,0.05,MCM-BST,ASH-64-SEL,3,$630.00,
Q-2191,04-Aug-2026,Jordan Price,Larkspur Yoga,Draft,0%,SHK-BST,ASH-44-FAS,3,625.00,
Q-2191,04-Aug-2026,Jordan Price,Larkspur Yoga,Draft,0%,SHK-CON ,POP-64-FAS,1,"1,035.00",
Q-2192,08/04/2026,Sven Lindqvist,Stephanie Long,Sent,10%,shk-bn48,WAL-64-SEL,1,870.00,
Q-2192,08/04/2026,Sven Lindqvist,Stephanie Long,Sent,10%,SHK-WD,SAP-64-FAS,1,2420.00,
Q-2192,08/04/2026,Sven Lindqvist,Stephanie Long,Sent,10%,SHK-BFQ,ASH-44-FAS,2,3005.00,
Q-2193,"August 06, 2026",Jordan Price,Glassworks Optical,Draft,5%,STD-CON,WO-84-FAS,1,"$1,330.00",
Q-2194,2026-08-06,SVEN LINDQVIST,James Carter,Lost,5%,SHK-DT60,ASH-84-FAS,2,"2,340.00",09/12/26
Q-2194,2026-08-06,SVEN LINDQVIST,James Carter,lost,5%,SHK-NS,MAH-64-SEL,1,910.00,09/12/26
Q-2194,2026-08-06,SVEN LINDQVIST,James Carter,Lost,5%,MCM-BN48,WAL-64-FAS,1,1065.00,09/12/26
Q-2195,08/06/2026,Aaliyah Brooks,Patricia Moore,Draft,0,STD-NS,HIC-44-SEL,1,855.00,
Q-2196,07-Aug-2026,Jordan Price,John Scott,sent,,STD-DT96,ash-64-sel,2,"3,330.00",
Q-2196,07-Aug-2026,Jordan Price,John Scott,Sent,,STD-BS4,HM-44-FAS,1,"1,465.00",
Q-2196,07-Aug-2026,Jordan Price,John Scott,Sent,,MCM-DT96,HIC-64-SEL,1,"$3,395.00",
Q-2197,2026-08-10,Sven Lindqvist,Hollowell Electric,Draft,10%,MCM-DT60,RO-64-FAS,2,"$3,415.00",
Q-2198,2026-08-10,Jordan Price,Thistle & Thread Alterations,won,15%,MCM-CT ,CHE-84-SEL,1,1700.00,08/30/26
Q-2199,08/10/26,Jordan Price,William Osei,Sent,,STD-DT72,HM-64-SEL,2,2820.00,
Q-2200,12-Aug-2026,Aaliyah Brooks,Cynthia Ward,Sent,0.05,MCM-BN48,WO-64-FAS,1,980.00,
Q-2200,12-Aug-2026,Aaliyah Brooks,Cynthia Ward,Sent,0.05,SHK-WD,CHE-64-FAS,2,2335.00,
Q-2201,2026-08-14,Aaliyah Brooks,Hiroshi Adams,Draft,0,mcm-bn48,ash-44-fas,2,935.00,
Q-2202,2026-08-15,jordan price,Larkspur Yoga,Draft,0%,MCM-BFQ,SAP-44-FAS,1,3100.00,
Q-2203,08/17/2026,Aaliyah Brooks,Oakhurst Pediatrics,draft,0%,std-bst,ASH-64-SEL,4,$600.00,
Q-2203,08/17/2026,Aaliyah Brooks,Oakhurst Pediatrics,Draft,0%,STD-NS,POP-64-FAS,1,$690.00,
Q-2203,08/17/2026,Aaliyah Brooks,Oakhurst Pediatrics,Draft,0%,MCM-DT72,CHE-84-FAS,2,4110.00,
Q-2204,"August 20, 2026",Jordan Price,Amanda Mitchell,Sent,0.1,STD-DT72,SAP-84-FAS,1,2720.00,
Q-2205,2026-08-20,Jordan Price,Oakhurst Pediatrics,Sent,0,MCM-DT72,ash-84-fas,1,"2,385.00",
Q-2205,2026-08-20,Jordan Price,Oakhurst Pediatrics,Sent,0,STD-DR6,MAH-64-SEL,2,"$3,735.00",
Q-2206,"August 22, 2026",Aaliyah Brooks,Quarry Road Nursery,Draft,0%,MCM-DT60,WO-84-FAS,1,3750.00,
Q-2207,08/23/2026,Sven Lindqvist,Paul Morales,Sent,10%,SHK-WD,hm-44-sel,1,2335.00,
Q-2208,08/23/2026,Aaliyah Brooks,Paul Morales,Draft,0%,STD-DT72 ,MAH-84-FAS,1,"$3,830.00",
Q-2209,08/24/2026,Sven Lindqvist,Eric Ross,Sent,5%,SHK-BN48,HIC-64-FAS,2,1090.00,
Q-2209,08/24/2026,Sven Lindqvist,Eric Ross,Sent,5%,FRM-DT72,RO-84-FAS,1,3720.00,
Q-2210,08/26/2026,aaliyah brooks,Brightwater Dental,Sent,10%,STD-DT60,SAP-64-SEL,1,3010.00,
Q-2210,08/26/2026,aaliyah brooks,Brightwater Dental,Sent,10%,STD-CON,RO-64-FAS,1,"$1,290.00",
Q-2211,27-Aug-2026,Jordan Price,Ronald Williams,Sent,0%,STD-DT60,CHE-84-SEL,1,2690.00,
Q-2212,30-Aug-2026,Sven Lindqvist,Dorothy Ortiz,Draft,,STD-WD,ASH-44-SEL,2,1920.00,
Q-2212,30-Aug-2026,Sven Lindqvist,Dorothy Ortiz,Draft,,frm-bn48,CHE-64-SEL,1,"$1,035.00",
Q-2213,"September 03, 2026",Sven Lindqvist,Hiroshi Johnson,sent,5%,MCM-WD,RO-64-FAS,1,"$1,945.00",
Q-2213,"September 03, 2026",Sven Lindqvist,Hiroshi Johnson,sent,5%,MCM-WD,RO-64-FAS,1,"$1,945.00",
Q-2213,"September 03, 2026",Sven Lindqvist,Hiroshi Johnson,Sent,5%,FRM-CT,SAP-64-SEL,1,"1,490.00",
Q-2213,"September 03, 2026",Sven Lindqvist,Hiroshi Johnson,Sent,5%,FRM-DT60,WO-84-FAS,1,3150.00,
Q-2214,09/04/2026,Aaliyah Brooks,Patricia Cooper,Sent,0%,mcm-wd,WAL-44-SEL,1,"2,505.00",
Q-2214,09/04/2026,Aaliyah Brooks,Patricia Cooper,Sent,0%,FRM-WD,POP-44-SEL,1,"1,800.00",
