Res #,Date,Time,Party,Table,Duration (min),Status,Guest,Phone,Notes,Source
R40380,Wed 09/16/2026,5:30 PM,3,T6,,Confirmed,"Roberts, Betty",(802) 555-5060,,Online
R41037,Wed 09/16/2026,5:30 PM,4,T8,105,Confirmed,"Williams, Joshua",1-720-555-5564,,Online
R40702,Wed 09/16/2026,5:45 PM,6,T12,,Confirmed,"Turner, George",1-206-555-2992,,Phone
R40771,Wed 09/16/2026,6:15 PM,1,T3,,Confirmed,"Jackson, Lisa",720.555.2928,,Online
R40341,Wed 09/16/2026,6:30 PM,2,T5,120,Confirmed,"Rodriguez, Kimberly",(617) 555-9091,,Phone
R40363,Wed 09/16/2026,7:00 PM,2,T1,90,Confirmed,"Hill, Kevin",+1 (415) 555-7121,,Phone
R40729,Wed 09/16/2026,7:00 PM,2,T11,,Confirmed,"Ramos, Ingrid",512-555-7390,,Phone
R40745,Wed 09/16/2026,7:15 PM,6,T10,120,Confirmed,"Kim, James",6175555986,,Online
R41000,Wed 09/16/2026,7:30 PM,4,T2,,Confirmed,"Alvarez, Rahul",1-919-555-7402,,Online
R40148,Wed 09/16/2026,7:30 PM,2,T4,,Confirmed,"Rodriguez, Amanda",+1 (608) 555-8057,,Online
R40344,Wed 09/16/2026,7:30 PM,3,T8,105,Confirmed,"Rivera, Michelle",+1 919 555 2182,,Online
R40520,Wed 09/16/2026,8:00 PM,3,T9,,Confirmed,"Morris, Michelle",+1 (303) 555-8984,,Online
R40218,Wed 09/16/2026,8:15 PM,1,T3,75,Confirmed,"Green, Leila",6175552352,,Online
R40753,Wed 09/16/2026,8:15 PM,5,T6,120,Confirmed,"Morris, Nancy",+1 (802) 555-3501,,Online
R40356,Wed 09/16/2026,8:30 PM,2,T7,75,Confirmed,"Alvarez, Jacob",+1 971 555 7823,,Online
R40514,Wed 09/16/2026,8:45 PM,4,T5,90,Confirmed,"Davis, Daniel",(802) 555-8173,,Phone
R40461,Wed 09/16/2026,9:00 PM,4,T4,105,Confirmed,"Williams, Steven",+1 512 555 9154,,Online
R40328,Thu 09/17/2026,5:15 PM,1,T1,,Confirmed,"Phillips, Dorothy",303-555-5305,,Phone
R40257,Thu 09/17/2026,5:15 PM,5,T10,,Confirmed,"Peterson, Robert",2065553922,,Online
R40768,Thu 09/17/2026,5:15 PM,4,T4,,Confirmed,"Campbell, Rebecca",1-802-555-2460,,Online
R40925,Thu 09/17/2026,5:15 PM,2,T7,,Confirmed,"Howard, Timothy",+1 (720) 555-3741,,Online
R40614,Thu 09/17/2026,5:30 PM,2,T11,120,Confirmed,"Edwards, Mary",(919) 555-2335,,Online
R40668,Thu 09/17/2026,6:00 PM,2,T3,,Confirmed,"Alvarez, Jennifer",415-555-2404,,Phone
R40517,Thu 09/17/2026,6:00 PM,2,T8,90,Confirmed,"Richardson, Nancy",(617) 555-3920,,Phone
R40803,Thu 09/17/2026,6:00 PM,2,T9,120,Confirmed,"Thomas, Betty",(919) 555-1280,,Online
R40815,Thu 09/17/2026,6:15 PM,6,T12,105,Confirmed,"Reyes, Ashley",415-555-9465,,Online
R40227,Thu 09/17/2026,6:15 PM,4,T5,,Confirmed,"Rogers, Brian",9715551173,,Online
R40967,Thu 09/17/2026,6:15 PM,6,T6,90,Confirmed,"Ortiz, Dorothy",+1 415 555 4713,,Online
R40930,Thu 09/17/2026,7:00 PM,3,T10,75,Confirmed,"Lindqvist, Steven",2065552679,,Online
R40824,Thu 09/17/2026,7:30 PM,4,T8,,Confirmed,"Wilson, Cynthia",3035553748,,Online
R40143,Thu 09/17/2026,7:45 PM,2,T1,90,Confirmed,"Ross, Amara",+1 (415) 555-5566,,Online
R40703,Thu 09/17/2026,7:45 PM,2,T4,75,Confirmed,"Nguyen, Melissa",303-555-4415,,Online
R40297,Thu 09/17/2026,7:45 PM,2,T7,105,Confirmed,"Parker, John",802.555.7106,,Online
R40921,Thu 09/17/2026,8:00 PM,2,T11,,Confirmed,"Clark, Barbara",2065558852,,Online
R40502,Thu 09/17/2026,8:00 PM,5,T6,90,Confirmed,"Rogers, Amanda",(802) 555-7100,,Online
R40251,Thu 09/17/2026,8:30 PM,4,T2,,Confirmed,"Campbell, Omar",720.555.8010,,Online
R40359,Thu 09/17/2026,8:30 PM,3,T9,75,Confirmed,"Baker, Charles",206-555-6903,,Phone
R40973,Thu 09/17/2026,8:45 PM,2,T3,,Confirmed,"Price, Emily",617.555.5027,,Online
R40599,Thu 09/17/2026,9:00 PM,4,T4,105,Confirmed,"Lopez, Anna",+1 608 555 9413,,Phone
R41030,Fri 09/18/2026,5:00 PM,7,T12,,Confirmed,"Ruiz, Michelle",+1 919 555 4653,,Online
R40445,Fri 09/18/2026,5:00 PM,2,T2,,Confirmed,"Flores, Kenneth",5125559330,,Online
R40954,Fri 09/18/2026,5:00 PM,2,T3,,Confirmed,"Mensah, Daniel",720.555.4572,,Online
R40480,Fri 09/18/2026,5:00 PM,4,T5,105,Confirmed,"Watson, William",(802) 555-4900,,Online
R40605,Fri 09/18/2026,5:00 PM,2,T8,,Confirmed,"Patel, Karen",720.555.2014,,Online
R40900,Fri 09/18/2026,5:15 PM,1,T1,75,Confirmed,"Flores, Tomasz",+1 (802) 555-7997,,Phone
R40737,Fri 09/18/2026,5:15 PM,6,T10,,Confirmed,"Lee, Kathleen",971-555-1933,,Phone
R40744,Fri 09/18/2026,5:15 PM,2,T11,75,Confirmed,"Hernandez, Michael",2065552068,,Phone
R40955,Fri 09/18/2026,5:15 PM,4,T4,,Confirmed,"Morgan, Luis",(971) 555-2896,,Online
R40418,Fri 09/18/2026,5:15 PM,4,T6,,Confirmed,"Jones, Stephanie",2065557244,,Online
R40671,Fri 09/18/2026,5:15 PM,3,T9,,Confirmed,"Long, Donald",1-919-555-5878,,Phone
R40372,Fri 09/18/2026,6:00 PM,4,T5,90,Confirmed,"Hall, Luis",1-720-555-5609,,Phone
R40264,Fri 09/18/2026,6:00 PM,2,T7,,Confirmed,"Collins, Steven",+1 (206) 555-6492,,Online
R40152,Fri 09/18/2026,6:30 PM,1,T11,90,Confirmed,"Turner, Aisha",1-617-555-7070,,Phone
R40980,Fri 09/18/2026,6:30 PM,3,T2,90,Confirmed,"Davis, Charles",(512) 555-3904,,Online
R40444,Fri 09/18/2026,6:45 PM,3,T8,120,Confirmed,"Jones, Yuki",3035558925,asked for T12 (big booth) - not available,Phone
R40177,Fri 09/18/2026,7:00 PM,1,T1,120,Confirmed,"Nelson, Amy",+1 720 555 4140,,Phone
R40292,Fri 09/18/2026,7:00 PM,2,T3,,Confirmed,"Taylor, Anthony",+1 (512) 555-1730,,Online
R40125,Fri 09/18/2026,7:00 PM,2,T9,105,Confirmed,"Taylor, Carlos",6085554599,,Phone
R40563,Fri 09/18/2026,7:15 PM,2,T4,,Confirmed,"Haddad, Kwame",(512) 555-5948,,Online
R40690,Fri 09/18/2026,7:45 PM,4,T10,,Confirmed,"Wilson, Edward",512-555-4508,,Online
R40908,Fri 09/18/2026,7:45 PM,8,T12,90,Confirmed,"Parker, Lisa",206-555-7876,,Online
R40135,Fri 09/18/2026,8:00 PM,2,T7,,Confirmed,"Martin, Melissa",+1 919 555 3129,,Online
R40398,Fri 09/18/2026,8:15 PM,3,T6,75,Confirmed,"Turner, Linda",1-617-555-2118,,Phone
R40283,Fri 09/18/2026,8:45 PM,2,T11,120,Confirmed,"Jackson, Donna",617.555.3541,,Online
R40765,Fri 09/18/2026,8:45 PM,2,T5,75,Confirmed,"Richardson, Ryan",+1 (608) 555-9164,,Phone
R40160,Fri 09/18/2026,9:00 PM,1,T3,90,Confirmed,"Gutierrez, Lisa",1-303-555-2711,,Online
R40720,Sat 09/19/2026,5:00 PM,3,T4,,Confirmed,"Morales, Ryan",4155553301,,Phone
R40851,Sat 09/19/2026,5:15 PM,5,T10,120,Confirmed,"Myers, Tomasz",919-555-8456,,Online
R40499,Sat 09/19/2026,5:15 PM,2,T2,,Confirmed,"Morris, Kenneth",7205555948,,Online
R40280,Sat 09/19/2026,5:15 PM,2,T5,,Confirmed,"Nguyen, Emily",(608) 555-5284,,Phone
R40858,Sat 09/19/2026,5:15 PM,4,T6,,Confirmed,"Phillips, Jacob",(617) 555-2916,,Online
R40821,Sat 09/19/2026,5:30 PM,2,T8,90,Confirmed,"Anderson, Charles",3035554029,,Phone
R40800,Sat 09/19/2026,5:30 PM,2,T9,,Confirmed,"Morgan, Timothy",971.555.2886,,Online
R41006,Sat 09/19/2026,5:45 PM,2,T7,,Confirmed,"Watson, Daniel",1-971-555-2045,,Online
R40794,Sat 09/19/2026,6:00 PM,1,T1,90,Confirmed,"Baker, Amy",+1 (206) 555-5962,,Phone
R40507,Sat 09/19/2026,6:00 PM,7,T12,90,Confirmed,"Lopez, Nancy",+1 (303) 555-4263,,Online
R40288,Sat 09/19/2026,6:00 PM,2,T3,,Confirmed,"Wright, Gary",+1 (720) 555-3349,,Online
R41025,Sat 09/19/2026,6:15 PM,2,T11,120,Confirmed,"Haddad, Angela",1-303-555-1013,,Online
R40549,Sat 09/19/2026,6:45 PM,2,T2,,Confirmed,"Cook, Priya",303.555.1955,,Online
R40697,Sat 09/19/2026,6:45 PM,3,T4,,Confirmed,"Rodriguez, George",9715558781,,Online
R40942,Sat 09/19/2026,6:45 PM,2,T5,90,Confirmed,"Hughes, Dorothy",1-617-555-9352,,Phone
R40946,Sat 09/19/2026,7:15 PM,6,T6,105,Confirmed,"Bennett, Amara",+1 971 555 7401,,Online
R40111,Sat 09/19/2026,7:15 PM,3,T8,90,Confirmed,"Okafor, John",+1 303 555 3003,,Online
R40580,Sat 09/19/2026,7:15 PM,4,T9,90,Confirmed,"Campbell, Michelle",415.555.5691,,Online
R40415,Sat 09/19/2026,7:30 PM,2,T1,90,Confirmed,"Alvarez, Wei",(919) 555-5776,,Online
R40114,Sat 09/19/2026,7:30 PM,1,T3,90,Confirmed,"Scott, Chloe",1-971-555-4832,,Online
R40302,Sat 09/19/2026,8:00 PM,3,T10,75,Confirmed,"King, Gary",1-802-555-4905,,Online
R41028,Sat 09/19/2026,8:00 PM,8,T12,120,Confirmed,"Castillo, Tomasz",(802) 555-8784,,Online
R40469,Sat 09/19/2026,8:30 PM,2,T4,75,Confirmed,"Baker, Donna",+1 802 555 4623,,Online
R40324,Sat 09/19/2026,9:00 PM,2,T11,90,Confirmed,"Thompson, Aisha",1-415-555-3977,,Phone
R40409,Sat 09/19/2026,9:00 PM,2,T2,120,Confirmed,"Johnson, Hiroshi",+1 303 555 6891,,Online
R40129,Sat 09/19/2026,9:00 PM,2,T5,,Confirmed,"Peterson, Jacob",6175559681,,Online
R40567,Sat 09/19/2026,9:00 PM,1,T7,75,Confirmed,"Adams, Steven",206.555.3256,,Online
R40650,Sat 09/19/2026,9:00 PM,3,T8,,Confirmed,"Torres, Cynthia",(303) 555-2494,,Phone
R40840,Sun 09/20/2026,5:00 PM,2,T11,120,Confirmed,"Chavez, Nicholas",8025555422,,Online
R40634,Sun 09/20/2026,5:15 PM,4,T4,,Confirmed,"Mensah, Rahul",+1 512 555 1947,,Online
R40136,Sun 09/20/2026,5:15 PM,4,T9,90,Confirmed,"Hall, Dorothy",+1 303 555 1052,,Online
R40403,Sun 09/20/2026,5:30 PM,1,T1,120,Confirmed,"Chavez, Emily",206-555-3568,,Online
R40458,Sun 09/20/2026,5:30 PM,7,T12,,Confirmed,"Long, Brian",919.555.1800,,Online
R40812,Sun 09/20/2026,5:30 PM,4,T2,,Confirmed,"Hall, Edward",8025551127,,Online
R40972,Sun 09/20/2026,5:30 PM,4,T5,,Confirmed,"Hughes, Daniel",6085557127,,Online
R40894,Sun 09/20/2026,5:30 PM,3,T6,120,Confirmed,"Campbell, Laura",+1 (206) 555-2636,,Phone
R40761,Sun 09/20/2026,5:30 PM,1,T7,,Confirmed,"Gutierrez, Kevin",1-720-555-9809,,Phone
R40487,Sun 09/20/2026,5:30 PM,3,T8,120,Confirmed,"Ortiz, Charles",(971) 555-7519,,Online
R40787,Sun 09/20/2026,6:15 PM,1,T3,120,Confirmed,"Sanchez, Lisa",+1 (206) 555-5316,,Online
R40997,Sun 09/20/2026,6:45 PM,3,T9,,Confirmed,"Morris, George",+1 720 555 1152,,Online
R40961,Sun 09/20/2026,7:00 PM,5,T10,75,Confirmed,"Hughes, Andrew",608-555-8993,,Online
R40184,Sun 09/20/2026,7:15 PM,2,T2,120,Confirmed,"Patel, William",617-555-3216,,Online
R40601,Sun 09/20/2026,7:30 PM,2,T11,120,Confirmed,"Myers, Chloe",+1 608 555 2427,,Online
R40872,Sun 09/20/2026,7:30 PM,2,T4,,Confirmed,"Perez, Rebecca",+1 (206) 555-7821,,Online
R40401,Sun 09/20/2026,7:30 PM,3,T5,90,Confirmed,"Lindqvist, Omar",1-802-555-1781,,Online
R40775,Sun 09/20/2026,7:30 PM,2,T7,105,Confirmed,"Gutierrez, Hiroshi",206.555.5192,,Phone
R40808,Sun 09/20/2026,8:00 PM,1,T1,105,Confirmed,"Turner, Chloe",+1 206 555 8657,,Phone
R40388,Sun 09/20/2026,8:15 PM,5,T12,90,Confirmed,"Richardson, Joshua",802.555.2397,,Online
R40318,Sun 09/20/2026,8:15 PM,5,T6,105,Confirmed,"Lindqvist, Priya",(617) 555-7330,,Online
R40196,Sun 09/20/2026,8:15 PM,3,T8,,Confirmed,"Wright, Yuki",720.555.1874,,Phone
R40208,Sun 09/20/2026,8:30 PM,5,T10,,Confirmed,"Sanchez, Patricia",617.555.4423,,Online
R40662,Sun 09/20/2026,8:30 PM,2,T9,,Confirmed,"Ramos, Christopher",(919) 555-8188,,Online
R40108,Sun 09/20/2026,8:45 PM,2,T3,105,Confirmed,"Richardson, Jeffrey",+1 303 555 2086,,Online
R40119,Mon 09/21/2026,5:00 PM,6,T6,,Confirmed,"White, Aisha",6175555898,,Online
R40628,Mon 09/21/2026,5:30 PM,3,T2,75,Confirmed,"Okafor, Mark",+1 512 555 6822,,Online
R40786,Mon 09/21/2026,5:30 PM,2,T8,105,Confirmed,"White, Nadia",919.555.1126,,Online
R40609,Mon 09/21/2026,5:30 PM,3,T9,,Confirmed,"Castillo, Kwame",(802) 555-7800,,Online
R40275,Mon 09/21/2026,5:45 PM,2,T11,120,Confirmed,"Stewart, Jennifer",5125555283,,Phone
R40735,Mon 09/21/2026,6:00 PM,6,T12,,Confirmed,"Perez, Mark",(971) 555-3414,,Phone
R40778,Mon 09/21/2026,6:15 PM,4,T2,90,Confirmed,"Moore, Michael",+1 512 555 1396,booked online,Online
R40163,Mon 09/21/2026,6:15 PM,3,T5,105,Confirmed,"Green, Joseph",206-555-6714,,Online
R40236,Mon 09/21/2026,6:15 PM,3,T9,90,Confirmed,"Peterson, Matthew",+1 303 555 7701,booked online,Online
R40578,Mon 09/21/2026,6:45 PM,3,T10,90,Confirmed,"Turner, John",1-971-555-6424,,Phone
R40336,Mon 09/21/2026,6:45 PM,2,T7,120,Confirmed,"Hall, Cynthia",+1 971 555 4996,,Online
R40306,Mon 09/21/2026,7:15 PM,3,T9,,Confirmed,"Bennett, Timothy",1-971-555-7981,,Online
R40206,Mon 09/21/2026,8:00 PM,2,T3,75,Confirmed,"Martinez, Omar",2065558533,,Phone
R40654,Mon 09/21/2026,8:00 PM,2,T5,105,Confirmed,"Clark, Amara",+1 720 555 2008,,Phone
R40509,Mon 09/21/2026,8:15 PM,1,T1,90,Confirmed,"Castillo, Donald",617.555.9496,,Online
R40639,Mon 09/21/2026,8:30 PM,1,T11,105,Confirmed,"Smith, Melissa",(617) 555-1647,,Phone
R40656,Mon 09/21/2026,9:00 PM,1,T7,75,Confirmed,"Phillips, Brian",971-555-3129,,Online
R40532,Tue 09/22/2026,5:15 PM,1,T11,75,Confirmed,"Evans, Emily",(206) 555-8591,,Online
R40472,Tue 09/22/2026,5:15 PM,6,T12,,Confirmed,"Hughes, Joseph",+1 415 555 4835,,Online
R40556,Tue 09/22/2026,5:30 PM,5,T10,,Confirmed,"Mitchell, Priya",1-802-555-9022,,Online
R40645,Tue 09/22/2026,5:30 PM,4,T2,75,Confirmed,"Peterson, John",1-608-555-3570,,Online
R40497,Tue 09/22/2026,5:30 PM,2,T3,90,Confirmed,"Hill, Omar",1-720-555-2703,,Online
R40159,Tue 09/22/2026,5:30 PM,2,T4,105,Confirmed,"Nguyen, Richard",+1 (971) 555-9977,,Online
R40337,Tue 09/22/2026,5:30 PM,4,T6,,Confirmed,"Rogers, Anna",(971) 555-2409,,Phone
R40684,Tue 09/22/2026,5:30 PM,3,T8,,Confirmed,"Howard, Amanda",(617) 555-6741,,Online
R40531,Tue 09/22/2026,5:45 PM,2,T5,90,Confirmed,"Rivera, Donna",206-555-8109,,Phone
R40640,Tue 09/22/2026,6:00 PM,3,T9,,Confirmed,"Turner, Thomas",206-555-1269,,Online
R40309,Tue 09/22/2026,6:15 PM,2,T1,75,Confirmed,"Reed, Edward",7205558388,,Online
R40986,Tue 09/22/2026,6:15 PM,2,T7,105,Confirmed,"Morgan, Mateo",9715556903,,Phone
R40213,Tue 09/22/2026,6:30 PM,2,T11,75,Confirmed,"Reyes, Melissa",1-303-555-8221,,Phone
R40924,Tue 09/22/2026,6:30 PM,4,T4,90,Confirmed,"Lee, Charles",(971) 555-1950,moved to T9 - window request,Phone
R40216,Tue 09/22/2026,6:45 PM,2,T1,75,Cancelled,"Carter, Luis",8025554118,guest cancelled,Phone
R40943,Tue 09/22/2026,6:45 PM,3,T2,105,Confirmed,"Morris, Carlos",(303) 555-7584,,Online
R40455,Tue 09/22/2026,7:00 PM,2,T3,120,Confirmed,"Moore, Betty",+1 608 555 3647,,Online
R40773,Tue 09/22/2026,7:15 PM,4,T8,90,Confirmed,"Lopez, Ingrid",2065559995,,Phone
R40792,Tue 09/22/2026,7:30 PM,2,T4,,Confirmed,"Bennett, Brian",802.555.5766,,Phone
R40868,Tue 09/22/2026,7:45 PM,3,T10,,Confirmed,"Carter, James",5125553695,,Online
R40631,Tue 09/22/2026,7:45 PM,4,T5,,Confirmed,"Adams, Susan",+1 802 555 1902,,Online
R40194,Tue 09/22/2026,8:00 PM,4,T12,105,Confirmed,"Ward, Carlos",7205555489,,Phone
R40993,Tue 09/22/2026,8:00 PM,3,T9,,Confirmed,"Jackson, Anna",720.555.2793,,Online
R40882,Tue 09/22/2026,8:15 PM,6,T6,,Confirmed,"Watson, Carol",415-555-8038,,Phone
R40659,Tue 09/22/2026,8:45 PM,1,T11,90,Confirmed,"Carter, Carlos",617-555-1172,,Online
R40902,Tue 09/22/2026,8:45 PM,1,T7,,Confirmed,"Parker, Jason",9715556058,,Online
R40758,Tue 09/22/2026,9:00 PM,2,T1,105,Confirmed,"Murphy, Mark",919-555-3452,,Phone
R40482,Wed 09/23/2026,5:00 PM,7,T12,90,Confirmed,"Morris, Donna",+1 608 555 9555,,Phone
R40273,Wed 09/23/2026,5:00 PM,4,T2,,Confirmed,"Carter, Marcus",303-555-3004,,Online
R40181,Wed 09/23/2026,5:00 PM,3,T5,105,Confirmed,"Kim, Luis",1-919-555-3707,,Phone
R41005,Wed 09/23/2026,5:15 PM,2,T2,75,Confirmed,"Long, Kimberly",1-303-555-9321,"moved to T11, quieter",Online
R41019,Wed 09/23/2026,5:15 PM,1,T7,120,Confirmed,"Murphy, Joshua",+1 (617) 555-1981,,Phone
R40391,Wed 09/23/2026,5:30 PM,2,T4,,Confirmed,"Turner, Steven",608.555.9649,,Online
R40691,Wed 09/23/2026,5:45 PM,3,T8,,Confirmed,"Green, Robert",1-919-555-4932,,Online
R41023,Wed 09/23/2026,6:00 PM,2,T4,,Cancelled,"Morales, Michelle",+1 (608) 555-2026,,Online
R40435,Wed 09/23/2026,6:00 PM,3,T5,120,Confirmed,"Jackson, Andrew",+1 303 555 4191,,Phone
R40270,Wed 09/23/2026,6:15 PM,5,T10,105,Confirmed,"Brown, Kathleen",(617) 555-5206,,Online
R40535,Wed 09/23/2026,6:15 PM,3,T9,90,Confirmed,"Bennett, Jessica",(608) 555-1702,,Online
R40891,Wed 09/23/2026,6:45 PM,5,T6,,Confirmed,"Cruz, Sofia",919-555-5161,,Online
R40676,Wed 09/23/2026,7:00 PM,5,T12,120,Confirmed,"Nguyen, Ashley",(303) 555-3316,,Phone
R40190,Wed 09/23/2026,7:00 PM,4,T4,,Confirmed,"Haddad, Jennifer",1-919-555-3961,,Phone
R40121,Wed 09/23/2026,7:15 PM,2,T11,,Confirmed,"Gomez, Sarah",617-555-4701,,Online
R40724,Wed 09/23/2026,7:15 PM,1,T7,105,Confirmed,"Morris, Mary",(303) 555-2743,,Phone
R40862,Wed 09/23/2026,7:45 PM,4,T8,,Confirmed,"Bailey, Jonathan",1-919-555-1971,,Phone
R40555,Wed 09/23/2026,8:15 PM,6,T10,,Confirmed,"Young, Emily",(919) 555-4896,,Online
R40849,Wed 09/23/2026,8:30 PM,1,T1,120,Confirmed,"Haddad, Jacob",+1 (608) 555-6647,,Online
R40949,Wed 09/23/2026,8:30 PM,5,T6,,Confirmed,"Young, John",206.555.3148,,Online
R40327,Wed 09/23/2026,8:45 PM,2,T2,,Confirmed,"Nguyen, Andrew",+1 (415) 555-2965,,Phone
R40988,Wed 09/23/2026,8:45 PM,1,T3,75,Confirmed,"Cox, Amy",+1 919 555 1722,,Online
R40938,Thu 09/24/2026,5:00 PM,3,T10,,Confirmed,"Gutierrez, Jacob",8025554137,,Phone
R40540,Thu 09/24/2026,5:15 PM,1,T1,105,Confirmed,"Cox, Mateo",919.555.3614,,Phone
R41039,Thu 09/24/2026,5:15 PM,1,T7,,Confirmed,"Williams, Jessica",608-555-5677,,Phone
R40377,Thu 09/24/2026,5:30 PM,4,T6,75,Confirmed,"Hill, Thomas",9715552002,,Online
R40897,Thu 09/24/2026,5:30 PM,4,T9,75,Confirmed,"Morgan, Andrew",802-555-8111,,Online
R40173,Thu 09/24/2026,6:00 PM,1,T11,105,Confirmed,"Baker, Marcus",1-415-555-3552,,Online
R40351,Thu 09/24/2026,6:15 PM,2,T9,90,Confirmed,"Nguyen, Omar",802-555-3639,booked online,Online
R40732,Thu 09/24/2026,6:30 PM,2,T2,,Confirmed,"Brown, Shirley",(415) 555-9217,,Online
R40439,Thu 09/24/2026,7:00 PM,8,T12,120,Confirmed,"Ruiz, George",1-971-555-3575,,Online
R40527,Thu 09/24/2026,7:00 PM,2,T3,,Confirmed,"Taylor, Amara",(919) 555-8378,,Online
R40561,Thu 09/24/2026,7:00 PM,2,T5,,Confirmed,"Smith, John",2065554449,,Online
R40589,Thu 09/24/2026,7:15 PM,3,T10,90,Confirmed,"Peterson, Steven",8025559958,,Online
R40877,Thu 09/24/2026,7:15 PM,2,T2,90,Confirmed,"Ruiz, Ryan",+1 971 555 4410,booked online,Online
R40425,Thu 09/24/2026,8:15 PM,1,T11,,Confirmed,"Ruiz, Susan",+1 415 555 6366,,Online
R40319,Thu 09/24/2026,8:45 PM,5,T6,,Confirmed,"Harris, Anna",+1 617 555 8912,,Phone
R40313,Thu 09/24/2026,8:45 PM,4,T9,,Confirmed,"Diaz, Mary",(512) 555-8750,,Online
R40550,Thu 09/24/2026,9:00 PM,3,T5,120,Confirmed,"Kim, Jason",1-415-555-4196,,Online
R40406,Fri 09/25/2026,5:00 PM,2,T11,90,Confirmed,"Hughes, Fatima",1-720-555-9419,,Online
R40828,Fri 09/25/2026,5:00 PM,8,T12,75,Confirmed,"Watson, Marcus",6175558498,,Online
R40452,Fri 09/25/2026,5:00 PM,1,T3,,Confirmed,"Morris, Aisha",971.555.9080,,Phone
R40984,Fri 09/25/2026,5:00 PM,3,T5,,Confirmed,"Stewart, Deborah",8025557670,,Online
R40911,Fri 09/25/2026,5:00 PM,2,T8,,Confirmed,"Ruiz, Ronald",(802) 555-9575,,Online
R40666,Fri 09/25/2026,5:15 PM,1,T1,90,Confirmed,"Nguyen, Betty",(919) 555-1027,,Phone
R41010,Fri 09/25/2026,5:15 PM,2,T2,,Confirmed,"Okafor, Cynthia",+1 (512) 555-2732,,Phone
R40914,Fri 09/25/2026,5:15 PM,3,T4,75,Confirmed,"Hill, David",1-512-555-7816,,Online
R40146,Fri 09/25/2026,5:15 PM,6,T6,75,Confirmed,"Hughes, James",1-720-555-5273,,Online
R40332,Fri 09/25/2026,5:15 PM,1,T7,120,Confirmed,"Howard, Sharon",2065553093,,Online
R41016,Fri 09/25/2026,5:15 PM,4,T9,,Confirmed,"Chavez, Andrew",9195554826,,Online
R40490,Fri 09/25/2026,5:30 PM,3,T10,120,Confirmed,"Flores, Jacob",+1 512 555 8521,,Phone
R40103,Fri 09/25/2026,6:15 PM,5,T12,,Confirmed,"Perez, Charles",+1 (971) 555-6647,,Phone
