Customer,Contact,Phone,Email,Service Address,Rep,Last Service,Notes
Trinity Lutheran School,Brenda Barnes,(513) 555-0169,bbarnes@trinitylutheranschool-oh.org,"6591 Austin Blvd Ste 305, Oakwood, OH 45419",Dana,28-Oct-2024,Dog in backyard - call first
Nathan Sullivan,Nathan Sullivan,5135550194,sullivan.nathan@outlook.com,"2482 Dayton-Xenia Rd, Vandalia, OH 45377",Marcus,3/4/2026,Dog in backyard - call first
Janet Sprague,Janet Sprague,937-555-0130,sprague.janet@gmail.com,"5794 Linden Ave, Dayton, OH 45410",Marcus,,Maintenance plan - spring/fall
Ahmed Quintero,,513.555.0198,ahmedquintero75@gmail.com,"6031 Alex Bell Rd, West Carrollton, OH 45449",Dana,22-Jan-2024,Past due balance - collect before work
Terrence Quintero,Terrence Quintero,9375550149,tquintero@gmail.com,"7742 Needmore Rd Unit 12, Huber Heights, OH 45424",Dana,03/09/26,Net 30
REGGIE OYELARAN,,937 555-0198,reggieoyelaran66@sbcglobal.net,"7883 Yankee St, Centerville, OH 45459",Dana,,Dog in backyard - call first
Hector Ortega,,513.555.0185,hortega@gmail.com,"6372 Miamisburg-Centerville Rd, Miamisburg, OH 45342",Dana,10-Jul-2026,
Far Hills Veterinary,Vincent Castillo,(937) 555-0153,vcastillo@farhillsvet.com,"251 Stroop Rd, Centerville, OH 45459",Marcus,01/20/25,Billing goes to property manager
Cheryl Duffy,Cheryl Duffy,+1 513 555 0156,cduffy@yahoo.com,"6580 Rahn Rd, Kettering, OH 45429",Marcus,10/31/2024,
Lorraine Kaminski,,(937) 555-0116,lkaminski@hotmail.com,"8842 Austin Blvd, Dayton, OH 45402",Dana,9/21/2024,Billing goes to property manager
Cheryl Osei,Cheryl Osei,(513) 555-0103,cherylosei60@gmail.com,"3653 Bigger Rd, Oakwood, OH 45419",Dana,01-Jul-2025,2 systems (up/down)
Gerald Mensah,Gerald Mensah,+1 513 555 0164,geraldmensah88@woh.rr.com,"5006 Old Troy Pike, Kettering, OH 45440",Marcus,2026-02-18,Maintenance plan - spring/fall
Brenda Grimes,Brenda Grimes,937-555-0191,bgrimes@yahoo.com,"1167 Stroop Rd, West Carrollton, OH 45449",Dana,1/8/2025,
Springboro Self Storage,Nathan Hollis,9375550175,nathan@springboroselfstorage.com,"7011 Austin Blvd, Dayton, OH 45410",Priya,"June 14, 2026",Net 30
Ernest Ortega,,+1 937 555 0124,ernest.ortega@yahoo.com,"220 Fairfield Rd Unit 12, Fairborn, OH 45324",Dana,"March 9, 2024",Past due balance - collect before work
Robert Abernathy,Robert Abernathy,(513) 555-0143,,"6726 Oak Ave, Vandalia, OH 45377",Marcus,05/18/24,Furnace replaced 2024
Kettering Family Practice,Harold Yates,937-555-0133,harold@ketteringfamilypractice.net,"9736 Maple St, Beavercreek, OH 45431",Marcus,"April 2, 2024",Elderly - allow extra time
Tamika Tanaka,Tamika Tanaka,513.555.0119,tanaka.tamika@outlook.com,"2917 Far Hills Ave, Beavercreek, OH 45431",Dana,05/22/26,Past due balance - collect before work
Anthony Winslow,Anthony Winslow,937.555.0166,anthony.winslow@icloud.com,"5173 Rahn Rd, Oakwood, OH 45419",Priya,,Elderly - allow extra time
Lakeview Office Park,Robert Quintero,+1 513 555 0160,robert.quintero@lakeviewofficepark-oh.com,"1920 N Dixie Dr, Springboro, OH 45066",Dana,"October 23, 2025",Call before arriving
Denise Delacroix,Denise Delacroix,(937) 555-0118,denisedelacroix89@outlook.com,"6593 Maple St, Dayton, OH 45402",Dana,09/15/24,Key under mat (back door)
Ahmed Nguyen,Ahmed Nguyen,9375550100,nguyen.ahmed@yahoo.com,"6041 Far Hills Ave, Xenia, OH 45385",Dana,13-Jun-2025,"Unit on roof, needs ladder"
Ivan Kowalski,,9375550152,ivan.kowalski@gmail.com,"1383 Salem Ave, Xenia, OH 45385",Marcus,08/13/24,Heat pump + gas backup
Dixie Highway Tire & Lube,Patricia Yates,(513) 555-0197,pyates@dixietireandlube.com,"1460 Far Hills Ave Bldg C, Xenia, OH 45385",Dana,2025-10-27,Key under mat (back door)
Deborah Rademacher,,(513) 555-0155,deborahrademacher93@gmail.com,"9306 N Dixie Dr, Fairborn, OH 45324",Dana,19-Dec-2025,Prefers text
Wilmington Pike Plaza Management,Kwame Ruiz,+1 937 555 0187,kruiz@wpplazamgmt.com,"6439 Stroop Rd Ste 12, Oakwood, OH 45419",Dana,7/25/2025,Access through alley
Darnell Whitfield,Darnell Whitfield,+1 513 555 0120,darnellwhitfield84@gmail.com,"2716 Dorothy Ln, Fairborn, OH 45324",Dana,01-Dec-2025,2 systems (up/down)
Bonnie Winslow,Bonnie Winslow,(513) 555-0127,winslow.bonnie@icloud.com,"2347 Wilmington Pike, Dayton, OH 45402",Marcus,"March 8, 2026",Prefers text
Deborah Ashworth,Deborah Ashworth,513-555-0136,dashworth@yahoo.com,"3261 Salem Ave, Oakwood, OH 45419",Dana,6/6/2025,Do not schedule before 10am
Beavercreek Montessori,Ahmed Ruiz,937.555.0196,office@beavercreekmontessori.org,"5864 Dorothy Ln, Centerville, OH 45459",Priya,23-Aug-2025,Owner travels - tenant is contact
Brenda Ortega,Brenda Ortega,9375550148,brenda.ortega@gmail.com,"9157 Alex Bell Rd Apt 2, Dayton, OH 45420",Priya,05/21/26,
Darnell Delacroix,Darnell Delacroix,(513) 555-0111,ddelacroix@sbcglobal.net,"3413 Kemp Rd, West Carrollton, OH 45449",Marcus,8/27/2026,
Stanley Ashworth,Stanley Ashworth,+1 513 555 0129,stanley.ashworth@gmail.com,"9299 Byers Rd, Springboro, OH 45066",Priya,14-Jun-2026,Furnace replaced 2024
JUDITH BEAUMONT,,937-555-0125,beaumont.judith@gmail.com,"2234 Patterson Rd, West Carrollton, OH 45449",Marcus,11/27/25,
Tamika Ashworth,,513.555.0186,tamikaashworth59@woh.rr.com,"424 Fairfield Rd, Oakwood, OH 45419",Dana,09/26/25,2 systems (up/down)
Brookside Veterinary Clinic,Hector Yates,937.555.0160,office@brooksidevetoh.com,"1160 Grange Hall Rd Unit B, Kettering, OH 45429",Dana,6/6/2024,Billing goes to property manager
Judith Fitzgerald,Judith Fitzgerald,937 555-0155,,"3052 Wayne Ave, Kettering, OH 45429",Marcus,04/26/24,Maintenance plan - spring/fall
Frank Osei,Frank Osei,+1 937 555 0184,frank.osei@sbcglobal.net,"8180 Bigger Rd, Kettering, OH 45429",Dana,12/23/24,
Judith Kessler,,+1 513 555 0195,judith.kessler@yahoo.com,"6661 Maple St, Centerville, OH 45459",Priya,04/25/25,
Jamal Kaminski,Jamal Kaminski,(937) 555-0115,kaminski.jamal@gmail.com,"816 Main St, Dayton, OH 45420",Dana,1/25/2026,Past due balance - collect before work
DIANE RADEMACHER,DIANE RADEMACHER,+1 937 555 0185,diane.rademacher@gmail.com,"3641 Fairfield Rd, Xenia, OH 45385",Dana,2026-06-05,Access through alley
Vincent Kowalski,Vincent Kowalski,(513) 555-0190,kowalski.vincent@gmail.com,"9835 E 3rd St, Dayton, OH 45420",Marcus,06/21/25,Do not schedule before 10am
Darnell Oyelaran,,(513) 555-0163,darnelloyelaran67@icloud.com,"5875 Clyo Rd, Dayton, OH 45420",Marcus,10/3/2025,Call before arriving
Joyce Delacroix,Joyce Delacroix,(937) 555-0161,joycedelacroix85@sbcglobal.net,"6828 Salem Ave, Huber Heights, OH 45424",Dana,,
Beverly Coyle,,5135550191,coyle.beverly@gmail.com,"3603 Shroyer Rd, Fairborn, OH 45324",Marcus,,
Miami Valley Auto Body,Harold Sprague,+1 937 555 0111,harold@mvautobodyoh.com,"2811 Alex Bell Rd, Kettering, OH 45440",Marcus,12-Feb-2025,Net 30
Pine Ridge Senior Living,Leon Farrukh,513 555-0148,leon.farrukh@pineridgeseniorliving-oh.com,"9711 Smithville Rd Suite 110, Vandalia, OH 45377",Marcus,,Key under mat (back door)
Harold Vasquez,Harold Vasquez,+1 937 555 0103,vasquez.harold@hotmail.com,"5937 Linden Ave, Kettering, OH 45429",Dana,2025-06-13,
Vincent Stroud,,+1 937 555 0190,stroud.vincent@gmail.com,"2371 Grange Hall Rd, Oakwood, OH 45419",Dana,"August 17, 2026",Net 30
Felix Grimes,,937.555.0127,felixgrimes67@gmail.com,"4071 Taylorsville Rd, Dayton, OH 45410",Priya,11/25/24,
The Corner Bakery on Main,Dmitri Fitzgerald,513.555.0196,dfitzgerald@cornerbakerymain.com,"2096 Beaver Valley Rd Unit B, Springboro, OH 45066",Dana,8/25/2024,Dog in backyard - call first
Pamela Brandt,Pamela Brandt,+1 513 555 0113,pamela.brandt@icloud.com,"113 Byers Rd, Beavercreek, OH 45431",Priya,3/25/2026,Do not schedule before 10am
Theresa Gaines,Theresa Gaines,9375550177,,"4374 Patterson Rd Apt 2, West Carrollton, OH 45449",Priya,06/20/25,Elderly - allow extra time
Gloria Chandler,,(513) 555-0175,gchandler@gmail.com,"5418 Dorothy Ln, Centerville, OH 45459",Priya,"July 5, 2024",
Dmitri Okafor,,+1 513 555 0151,dmitri.okafor@sbcglobal.net,"7205 N Fairfield Rd, Xenia, OH 45385",Marcus,,Owner travels - tenant is contact
Omar Kaminski,Omar Kaminski,513.555.0182,,"4449 Rahn Rd Lot 22, Kettering, OH 45429",Marcus,2025-06-23,Elderly - allow extra time
Deborah Tolliver,,5135550140,deborah.tolliver@att.net,"6741 Hempstead Station Dr, Dayton, OH 45420",Dana,,Furnace replaced 2024
Douglas Whitfield,,+1 513 555 0145,douglaswhitfield70@outlook.com,"9607 Smithville Rd, Dayton, OH 45410",Marcus,03/16/25,Furnace replaced 2024
Fairborn Fitness 24,Patricia Hargrove,+1 513 555 0115,patricia.hargrove@fairbornfitness24.com,"8046 Indian Ripple Rd Bldg C, Springboro, OH 45066",Dana,03/07/24,
Diane McBride,Diane McBride,937.555.0140,dianemcbride58@yahoo.com,"2951 Hempstead Station Dr, West Carrollton, OH 45449",Marcus,11/10/24,Dog in backyard - call first
Felix Sullivan,Felix Sullivan,513-555-0114,fsullivan@yahoo.com,"5697 Patterson Rd, Vandalia, OH 45377",Marcus,,
Pamela Brandt,,+1 513 555 0113,pamela.brandt@ICLOUD.COM,"113 Byers Rd, Beavercreek, OH 45431",Priya,2024-03-11,
Harold Hensley,,(937) 555-0181,,"1686 Fairfield Rd, West Carrollton, OH 45449",Marcus,12/12/24,Maintenance plan - spring/fall
Kwame Mensah,,+1 513 555 0178,kwame.mensah@yahoo.com,"4923 N Dixie Dr, Beavercreek, OH 45431",Dana,04/16/25,Net 30
Gerald Mensah,Gerald Mensah,+1 513 555 0164,geraldmensah88@woh.rr.com,"5006 Old Troy Pike, Kettering, OH 45440",Marcus,2026-02-18,Maintenance plan - spring/fall
Beverly Novak,Beverly Novak,(513) 555-0133,beverly.novak@gmail.com,"5485 Wayne Ave, Oakwood, OH 45419",Dana,"November 7, 2024",
Felix Farrukh,Felix Farrukh,513 555-0124,felix.farrukh@yahoo.com,"2407 Dorothy Ln, Dayton, OH 45402",Dana,06-May-2024,Owner travels - tenant is contact
Ernest Ortega,,+1 937 555 0124,ernest.ortega@yahoo.com,"220 Fairfield Rd Unit 12, Fairborn, OH 45324",Dana,"March 9, 2024",Past due balance - collect before work
Valley Orthodontics,Beverly Okafor,(513) 555-0183,beverly.okafor@valleyorthooh.com,"6818 E 3rd St Suite 4, Miamisburg, OH 45342",Dana,11/16/24,
Denise Delgado,,+1 937 555 0176,ddelgado@icloud.com,"5037 Needmore Rd, Kettering, OH 45429",Marcus,06-Apr-2025,Prefers text
Oakwood Dry Cleaners,Angela Cortez,(937) 555-0119,angela@oakwooddrycleanersoh.com,"6462 Hempstead Station Dr, Springboro, OH 45066",Priya,"June 14, 2026",Gate code 4412
Pamela Grimes,,(513) 555-0125,,"9030 Woodman Dr Unit 12, Beavercreek, OH 45431",Dana,,
Ahmed Quintero,,513-555-0198,AHMEDQUINTERO75@gmail.com,"6031 Alex Bell Rd, West Carrollton, OH 45449",Dana,30-Apr-2024,re-entered by front desk
Bonnie Okafor,,9375550164,bonnieokafor80@woh.rr.com,"4692 Maple St, Kettering, OH 45429",Marcus,02/13/26,Call before arriving
Luis Sullivan,Luis Sullivan,(937) 555-0162,luissullivan67@gmail.com,"4492 Indian Ripple Rd, Beavercreek, OH 45431",Dana,,Dog in backyard - call first
Maple Street Dental,Kwame Pacheco,+1 937 555 0178,office@maplestreetdentaloh.com,"2803 Oak Ave, Dayton, OH 45402",Dana,"August 30, 2026",
Stonebridge Storage,Joyce Lindqvist,+1 937 555 0108,jlindqvist@stonebridgestorageoh.com,"2310 Beaver Valley Rd, Vandalia, OH 45377",Dana,"August 23, 2025",Past due balance - collect before work
Raymond Duffy,Raymond Duffy,937 555-0173,rduffy@sbcglobal.net,"5138 Woodman Dr, Oakwood, OH 45419",Priya,"September 22, 2024",Dog in backyard - call first
