First Name,Last Name,Email,Phone,Client,Role,Portal Access
Ryan,Lopez,rlopez@pinewoodpg.com,+1 512 555 3174,PINEWOOD PROPERTY GROUP,Staff,Yes
Kwame,Chavez,kchavez@kestrelanalytics.io,5125557362,Kestrel Analytics,Staff,Yes
Linda,Wright,LWRIGHT@QUARRYROAD.COM,+1 (919) 555-6554,Quarry Road Nursery,Billing,Yes
Ashley,Brooks,abrooks@harlowpeds.com,3035551855,Harlow Pediatric Dentistry,Primary,Yes
Fatima,Brown,fbrown@cedarpine.co,303.555.6526,Cedar & Pine Landscaping,Primary,No
Rahul,Davis,rdavis@crescentmoonbakes.com,1-608-555-3288,CRESCENT MOON BAKERY,Billing,No
Kenneth,Alvarez,kalvarez@bluemesatitle.com,919-555-8304,Blue Mesa Title,Primary,No
Richard,Mensah,rmensah@summitridgesurvey.com,206.555.1196,Summit Ridge Surveying,Staff,Yes
Kimberly,Morgan,kmorgan@saltmarshkayaks.com,7205552074,Saltmarsh Kayaks,Billing,Yes
Robert,Ross,rross@kingfishercharters.com,6175553610,Kingfisher Charters,Staff,Yes
James,Young,jyoung@harborlightmarine.com,512-555-9396,Harbor Light Marine,Primary,Yes
Sarah,Stewart,sstewart@pembertonhvac.com,6175556215,Pemberton HVAC,Billing,No
Richard,Mensah,rmensah@summitridgesurvey.com,206.555.1196,Summit Ridge Surveying,Staff,Yes
Donald,Gray,dgray@harlowpeds.com,+1 608 555 3508,Harlow Pediatric Dentistry,Primary,Yes
Mateo,Tanaka,mtanaka@hollowellelectric.com,415-555-8617,Hollowell Electric,Staff,No
Gary,Flores,gflores@brightwaterdental.com,1-802-555-1126,Brightwater Dental,Primary,Yes
Priya,Patel,ppatel@silverlinelogistics.com,+1 (206) 555-3223,Silverline Logistics,Billing,Yes
Dmitri,Morris,dmorris@thistlethread.com,+1 617 555 5949,THISTLE & THREAD ALTERATIONS,Staff,No
Brian,Phillips,bphillips@brightwaterdental.com,+1 415 555 6641,Brightwater Dental,Staff,Yes
Susan,Ortiz,sortiz@yellowtailseafood.com,1-303-555-1772,Yellowtail Seafood,Staff,Yes
Amara,Hill,ahill@pinewoodpg.com,+1 (802) 555-2875,Pinewood Property Group,Primary,Yes
Aisha,Johnson,ajohnson@northfieldauto.com,720.555.9836,Northfield Auto Body,Staff,Yes
Kwame,Cox,kcox@foxgloveinteriors.com,(971) 555-8410,Foxglove Interiors,Staff,Yes
Rebecca,Ramirez,rramirez@orchardhilldental.com,+1 (608) 555-1666,Orchard Hill Dental,Staff,No
Anthony,Morales,amorales@quillandink.print,2065552338,Quill & Ink Print Shop,Staff,No
Cynthia,Price,cprice@thistlethread.com,6085551082,Thistle & Thread Alterations,Staff,Yes
Priya,Patel,ppatel@silverlinelogistics.com,+1 (206) 555-3223,Silverline Logistics,Billing,Yes
Michelle,Gutierrez,mgutierrez@ellingtonbakes.com,+1 (303) 555-3353,Ellington Bakeries,Staff,Yes
Mary,Robinson,mrobinson@lakesidevet.com,1-415-555-6311,Lakeside Veterinary,Billing,Yes
Nancy,Jones,njones@fernbrookmontessori.org,(206) 555-1004,FERNBROOK MONTESSORI,Staff,No
Mateo,Lindqvist,mlindqvist@wrensparrowbooks.com,+1 303 555 2571,Wren & Sparrow Bookshop,Primary,Yes
Brian,Harris,bharris@saltmarshkayaks.com,919-555-4823,Saltmarsh Kayaks,Staff,Yes
Gary,Watson,gwatson@fernbrookmontessori.org,617.555.4242,Fernbrook Montessori,Staff,No
Michelle,Ramos,mramos@tamarackbrewing.com,971.555.7340,Tamarack Brewing,Primary,Yes
Marcus,Long,mlong@brightwaterdental.com,415-555-3671,Brightwater Dental,Billing,No
Lisa,Richardson,lrichardson@silverlinelogistics.com,+1 (608) 555-8903,Silverline Logistics,Staff,Yes
Michael,Reed,mreed@umberceramics.com,608.555.9260,Umber Ceramics,Billing,Yes
Michelle,Harris,mharris@tallgrassvet.com,1-617-555-7950,Tallgrass Veterinary,Primary,Yes
Amy,Kim,akim@silverlinelogistics.com,512.555.4753,Silverline Logistics,Primary,Yes
Daniel,Cook,dcook@kestrelanalytics.io,1-303-555-3736,Kestrel Analytics,Billing,Yes
Margaret,Okafor,mokafor@larkspuryoga.com,6175551940,Larkspur Yoga,Billing,No
Donald,Gomez,dgomez@nightjar.coffee,617-555-2558,Nightjar Coffee Roasters,Primary,Yes
Sarah,Turner,sturner@larkspuryoga.com,1-617-555-5366,Larkspur Yoga,Staff,No
Amara,Young,ayoung@lakesidevet.com,+1 (720) 555-2952,Lakeside Veterinary,Staff,No
Eric,Hall,ehall@blueheronconsulting.com,1-971-555-6921,Blue Heron Consulting,Billing,Yes
Patricia,Wright,pwright@kingfishercharters.com,+1 (802) 555-4952,Kingfisher Charters,Staff,Yes
Thomas,Lopez,tlopez@quillandink.print,971-555-9611,Quill & Ink Print Shop,Primary,Yes
Kevin,Wright,kwright@blueheronconsulting.com,1-919-555-6699,Blue Heron Consulting,Billing,No
Nicholas,Cox,ncox@larkspuryoga.com,+1 415 555 2517,Larkspur Yoga,Staff,Yes
Dmitri,Perez,dperez@nightjar.coffee,(971) 555-9363,Nightjar Coffee Roasters,Staff,Yes
Jacob,Ramirez,jramirez@acmeindustrial.com,+1 415 555 9353,Acme Industrial,Billing,No
Leila,Martin,lmartin@uptownfit.com,(206) 555-1916,Uptown Fitness,Staff,Yes
Kwame,Chavez,Kchavez@Kestrelanalytics.Io,512-555-7362,Kestrel Analytics,Staff,Yes
Ronald,Gonzalez,rgonzalez@valleyforgestorage.com,+1 415 555 5504,Valley Forge Storage,Staff,Yes
Anthony,Smith,asmith@redwoodpm.com,206.555.8134,Redwood Property Mgmt,Billing,Yes
Lisa,Clark,lclark@northgatechiro.com,+1 (802) 555-4459,Northgate Chiropractic,Primary,Yes
Yuki,Wood,ywood@vantagepointmedia.com,720.555.2960,Vantage Point Media,Billing,No
Emily,Nelson,enelson@quillandink.print,608.555.5133,Quill & Ink Print Shop,Staff,Yes
Steven,Sanchez,ssanchez@willowbrookcare.org,1-206-555-4990,Willowbrook Senior Care,Staff,Yes
Linda,Wright,lwright@quarryroad.com,1-919-555-6554,Quarry Road Nursery,Billing,Yes
Elizabeth,Phillips,ephillips@granitepeak.com,(608) 555-5360,Granite Peak Outfitters,Staff,No
Richard,Alvarez,ralvarez@juniperstreet.cafe,6175554078,Juniper Street Cafe,Primary,No
Michael,Alvarez,malvarez@keystonefb.com,1-802-555-2047,Keystone Freight Brokers,Billing,Yes
George,Lewis,glewis@granitepeak.com,+1 512 555 6996,Granite Peak Outfitters,Staff,Yes
Christopher,Haddad,chaddad@zephyrbikes.com,1-971-555-8068,ZEPHYR BIKE WORKS,Primary,No
Patricia,Stewart,pstewart@lanternhillwine.com,206-555-1044,Lantern Hill Winery,Billing,No
Anthony,Foster,afoster@ivylaneflorist.com,+1 (802) 555-5197,Ivy Lane Florist,Staff,Yes
Carlos,Chavez,cchavez@bramblebirch.com,1-512-555-9980,Bramble & Birch Florals,Billing,Yes
Mark,Nelson,mnelson@orchardhilldental.com,1-971-555-5549,Orchard Hill Dental,Staff,Yes
Joseph,Scott,jscott@hollowellelectric.com,+1 (206) 555-3219,Hollowell Electric,Staff,Yes
Gary,Watson,gwatson@fernbrookmontessori.org,617.555.4242,Fernbrook Montessori,Staff,No
Omar,Morris,omorris@juniperstreet.cafe,1-802-555-1105,Juniper Street Cafe,Billing,No
Jacob,Stewart,jstewart@mossbank.cpa,+1 617 555 5232,Mossbank Accounting,Staff,Yes
Brian,Murphy,bmurphy@bramblebirch.com,+1 (802) 555-9962,Bramble & Birch Florals,Billing,No
Melissa,Ramos,mramos@riverbendphysio.com,512.555.5343,Riverbend Physio,Billing,No
Amara,Bailey,abailey@westbrookplumbing.com,(971) 555-6749,Westbrook Plumbing,Staff,No
Cynthia,Diaz,cdiaz@crescentmoonbakes.com,+1 608 555 4833,Crescent Moon Bakery,Billing,No
Sharon,Hill,shill@copperfieldlaw.com,+1 (512) 555-5530,Copperfield Law,Staff,Yes
Sandra,Mitchell,smitchell@meridiantitle.com,1-303-555-9051,Meridian Title,Primary,Yes
Timothy,Richardson,trichardson@valleyforgestorage.com,512.555.4718,Valley Forge Storage,Staff,No
Eric,Kelly,ekelly@northfieldauto.com,2065556453,Northfield Auto Body,Staff,Yes
Jonathan,Mitchell,jmitchell@westbrookplumbing.com,303.555.1144,Westbrook Plumbing,Staff,Yes
Sharon,Hill,shill@copperfieldlaw.com,+1 (512) 555-5530,Copperfield Law,Staff,Yes
Nicholas,Rogers,nrogers@ridgeviewanimal.com,9715554313,Ridgeview Animal Hospital,Staff,Yes
Sharon,Lindqvist,slindqvist@meridiantitle.com,+1 720 555 5567,Meridian Title,Billing,Yes
Luis,Murphy,,+1 608 555 6019,Pinewood Property Group,Primary,No
Linda,Castillo,lcastillo@granitepeak.com,919.555.6668,Granite Peak Outfitters,Staff,Yes
John,Martinez,jmartinez@umberceramics.com,1-303-555-2891,Umber Ceramics,Primary,Yes
Sarah,Carter,scarter@grangertool.com,206-555-2185,Granger Tool & Die,Staff,No
Amara,Davis,adavis@summitridgesurvey.com,919.555.1645,Summit Ridge Surveying,Staff,Yes
Nadia,Ross,nross@seasiderp.com,5125553533,Seaside Realty Partners,Primary,Yes
David,Lewis,Dlewis@harlowpeds.com,720-555-8851,Harlow Pediatric Dentistry,Staff,Yes
Amy,Green,agreen@pinnacleroofing.com,415-555-3954,Pinnacle Roofing,Staff,Yes
Lisa,Myers,lmyers@keystonefb.com,6085559341,KEYSTONE FREIGHT BROKERS,Billing,Yes
Kevin,King,kking@everline.com,206.555.4672,Everline Insurance,Billing,Yes
Jessica,Hernandez,jhernandez@everline.com,+1 415 555 2183,Everline Insurance,Staff,Yes
Angela,Kim,akim@umberceramics.com,(415) 555-7158,Umber Ceramics,Staff,Yes
Deborah,Lindqvist,dlindqvist@riverbendphysio.com,1-971-555-7440,Riverbend Physio,Primary,Yes
Leila,Gomez,lgomez@fairwaypt.com,(919) 555-1901,Fairway Physical Therapy,Billing,Yes
Karen,Cox,kcox@yellowtailseafood.com,3035559701,Yellowtail Seafood,Staff,No
