invoice,customer,customer_email,plan,period_start,period_end,amount,status,created,memo
INV-20460,cus_8dr7jd4b,carlos.morgan@gmail.com,Monthly - 1 bag,2025-10-08,2025-11-07,19.00,paid,2025-10-08,
INV-20462,cus_6k9sq9ak,kimberlyallen21@gmail.com,Monthly - 1 bag,2025-10-08,2025-11-07,19.00,paid,2025-10-08,
INV-20464,cus_u8pk7hxk,cturner@gmail.com,Monthly - 2 bags,2025-10-08,2025-11-07,34.00,paid,2025-10-09,
INV-20466,cus_5jn8ejvj,murphy.betty@yahoo.com,Monthly - 2 bags,2025-10-10,2025-11-09,34.00,paid,2025-10-10,
INV-20467,cus_5xtkseqm,sarahallen67@icloud.com,Monthly - 1 bag,2025-10-11,2025-11-10,19.00,paid,2025-10-11,
INV-20468,cus_trz5uraw,sandra_thomas@protonmail.com,Monthly - 1 bag,2025-10-11,2025-11-10,19.00,paid,2025-10-11,
INV-20470,cus_368y6wp6,dorothy_collins@yahoo.com,Monthly - 1 bag,2025-10-12,2025-11-11,19.00,paid,2025-10-12,
INV-20472,cus_6tqf7ghd,dwatson@yahoo.com,Monthly - 2 bags,2025-10-13,2025-11-12,34.00,paid,2025-10-13,
INV-20475,cus_atdem82m,cook.eric@yahoo.com,Monthly - 1 bag,2025-10-13,2025-11-12,19.00,paid,2025-10-13,
INV-20477,cus_abjbts72,chaddad@aol.com,Monthly - 2 bags,2025-10-14,2025-11-13,34.00,paid,2025-10-14,
INV-20479,cus_85ats8sn,timothy_lee@gmail.com,Quarterly prepaid - 1 bag/mo,2025-10-14,2026-01-13,54.00,failed,2025-10-14,
INV-20481,cus_2cbttsvs,ashleyhernandez90@outlook.com,Monthly - 2 bags,2025-10-14,2025-11-13,34.00,paid,2025-10-14,
INV-20482,cus_3kzadwt9,jhall@icloud.com,Monthly - 2 bags,2025-10-15,2025-11-14,34.00,paid,2025-10-15,
INV-20484,cus_85ats8sn,timothy_lee@gmail.com,Quarterly prepaid - 1 bag/mo,2025-10-14,2026-01-13,54.00,paid,2025-10-15,
INV-20485,cus_4fvssavh,carlos.baker@me.com,Monthly - 2 bags,2025-10-16,2025-11-15,34.00,paid,2025-10-16,
INV-20486,cus_xbpcudx5,jessica.reed@icloud.com,Monthly - 2 bags,2025-10-16,2025-11-15,34.00,paid,2025-10-16,
INV-20487,cus_pqsnz3bu,sarah.chavez@aol.com,Monthly - 1 bag,2025-10-16,2025-11-15,19.00,paid,2025-10-16,
INV-20489,cus_k2zkxvpm,danaedwards97@outlook.com,Monthly - 1 bag,2025-10-16,2025-11-15,19.00,paid,2025-10-16,
INV-20490,cus_p96eqebk,watson.patricia@protonmail.com,Monthly - 2 bags,2025-10-17,2025-11-16,34.00,paid,2025-10-17,
INV-20492,cus_uj9c336v,leila.jackson@aol.com,Monthly - 1 bag,2025-10-17,2025-11-16,19.00,paid,2025-10-17,
INV-20493,cus_rtbjtd2v,gary.perez@aol.com,Monthly - 1 bag,2025-10-18,2025-11-17,19.00,paid,2025-10-18,
INV-20494,cus_avpddymw,hughes.nicholas@me.com,Monthly - 1 bag,2025-10-20,2025-11-19,19.00,paid,2025-10-20,
INV-20496,cus_evu3dmbq,dana_morales@outlook.com,Quarterly prepaid - 1 bag/mo,2025-10-20,2026-01-19,54.00,paid,2025-10-20,
INV-20498,cus_5p7kae4d,bennett.michael@protonmail.com,Monthly - 1 bag,2025-10-20,2025-11-19,19.00,paid,2025-10-20,
INV-20499,cus_56bgzcmd,amara.haddad@outlook.com,Monthly - 2 bags,2025-10-21,2025-11-20,34.00,paid,2025-10-21,
INV-20502,cus_vxk4uyjq,ingridanderson2@yahoo.com,Monthly - 2 bags,2025-10-21,2025-11-20,34.00,paid,2025-10-21,
INV-20505,cus_s2c55jqg,mensah.matthew@protonmail.com,Monthly - 1 bag,2025-10-21,2025-11-20,19.00,paid,2025-10-21,
INV-20508,cus_y2rvnner,lee.cynthia@me.com,Monthly - 1 bag,2025-10-21,2025-11-20,19.00,paid,2025-10-21,
INV-20511,cus_ypzxnpt6,murphy.michael@gmail.com,Monthly - 1 bag,2025-10-22,2025-11-21,19.00,paid,2025-10-22,
INV-20513,cus_cgwfgywk,ronald_wood@me.com,Monthly - 1 bag,2025-10-23,2025-11-22,19.00,paid,2025-10-23,
INV-20516,cus_gcf3zyvx,price.luis@gmail.com,Monthly - 1 bag,2025-10-23,2025-11-22,19.00,paid,2025-10-23,
INV-20517,cus_nw2hpupf,weiwright62@aol.com,Monthly - 2 bags,2025-10-24,2025-11-23,34.00,paid,2025-10-24,
INV-20518,cus_m8nvqzpd,christopher.alvarez@protonmail.com,Monthly - 2 bags,2025-10-24,2025-11-23,34.00,paid,2025-10-24,
INV-20520,cus_2rj8qrmt,dmiller@protonmail.com,Monthly - 1 bag,2025-10-25,2025-11-24,19.00,paid,2025-10-25,
INV-20523,cus_pdkzq3hh,jones.amy@protonmail.com,Monthly - 2 bags,2025-10-26,2025-11-25,34.00,paid,2025-10-26,
INV-20526,cus_jb8aqw9k,david_kim@protonmail.com,Quarterly prepaid - 1 bag/mo,2025-10-26,2026-01-25,54.00,paid,2025-10-26,
INV-20529,cus_sf5jy5tk,laura_cox@hotmail.com,Monthly - 1 bag,2025-10-27,2025-11-26,19.00,paid,2025-10-27,
INV-20532,cus_5eeapqd4,gary.wright@outlook.com,Monthly - 1 bag,2025-10-27,2025-11-26,19.00,paid,2025-10-27,
INV-20535,cus_spk8n33f,amaraedwards77@outlook.com,Quarterly prepaid - 1 bag/mo,2025-10-27,2026-01-26,54.00,paid,2025-10-27,
INV-20536,cus_y75gs546,hiroshijackson99@aol.com,Quarterly prepaid - 1 bag/mo,2025-10-28,2026-01-27,54.00,paid,2025-10-28,
INV-20537,cus_rrtukftw,marcusdiaz65@icloud.com,Monthly - 1 bag,2025-10-28,2025-11-27,19.00,paid,2025-10-28,
INV-20538,cus_r5zfreej,john_moore@yahoo.com,Monthly - 1 bag,2025-10-28,2025-11-27,19.00,paid,2025-10-28,
INV-20540,cus_643cjds3,sarah_reed@protonmail.com,Monthly - 2 bags,2025-10-28,2025-11-27,34.00,paid,2025-10-28,
INV-20543,cus_gagx7eww,rahul.anderson@me.com,Quarterly prepaid - 1 bag/mo,2025-10-28,2026-01-27,54.00,paid,2025-10-28,
INV-20544,cus_8s9gdqwu,thomas.richardson@hotmail.com,Monthly - 1 bag,2025-11-02,2025-12-01,19.00,paid,2025-11-02,
INV-20545,cus_ns2asbkz,gomez.eric@protonmail.com,Monthly - 2 bags,2025-11-02,2025-12-01,34.00,paid,2025-11-02,
INV-20546,cus_j34zk7g4,jacob_flores@gmail.com,Monthly - 2 bags,2025-11-02,2025-12-01,34.00,paid,2025-11-02,
INV-20547,cus_fghfk74d,barbaraokafor8@outlook.com,Monthly - 1 bag,2025-11-03,2025-12-02,19.00,paid,2025-11-03,
INV-20549,cus_z6hveurp,adiaz@yahoo.com,Monthly - 2 bags,2025-11-03,2025-12-02,34.00,paid,2025-11-03,
INV-20551,cus_crxxgwmf,leila.ramirez@icloud.com,Monthly - 1 bag,2025-11-03,2025-12-02,19.00,paid,2025-11-03,
INV-20553,cus_mt6c8x43,chloe.perez@hotmail.com,Monthly - 1 bag,2025-11-03,2025-12-02,19.00,paid,2025-11-03,
INV-20556,cus_9gxn29nt,patel.jennifer@aol.com,Monthly - 1 bag,2025-11-03,2025-12-02,19.00,paid,2025-11-03,
INV-20559,cus_3bwmc4tx,carlos_johnson@yahoo.com,Monthly - 1 bag,2025-11-03,2025-12-02,19.00,paid,2025-11-03,
INV-20560,cus_xmbaa48k,clark.richard@aol.com,Monthly - 1 bag,2025-11-04,2025-12-03,19.00,paid,2025-11-04,
INV-20562,cus_pkq8bhmq,anderson.dmitri@me.com,Monthly - 2 bags,2025-11-04,2025-12-03,34.00,paid,2025-11-04,
INV-20564,cus_v2e33ups,pmorris@gmail.com,Monthly - 1 bag,2025-11-04,2025-12-03,19.00,paid,2025-11-04,
INV-20567,cus_5umzkvay,michelleflores62@icloud.com,Monthly - 1 bag,2025-11-04,2025-12-03,19.00,paid,2025-11-04,
INV-20568,cus_d5y845dr,steven_johnson@icloud.com,Monthly - 2 bags,2025-11-05,2025-12-04,34.00,paid,2025-11-05,
INV-20570,cus_hpnj6as3,slong@protonmail.com,Monthly - 2 bags,2025-11-05,2025-12-04,34.00,paid,2025-11-05,
INV-20572,cus_4gyxc6pd,marcus_miller@hotmail.com,Monthly - 2 bags,2025-11-05,2025-12-04,34.00,paid,2025-11-05,
INV-20574,cus_zquby2ye,chill@me.com,Monthly - 2 bags,2025-11-05,2025-12-04,34.00,paid,2025-11-05,
INV-20575,cus_rj44nx26,deborahwright62@protonmail.com,Monthly - 1 bag,2025-11-06,2025-12-05,19.00,paid,2025-11-06,
INV-20578,cus_buxrk375,mwright@hotmail.com,Monthly - 1 bag,2025-11-06,2025-12-05,19.00,paid,2025-11-06,
INV-20579,cus_8dr7jd4b,carlos.morgan@gmail.com,Monthly - 1 bag,2025-11-08,2025-12-07,19.00,paid,2025-11-08,
INV-20581,cus_6k9sq9ak,kimberlyallen21@gmail.com,Monthly - 1 bag,2025-11-08,2025-12-07,19.00,paid,2025-11-08,
INV-20584,cus_yadgjf2m,mmorgan@gmail.com,Monthly - 2 bags,2025-11-08,2025-12-07,34.00,paid,2025-11-08,
INV-20587,cus_u8pk7hxk,cturner@gmail.com,Monthly - 2 bags,2025-11-08,2025-12-07,34.00,paid,2025-11-08,
INV-20588,cus_pm6tq5nm,wilson.amara@aol.com,Monthly - 1 bag,2025-11-09,2025-12-08,19.00,paid,2025-11-09,
INV-20590,cus_6gx5ft6q,osei.elizabeth@aol.com,Quarterly prepaid - 1 bag/mo,2025-11-09,2026-02-08,54.00,paid,2025-11-09,
INV-20592,cus_u4658jb5,barbara.mensah@yahoo.com,Quarterly prepaid - 1 bag/mo,2025-11-09,2026-02-08,54.00,paid,2025-11-09,
INV-20595,cus_y8u592zg,sofiamensah23@protonmail.com,Monthly - 1 bag,2025-11-09,2025-12-08,19.00,paid,2025-11-09,
INV-20596,cus_5jn8ejvj,murphy.betty@yahoo.com,Monthly - 2 bags,2025-11-10,2025-12-09,34.00,paid,2025-11-10,
INV-20599,cus_5xtkseqm,sarahallen67@icloud.com,Monthly - 1 bag,2025-11-11,2025-12-10,19.00,paid,2025-11-11,
INV-20602,cus_trz5uraw,sandra_thomas@protonmail.com,Monthly - 1 bag,2025-11-11,2025-12-10,19.00,paid,2025-11-11,
INV-20603,cus_368y6wp6,dorothy_collins@yahoo.com,Monthly - 1 bag,2025-11-12,2025-12-11,19.00,paid,2025-11-12,
INV-20604,cus_a2tjcj4m,marcusedwards11@gmail.com,Quarterly prepaid - 1 bag/mo,2025-11-12,2026-02-11,54.00,paid,2025-11-12,
INV-20607,cus_6tqf7ghd,dwatson@yahoo.com,Monthly - 2 bags,2025-11-13,2025-12-12,34.00,paid,2025-11-13,
INV-20610,cus_atdem82m,cook.eric@yahoo.com,Monthly - 1 bag,2025-11-13,2025-12-12,19.00,paid,2025-11-13,
INV-20611,cus_78mhefjz,sandra_rogers@gmail.com,Monthly - 2 bags,2025-11-14,2025-12-13,34.00,paid,2025-11-14,
INV-20612,cus_2cbttsvs,ashleyhernandez90@outlook.com,Monthly - 2 bags,2025-11-14,2025-12-13,34.00,paid,2025-11-14,
INV-20615,cus_abjbts72,chaddad@aol.com,Monthly - 2 bags,2025-11-14,2025-12-13,34.00,paid,2025-11-14,
INV-20617,cus_9a85xep2,mary.morgan@me.com,Monthly - 1 bag,2025-11-15,2025-12-14,19.00,paid,2025-11-15,
INV-20620,cus_3kzadwt9,jhall@icloud.com,Monthly - 2 bags,2025-11-15,2025-12-14,34.00,paid,2025-11-15,
INV-20621,cus_4fvssavh,carlos.baker@me.com,Monthly - 2 bags,2025-11-16,2025-12-15,34.00,paid,2025-11-16,
INV-20623,cus_pqsnz3bu,sarah.chavez@aol.com,Monthly - 1 bag,2025-11-16,2025-12-15,19.00,paid,2025-11-16,
INV-20625,cus_xbpcudx5,jessica.reed@icloud.com,Monthly - 2 bags,2025-11-16,2025-12-15,34.00,paid,2025-11-16,
INV-20627,cus_5jpvpfwc,sarah_king@gmail.com,Monthly - 1 bag,2025-11-16,2025-12-15,19.00,paid,2025-11-16,
INV-20630,cus_k2zkxvpm,danaedwards97@outlook.com,Monthly - 1 bag,2025-11-16,2025-12-15,19.00,paid,2025-11-16,
INV-20631,cus_p96eqebk,watson.patricia@protonmail.com,Monthly - 2 bags,2025-11-17,2025-12-16,34.00,paid,2025-11-17,
INV-20633,cus_uj9c336v,leila.jackson@aol.com,Monthly - 1 bag,2025-11-17,2025-12-16,19.00,paid,2025-11-17,
INV-20635,cus_78gdzxvc,wilson.dorothy@protonmail.com,Quarterly prepaid - 1 bag/mo,2025-11-17,2026-02-16,54.00,paid,2025-11-17,
INV-20636,cus_hs2pa9tj,jeffreymyers16@hotmail.com,Monthly - 1 bag,2025-11-18,2025-12-17,19.00,paid,2025-11-18,
INV-20638,cus_rtbjtd2v,gary.perez@aol.com,Monthly - 1 bag,2025-11-18,2025-12-17,19.00,paid,2025-11-18,
INV-20640,cus_avpddymw,hughes.nicholas@me.com,Monthly - 1 bag,2025-11-20,2025-12-19,19.00,paid,2025-11-20,
INV-20643,cus_5p7kae4d,bennett.michael@protonmail.com,Monthly - 1 bag,2025-11-20,2025-12-19,19.00,paid,2025-11-20,
INV-20644,cus_s2c55jqg,mensah.matthew@protonmail.com,Monthly - 1 bag,2025-11-21,2025-12-20,19.00,paid,2025-11-21,
INV-20645,cus_y2rvnner,lee.cynthia@me.com,Monthly - 1 bag,2025-11-21,2025-12-20,19.00,paid,2025-11-21,
INV-20646,cus_vxk4uyjq,ingridanderson2@yahoo.com,Monthly - 2 bags,2025-11-21,2025-12-20,34.00,paid,2025-11-21,
INV-20649,cus_56bgzcmd,amara.haddad@outlook.com,Monthly - 2 bags,2025-11-21,2025-12-20,34.00,paid,2025-11-21,
INV-20650,cus_ypzxnpt6,murphy.michael@gmail.com,Monthly - 1 bag,2025-11-22,2025-12-21,19.00,paid,2025-11-22,
INV-20652,cus_vy7kqma3,bettycook3@icloud.com,Monthly - 1 bag,2025-11-22,2025-12-21,19.00,paid,2025-11-22,
INV-20654,cus_cgwfgywk,ronald_wood@me.com,Monthly - 1 bag,2025-11-23,2025-12-22,19.00,paid,2025-11-23,
INV-20657,cus_gcf3zyvx,price.luis@gmail.com,Monthly - 1 bag,2025-11-23,2025-12-22,19.00,paid,2025-11-23,
INV-20659,cus_m8nvqzpd,christopher.alvarez@protonmail.com,Monthly - 2 bags,2025-11-24,2025-12-23,34.00,paid,2025-11-24,
INV-20661,cus_nw2hpupf,weiwright62@aol.com,Monthly - 2 bags,2025-11-24,2025-12-23,34.00,paid,2025-11-24,
INV-20662,cus_eg9eh2ad,brodriguez@me.com,Monthly - 2 bags,2025-11-25,2025-12-24,34.00,paid,2025-11-25,
INV-20664,cus_2rj8qrmt,dmiller@protonmail.com,Monthly - 1 bag,2025-11-25,2025-12-24,19.00,paid,2025-11-25,
INV-20666,cus_82xzhdym,stephanie.mitchell@aol.com,Quarterly prepaid - 1 bag/mo,2025-11-25,2026-02-24,54.00,paid,2025-11-25,
INV-20669,cus_eazrqyyv,joshua_stewart@aol.com,Monthly - 1 bag,2025-11-26,2025-12-25,19.00,paid,2025-11-26,
INV-20672,cus_pdkzq3hh,jones.amy@protonmail.com,Monthly - 2 bags,2025-11-26,2025-12-25,34.00,paid,2025-11-26,
INV-20674,cus_sf5jy5tk,laura_cox@hotmail.com,Monthly - 1 bag,2025-11-27,2025-12-26,19.00,paid,2025-11-27,
INV-20676,cus_5eeapqd4,gary.wright@outlook.com,Monthly - 1 bag,2025-11-27,2025-12-26,19.00,paid,2025-11-27,
INV-20677,cus_48aape7y,mateo.martin@protonmail.com,Monthly - 1 bag,2025-11-28,2025-12-27,19.00,paid,2025-11-28,
INV-20678,cus_fyy8uth6,johnbrooks53@protonmail.com,Monthly - 1 bag,2025-11-28,2025-12-27,19.00,failed,2025-11-28,
INV-20679,cus_r5zfreej,john_moore@yahoo.com,Monthly - 1 bag,2025-11-28,2025-12-27,19.00,paid,2025-11-28,
INV-20681,cus_rrtukftw,marcusdiaz65@icloud.com,Monthly - 1 bag,2025-11-28,2025-12-27,19.00,paid,2025-11-28,
INV-20684,cus_643cjds3,sarah_reed@protonmail.com,Monthly - 2 bags,2025-11-28,2025-12-27,34.00,paid,2025-11-28,
INV-20687,cus_464g5ucu,angelahill41@hotmail.com,Quarterly prepaid - 1 bag/mo,2025-11-28,2026-02-27,54.00,failed,2025-11-28,
INV-20688,cus_464g5ucu,angelahill41@hotmail.com,Quarterly prepaid - 1 bag/mo,2025-11-28,2026-02-27,54.00,paid,2025-11-29,
INV-20691,cus_fyy8uth6,johnbrooks53@protonmail.com,Monthly - 1 bag,2025-11-28,2025-12-27,19.00,paid,2025-11-29,
INV-20692,cus_j34zk7g4,jacob_flores@gmail.com,Monthly - 2 bags,2025-12-02,2026-01-01,34.00,paid,2025-12-02,
INV-20693,cus_8s9gdqwu,thomas.richardson@hotmail.com,Monthly - 1 bag,2025-12-02,2026-01-01,19.00,paid,2025-12-02,
INV-20696,cus_gttpd87z,ashley_ross@outlook.com,Quarterly prepaid - 1 bag/mo,2025-12-02,2026-03-01,54.00,paid,2025-12-02,
INV-20699,cus_ns2asbkz,gomez.eric@protonmail.com,Monthly - 2 bags,2025-12-02,2026-01-01,34.00,paid,2025-12-02,
INV-20700,cus_fghfk74d,barbaraokafor8@outlook.com,Monthly - 1 bag,2025-12-03,2026-01-02,19.00,paid,2025-12-03,
INV-20702,cus_3bwmc4tx,carlos_johnson@yahoo.com,Monthly - 1 bag,2025-12-03,2026-01-02,19.00,paid,2025-12-03,
INV-20704,cus_3rzqkdk4,sofia_allen@outlook.com,Quarterly prepaid - 1 bag/mo,2025-12-03,2026-03-02,54.00,paid,2025-12-03,
INV-20706,cus_z6hveurp,adiaz@yahoo.com,Monthly - 2 bags,2025-12-03,2026-01-02,34.00,paid,2025-12-03,
INV-20708,cus_mt6c8x43,chloe.perez@hotmail.com,Monthly - 1 bag,2025-12-03,2026-01-02,19.00,paid,2025-12-03,
INV-20710,cus_crxxgwmf,leila.ramirez@icloud.com,Monthly - 1 bag,2025-12-03,2026-01-02,19.00,paid,2025-12-03,
INV-20713,cus_9gxn29nt,patel.jennifer@aol.com,Monthly - 1 bag,2025-12-03,2026-01-02,19.00,paid,2025-12-03,
INV-20714,cus_v2e33ups,pmorris@gmail.com,Monthly - 1 bag,2025-12-04,2026-01-03,19.00,paid,2025-12-04,
INV-20716,cus_xmbaa48k,clark.richard@aol.com,Monthly - 1 bag,2025-12-04,2026-01-03,19.00,paid,2025-12-04,
INV-20719,cus_pkq8bhmq,anderson.dmitri@me.com,Monthly - 2 bags,2025-12-04,2026-01-03,34.00,paid,2025-12-04,
INV-20722,cus_5umzkvay,michelleflores62@icloud.com,Monthly - 1 bag,2025-12-04,2026-01-03,19.00,paid,2025-12-04,
INV-20723,cus_4gyxc6pd,marcus_miller@hotmail.com,Monthly - 2 bags,2025-12-05,2026-01-04,34.00,paid,2025-12-05,
INV-20726,cus_d5y845dr,steven_johnson@icloud.com,Monthly - 2 bags,2025-12-05,2026-01-04,34.00,paid,2025-12-05,
INV-20729,cus_hpnj6as3,slong@protonmail.com,Monthly - 2 bags,2025-12-05,2026-01-04,34.00,paid,2025-12-05,
INV-20732,cus_zquby2ye,chill@me.com,Monthly - 2 bags,2025-12-05,2026-01-04,34.00,paid,2025-12-05,
INV-20734,cus_rj44nx26,deborahwright62@protonmail.com,Monthly - 1 bag,2025-12-06,2026-01-05,19.00,paid,2025-12-06,
INV-20736,cus_buxrk375,mwright@hotmail.com,Monthly - 1 bag,2025-12-06,2026-01-05,19.00,paid,2025-12-06,
INV-20739,cus_shmfw3f2,melissa_kim@outlook.com,Monthly - 1 bag,2025-12-06,2026-01-05,19.00,paid,2025-12-06,
INV-20740,cus_u8pk7hxk,cturner@gmail.com,Monthly - 2 bags,2025-12-08,2026-01-07,34.00,paid,2025-12-08,
INV-20742,cus_bv84vfnq,young.ashley@gmail.com,Quarterly prepaid - 1 bag/mo,2025-12-08,2026-03-07,54.00,paid,2025-12-08,
INV-20745,cus_6k9sq9ak,kimberlyallen21@gmail.com,Monthly - 1 bag,2025-12-08,2026-01-07,19.00,paid,2025-12-08,
INV-20748,cus_8dr7jd4b,carlos.morgan@gmail.com,Monthly - 1 bag,2025-12-08,2026-01-07,19.00,paid,2025-12-08,
INV-20751,cus_yadgjf2m,mmorgan@gmail.com,Monthly - 2 bags,2025-12-08,2026-01-07,34.00,paid,2025-12-08,
INV-20752,cus_d9wxzme8,rebeccaosei2@icloud.com,Monthly - 2 bags,2025-12-09,2026-01-08,34.00,failed,2025-12-09,
INV-20754,cus_y8u592zg,sofiamensah23@protonmail.com,Monthly - 1 bag,2025-12-09,2026-01-08,19.00,paid,2025-12-09,
INV-20756,cus_x738bwqq,stevenbennett49@hotmail.com,Monthly - 2 bags,2025-12-09,2026-01-08,34.00,paid,2025-12-09,
INV-20758,cus_pm6tq5nm,wilson.amara@aol.com,Monthly - 1 bag,2025-12-09,2026-01-08,19.00,paid,2025-12-09,
INV-20760,cus_vdbf555t,omar.cruz@protonmail.com,Quarterly prepaid - 1 bag/mo,2025-12-09,2026-03-08,54.00,paid,2025-12-09,
INV-20762,cus_d9wxzme8,rebeccaosei2@icloud.com,Monthly - 2 bags,2025-12-09,2026-01-08,34.00,paid,2025-12-10,
INV-20765,cus_5jn8ejvj,murphy.betty@yahoo.com,Monthly - 2 bags,2025-12-10,2026-01-09,34.00,paid,2025-12-10,
INV-20766,cus_trz5uraw,sandra_thomas@protonmail.com,Monthly - 1 bag,2025-12-11,2026-01-10,19.00,paid,2025-12-11,
INV-20767,cus_5xtkseqm,sarahallen67@icloud.com,Monthly - 1 bag,2025-12-11,2026-01-10,19.00,paid,2025-12-11,
INV-20770,cus_4ztrhtxa,watson.mark@aol.com,Monthly - 2 bags,2025-12-11,2026-01-10,34.00,paid,2025-12-11,
INV-20773,cus_368y6wp6,dorothy_collins@yahoo.com,Monthly - 1 bag,2025-12-12,2026-01-11,19.00,paid,2025-12-12,
INV-20774,cus_fdeb8g6q,elizabeth.allen@yahoo.com,Quarterly prepaid - 1 bag/mo,2025-12-13,2026-03-12,54.00,paid,2025-12-13,
INV-20776,cus_b8xceusv,amorales@aol.com,Monthly - 2 bags,2025-12-13,2026-01-12,34.00,failed,2025-12-13,
INV-20779,cus_atdem82m,cook.eric@yahoo.com,Monthly - 1 bag,2025-12-13,2026-01-12,19.00,paid,2025-12-13,
INV-20782,cus_6tqf7ghd,dwatson@yahoo.com,Monthly - 2 bags,2025-12-13,2026-01-12,34.00,failed,2025-12-13,
INV-20783,cus_2cbttsvs,ashleyhernandez90@outlook.com,Monthly - 2 bags,2025-12-14,2026-01-13,34.00,paid,2025-12-14,
INV-20785,cus_abjbts72,chaddad@aol.com,Monthly - 2 bags,2025-12-14,2026-01-13,34.00,paid,2025-12-14,
INV-20787,cus_b8xceusv,amorales@aol.com,Monthly - 2 bags,2025-12-13,2026-01-12,34.00,paid,2025-12-14,
INV-20789,cus_78mhefjz,sandra_rogers@gmail.com,Monthly - 2 bags,2025-12-14,2026-01-13,34.00,paid,2025-12-14,
INV-20792,cus_6tqf7ghd,dwatson@yahoo.com,Monthly - 2 bags,2025-12-13,2026-01-12,34.00,paid,2025-12-14,
INV-20793,cus_9a85xep2,mary.morgan@me.com,Monthly - 1 bag,2025-12-15,2026-01-14,19.00,paid,2025-12-15,
INV-20796,cus_3kzadwt9,jhall@icloud.com,Monthly - 2 bags,2025-12-15,2026-01-14,34.00,paid,2025-12-15,
INV-20797,cus_5jpvpfwc,sarah_king@gmail.com,Monthly - 1 bag,2025-12-16,2026-01-15,19.00,paid,2025-12-16,
INV-20799,cus_pqsnz3bu,sarah.chavez@aol.com,Monthly - 1 bag,2025-12-16,2026-01-15,19.00,paid,2025-12-16,
INV-20801,cus_k2zkxvpm,danaedwards97@outlook.com,Monthly - 1 bag,2025-12-16,2026-01-15,19.00,paid,2025-12-16,
INV-20803,cus_maru5wtf,jennifer_thompson@icloud.com,Quarterly prepaid - 1 bag/mo,2025-12-16,2026-03-15,54.00,paid,2025-12-16,
INV-20806,cus_4fvssavh,carlos.baker@me.com,Monthly - 2 bags,2025-12-16,2026-01-15,34.00,paid,2025-12-16,
INV-20809,cus_tujgpauj,fatimahernandez46@protonmail.com,Quarterly prepaid - 1 bag/mo,2025-12-16,2026-03-15,54.00,paid,2025-12-16,
INV-20812,cus_xbpcudx5,jessica.reed@icloud.com,Monthly - 2 bags,2025-12-16,2026-01-15,34.00,paid,2025-12-16,
