Timestamp,Email Address,1. The Wi-Fi is fast and reliable.,2. The front desk team is helpful.,3. The kitchen and coffee area are kept clean.,4. It is hard to find a quiet place to take a call.,5. Booking a meeting room is easy.,6. I feel part of a community here.,7. I often can't find a desk when I arrive.,8. The monthly member events are worth attending.,9. The space is too cold or too warm most days.,10. I would recommend Foundry Commons to a friend.
8/8/2026 18:32:00,ryan_reyes@gmail.com,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree
8/8/2026 18:59:00,robertmitchell86@protonmail.com,N/A,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,N/A,Neither agree nor disagree,Agree
8/8/2026 22:44:00,jennifermyers39@protonmail.com,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
8/8/2026 23:34:00,daniel.young@icloud.com,Agree,Strongly Agree,Agree,Strongly agree,N/A,Agree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree
8/9/2026 03:25:00,nlee@gmail.com,Neither Agree Nor Disagree,N/A,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree
8/9/2026 03:25:00,shirley.young@gmail.com,Agree,Agree,Disagree,Neither agree nor disagree,N/A,Neither agree nor disagree,Disagree,Disagree,N/A,Agree
8/9/2026 07:40:00,nadia_richardson@gmail.com,Agree,N/A,,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
8/9/2026 08:33:00,anthony.davis@protonmail.com,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,N/A,Agree,Agree
8/9/2026 12:30:00,annacruz17@yahoo.com,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,Strongly agree,Agree
8/9/2026 13:04:00,paul_tanaka@protonmail.com,N/A,Agree,Agree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
8/9/2026 19:59:00,jenniferking18@gmail.com,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Neither Agree Nor Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
8/9/2026 20:52:00,amorales@gmail.com,Agree,Strongly agree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,N/A,Agree,Agree
8/10/2026 00:58:00,daniel.adams@icloud.com,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,N/A,Strongly agree,Strongly agree
8/10/2026 04:11:00,osei.george@outlook.com,Disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree
8/10/2026 07:00:00,nicholas.wright@hotmail.com,Agree,Strongly Agree,Strongly agree,Agree,Disagree,Agree,Disagree,N/A,Disagree,Agree
8/10/2026 09:17:00,wei.gutierrez@protonmail.com,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree
8/10/2026 10:43:00,george_rogers@hotmail.com,Neither agree nor disagree,Agree,N/A,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,N/A
8/10/2026 11:13:00,deborahramos91@aol.com,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree
8/10/2026 12:29:00,edward_flores@me.com,Agree,Strongly agree,Disagree,N/A,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly Agree,
8/10/2026 17:52:00,Rbrown@hotmail.com,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,N/A,Agree,Agree,,Neither agree nor disagree,Agree
8/11/2026 00:21:00,marcus_martin@hotmail.com,Agree,N/A,Strongly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree
8/11/2026 06:42:00,dlewis@yahoo.com,Neither agree nor disagree,N/A,Strongly agree,Agree,Neither agree nor disagree,Neither Agree Nor Disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
8/11/2026 07:34:00,angelamitchell22@yahoo.com,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither Agree Nor Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
8/11/2026 09:13:00,deborahramos91@aol.com,Neither agree nor disagree,Agree,Agree,Agree,Disagree,,,Disagree,Strongly agree,Agree
8/11/2026 09:25:00,NLEE@GMAIL.COM,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly agree
8/11/2026 11:34:00,ingridlong30@protonmail.com,N/A,N/A,Agree,Neither agree nor disagree,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
8/11/2026 12:22:00,brown.sandra@aol.com,Neither Agree Nor Disagree,Strongly agree,,Neither agree nor disagree,N/A,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Strongly agree
8/11/2026 16:22:00,jacob.lewis@icloud.com,Strongly agree,,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,N/A
8/11/2026 17:32:00,amanda.morales@icloud.com,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree
8/11/2026 19:17:00,lisa.long@protonmail.com,Agree,N/A,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree
8/12/2026 02:22:00,davidbrown61@aol.com,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,Strongly agree,Agree,N/A,Neither agree nor disagree,Strongly agree
8/12/2026 04:46:00,emoore@yahoo.com,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree
8/12/2026 06:53:00,stephanie.richardson@outlook.com,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,N/A,N/A,Neither agree nor disagree,Strongly agree
8/12/2026 09:38:00,scastillo@icloud.com,Neither agree nor disagree,N/A,Agree,Agree,Disagree,Neither agree nor disagree,N/A,Neither agree nor disagree,Agree,Agree
8/12/2026 11:22:00,price.carol@hotmail.com,Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,Neither agree nor disagree
8/12/2026 14:17:00,castillo.jason@aol.com,Disagree,Strongly agree,Neither Agree Nor Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
8/12/2026 15:13:00,william.campbell@yahoo.com,Strongly agree,Strongly Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,N/A,Strongly disagree,Agree
8/12/2026 16:03:00,mary.harris@gmail.com,Neither Agree Nor Disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree
8/12/2026 17:17:00,christopher_foster@yahoo.com,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Strongly agree
8/12/2026 17:22:00,kenneth.carter@me.com,Neither agree nor disagree,,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Neither Agree Nor Disagree
8/12/2026 22:32:00,george.edwards@gmail.com,,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Neither Agree Nor Disagree,N/A
8/13/2026 00:28:00,steven_taylor@gmail.com,Strongly agree,N/A,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither Agree Nor Disagree,Strongly agree,N/A
8/13/2026 02:45:00,brian_ward@yahoo.com,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,N/A,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly agree
8/13/2026 05:45:00,ngutierrez@gmail.com,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree
8/13/2026 06:32:00,GEORGE.EDWARDS@GMAIL.COM,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,N/A,Agree,Disagree,Agree,Agree,Strongly agree
8/13/2026 06:54:00,daniel_moore@outlook.com,Agree,Agree,Strongly disagree,Disagree,Disagree,N/A,Agree,Strongly agree,Agree,Neither agree nor disagree
8/13/2026 07:03:00,john.davis@aol.com,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree
8/13/2026 09:46:00,EMOORE@YAHOO.COM,Agree,Strongly Agree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,N/A,Neither agree nor disagree,N/A
8/13/2026 18:07:00,kwame_ross@me.com,Strongly Agree,Strongly agree,Strongly agree,,Agree,Disagree,Disagree,Agree,Agree,Agree
8/13/2026 19:16:00,williamanderson74@aol.com,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
8/13/2026 19:17:00,dorothy.bennett@gmail.com,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither Agree Nor Disagree
8/13/2026 20:09:00,arogers@outlook.com,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly Agree,Agree
8/14/2026 03:29:00,angela.campbell@outlook.com,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,N/A,Agree,Strongly disagree,Strongly agree
8/14/2026 07:29:00,margaret_cox@hotmail.com,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree
8/14/2026 09:57:00,osei.jennifer@icloud.com,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly Agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
8/14/2026 11:34:00,lpeterson@outlook.com,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
8/14/2026 13:29:00,rahul.bailey@gmail.com,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
8/14/2026 22:58:00,nancy.edwards@protonmail.com,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly disagree,Agree,,Agree,Agree,Strongly agree
8/15/2026 10:51:00,omarramos20@gmail.com,Agree,Strongly Agree,Disagree,Agree,Neither agree nor disagree,,Neither agree nor disagree,Agree,Agree,Strongly agree
8/15/2026 11:29:00,joshua_mensah@gmail.com,Neither Agree Nor Disagree,N/A,Disagree,Strongly agree,Disagree,Neither agree nor disagree,,Agree,Strongly agree,Agree
8/15/2026 15:22:00,Kenneth.carter@me.com,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree
8/15/2026 17:48:00,patel.wei@outlook.com,N/A,Strongly agree,Agree,Neither agree nor disagree,N/A,Strongly agree,Disagree,Agree,N/A,Agree
8/15/2026 18:08:00,amanda_patel@hotmail.com,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither Agree Nor Disagree,Agree
8/15/2026 20:22:00,josephtorres14@hotmail.com,Strongly agree,Agree,Agree,Disagree,N/A,Strongly agree,Agree,Neither Agree Nor Disagree,Disagree,Agree
8/15/2026 23:07:00,wood.nicholas@protonmail.com,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree
8/16/2026 03:07:00,pflores@icloud.com,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree
8/16/2026 06:17:00,CASTILLO.JASON@AOL.COM,Agree,N/A,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree
8/17/2026 11:45:00,brian_ward@yahoo.com,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,
8/19/2026 12:29:00,RAHUL.BAILEY@GMAIL.COM,Strongly agree,Agree,Disagree,Agree,N/A,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree
