TimeClock Plus - Punch Detail
Range: 08/31/2026 12:00 AM - 09/07/2026 12:00 PM
Badge #,Employee Name,Punch Date,Punch Time,In/Out,Terminal,Source
1078,Margaret Cook,09/05/2026,5:32 AM,In,Back door,Kiosk
1052,Kimberly Rogers,09/05/2026,5:56 AM,Out,Back door,Kiosk
1047,Rebecca Garcia,09/05/2026,6:28 AM,Out,Back door,Kiosk
1070,Dorothy Howard,09/05/2026,7:03 AM,In,Front counter,Kiosk
1083,Sarah Torres,09/05/2026,7:52 AM,In,Back door,Kiosk
1078,Margaret Cook,09/05/2026,9:28 AM,Out,Back door,Kiosk
1066,Joshua Morris,09/05/2026,10:57 AM,In,Back door,Kiosk
1078,Margaret Cook,09/05/2026,3:01 PM,In,Front counter,Kiosk
1070,Dorothy Howard,09/05/2026,3:06 PM,Out,Front counter,Kiosk
1083,Sarah Torres,09/05/2026,4:29 PM,Out,Back door,Kiosk
1078,Margaret Cook,09/05/2026,5:59 PM,Out,Back door,Kiosk
1066,Joshua Morris,09/05/2026,7:35 PM,Out,Back door,Kiosk
1052,Kimberly Rogers,09/05/2026,9:06 PM,In,Front counter,Kiosk
1052,Kimberly Rogers,09/06/2026,6:06 AM,Out,Back door,Kiosk
1052,Kimberly Rogers,09/06/2026,6:09 AM,Out,Front counter,Kiosk
1070,Dorothy Howard,09/06/2026,6:58 AM,In,Front counter,Kiosk
1066,Joshua Morris,09/06/2026,11:05 AM,In,Front counter,Kiosk
1070,Dorothy Howard,09/06/2026,3:05 PM,Out,Front counter,Kiosk
1066,Joshua Morris,09/06/2026,7:28 PM,Out,Front counter,Kiosk
1052,Kimberly Rogers,09/06/2026,8:58 PM,In,Back door,Kiosk
1078,Margaret Cook,09/07/2026,5:36 AM,In,Back door,Kiosk
1052,Kimberly Rogers,09/07/2026,6:06 AM,Out,Back door,Kiosk
1070,Dorothy Howard,09/07/2026,6:56 AM,In,Back door,Kiosk
1078,Margaret Cook,09/07/2026,9:36 AM,Out,Back door,Kiosk
