Cedar & Pine Landscaping
Transaction List by Vendor
December 1, 2024 - January 31, 2026

Date,Transaction Type,Num,Vendor,Memo/Description,Amount
03/09/2025,Bill,5958,Summit Tree Care,tree removal,641.00
03/18/2025,Bill Payment (ACH),,Garcia & Nguyen Snow,,"3,294.50"
03/18/2025,Bill Payment (ACH),,Summit Tree Care,,449.00
03/27/2025,Bill,3480,G. Phillips,mulch spreading,640.00
03/31/2025,Check,4114,S. Foster,planting crew,529.00
04/01/2025,Bill,4606,Brightline Pest,pest control,"1,584.00"
04/02/2025,Bill Payment (Check),4115,Summit Tree Care,,641.00
04/05/2025,Bill,5934,S. Foster,planting crew,441.25
04/07/2025,Bill Payment (Check),4116,G. Phillips,,640.00
04/13/2025,Bill,7405,S. Morgan,equipment hauling,"2,010.00"
04/15/2025,Bill,2606,Brightline Pest,pest control,"1,013.00"
04/21/2025,Bill Payment (Check),4117,S. Morgan,,"2,010.00"
04/22/2025,Bill Payment (Check),4118,Brightline Pest,,"1,584.00"
04/22/2025,Bill Payment (ACH),,S. Foster,,441.25
04/24/2025,Bill Payment (Check),4119,Brightline Pest,,"1,013.00"
05/09/2025,Bill,1588,R. Garcia,gutter cleaning,350.00
05/11/2025,Bill,1757,Torres Landscape Design,design,"1,404.00"
05/22/2025,Bill,1858,S. Morgan,equipment hauling,"2,961.00"
05/25/2025,Bill,3430,Two Rivers Irrigation,irrigation,"1,092.00"
05/26/2025,Check,4120,Richardson Sod & Seed,sod install,"2,490.00"
05/27/2025,Bill Payment (Check),4121,R. Garcia,,350.00
05/27/2025,Bill,5417,Summit Tree Care,tree removal,792.00
05/30/2025,Bill Payment (Check),4122,Torres Landscape Design,,"1,404.00"
05/31/2025,Bill,8576,S. Foster,planting crew,383.00
06/01/2025,Bill,2628,Summit Tree Care,tree removal,912.00
06/03/2025,Check,4123,Garcia & Nguyen Snow,snow removal,"3,094.00"
06/03/2025,Bill,1038,Mossbank Accounting,bookkeeping and tax,"1,905.00"
06/03/2025,Bill Payment (ACH),,S. Morgan,,"2,961.00"
06/04/2025,Bill,2323,Torres Landscape Design,design,"1,321.00"
06/10/2025,Bill,5292,Okafor Hardscape LLC,stone and patio work,"3,753.00"
06/11/2025,Bill Payment (ACH),,Mossbank Accounting,,"1,905.00"
06/11/2025,Check,4124,Valley Small Engine,mower repair,400.00
06/12/2025,Bill Payment (Check),4125,Two Rivers Irrigation,,"1,092.00"
06/14/2025,Bill,3573,S. Morgan,equipment hauling,"2,467.00"
06/17/2025,Bill Payment (Check),4126,Torres Landscape Design,,"1,321.00"
06/18/2025,Bill Payment (ACH),,Summit Tree Care,,912.00
06/20/2025,Bill Payment (Check),4127,Okafor Hardscape LLC,,"3,753.00"
06/23/2025,Bill Payment (Check),4128,Summit Tree Care,,792.00
06/24/2025,Bill Payment (ACH),,S. Foster,,383.00
06/24/2025,Check,4129,Two Rivers Irrigation,irrigation,"1,228.00"
06/25/2025,Bill,1061,M. Cox,aeration,"1,316.00"
06/26/2025,Bill,2234,J. Morris,mowing crew,348.00
06/26/2025,Bill,3086,R. Garcia,gutter cleaning,250.00
07/04/2025,Bill Payment (Check),4130,M. Cox,,"1,316.00"
07/10/2025,Bill Payment (Check),4131,J. Morris,,348.00
07/10/2025,Bill Payment (Check),4132,S. Morgan,,"2,467.00"
07/12/2025,Bill,2376,D. Howard,fence repair,530.00
07/14/2025,Deposit,,G. Phillips,"Refund - overbilled, one visit rained out",-75.00
07/16/2025,Bill Payment (Check),4133,R. Garcia,,250.00
07/18/2025,Check,4134,J. Morris,mowing crew,531.00
07/18/2025,Bill,9217,S. Morgan,equipment hauling,"2,220.00"
07/18/2025,Bill,3331,Torres Landscape Design,design,"1,355.00"
07/21/2025,Bill,7335,K. Rogers,leaf pickup,303.50
07/22/2025,Bill,3558,D. Howard,fence repair,478.00
07/23/2025,Bill,7852,Copperfield Law,legal,"1,193.00"
07/24/2025,Check,4135,S. Foster,planting crew,418.00
07/30/2025,Bill Payment (Check),4136,K. Rogers,,303.50
08/01/2025,Bill Payment (ACH),,Copperfield Law,,"1,193.00"
08/01/2025,Bill Payment (ACH),,D. Howard,,478.00
08/01/2025,Bill Payment (Check),4137,S. Morgan,,"2,220.00"
08/04/2025,Bill Payment (ACH),,Torres Landscape Design,,"1,355.00"
08/07/2025,Bill Payment (Check),4138,D. Howard,,530.00
08/10/2025,Bill,5230,Torres Landscape Design,design,837.00
08/12/2025,Bill,6630,Summit Tree Care,tree removal,873.00
08/15/2025,Bill,4826,Okafor Hardscape LLC,stone and patio work,"3,341.00"
08/18/2025,Check,4139,Garcia & Nguyen Snow,snow removal,"2,593.00"
08/21/2025,Bill Payment (Check),4140,Torres Landscape Design,,837.00
09/04/2025,Bill Payment (Check),4141,Okafor Hardscape LLC,,"3,341.00"
09/04/2025,Bill Payment (Check),4142,Summit Tree Care,,873.00
09/05/2025,Bill,7170,Torres Landscape Design,design,"1,389.00"
09/06/2025,Bill,9005,Brightline Pest,pest control,"1,431.00"
09/09/2025,Check,4143,J. Morris,mowing crew,493.00
09/10/2025,Check,4144,S. Morgan,equipment hauling,"2,943.00"
09/11/2025,Check,4145,Two Rivers Irrigation,irrigation,"1,104.00"
09/13/2025,Bill,3138,Garcia & Nguyen Snow,snow removal,"2,219.00"
09/13/2025,Bill,5080,Richardson Sod & Seed,sod install,"2,858.00"
09/15/2025,Bill,8744,S. Morgan,equipment hauling,"2,665.00"
09/22/2025,Bill Payment (Check),4146,Garcia & Nguyen Snow,,"2,219.00"
09/22/2025,Deposit,,J. Morris,Refund - crew missed two scheduled mows,-130.00
09/23/2025,Bill Payment (ACH),,Brightline Pest,,"1,431.00"
09/25/2025,Bill,8993,Two Rivers Irrigation,irrigation,990.00
09/26/2025,Bill,7934,Two Rivers Irrigation,irrigation,799.00
10/01/2025,Bill Payment (Check),4147,Richardson Sod & Seed,,"2,858.00"
10/01/2025,Bill Payment (Check),4148,Torres Landscape Design,,"1,389.00"
10/04/2025,Bill,8110,M. Cox,aeration,888.50
10/06/2025,Bill,3480,K. Rogers,leaf pickup,284.00
10/07/2025,Bill Payment (Check),4149,Two Rivers Irrigation,,990.00
10/08/2025,Check,4150,Mossbank Accounting,bookkeeping and tax,"1,923.00"
10/14/2025,Bill,6873,Brightline Pest,pest control,"1,609.00"
10/14/2025,Bill Payment (ACH),,S. Morgan,,"2,665.00"
10/16/2025,Bill Payment (ACH),,Two Rivers Irrigation,,799.00
10/21/2025,Bill Payment (Check),4151,M. Cox,,888.50
10/25/2025,Bill,4714,M. Cox,aeration,"1,296.00"
10/27/2025,Bill Payment (Check),4152,Brightline Pest,,"1,609.00"
10/27/2025,Bill,2199,Torres Landscape Design,design,978.00
10/30/2025,Bill,4252,Mossbank Accounting,bookkeeping and tax,"2,089.00"
11/04/2025,Bill Payment (Check),4153,Torres Landscape Design,,978.00
11/04/2025,Bill,7102,Valley Small Engine,mower repair,650.00
11/05/2025,Bill Payment (Check),4154,K. Rogers,,284.00
11/05/2025,Bill,2152,M. Cook,holiday lighting,530.00
11/06/2025,Check,4155,Copperfield Law,legal,"1,747.00"
11/06/2025,Check,4156,Torres Landscape Design,design,"1,262.00"
11/08/2025,Bill,3530,Valley Small Engine,mower repair,769.00
11/10/2025,Bill Payment (Check),4157,Mossbank Accounting,,"2,089.00"
11/14/2025,Bill,2387,Brightline Pest,pest control,"1,133.00"
11/21/2025,Bill Payment (Check),4158,M. Cook,,530.00
11/24/2025,Bill Payment (Check),4159,Brightline Pest,,"1,133.00"
11/24/2025,Bill Payment (Check),4160,M. Cox,,"1,296.00"
11/25/2025,Bill,5955,Okafor Hardscape LLC,stone and patio work,"5,306.00"
11/26/2025,Bill,4584,Two Rivers Irrigation,irrigation,"1,387.00"
11/26/2025,Bill Payment (ACH),,Valley Small Engine,,650.00
11/27/2025,Bill Payment (Check),4161,Valley Small Engine,,769.00
12/03/2025,Bill,6535,J. Morris,mowing crew,323.00
12/03/2025,Bill Payment (ACH),,Okafor Hardscape LLC,,"5,306.00"
12/04/2025,Bill,4098,J. Morris,mowing crew,512.00
12/06/2025,Bill,7499,Mossbank Accounting,bookkeeping and tax,"1,414.50"
12/10/2025,Bill,5138,Richardson Sod & Seed,sod install,"1,617.00"
12/10/2025,Bill Payment (Check),4162,Two Rivers Irrigation,,"1,387.00"
12/12/2025,Bill,8666,S. Morgan,equipment hauling,"2,234.00"
12/13/2025,Bill,8983,Copperfield Law,legal,"1,791.00"
12/15/2025,Bill Payment (Check),4163,J. Morris,,512.00
12/17/2025,Bill,1163,M. Cook,holiday lighting,310.00
12/19/2025,Bill Payment (ACH),,Mossbank Accounting,,"1,414.50"
12/21/2025,Bill,2046,Copperfield Law,legal,"1,469.00"
12/23/2025,Bill Payment (Check),4164,S. Morgan,,"2,234.00"
12/25/2025,Bill Payment (ACH),,J. Morris,,323.00
12/26/2025,Check,4165,Brightline Pest,pest control,"1,330.00"
12/26/2025,Bill Payment (ACH),,Copperfield Law,,"1,791.00"
12/30/2025,Bill Payment (Check),4166,Copperfield Law,,"1,469.00"
12/30/2025,Bill Payment (Check),4167,Richardson Sod & Seed,,"1,617.00"
01/05/2026,Bill Payment (Check),4168,M. Cook,,310.00
