Payroll Register - Ellington Bakeries - 01/01/2025 to 12/31/2025

Check Date,Pay Period Start,Pay Period End,Run Type,Employee ID,Employee,Gross Pay,Federal W/H,State W/H,Social Security EE,Medicare EE,Social Security ER,Medicare ER,401(k) EE,Health Ins,Net Pay
02/07/2025,01/19/2025,02/01/2025,Regular,E105,Joshua Morris,"$1,330.44",$212.87,$73.17,$82.49,$19.29,$82.49,$19.29,$39.91,$85.00,$817.71
02/07/2025,01/19/2025,02/01/2025,Regular,E106,Dorothy Howard,"$1,645.23",$131.62,$74.04,$102.00,$23.86,$102.00,$23.86,$82.26,$85.00,"$1,146.45"
02/07/2025,01/19/2025,02/01/2025,Regular,E107,Margaret Cook,"$2,475.64",$247.56,$136.16,$153.49,$35.90,$153.49,$35.90,$0.00,$0.00,"$1,902.53"
02/07/2025,01/19/2025,02/01/2025,Regular,E108,Sarah Torres,"$1,410.05",$225.61,$77.55,$87.42,$20.45,$87.42,$20.45,$0.00,$85.00,$914.02
02/07/2025,01/19/2025,02/01/2025,Regular,E109,Sarah Foster,"$3,250.89",$390.11,$130.04,$201.56,$47.14,$201.56,$47.14,$162.54,$85.00,"$2,234.50"
02/07/2025,01/19/2025,02/01/2025,Regular,E110,Richard Richardson,"$2,285.25",$228.53,$114.26,$141.69,$33.14,$141.69,$33.14,$91.41,$0.00,"$1,676.22"
02/07/2025,01/19/2025,02/01/2025,Regular,E111,Steven Morgan,"$2,360.45",$330.46,$118.02,$146.35,$34.23,$146.35,$34.23,$118.02,$85.00,"$1,528.37"
02/07/2025,01/19/2025,02/01/2025,Regular,E112,Marcus Cox,"$1,950.72",$195.07,$87.78,$120.94,$28.29,$120.94,$28.29,$0.00,$0.00,"$1,518.64"
02/07/2025,01/19/2025,02/01/2025,Regular,E113,Charles Flores,"$1,640.89",$196.91,$90.25,$101.74,$23.79,$101.74,$23.79,$0.00,$0.00,"$1,228.20"
02/07/2025,01/19/2025,02/01/2025,Regular,E114,Richard Myers,"$1,620.98",$162.10,$64.84,$100.50,$23.50,$100.50,$23.50,$0.00,$140.00,"$1,130.04"
02/21/2025,02/02/2025,02/15/2025,Regular,E101,Deborah Okafor,"$2,945.86",$353.50,$162.02,$182.64,$42.71,$182.64,$42.71,$147.29,$0.00,"$2,057.70"
02/21/2025,02/02/2025,02/15/2025,Regular,E102,Rebecca Garcia,"$2,225.20",$311.53,$111.26,$137.96,$32.27,$137.96,$32.27,$111.26,$85.00,"$1,435.92"
02/21/2025,01/19/2025,02/01/2025,Correction,E103,Kimberly Rogers,"($2,250.28)",($315.04),($123.77),($139.52),($32.63),($139.52),($32.63),($112.51),($85.00),"($1,441.81)"
02/21/2025,02/02/2025,02/15/2025,Regular,E103,Kimberly Rogers,"$2,370.67",$331.89,$130.39,$146.98,$34.37,$146.98,$34.37,$118.53,$85.00,"$1,523.51"
02/21/2025,01/19/2025,02/01/2025,Correction,E103,Kimberly Rogers,"$2,670.28",$373.84,$146.87,$165.56,$38.72,$165.56,$38.72,$133.51,$85.00,"$1,726.78"
02/21/2025,02/02/2025,02/15/2025,Regular,E104,Gary Phillips,"$1,795.15",$287.22,$71.81,$111.30,$26.03,$111.30,$26.03,$0.00,$140.00,"$1,158.79"
02/21/2025,02/02/2025,02/15/2025,Regular,E105,Joshua Morris,"$1,410.85",$225.74,$77.60,$87.47,$20.46,$87.47,$20.46,$42.33,$85.00,$872.25
02/21/2025,02/02/2025,02/15/2025,Regular,E106,Dorothy Howard,"$1,705.01",$136.40,$76.73,$105.71,$24.72,$105.71,$24.72,$85.25,$85.00,"$1,191.20"
02/21/2025,02/02/2025,02/15/2025,Regular,E107,Margaret Cook,"$2,635.87",$263.59,$144.97,$163.42,$38.22,$163.42,$38.22,$0.00,$0.00,"$2,025.67"
02/21/2025,02/02/2025,02/15/2025,Regular,E108,Sarah Torres,"$1,190.72",$190.52,$65.49,$73.82,$17.27,$73.82,$17.27,$0.00,$85.00,$758.62
02/21/2025,02/02/2025,02/15/2025,Regular,E109,Sarah Foster,"$3,330.83",$399.70,$133.23,$206.51,$48.30,$206.51,$48.30,$166.54,$85.00,"$2,291.55"
02/21/2025,02/02/2025,02/15/2025,Regular,E110,Richard Richardson,"$2,465.49",$246.55,$123.27,$152.86,$35.75,$152.86,$35.75,$98.62,$0.00,"$1,808.44"
02/21/2025,02/02/2025,02/15/2025,Regular,E111,Steven Morgan,"$2,360.19",$330.43,$118.01,$146.33,$34.22,$146.33,$34.22,$118.01,$85.00,"$1,528.19"
02/21/2025,02/02/2025,02/15/2025,Regular,E112,Marcus Cox,"$1,790.58",$179.06,$80.58,$111.02,$25.96,$111.02,$25.96,$0.00,$0.00,"$1,393.96"
02/21/2025,02/02/2025,02/15/2025,Regular,E113,Charles Flores,"$1,640.42",$196.85,$90.22,$101.71,$23.79,$101.71,$23.79,$0.00,$0.00,"$1,227.85"
02/21/2025,02/02/2025,02/15/2025,Regular,E114,Richard Myers,"$1,580.69",$158.07,$63.23,$98.00,$22.92,$98.00,$22.92,$0.00,$140.00,"$1,098.47"
03/07/2025,02/16/2025,03/01/2025,Regular,E101,Deborah Okafor,"$3,025.17",$363.02,$166.38,$187.56,$43.86,$187.56,$43.86,$151.26,$0.00,"$2,113.09"
03/07/2025,02/16/2025,03/01/2025,Regular,E102,Rebecca Garcia,"$2,265.97",$317.24,$113.30,$140.49,$32.86,$140.49,$32.86,$113.30,$85.00,"$1,463.78"
03/07/2025,02/16/2025,03/01/2025,Regular,E103,Kimberly Rogers,"$2,410.45",$337.46,$132.57,$149.45,$34.95,$149.45,$34.95,$120.52,$85.00,"$1,550.50"
03/07/2025,02/16/2025,03/01/2025,Regular,E104,Gary Phillips,"$1,795.86",$287.34,$71.83,$111.34,$26.04,$111.34,$26.04,$0.00,$140.00,"$1,159.31"
03/07/2025,02/16/2025,03/01/2025,Regular,E105,Joshua Morris,"$1,370.75",$219.32,$75.39,$84.99,$19.88,$84.99,$19.88,$41.12,$85.00,$845.05
03/07/2025,02/16/2025,03/01/2025,Regular,E106,Dorothy Howard,"$1,705.91",$136.47,$76.77,$105.77,$24.74,$105.77,$24.74,$85.30,$85.00,"$1,191.86"
03/07/2025,02/16/2025,03/01/2025,Regular,E107,Margaret Cook,"$2,555.49",$255.55,$140.55,$158.44,$37.05,$158.44,$37.05,$0.00,$0.00,"$1,963.90"
03/07/2025,02/16/2025,03/01/2025,Regular,E108,Sarah Torres,"$1,190.83",$190.53,$65.50,$73.83,$17.27,$73.83,$17.27,$0.00,$85.00,$758.70
03/07/2025,02/16/2025,03/01/2025,Regular,E109,Sarah Foster,"$3,250.00",$390.00,$130.00,$201.50,$47.12,$201.50,$47.12,$162.50,$85.00,"$2,233.88"
03/07/2025,02/16/2025,03/01/2025,Regular,E110,Richard Richardson,"$2,385.89",$238.59,$119.29,$147.93,$34.60,$147.93,$34.60,$95.44,$0.00,"$1,750.04"
03/07/2025,02/16/2025,03/01/2025,Regular,E111,Steven Morgan,"$2,400.20",$336.03,$120.01,$148.81,$34.80,$148.81,$34.80,$120.01,$85.00,"$1,555.54"
03/07/2025,02/16/2025,03/01/2025,Regular,E112,Marcus Cox,"$1,830.28",$183.03,$82.36,$113.48,$26.54,$113.48,$26.54,$0.00,$0.00,"$1,424.87"
03/07/2025,02/16/2025,03/01/2025,Regular,E113,Charles Flores,"$1,800.48",$216.06,$99.03,$111.63,$26.11,$111.63,$26.11,$0.00,$0.00,"$1,347.65"
03/07/2025,02/16/2025,03/01/2025,Regular,E114,Richard Myers,"$1,520.04",$152.00,$60.80,$94.24,$22.04,$94.24,$22.04,$0.00,$140.00,"$1,050.96"
03/21/2025,03/02/2025,03/15/2025,Regular,E101,Deborah Okafor,"$2,885.89",$346.31,$158.72,$178.93,$41.85,$178.93,$41.85,$144.29,$0.00,"$2,015.79"
03/21/2025,03/02/2025,03/15/2025,Regular,E102,Rebecca Garcia,"$2,165.98",$303.24,$108.30,$134.29,$31.41,$134.29,$31.41,$108.30,$85.00,"$1,395.44"
03/21/2025,03/02/2025,03/15/2025,Regular,E103,Kimberly Rogers,"$2,250.21",$315.03,$123.76,$139.51,$32.63,$139.51,$32.63,$112.51,$85.00,"$1,441.77"
03/21/2025,03/02/2025,03/15/2025,Regular,E104,Gary Phillips,"$1,875.08",$300.01,$75.00,$116.25,$27.19,$116.25,$27.19,$0.00,$140.00,"$1,216.63"
03/21/2025,03/02/2025,03/15/2025,Regular,E105,Joshua Morris,"$1,330.89",$212.94,$73.20,$82.52,$19.30,$82.52,$19.30,$39.93,$85.00,$818.00
03/21/2025,03/02/2025,03/15/2025,Regular,E106,Dorothy Howard,"$1,705.57",$136.45,$76.75,$105.75,$24.73,$105.75,$24.73,$85.28,$85.00,"$1,191.61"
03/21/2025,03/02/2025,03/15/2025,Regular,E107,Margaret Cook,"$2,635.71",$263.57,$144.96,$163.41,$38.22,$163.41,$38.22,$0.00,$0.00,"$2,025.55"
03/21/2025,02/16/2025,03/01/2025,Correction,E108,Sarah Torres,"($1,190.83)",($190.53),($65.50),($73.83),($17.27),($73.83),($17.27),$0.00,($85.00),($758.70)
03/21/2025,03/02/2025,03/15/2025,Regular,E108,Sarah Torres,"$1,250.04",$200.01,$68.75,$77.50,$18.13,$77.50,$18.13,$0.00,$85.00,$800.65
03/21/2025,02/16/2025,03/01/2025,Correction,E108,Sarah Torres,"$1,695.83",$271.33,$93.27,$105.14,$24.59,$105.14,$24.59,$0.00,$85.00,"$1,116.50"
03/21/2025,03/02/2025,03/15/2025,Regular,E109,Sarah Foster,"$3,410.41",$409.25,$136.42,$211.45,$49.45,$211.45,$49.45,$170.52,$85.00,"$2,348.32"
03/21/2025,03/02/2025,03/15/2025,Regular,E110,Richard Richardson,"$2,425.59",$242.56,$121.28,$150.39,$35.17,$150.39,$35.17,$97.02,$0.00,"$1,779.17"
03/21/2025,03/02/2025,03/15/2025,Regular,E111,Steven Morgan,"$2,280.53",$319.27,$114.03,$141.39,$33.07,$141.39,$33.07,$114.03,$85.00,"$1,473.74"
03/21/2025,03/02/2025,03/15/2025,Regular,E112,Marcus Cox,"$1,830.70",$183.07,$82.38,$113.50,$26.55,$113.50,$26.55,$0.00,$0.00,"$1,425.20"
03/21/2025,03/02/2025,03/15/2025,Regular,E113,Charles Flores,"$1,640.92",$196.91,$90.25,$101.74,$23.79,$101.74,$23.79,$0.00,$0.00,"$1,228.23"
03/21/2025,03/02/2025,03/15/2025,Regular,E114,Richard Myers,"$1,580.01",$158.00,$63.20,$97.96,$22.91,$97.96,$22.91,$0.00,$140.00,"$1,097.94"
04/04/2025,03/16/2025,03/29/2025,Regular,E101,Deborah Okafor,"$2,885.86",$346.30,$158.72,$178.92,$41.84,$178.92,$41.84,$144.29,$0.00,"$2,015.79"
04/04/2025,03/16/2025,03/29/2025,Regular,E102,Rebecca Garcia,"$2,165.40",$303.16,$108.27,$134.25,$31.40,$134.25,$31.40,$108.27,$85.00,"$1,395.05"
04/04/2025,03/16/2025,03/29/2025,Regular,E103,Kimberly Rogers,"$2,250.27",$315.04,$123.76,$139.52,$32.63,$139.52,$32.63,$112.51,$85.00,"$1,441.81"
04/04/2025,03/16/2025,03/29/2025,Regular,E104,Gary Phillips,"$1,715.91",$274.55,$68.64,$106.39,$24.88,$106.39,$24.88,$0.00,$140.00,"$1,101.45"
04/04/2025,03/16/2025,03/29/2025,Regular,E105,Joshua Morris,"$1,250.86",$200.14,$68.80,$77.55,$18.14,$77.55,$18.14,$37.53,$85.00,$763.70
04/04/2025,03/16/2025,03/29/2025,Regular,E106,Dorothy Howard,"$1,705.24",$136.42,$76.74,$105.72,$24.73,$105.72,$24.73,$85.26,$85.00,"$1,191.37"
04/04/2025,03/16/2025,03/29/2025,Regular,E107,Margaret Cook,"$2,475.77",$247.58,$136.17,$153.50,$35.90,$153.50,$35.90,$0.00,$0.00,"$1,902.62"
04/04/2025,03/16/2025,03/29/2025,Regular,E108,Sarah Torres,"$1,290.38",$206.46,$70.97,$80.00,$18.71,$80.00,$18.71,$0.00,$85.00,$829.24
04/04/2025,03/16/2025,03/29/2025,Regular,E109,Sarah Foster,"$3,330.88",$399.71,$133.24,$206.51,$48.30,$206.51,$48.30,$166.54,$85.00,"$2,291.58"
04/04/2025,03/16/2025,03/29/2025,Regular,E110,Richard Richardson,"$2,345.12",$234.51,$117.26,$145.40,$34.00,$145.40,$34.00,$93.80,$0.00,"$1,720.15"
04/04/2025,03/16/2025,03/29/2025,Regular,E111,Steven Morgan,"$2,440.50",$341.67,$122.03,$151.31,$35.39,$151.31,$35.39,$122.03,$85.00,"$1,583.07"
04/04/2025,03/16/2025,03/29/2025,Regular,E112,Marcus Cox,"$1,790.02",$179.00,$80.55,$110.98,$25.96,$110.98,$25.96,$0.00,$0.00,"$1,393.53"
04/04/2025,03/16/2025,03/29/2025,Regular,E113,Charles Flores,"$1,720.57",$206.47,$94.63,$106.68,$24.95,$106.68,$24.95,$0.00,$0.00,"$1,287.84"
04/04/2025,03/16/2025,03/29/2025,Regular,E114,Richard Myers,"$1,580.32",$158.03,$63.21,$97.98,$22.91,$97.98,$22.91,$0.00,$140.00,"$1,098.19"
04/18/2025,03/30/2025,04/12/2025,Regular,E101,Deborah Okafor,"$2,945.83",$353.50,$162.02,$182.64,$42.71,$182.64,$42.71,$147.29,$0.00,"$2,057.67"
04/18/2025,03/30/2025,04/12/2025,Regular,E102,Rebecca Garcia,"$2,345.14",$328.32,$117.26,$145.40,$34.00,$145.40,$34.00,$117.26,$85.00,"$1,517.90"
04/18/2025,03/30/2025,04/12/2025,Regular,E103,Kimberly Rogers,"$2,250.35",$315.05,$123.77,$139.52,$32.63,$139.52,$32.63,$112.52,$85.00,"$1,441.86"
04/18/2025,03/30/2025,04/12/2025,Regular,E104,Gary Phillips,"$1,715.05",$274.41,$68.60,$106.33,$24.87,$106.33,$24.87,$0.00,$140.00,"$1,100.84"
04/18/2025,03/30/2025,04/12/2025,Regular,E105,Joshua Morris,"$1,250.26",$200.04,$68.76,$77.52,$18.13,$77.52,$18.13,$37.51,$85.00,$763.30
04/18/2025,03/30/2025,04/12/2025,Regular,E106,Dorothy Howard,"$1,785.71",$142.86,$80.36,$110.71,$25.89,$110.71,$25.89,$89.29,$85.00,"$1,251.60"
04/18/2025,03/30/2025,04/12/2025,Regular,E107,Margaret Cook,"$2,595.46",$259.55,$142.75,$160.92,$37.63,$160.92,$37.63,$0.00,$0.00,"$1,994.61"
04/18/2025,03/30/2025,04/12/2025,Regular,E108,Sarah Torres,"$1,250.95",$200.15,$68.80,$77.56,$18.14,$77.56,$18.14,$0.00,$85.00,$801.30
04/18/2025,03/30/2025,04/12/2025,Regular,E109,Sarah Foster,"$3,410.91",$409.31,$136.44,$211.48,$49.46,$211.48,$49.46,$170.55,$85.00,"$2,348.67"
04/18/2025,03/30/2025,04/12/2025,Regular,E110,Richard Richardson,"$2,505.81",$250.58,$125.29,$155.36,$36.33,$155.36,$36.33,$100.23,$0.00,"$1,838.02"
04/18/2025,03/30/2025,04/12/2025,Regular,E111,Steven Morgan,"$2,220.47",$310.87,$111.02,$137.67,$32.20,$137.67,$32.20,$111.02,$85.00,"$1,432.69"
04/18/2025,03/30/2025,04/12/2025,Regular,E112,Marcus Cox,"$1,790.26",$179.03,$80.56,$111.00,$25.96,$111.00,$25.96,$0.00,$0.00,"$1,393.71"
04/18/2025,03/30/2025,04/12/2025,Regular,E113,Charles Flores,"$1,580.75",$189.69,$86.94,$98.01,$22.92,$98.01,$22.92,$0.00,$0.00,"$1,183.19"
04/18/2025,03/30/2025,04/12/2025,Regular,E114,Richard Myers,"$1,660.01",$166.00,$66.40,$102.92,$24.07,$102.92,$24.07,$0.00,$140.00,"$1,160.62"
05/02/2025,04/13/2025,04/26/2025,Regular,E101,Deborah Okafor,"$2,945.19",$353.42,$161.99,$182.60,$42.71,$182.60,$42.71,$147.26,$0.00,"$2,057.21"
05/02/2025,04/13/2025,04/26/2025,Regular,E102,Rebecca Garcia,"$2,305.42",$322.76,$115.27,$142.94,$33.43,$142.94,$33.43,$115.27,$85.00,"$1,490.75"
05/02/2025,04/13/2025,04/26/2025,Regular,E103,Kimberly Rogers,"$2,370.47",$331.87,$130.38,$146.97,$34.37,$146.97,$34.37,$118.52,$85.00,"$1,523.36"
05/02/2025,04/13/2025,04/26/2025,Regular,E104,Gary Phillips,"$1,715.43",$274.47,$68.62,$106.36,$24.87,$106.36,$24.87,$0.00,$140.00,"$1,101.11"
05/02/2025,04/13/2025,04/26/2025,Regular,E105,Joshua Morris,"$1,250.05",$200.01,$68.75,$77.50,$18.13,$77.50,$18.13,$37.50,$85.00,$763.16
05/02/2025,04/13/2025,04/26/2025,Regular,E106,Dorothy Howard,"$1,785.20",$142.82,$80.33,$110.68,$25.89,$110.68,$25.89,$89.26,$85.00,"$1,251.22"
05/02/2025,04/13/2025,04/26/2025,Regular,E107,Margaret Cook,"$2,475.74",$247.57,$136.17,$153.50,$35.90,$153.50,$35.90,$0.00,$0.00,"$1,902.60"
05/02/2025,04/13/2025,04/26/2025,Regular,E108,Sarah Torres,"$1,330.46",$212.87,$73.18,$82.49,$19.29,$82.49,$19.29,$0.00,$85.00,$857.63
05/02/2025,04/13/2025,04/26/2025,Regular,E109,Sarah Foster,"$3,190.70",$382.88,$127.63,$197.82,$46.27,$197.82,$46.27,$159.53,$85.00,"$2,191.57"
05/02/2025,04/13/2025,04/26/2025,Regular,E110,Richard Richardson,"$2,345.37",$234.54,$117.27,$145.41,$34.01,$145.41,$34.01,$93.81,$0.00,"$1,720.33"
05/02/2025,04/13/2025,04/26/2025,Regular,E111,Steven Morgan,"$2,280.61",$319.29,$114.03,$141.40,$33.07,$141.40,$33.07,$114.03,$85.00,"$1,473.79"
05/02/2025,04/13/2025,04/26/2025,Regular,E112,Marcus Cox,"$1,830.06",$183.01,$82.35,$113.46,$26.54,$113.46,$26.54,$0.00,$0.00,"$1,424.70"
05/02/2025,04/13/2025,04/26/2025,Regular,E113,Charles Flores,"$1,720.22",$206.43,$94.61,$106.65,$24.94,$106.65,$24.94,$0.00,$0.00,"$1,287.59"
05/02/2025,04/13/2025,04/26/2025,Regular,E114,Richard Myers,"$1,580.38",$158.04,$63.22,$97.98,$22.92,$97.98,$22.92,$0.00,$140.00,"$1,098.22"
05/16/2025,04/27/2025,05/10/2025,Regular,E101,Deborah Okafor,"$2,885.42",$346.25,$158.70,$178.90,$41.84,$178.90,$41.84,$144.27,$0.00,"$2,015.46"
05/16/2025,04/27/2025,05/10/2025,Regular,E102,Rebecca Garcia,"$2,305.53",$322.77,$115.28,$142.94,$33.43,$142.94,$33.43,$115.28,$85.00,"$1,490.83"
05/16/2025,04/27/2025,05/10/2025,Regular,E103,Kimberly Rogers,"$2,250.12",$315.02,$123.76,$139.51,$32.63,$139.51,$32.63,$112.51,$85.00,"$1,441.69"
05/16/2025,04/27/2025,05/10/2025,Regular,E104,Gary Phillips,"$1,875.60",$300.10,$75.02,$116.29,$27.20,$116.29,$27.20,$0.00,$140.00,"$1,216.99"
05/16/2025,04/27/2025,05/10/2025,Regular,E105,Joshua Morris,"$1,370.43",$219.27,$75.37,$84.97,$19.87,$84.97,$19.87,$41.11,$85.00,$844.84
05/16/2025,04/27/2025,05/10/2025,Regular,E106,Dorothy Howard,"$1,705.61",$136.45,$76.75,$105.75,$24.73,$105.75,$24.73,$85.28,$85.00,"$1,191.65"
05/16/2025,04/27/2025,05/10/2025,Regular,E107,Margaret Cook,"$2,475.89",$247.59,$136.17,$153.51,$35.90,$153.51,$35.90,$0.00,$0.00,"$1,902.72"
05/16/2025,04/27/2025,05/10/2025,Regular,E108,Sarah Torres,"$1,410.54",$225.69,$77.58,$87.45,$20.45,$87.45,$20.45,$0.00,$85.00,$914.37
05/16/2025,04/27/2025,05/10/2025,Regular,E109,Sarah Foster,"$3,250.38",$390.05,$130.02,$201.52,$47.13,$201.52,$47.13,$162.52,$85.00,"$2,234.14"
05/16/2025,04/27/2025,05/10/2025,Regular,E111,Steven Morgan,"$2,400.94",$336.13,$120.05,$148.86,$34.81,$148.86,$34.81,$120.05,$85.00,"$1,556.04"
05/16/2025,04/27/2025,05/10/2025,Regular,E112,Marcus Cox,"$1,790.21",$179.02,$80.56,$110.99,$25.96,$110.99,$25.96,$0.00,$0.00,"$1,393.68"
05/16/2025,04/27/2025,05/10/2025,Regular,E113,Charles Flores,"$1,580.81",$189.70,$86.94,$98.01,$22.92,$98.01,$22.92,$0.00,$0.00,"$1,183.24"
05/16/2025,04/27/2025,05/10/2025,Regular,E114,Richard Myers,"$1,580.08",$158.01,$63.20,$97.96,$22.91,$97.96,$22.91,$0.00,$140.00,"$1,098.00"
05/30/2025,05/11/2025,05/24/2025,Regular,E101,Deborah Okafor,"$2,945.25",$353.43,$161.99,$182.61,$42.71,$182.61,$42.71,$147.26,$0.00,"$2,057.25"
05/30/2025,05/11/2025,05/24/2025,Regular,E102,Rebecca Garcia,"$2,265.07",$317.11,$113.25,$140.43,$32.84,$140.43,$32.84,$113.25,$85.00,"$1,463.19"
05/30/2025,05/11/2025,05/24/2025,Regular,E103,Kimberly Rogers,"$2,190.01",$306.60,$120.45,$135.78,$31.76,$135.78,$31.76,$109.50,$85.00,"$1,400.92"
05/30/2025,05/11/2025,05/24/2025,Regular,E104,Gary Phillips,"$1,715.50",$274.48,$68.62,$106.36,$24.87,$106.36,$24.87,$0.00,$140.00,"$1,101.17"
05/30/2025,05/11/2025,05/24/2025,Regular,E105,Joshua Morris,"$1,330.57",$212.89,$73.18,$82.50,$19.29,$82.50,$19.29,$39.92,$85.00,$817.79
