Gift ID,Donor ID,Donor Name,Gift Date,Amount,Gift Type,Campaign,Status,Notes
G-50056,D-10238,A. Lewis,04/04/2024,203.00,Check,Monthly Guardians,Posted,
G-50057,D-10155,PAUL MENDOZA,04/05/2024,224.00,Credit card,Spring Appeal,Posted,
G-50058,D-10070,"Campbell, Kathleen",04/08/2024,160.00,Check,General,Posted,
G-50059,D-10245,Marlowe Family Foundation,04/08/2024,"1,176.00",ACH,Monthly Guardians,Posted,
G-50060,D-10247,Northgate Savings,04/11/2024,"8,352.00",DAF grant,General,Posted,
G-50061,D-10075,"Smith, Brian",04/12/2024,227.00,PayPal,Year-End Appeal,Posted,
G-50062,D-10115,Anna Lewis,04/12/2024,"1,489.00",DAF grant,General,Posted,
G-50063,D-10137,Marcus Richardson,04/12/2024,168.00,Credit card,General,Posted,
G-50064,D-10202,D. Peterson,04/15/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50065,D-10054,Amara Howard,04/16/2024,208.00,PayPal,Kitten Season,Posted,
G-50066,D-10230,Michelle Garcia,04/19/2024,737.00,ACH,General,Posted,
G-50067,D-10013,"Green, Susan",04/20/2024,315.00,PayPal,Monthly Guardians,Posted,
G-50068,D-10155,"Mendoza, Paul",04/20/2024,218.00,Credit card,Year-End Appeal,Posted,
G-50069,D-10070,Kathleen Campbell,04/21/2024,31.00,Credit card,Monthly Guardians,Posted,
G-50070,D-10210,"Green, Luis",04/25/2024,"4,095.00",Stock,Gala,Posted,
G-50071,D-10087,RAHUL MARTINEZ,04/26/2024,"5,967.00",Credit card,Gala,Posted,
G-50072,D-10018,Margaret Diaz,04/27/2024,162.00,PayPal,Year-End Appeal,Posted,
G-50073,D-10236,Omar Howard,04/27/2024,188.00,PayPal,Kitten Season,Posted,
G-50074,D-10054,Amara Howard,04/30/2024,93.00,ACH,Spring Appeal,Posted,
G-50075,D-10059,Betty Cooper,04/30/2024,83.00,Credit card,Year-End Appeal,Posted,
G-50076,D-10125,Joshua Taylor,04/30/2024,35.00,PayPal,Gala,Posted,
G-50077,D-10149,Stephanie Torres,04/30/2024,184.00,Check,Spring Appeal,Posted,
G-50078,D-10027,"Chavez, Wei",05/02/2024,116.00,ACH,Monthly Guardians,Posted,
G-50079,D-10236,Omar Howard,05/06/2024,111.00,Credit card,Year-End Appeal,Posted,
G-50080,D-10247,Northgate Savings,05/09/2024,"3,310.00",Credit card,Kitten Season,Posted,
G-50081,D-10013,Susan Green,05/11/2024,156.00,Credit card,Monthly Guardians,Posted,
G-50082,D-10186,Joseph Collins,05/11/2024,224.00,Credit card,Monthly Guardians,Posted,
G-50083,D-10125,Joshua Taylor,05/12/2024,112.00,PayPal,Year-End Appeal,Posted,
G-50084,D-10158,Nadia Morgan,05/13/2024,74.00,Credit card,Kitten Season,Posted,
G-50085,D-10210,Luis Green,05/13/2024,116.00,Check,Spring Appeal,Posted,
G-50086,D-10202,D. Peterson,05/15/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50087,D-10211,Laura Gomez,05/17/2024,217.00,Credit card,Monthly Guardians,Posted,
G-50088,D-10102,Joseph Brown,05/22/2024,81.00,ACH,Gala,Posted,
G-50089,D-10075,"Smith, Brian",05/30/2024,166.00,Credit card,Monthly Guardians,Posted,
G-50090,D-10149,Stephanie Torres,05/31/2024,"1,494.00",Credit card,Year-End Appeal,Posted,
G-50091,D-10082,Daniel Peterson,06/03/2024,288.00,PayPal,Monthly Guardians,Posted,
G-50092,D-10066,Angela Taylor,06/07/2024,"3,947.00",PayPal,Year-End Appeal,Posted,
G-50093,D-10073,"Morales, Edward",06/09/2024,"5,073.00",Credit card,Gala,Posted,
G-50094,D-10028,"White, Richard",06/10/2024,213.00,Credit card,Spring Appeal,Posted,
G-50095,D-10241,Ashgrove Veterinary Partners,06/12/2024,"7,790.00",Check,Monthly Guardians,Posted,
G-50096,D-10202,Donna Peterson,06/15/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50097,D-10133,Wei Jones,06/18/2024,179.00,Credit card,Monthly Guardians,Posted,
G-50098,D-10193,Jennifer Harris,06/20/2024,"3,543.00",ACH,Monthly Guardians,Posted,
G-50099,D-10070,Kathleen Campbell,06/22/2024,"1,644.00",Stock,General,Posted,
G-50100,D-10244,Kessler Charitable Trust,06/23/2024,"5,505.00",PayPal,General,Posted,
G-50101,D-10241,Ashgrove Veterinary Partners,06/29/2024,"7,411.00",Credit card,Monthly Guardians,Posted,
G-50102,D-10116,Kwame Mensah,06/30/2024,318.00,Check,Monthly Guardians,Posted,
G-50103,D-10136,Lisa Lindqvist,06/30/2024,61.00,Check,Spring Appeal,Posted,
G-50104,D-10079,Ryan Kim,07/02/2024,882.00,In-kind,General,Posted,Office laptops (2)
G-50105,D-10139,Timothy Sanchez,07/06/2024,51.00,PayPal,Spring Appeal,Posted,
G-50106,D-10162,Jennifer Hernandez,07/12/2024,240.00,Check,Spring Appeal,Posted,
G-50107,D-10097,Dmitri Wright,07/13/2024,575.00,ACH,General,Posted,
G-50108,D-10198,Nadia Walker,07/13/2024,"1,223.00",PayPal,General,Posted,
G-50109,D-10074,Dorothy Turner,07/15/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50110,D-10234,Ashley Nelson,07/16/2024,98.00,Credit card,Gala,Posted,
G-50111,D-10171,Ingrid Lindqvist,07/17/2024,215.00,Credit card,Gala,Posted,
G-50112,D-10055,Ronald Chavez,07/18/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50113,D-10195,AMARA TURNER,07/20/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50114,D-10016,ANNA JOHNSON,07/21/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50115,D-10148,Carol Ward,07/21/2024,244.00,Check,Spring Appeal,Posted,
G-50116,D-10210,Luis Green,07/22/2024,132.00,PayPal,Monthly Guardians,Posted,
G-50117,D-10247,Northgate Savings,07/22/2024,"4,787.00",Check,Spring Appeal,Posted,
G-50118,D-10192,Joseph Osei,07/24/2024,43.00,Check,Gala,Posted,
G-50119,D-10025,Ryan Nguyen,07/26/2024,94.00,Credit card,General,Posted,
G-50120,D-10027,Wei Chavez,07/28/2024,93.00,ACH,Kitten Season,Posted,
G-50121,D-10021,Jeffrey Murphy,07/29/2024,97.00,ACH,Spring Appeal,Posted,
G-50122,D-10129,"Ross, Joshua",07/30/2024,156.00,Credit card,Year-End Appeal,Posted,
G-50123,D-10025,Ryan Nguyen,08/03/2024,400.00,Credit card,General,Posted,
G-50124,D-10238,ASHLEY LEWIS,08/05/2024,181.00,Credit card,Monthly Guardians,Posted,
G-50125,D-10002,David Allen,08/07/2024,64.00,PayPal,Year-End Appeal,Posted,
G-50126,D-10222,Anthony Flores,08/07/2024,238.00,Check,Year-End Appeal,Posted,
G-50127,D-10110,Robert Gomez,08/10/2024,121.00,Check,General,Posted,
G-50128,D-10031,Kevin Patel,08/15/2024,123.00,Check,Gala,Posted,
G-50129,D-10074,Dorothy Turner,08/15/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50130,D-10089,LAURA JOHNSON,08/16/2024,88.00,Credit card,Spring Appeal,Posted,
G-50131,D-10055,Ronald Chavez,08/18/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50132,D-10097,D. Wright,08/18/2024,190.00,Credit card,Year-End Appeal,Posted,
G-50133,D-10205,Richard Clark,08/19/2024,77.00,Credit card,Year-End Appeal,Posted,
G-50134,D-10158,Nadia Morgan,08/20/2024,173.00,Credit card,General,Posted,
G-50135,D-10195,Amara Turner,08/20/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50136,D-10016,Anna Johnson,08/21/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50137,D-10004,Laura Stewart,08/22/2024,918.00,PayPal,Kitten Season,Posted,
G-50138,D-10010,James Price,08/22/2024,129.00,ACH,Gala,Posted,
G-50139,D-10217,Sofia Lindqvist,08/22/2024,154.00,Credit card,Year-End Appeal,Posted,
G-50140,D-10070,Kathleen Campbell,08/23/2024,40.00,Credit card,Gala,Posted,
G-50141,D-10012,Sandra Ramos,08/24/2024,93.00,Credit card,Monthly Guardians,Posted,
G-50142,D-10073,Edward Morales,08/27/2024,"2,080.00",ACH,Year-End Appeal,Posted,
G-50143,D-10175,SUSAN ADAMS,08/28/2024,70.00,Credit card,Spring Appeal,Posted,
G-50144,D-10086,STEVEN JONES,08/30/2024,177.00,Check,Monthly Guardians,Posted,
G-50145,D-10024,Rahul Lewis,09/06/2024,117.00,ACH,Monthly Guardians,Posted,
G-50146,D-10194,"Haddad, Donald",09/06/2024,84.00,PayPal,General,Posted,
G-50147,D-10238,A. Lewis,09/06/2024,189.00,Check,Spring Appeal,Posted,
G-50148,D-10203,Steven Castillo,09/08/2024,229.00,Check,Monthly Guardians,Posted,
G-50149,D-10039,K. Young,09/09/2024,195.00,Credit card,General,Posted,
G-50150,D-10036,"Murphy, Amara",09/10/2024,630.00,Credit card,Gala,Posted,
G-50151,D-10227,Aisha Kelly,09/10/2024,110.00,Credit card,Kitten Season,Posted,
G-50152,D-10083,Hiroshi White,09/12/2024,124.00,Credit card,Gala,Posted,
G-50153,D-10221,N. Cooper,09/12/2024,119.00,Credit card,General,Posted,
G-50154,D-10135,Carlos Collins,09/13/2024,158.00,PayPal,General,Posted,
G-50155,D-10211,L. Gomez,09/13/2024,114.00,PayPal,General,Posted,
G-50156,D-10074,Dorothy Turner,09/15/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50157,D-10177,"Carter, Elizabeth",09/16/2024,108.00,Credit card,General,Posted,
G-50158,D-10193,Jennifer Harris,09/17/2024,198.00,Credit card,Gala,Posted,
G-50159,D-10055,Ronald Chavez,09/18/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50160,D-10062,Dorothy Collins,09/20/2024,191.00,Credit card,Spring Appeal,Posted,
G-50161,D-10195,Amara Turner,09/20/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50162,D-10016,Anna Johnson,09/21/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50163,D-10104,AMANDA TURNER,09/24/2024,49.00,ACH,Gala,Posted,
G-50164,D-10119,S. Wood,09/25/2024,241.00,Credit card,Kitten Season,Posted,
G-50165,D-10232,Kenneth Osei,09/25/2024,33.00,Credit card,Year-End Appeal,Posted,
G-50166,D-10135,Carlos Collins,09/26/2024,230.00,PayPal,Year-End Appeal,Posted,
G-50167,D-10094,David Perez,09/28/2024,42.00,Check,Kitten Season,Posted,
G-50168,D-10216,Steven Ramirez,09/28/2024,"3,577.00",Credit card,Monthly Guardians,Posted,
G-50169,D-10079,Ryan Kim,09/30/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50170,D-10063,Paul Bennett,10/03/2024,166.00,Check,Spring Appeal,Posted,
G-50171,D-10226,Laura Lopez,10/03/2024,58.00,Check,General,Posted,
G-50172,D-10243,Cascade Community Fund,10/03/2024,"3,250.00",Check,Year-End Appeal,Posted,
G-50173,D-10039,Kathleen Young,10/05/2024,232.00,ACH,Year-End Appeal,Posted,
G-50174,D-10109,Robert Lewis,10/07/2024,179.00,PayPal,Gala,Posted,
G-50175,D-10099,Donna Collins,10/09/2024,156.00,Check,Spring Appeal,Posted,
G-50176,D-10188,Jennifer Nguyen,10/12/2024,42.00,PayPal,General,Posted,
G-50177,D-10107,Angela Clark,10/13/2024,42.00,PayPal,Gala,Posted,
G-50178,D-10218,Anna Hughes,10/14/2024,93.00,Credit card,Gala,Posted,
G-50179,D-10039,Kathleen Young,10/15/2024,"1,543.00",Stock,Spring Appeal,Posted,
G-50180,D-10074,D. Turner,10/15/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50181,D-10099,Donna Collins,10/15/2024,"1,712.00",Credit card,Year-End Appeal,Posted,
G-50182,D-10235,R. Cooper,10/15/2024,196.00,ACH,Spring Appeal,Posted,
G-50183,D-10063,Paul Bennett,10/16/2024,"4,558.00",Credit card,Year-End Appeal,Posted,
G-50184,D-10045,Melissa Lopez,10/17/2024,43.00,Check,Kitten Season,Posted,
G-50185,D-10047,Angela Wilson,10/18/2024,658.00,Credit card,Kitten Season,Posted,
G-50186,D-10055,R. Chavez,10/18/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50187,D-10168,MELISSA BAKER,10/20/2024,"1,306.00",Credit card,Spring Appeal,Posted,
G-50188,D-10195,Amara Turner,10/20/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50189,D-10230,Michelle Garcia,10/20/2024,240.00,Credit card,Monthly Guardians,Posted,
G-50190,D-10016,Anna Johnson,10/21/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50191,D-10133,"Jones, Wei",10/23/2024,"1,278.00",ACH,General,Posted,
G-50192,D-10067,"Lindqvist, Eric",10/25/2024,"5,102.00",PayPal,Year-End Appeal,Posted,
G-50193,D-10024,Rahul Lewis,11/07/2024,157.00,PayPal,Spring Appeal,Posted,
G-50194,D-10024,"Lewis, Rahul",11/13/2024,(31.00),Refund,Gala,Posted,Refund of G-50193
G-50195,D-10087,Rahul Martinez,11/13/2024,"2,465.00",Credit card,Kitten Season,Posted,
G-50196,D-10156,Richard Carter,11/14/2024,122.00,Credit card,Year-End Appeal,Posted,
G-50197,D-10246,Blue Ridge Credit Union,11/14/2024,"5,852.00",Credit card,Gala,Posted,
G-50198,D-10026,"Turner, Robert",11/15/2024,"5,328.00",Check,General,Posted,
G-50199,D-10074,DOROTHY TURNER,11/15/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50200,D-10224,George Hernandez,11/17/2024,230.00,Credit card,Spring Appeal,Posted,
G-50201,D-10055,RONALD CHAVEZ,11/18/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50202,D-10136,Lisa Lindqvist,11/18/2024,138.00,ACH,Spring Appeal,Posted,
G-50203,D-10132,"Johnson, Thomas",11/20/2024,"1,176.00",DAF grant,General,Posted,
G-50204,D-10173,"Howard, Sarah",11/20/2024,802.00,Credit card,General,Posted,
G-50205,D-10195,"Turner, Amara",11/20/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50206,D-10016,Anna Johnson,11/21/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50207,D-10239,Robert Young,11/21/2024,116.00,Credit card,Monthly Guardians,Posted,
G-50208,D-10143,Amara Harris,11/23/2024,710.00,Credit card,Year-End Appeal,Posted,
G-50209,D-10159,GARY TANAKA,11/23/2024,198.00,Credit card,General,Posted,
G-50210,D-10105,Matthew King,11/28/2024,221.00,Credit card,General,Posted,
G-50211,D-10221,Nancy Cooper,11/29/2024,"1,341.00",DAF grant,Monthly Guardians,Posted,
G-50212,D-10008,Deborah Parker,12/01/2024,34.00,Credit card,Year-End Appeal,Posted,
G-50213,D-10010,J. Price,12/01/2024,57.00,Credit card,General,Posted,
G-50214,D-10077,Sofia Haddad,12/02/2024,147.00,PayPal,Monthly Guardians,Posted,
G-50215,D-10218,Anna Hughes,12/02/2024,143.00,Credit card,Monthly Guardians,Posted,
G-50216,D-10050,Gary Myers,12/03/2024,83.00,Credit card,Spring Appeal,Posted,
G-50217,D-10116,Kwame Mensah,12/04/2024,151.00,Credit card,Spring Appeal,Posted,
G-50218,D-10216,Steven Ramirez,12/07/2024,343.00,PayPal,Gala,Posted,
G-50219,D-10010,James Price,12/09/2024,"1,291.00",Credit card,Year-End Appeal,Posted,
G-50220,D-10085,Priya Mensah,12/10/2024,"3,808.00",DAF grant,Kitten Season,Posted,
G-50221,D-10156,Richard Carter,12/11/2024,169.00,Check,General,Posted,
G-50222,D-10018,Margaret Diaz,12/12/2024,121.00,Credit card,Monthly Guardians,Posted,
G-50223,D-10066,Angela Taylor,12/14/2024,82.00,PayPal,Kitten Season,Posted,
G-50224,D-10181,Fatima Peterson,12/14/2024,36.00,PayPal,Spring Appeal,Posted,
G-50225,D-10074,Dorothy Turner,12/15/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50226,D-10100,Leila Adams,12/16/2024,180.00,PayPal,Gala,Posted,
G-50227,D-10046,JEFFREY BENNETT,12/17/2024,"4,518.00",DAF grant,Kitten Season,Posted,
G-50228,D-10055,Ronald Chavez,12/18/2024,15.00,Credit card,Monthly Guardians,Posted,
G-50229,D-10209,Donna Patel,12/19/2024,"2,081.00",PayPal,Gala,Posted,
G-50230,D-10037,Nicholas Gomez,12/20/2024,135.00,Check,Kitten Season,Posted,
G-50231,D-10195,Amara Turner,12/20/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50232,D-10016,Anna Johnson,12/21/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50233,D-10052,Jennifer Flores,12/21/2024,136.00,Credit card,Kitten Season,Posted,
G-50234,D-10165,Margaret Wright,12/23/2024,177.00,ACH,Monthly Guardians,Posted,
G-50235,D-10234,Ashley Nelson,12/23/2024,233.00,Credit card,Year-End Appeal,Posted,
G-50236,D-10095,Christopher Allen,12/25/2024,245.00,Credit card,Spring Appeal,Posted,
G-50237,D-10012,Sandra Ramos,12/26/2024,601.00,Check,Monthly Guardians,Posted,
G-50238,D-10007,Gary Brown,12/28/2024,232.00,Credit card,Kitten Season,Posted,
G-50239,D-10093,Brian Nguyen,12/29/2024,"1,320.00",Check,Gala,Posted,
G-50240,D-10098,Mateo Castillo,12/30/2024,"1,229.00",DAF grant,General,Posted,
G-50241,D-10193,Jennifer Harris,12/30/2024,69.00,PayPal,Monthly Guardians,Posted,
G-50242,D-10135,Carlos Collins,12/31/2024,51.00,ACH,Kitten Season,Posted,
G-50243,D-10118,Laura Lewis,01/01/2025,216.00,PayPal,Kitten Season,Posted,
G-50244,D-10122,Carol Bennett,01/03/2025,154.00,PayPal,Monthly Guardians,Posted,
G-50245,D-10108,Ingrid Parker,01/05/2025,118.00,Credit card,Kitten Season,Posted,
G-50246,D-10082,Daniel Peterson,01/06/2025,"4,742.00",Credit card,Gala,Posted,
G-50247,D-10134,AMARA RAMIREZ,01/06/2025,710.00,ACH,Spring Appeal,Posted,
G-50248,D-10137,Marcus Richardson,01/10/2025,186.00,PayPal,Monthly Guardians,Posted,
G-50249,D-10218,Anna Hughes,01/11/2025,38.00,Credit card,General,Posted,
G-50250,D-10232,Kenneth Osei,01/12/2025,65.00,PayPal,Spring Appeal,Posted,
G-50251,D-10066,Angela Taylor,01/13/2025,180.00,Credit card,Kitten Season,Posted,
G-50252,D-10074,Dorothy Turner,01/15/2025,15.00,Credit card,Monthly Guardians,Posted,
G-50253,D-10101,Amy Stewart,01/15/2025,238.00,ACH,Monthly Guardians,Posted,
G-50254,D-10247,Northgate Savings,01/15/2025,"4,016.00",ACH,Spring Appeal,Posted,
G-50255,D-10085,Priya Mensah,01/16/2025,942.00,Credit card,Monthly Guardians,Posted,
G-50256,D-10055,Ronald Chavez,01/18/2025,15.00,Credit card,Monthly Guardians,Posted,
G-50257,D-10163,SARAH PEREZ,01/18/2025,510.00,Check,Spring Appeal,Posted,
G-50258,D-10187,Emily Wilson,01/19/2025,212.00,ACH,Kitten Season,Posted,
G-50259,D-10195,Amara Turner,01/20/2025,50.00,Credit card,Monthly Guardians,Posted,
G-50260,D-10008,Deborah Parker,01/21/2025,86.00,Credit card,General,Posted,
G-50261,D-10016,Anna Johnson,01/21/2025,25.00,Credit card,Monthly Guardians,Posted,
G-50262,D-10196,Christopher Anderson,01/22/2025,200.00,Credit card,Spring Appeal,Posted,
G-50263,D-10209,"Patel, Donna",01/24/2025,61.00,Credit card,Kitten Season,Posted,
G-50264,D-10222,Anthony Flores,01/25/2025,"1,388.00",Check,Monthly Guardians,Posted,
G-50265,D-10243,Cascade Community Fund,01/25/2025,"2,836.00",Credit card,Spring Appeal,Posted,
G-50266,D-10019,Patricia Ortiz,01/27/2025,"2,649.00",PayPal,Kitten Season,Posted,
G-50267,D-10110,"Gomez, Robert",01/27/2025,67.00,Check,Kitten Season,Posted,
G-50268,D-10045,Melissa Lopez,01/30/2025,157.00,Check,General,Posted,
G-50269,D-10220,Dorothy King,01/30/2025,"3,720.00",Stock,Kitten Season,Posted,
G-50270,D-10084,Barbara Mensah,01/31/2025,42.00,ACH,Monthly Guardians,Posted,
G-50271,D-10101,Amy Stewart,02/02/2025,169.00,Credit card,Kitten Season,Posted,
G-50272,D-10005,Aisha Carter,02/03/2025,157.00,Credit card,Year-End Appeal,Posted,
G-50273,D-10174,PRIYA TANAKA,02/03/2025,148.00,PayPal,Spring Appeal,Posted,
G-50274,D-10150,R. Lee,02/04/2025,"1,783.00",In-kind,General,Posted,Pallets of dog food
G-50275,D-10234,Ashley Nelson,02/04/2025,182.00,PayPal,Gala,Posted,
G-50276,D-10051,PATRICIA STEWART,02/05/2025,"1,210.00",Stock,Gala,Posted,
G-50277,D-10237,Luis Lopez,02/07/2025,105.00,ACH,Kitten Season,Posted,
G-50278,D-10149,Stephanie Torres,02/09/2025,138.00,Credit card,General,Posted,
G-50279,D-10214,Kenneth Kim,02/10/2025,116.00,Check,Monthly Guardians,Posted,
G-50280,D-10223,Betty Young,02/11/2025,309.00,Credit card,Year-End Appeal,Posted,
G-50281,D-10054,Amara Howard,02/12/2025,778.00,Credit card,Year-End Appeal,Posted,
G-50282,D-10072,Betty Cook,02/12/2025,47.00,PayPal,Year-End Appeal,Posted,
G-50283,D-10165,Margaret Wright,02/13/2025,223.00,Check,Year-End Appeal,Posted,
G-50284,D-10073,Edward Morales,02/14/2025,612.00,Credit card,Spring Appeal,Posted,
G-50285,D-10036,Amara Murphy,02/15/2025,103.00,Credit card,Spring Appeal,Posted,
G-50286,D-10067,Eric Lindqvist,02/15/2025,87.00,PayPal,General,Posted,
G-50287,D-10074,DOROTHY TURNER,02/15/2025,15.00,Credit card,Monthly Guardians,Posted,
G-50288,D-10175,Susan Adams,02/15/2025,994.00,Credit card,Spring Appeal,Posted,
G-50289,D-10175,S. Adams,02/16/2025,182.00,Check,Monthly Guardians,Posted,
G-50290,D-10143,Amara Harris,02/17/2025,160.00,PayPal,Gala,Posted,
G-50291,D-10055,R. Chavez,02/18/2025,15.00,Credit card,Monthly Guardians,Posted,
G-50292,D-10118,L. Lewis,02/20/2025,246.00,Credit card,Kitten Season,Posted,
G-50293,D-10119,Shirley Wood,02/20/2025,54.00,PayPal,General,Posted,
G-50294,D-10195,Amara Turner,02/20/2025,50.00,Credit card,Monthly Guardians,Posted,
G-50295,D-10016,Anna Johnson,02/21/2025,25.00,Credit card,Monthly Guardians,Posted,
G-50296,D-10073,Edward Morales,02/25/2025,"2,297.00",In-kind,General,Posted,Kennel panels
G-50297,D-10085,Priya Mensah,03/03/2025,747.00,In-kind,General,Posted,Office laptops (2)
G-50298,D-10097,Dmitri Wright,03/03/2025,206.00,ACH,General,Posted,
