Leads export - generated 07/06/2026 09:14 - filter: Created At after 03/01/2026

Lead ID,Created At,Name,Email,Source,Campaign,Status
L-40501,2026-04-08 07:40:27,Stephanie Peterson,stephanie_peterson@outlook.com,(none),-,Lost
L-40242,2026-04-08 07:48:54,Jennifer Hill,jhill@outlook.com,Google Ads,Heat pump rebate,Quoted
L-40341,2026-04-08 10:34:25,George Rogers,george_rogers@aol.com,instagram,Summer AC promo,Contacted
L-40220,2026-04-08 11:43:22,Dorothy Ward,dorothyward92@protonmail.com,google,Heat pump rebate,Quoted
L-40494,2026-04-08 14:40:54,Angela Green,angelagreen96@aol.com,direct,-,Quoted
L-40472,2026-04-09 09:28:58,Joseph Lee,joseph.lee@hotmail.com,nextdoor,Neighborhood sponsorship,Contacted
L-40210,2026-04-09 16:52:26,Margaret Mendoza,margaret_mendoza@aol.com,Google Ads,Brand search,Lost
L-40230,2026-04-11 08:21:49,Melissa Castillo,melissacastillo6@outlook.com,adwords,AC repair - Portland,New
L-40440,2026-04-11 08:30:07,Ashley Kelly,kelly.ashley@icloud.com,yelp,Yelp enhanced profile,Lost
L-40233,2026-04-11 08:44:31,Jessica Morris,jessicamorris5@aol.com,adwords,AC repair - Portland,Contacted
L-40336,2026-04-11 09:10:11,Priya Price,pprice@aol.com,instagram,Summer AC promo,Quoted
L-40330,2026-04-11 12:36:28,Backlinks Agency,backlinksagency66@yahoo.com,google / cpc,AC repair - Portland,Spam
L-40344,2026-04-11 15:56:54,Kwame Wilson,kwame_wilson@gmail.com,ig,Retargeting,New
L-40211,2026-04-11 17:21:54,Gary Ramos,gary.ramos@hotmail.com,google / cpc,Brand search,Won
L-40243,2026-04-12 07:36:05,Shirley Cook,shirley_cook@icloud.com,google,Furnace tune-up,Contacted
L-40351,2026-04-12 19:21:43,Andrew Castillo,andrewcastillo53@outlook.com,Facebook,Retargeting,Contacted
L-40257,2026-04-12 20:09:11,Ingrid Robinson,ingrid_robinson@aol.com,google / cpc,Furnace tune-up,Quoted
L-40339,2026-04-13 07:52:20,Karen Williams,karen.williams@yahoo.com,instagram,Lead form - IG,New
L-40439,2026-04-13 14:32:22,Chloe Richardson,chloe.richardson@protonmail.com,Yelp,Yelp CPC,Won
L-40248,2026-04-13 14:49:09,Michael Gonzalez,gonzalez.michael@outlook.com,google,Furnace tune-up,New
L-40219,2026-04-13 18:00:29,Karen Bailey,karen.bailey@hotmail.com,adwords,AC repair - Portland,Contacted
L-40414,2026-04-13 20:05:34,Susan Taylor,susan.taylor@icloud.com,LinkedIn Sponsored,Commercial HVAC,New
L-40342,2026-04-14 13:14:58,Ashley Stewart,ashley_stewart@protonmail.com,ig,Lead form - IG,Contacted
L-40445,2026-04-14 13:15:23,Angela Diaz,adiaz@icloud.com,yelp,Yelp CPC,Contacted
L-40346,2026-04-14 19:32:07,Amara Torres,atorres@aol.com,instagram,Retargeting,Lost
L-40415,2026-04-15 17:25:16,Edward Hall,ehall@icloud.com,LinkedIn Sponsored,Property managers,Contacted
L-40224,2026-04-16 07:51:52,Michelle Reyes,reyes.michelle@yahoo.com,adwords,AC repair - Portland,Contacted
L-40240,2026-04-16 10:00:21,Anna Ward,anna.ward@outlook.com,Google Ads,Furnace tune-up,Lost
L-40337,2026-04-16 10:40:18,Jennifer Lewis,jlewis@aol.com,ig,Summer AC promo,Lost
L-40252,2026-04-16 17:36:36,Patricia Gutierrez,patricia.gutierrez@protonmail.com,adwords,Furnace tune-up,Won
L-40216,2026-04-17 08:44:25,Jennifer Kim,jenniferkim34@me.com,google,AC repair - Portland,Won
L-40441,2026-04-17 12:02:23,Jennifer Reed,jenniferreed44@me.com,yelp,Yelp CPC,Quoted
L-40245,2026-04-17 14:55:16,Kevin Rodriguez,kevin_rodriguez@protonmail.com,adwords,Heat pump rebate,Lost
L-40518,2026-04-17 19:59:24,Susan Scott,susanscott5@icloud.com,(none),-,Lost
L-40348,2026-04-18 13:17:24,John Ruiz,jruiz@outlook.com,ig,Summer AC promo,Won
L-40244,2026-04-18 13:38:37,Kathleen Osei,kathleen.osei@outlook.com,google,Furnace tune-up,Won
L-40231,2026-04-19 15:08:18,George Gomez,ggomez@gmail.com,adwords,Furnace tune-up,Contacted
L-40473,2026-04-19 17:59:06,Nadia Campbell,ncampbell@gmail.com,nextdoor,Neighborhood sponsorship,Contacted
L-40218,2026-04-20 07:30:43,Chloe Thompson,thompson.chloe@hotmail.com,google,Furnace tune-up,Contacted
L-40215,2026-04-20 10:04:41,Kimberly Rodriguez,kimberly_rodriguez@outlook.com,google / cpc,Brand search,Lost
L-40241,2026-04-20 11:45:45,Timothy Howard,timothy.howard@gmail.com,Google Ads,Brand search,Quoted
L-40349,2026-04-20 13:36:25,Lisa Brown,lisa.brown@protonmail.com,fb / paid,Lead form - IG,Quoted
L-40239,2026-04-20 13:40:43,Charles Reed,charles_reed@aol.com,google,Heat pump rebate,Contacted
L-40340,2026-04-20 19:24:50,Karen Mendoza,karen_mendoza@aol.com,instagram,Lead form - IG,New
L-40238,2026-04-21 09:06:12,Margaret Richardson,margaretrichardson49@outlook.com,google / cpc,Brand search,Quoted
L-40229,2026-04-21 09:13:24,Melissa Morgan,mmorgan@outlook.com,google,Furnace tune-up,Lost
L-40347,2026-04-21 11:11:46,Michael Sanchez,michael_sanchez@gmail.com,Facebook,Retargeting,Lost
L-40250,2026-04-21 16:18:50,Nadia Castillo,nadiacastillo50@yahoo.com,google / cpc,AC repair - Portland,Quoted
L-40352,2026-04-21 18:09:58,Kevin Morgan,morgan.kevin@hotmail.com,Facebook,Summer AC promo,Contacted
L-40471,2026-04-21 20:38:31,Shirley Harris,harris.shirley@outlook.com,nextdoor,Neighborhood sponsorship,Lost
L-40527,2026-04-22 13:20:34,Eric Chavez,eric_chavez@yahoo.com,direct,-,Contacted
L-40489,2026-04-23 08:21:46,Susan Smith,smith.susan@yahoo.com,organic,-,Won
L-40355,2026-04-23 08:50:02,Lisa Carter,lisacarter15@me.com,Facebook,Retargeting,New
L-40212,2026-04-23 09:21:27,Melissa Osei,mosei@icloud.com,Google Ads,Brand search,New
L-40217,2026-04-23 17:10:54,Linda Haddad,haddad.linda@hotmail.com,Google Ads,Brand search,Quoted
L-40222,2026-04-23 20:44:36,John Phillips,john.phillips@outlook.com,google,Heat pump rebate,Contacted
L-40350,2026-04-24 09:13:10,Sarah Perez,perez.sarah@outlook.com,Facebook,Retargeting,Won
L-40345,2026-04-24 18:29:38,Sharon Wilson,swilson@aol.com,ig,Retargeting,Quoted
L-40503,2026-04-25 09:22:02,Mateo Tanaka,mateo_tanaka@hotmail.com,word of mouth,-,Contacted
L-40443,2026-04-25 09:53:24,Shirley Bennett,bennett.shirley@me.com,Yelp,Yelp enhanced profile,Lost
L-40254,2026-04-25 14:27:43,Patricia Osei,patricia_osei@aol.com,Google Ads,Furnace tune-up,Contacted
L-40442,2026-04-25 19:15:41,James Chavez,jameschavez96@outlook.com,Yelp,Yelp enhanced profile,Quoted
L-40524,2026-04-25 20:57:14,Nancy Morris,morris.nancy@gmail.com,direct,-,Contacted
L-40499,2026-04-26 18:47:21,Anna Morris,morris.anna@hotmail.com,organic,-,New
L-40413,2026-04-26 20:12:03,Ryan Osei,ryan_osei@protonmail.com,linkedin,Property managers,Contacted
L-40256,2026-04-27 09:13:00,Elizabeth Kim,elizabeth.kim@gmail.com,adwords,Furnace tune-up,Won
L-40221,2026-04-27 10:44:21,James Kim,jkim@me.com,google / cpc,Heat pump rebate,Quoted
L-40213,2026-04-27 17:12:38,Patricia Thomas,patricia.thomas@aol.com,google / cpc,Brand search,Contacted
L-40237,2026-04-27 19:43:12,Shirley Edwards,shirley_edwards@hotmail.com,google / cpc,AC repair - Portland,Contacted
L-40474,2026-04-28 18:37:16,Cynthia King,cking@yahoo.com,nextdoor,Neighborhood sponsorship,Contacted
L-40416,2026-04-28 19:04:44,Michael Rogers,michael_rogers@outlook.com,linkedin,Commercial HVAC,Quoted
L-40500,2026-04-29 08:02:05,Leila Torres,leila_torres@protonmail.com,word of mouth,-,Lost
L-40353,2026-04-29 14:32:19,Brian Roberts,brian.roberts@outlook.com,ig,Summer AC promo,Contacted
L-40227,2026-04-30 09:41:33,Joseph Allen,jallen@hotmail.com,google,Brand search,Lost
L-40234,2026-04-30 13:51:40,Kwame Reed,kwame.reed@icloud.com,Google Ads,AC repair - Portland,Contacted
L-40444,2026-04-30 16:38:52,Marcus Collins,marcus_collins@aol.com,yelp,Yelp CPC,Quoted
L-40274,2026-05-01 07:54:33,Jacob Gomez,jacob.gomez@protonmail.com,adwords,Brand search,Contacted
L-40453,2026-05-01 11:05:52,Richard Myers,rmyers@icloud.com,yelp,Yelp CPC,Contacted
L-40377,2026-05-01 17:08:24,Sofia Tanaka,sofiatanaka74@icloud.com,instagram,Retargeting,Won
L-40493,2026-05-01 20:23:11,Nicholas Bailey,nicholas.bailey@protonmail.com,word of mouth,-,Contacted
L-40512,2026-05-02 09:34:06,Nicholas Myers,nicholas_myers@outlook.com,(none),-,Quoted
L-40507,2026-05-02 13:02:37,Michelle Hill,michelle_hill@yahoo.com,direct,-,Lost
L-40279,2026-05-02 20:11:23,Yuki Hernandez,yhernandez@icloud.com,Google Ads,Furnace tune-up,New
L-40262,2026-05-03 12:40:33,Jeffrey Watson,jeffrey_watson@gmail.com,Google Ads,Heat pump rebate,New
L-40287,2026-05-04 08:52:48,William Walker,wwalker@me.com,google / cpc,Brand search,Quoted
L-40476,2026-05-04 16:29:36,Richard Wright,richard_wright@gmail.com,Nextdoor local deal,Neighborhood sponsorship,Lost
L-40466,2026-05-04 16:50:01,Backlinks Pro,bpro@gmail.com,Yelp,Yelp enhanced profile,Spam
L-40498,2026-05-04 18:33:44,Dmitri Lopez,dmitrilopez79@icloud.com,referral,-,Contacted
L-40477,2026-05-05 12:16:40,Linda Hall,linda.hall@hotmail.com,Nextdoor local deal,Neighborhood sponsorship,Contacted
L-40417,2026-05-05 12:53:19,Chloe Rivera,chloe.rivera@me.com,LinkedIn Sponsored,Property managers,Lost
L-40521,2026-05-05 16:04:26,Carlos Ward,carlos.ward@hotmail.com,referral,-,Lost
L-40379,2026-05-06 09:26:16,Priya Baker,baker.priya@aol.com,ig,Summer AC promo,Contacted
L-40451,2026-05-06 15:28:19,Omar Patel,omarpatel62@icloud.com,Yelp,Yelp enhanced profile,Contacted
L-40282,2026-05-06 17:00:08,James Nguyen,jnguyen@protonmail.com,adwords,AC repair - Portland,Contacted
L-40478,2026-05-07 09:15:55,Amara Patel,amarapatel58@gmail.com,nextdoor,Neighborhood sponsorship,Won
L-40276,2026-05-07 18:21:24,Sharon Collins,sharon_collins@protonmail.com,google / cpc,AC repair - Portland,Quoted
L-40366,2026-05-08 19:30:42,Betty Ross,betty_ross@outlook.com,fb / paid,Summer AC promo,Lost
L-40284,2026-05-09 10:23:05,Eric Garcia,ericgarcia68@icloud.com,google / cpc,AC repair - Portland,Won
L-40450,2026-05-09 13:52:20,Tomasz Morales,tomasz.morales@gmail.com,Yelp,Yelp CPC,Contacted
L-40285,2026-05-09 20:24:16,Michelle Gutierrez,mgutierrez@gmail.com,adwords,Furnace tune-up,Quoted
L-40269,2026-05-10 07:04:50,Luis Hernandez,hernandez.luis@aol.com,Google Ads,Brand search,Lost
L-40361,2026-05-10 08:04:30,Charles Collins,charles_collins@yahoo.com,Facebook,Retargeting,Contacted
L-40454,2026-05-10 10:08:08,Nancy Ramos,nancy_ramos@hotmail.com,yelp,Yelp enhanced profile,Won
L-40265,2026-05-11 17:40:05,Dorothy Reyes,dreyes@hotmail.com,Google Ads,Brand search,Quoted
L-40449,2026-05-12 07:02:12,Kenneth Myers,kmyers@me.com,Yelp,Yelp enhanced profile,Won
L-40364,2026-05-12 07:15:14,Richard Ruiz,richardruiz40@icloud.com,fb / paid,Summer AC promo,Quoted
L-40275,2026-05-12 07:17:55,Joseph Richardson,jrichardson@outlook.com,google / cpc,Furnace tune-up,Lost
L-40376,2026-05-12 17:08:38,Rahul Collins,rahul.collins@yahoo.com,fb / paid,Retargeting,Contacted
L-40368,2026-05-12 20:06:30,Dana Torres,dana_torres@outlook.com,ig,Retargeting,Lost
L-40373,2026-05-13 08:52:38,James Taylor,james_taylor@icloud.com,Facebook,Summer AC promo,Won
L-40367,2026-05-13 10:41:45,Nicholas Stewart,nicholasstewart81@protonmail.com,fb / paid,Retargeting,Lost
L-40419,2026-05-13 11:43:52,Leila Cook,leila_cook@icloud.com,LinkedIn Sponsored,Commercial HVAC,Won
L-40272,2026-05-13 17:19:22,Sarah Bailey,sarah_bailey@icloud.com,google,Heat pump rebate,Quoted
L-40271,2026-05-14 14:23:36,Emily Nguyen,emily.nguyen@yahoo.com,google,Heat pump rebate,Quoted
L-40479,2026-05-14 18:36:41,Marcus Nelson,marcusnelson26@yahoo.com,nextdoor,Neighborhood sponsorship,Contacted
L-40283,2026-05-15 08:38:56,Amanda Cox,amandacox41@me.com,Google Ads,Furnace tune-up,Contacted
L-40277,2026-05-15 09:13:58,Shirley Green,shirleygreen57@protonmail.com,Google Ads,Heat pump rebate,Quoted
L-40356,2026-05-15 11:42:31,Hiroshi Price,price.hiroshi@yahoo.com,fb / paid,Lead form - IG,Won
L-40421,2026-05-15 14:44:04,Matthew Allen,allen.matthew@yahoo.com,linkedin,Commercial HVAC,New
L-40273,2026-05-16 07:28:19,Amy Wood,amy_wood@gmail.com,adwords,AC repair - Portland,Quoted
L-40365,2026-05-16 08:04:19,Angela Baker,angelabaker29@protonmail.com,fb / paid,Summer AC promo,Contacted
L-40362,2026-05-16 09:23:51,Joseph Nguyen,joseph.nguyen@outlook.com,instagram,Lead form - IG,Contacted
L-40371,2026-05-16 20:27:03,Ronald Robinson,ronald.robinson@hotmail.com,fb / paid,Summer AC promo,New
L-40378,2026-05-17 08:44:58,Jessica Bailey,bailey.jessica@me.com,Facebook,Retargeting,Quoted
L-40270,2026-05-17 13:55:18,Christopher Rodriguez,crodriguez@icloud.com,Google Ads,Brand search,Lost
L-40374,2026-05-17 15:11:59,Rebecca Rodriguez,rebecca_rodriguez@protonmail.com,Facebook,Retargeting,Won
L-40420,2026-05-17 19:38:33,Angela Moore,angelamoore44@protonmail.com,linkedin,Commercial HVAC,Quoted
L-40264,2026-05-18 13:11:49,Leila Edwards,ledwards@icloud.com,Google Ads,Heat pump rebate,Contacted
L-40446,2026-05-18 16:21:39,Ryan Walker,rwalker@outlook.com,Yelp,Yelp CPC,Quoted
L-40447,2026-05-18 18:38:07,Jonathan Alvarez,jalvarez@outlook.com,yelp,Yelp CPC,Quoted
L-40363,2026-05-18 20:25:35,James Jones,james.jones@me.com,instagram,Lead form - IG,Quoted
L-40259,2026-05-19 09:08:51,Christopher Carter,carter.christopher@icloud.com,adwords,AC repair - Portland,Won
L-40531,2026-05-19 13:04:14,Anthony Flores,flores.anthony@me.com,direct,-,Contacted
L-40528,2026-05-19 18:18:24,Steven Allen,allen.steven@icloud.com,direct,-,New
L-40281,2026-05-19 18:30:13,Gary Allen,gary.allen@gmail.com,google,Brand search,Lost
L-40448,2026-05-20 08:34:31,Marcus Mensah,marcus_mensah@hotmail.com,yelp,Yelp enhanced profile,Won
L-40418,2026-05-20 11:28:08,Amanda Stewart,amandastewart38@aol.com,LinkedIn Sponsored,Commercial HVAC,Quoted
L-40525,2026-05-20 13:10:09,Edward Foster,edward_foster@icloud.com,(none),-,Contacted
L-40291,2026-05-20 13:15:13,Daniel Myers,daniel.myers@protonmail.com,google / cpc,Brand search,Lost
L-40280,2026-05-20 19:18:49,Marcus Rogers,marcus_rogers@gmail.com,google / cpc,Heat pump rebate,Lost
L-40475,2026-05-21 09:45:38,Mary Lewis,mlewis@outlook.com,nextdoor,Neighborhood sponsorship,Quoted
L-40480,2026-05-21 17:16:57,Donald Mensah,donaldmensah11@outlook.com,Nextdoor local deal,Neighborhood sponsorship,Lost
L-40513,2026-05-22 15:15:06,John Myers,myers.john@aol.com,word of mouth,-,Contacted
L-40358,2026-05-22 16:08:58,Kimberly Williams,kimberly_williams@gmail.com,ig,Retargeting,Contacted
L-40261,2026-05-23 11:35:26,Thomas Turner,thomas_turner@hotmail.com,google / cpc,Furnace tune-up,Quoted
L-40267,2026-05-23 14:48:14,Barbara Mendoza,barbara.mendoza@yahoo.com,google,Furnace tune-up,Contacted
L-40372,2026-05-24 09:51:44,Daniel Anderson,danderson@gmail.com,fb / paid,Summer AC promo,Lost
L-40455,2026-05-24 09:57:53,Anthony Hernandez,ahernandez@gmail.com,Yelp,Yelp CPC,Contacted
L-40452,2026-05-24 15:01:54,Kwame Lopez,lopez.kwame@yahoo.com,yelp,Yelp enhanced profile,Lost
L-40523,2026-05-24 15:42:28,Matthew Collins,matthewcollins45@yahoo.com,word of mouth,-,Lost
L-40260,2026-05-25 13:42:02,Donna Mitchell,donna.mitchell@protonmail.com,Google Ads,Brand search,Quoted
L-40290,2026-05-25 14:34:40,Angela Cox,acox@gmail.com,google,Brand search,Lost
L-40520,2026-05-25 17:17:14,James Lindqvist,jameslindqvist33@yahoo.com,(none),-,Quoted
L-40278,2026-05-26 10:50:12,Deborah Myers,myers.deborah@gmail.com,google,Heat pump rebate,Quoted
L-40375,2026-05-26 13:48:02,Sharon Clark,clark.sharon@aol.com,facebook,Lead form - IG,Lost
L-40266,2026-05-27 07:13:19,Sofia Reyes,sofiareyes99@outlook.com,google,Heat pump rebate,Contacted
L-40289,2026-05-27 13:06:35,Dorothy Green,green.dorothy@icloud.com,adwords,Furnace tune-up,Lost
L-40370,2026-05-27 13:32:19,Mark Mendoza,markmendoza30@gmail.com,Facebook,Summer AC promo,Quoted
L-40360,2026-05-27 17:25:30,Gary Peterson,gpeterson@aol.com,Facebook,Summer AC promo,Lost
L-40288,2026-05-27 20:25:02,Wei Foster,wei_foster@icloud.com,google,AC repair - Portland,Quoted
L-40530,2026-05-28 15:30:33,Jonathan Hall,jonathan_hall@outlook.com,(none),-,Quoted
L-40405,2026-05-28 15:53:26,SEO Services,seo_services@aol.com,facebook,Summer AC promo,Spam
L-40486,2026-05-28 19:33:54,Test Zap,test_zap@icloud.com,nextdoor,Neighborhood sponsorship,Test
L-40502,2026-05-28 19:53:37,Ronald Castillo,castillo.ronald@aol.com,(none),-,Lost
L-40504,2026-05-29 13:01:39,Kevin Robinson,krobinson@me.com,referral,-,Lost
L-40268,2026-05-29 13:33:56,James Allen,james.allen@hotmail.com,google / cpc,Furnace tune-up,Contacted
L-40359,2026-05-30 13:21:14,Mateo Ramos,mateo_ramos@yahoo.com,facebook,Retargeting,Quoted
L-40369,2026-05-30 14:14:07,Nancy Baker,nancy_baker@me.com,instagram,Lead form - IG,Contacted
L-40286,2026-05-30 14:46:28,Mary Collins,mary_collins@me.com,google / cpc,Heat pump rebate,New
L-40357,2026-05-30 20:10:56,Patricia Chavez,pchavez@me.com,instagram,Lead form - IG,Contacted
L-40263,2026-05-31 12:18:30,Jeffrey Clark,jeffrey.clark@hotmail.com,adwords,Brand search,Contacted
L-40485,2026-05-31 20:22:27,Marketing Agency,agency.marketing@yahoo.com,Nextdoor local deal,Neighborhood sponsorship,Spam
L-40422,2026-06-01 09:58:42,Nancy Richardson,nancyrichardson79@gmail.com,linkedin,Property managers,Lost
L-40423,2026-06-01 13:52:31,Michelle Walker,michelle.walker@protonmail.com,linkedin,Property managers,Lost
L-40302,2026-06-01 15:51:47,Kimberly Morgan,kimberly.morgan@yahoo.com,google,Heat pump rebate,Quoted
L-40401,2026-06-02 08:35:53,Mark Hall,mhall@protonmail.com,Facebook,Summer AC promo,Won
L-40431,2026-06-02 13:24:50,Sarah Thomas,sarahthomas4@outlook.com,linkedin,Property managers,Quoted
L-40323,2026-06-03 08:12:45,George Smith,smith.george@me.com,adwords,Brand search,Contacted
L-40398,2026-06-04 16:51:40,Donna Mitchell,mitchell.donna@gmail.com,fb / paid,Retargeting,Won
L-40301,2026-06-05 09:22:19,Laura Parker,lauraparker84@protonmail.com,Google Ads,Heat pump rebate,Quoted
L-40392,2026-06-05 11:24:34,Mateo Morales,morales.mateo@me.com,Facebook,Summer AC promo,Contacted
L-40326,2026-06-06 08:35:11,Hiroshi Hernandez,hiroshihernandez26@aol.com,adwords,Furnace tune-up,Lost
L-40467,2026-06-06 10:29:30,Test Lead,testlead78@hotmail.com,yelp,Yelp CPC,Test
L-40460,2026-06-06 17:06:33,Joseph Ramos,joseph_ramos@outlook.com,Yelp,Yelp CPC,Quoted
L-40488,2026-06-07 10:23:56,Laura Sanchez,sanchez.laura@outlook.com,direct,-,Quoted
L-40393,2026-06-07 12:19:05,Omar Foster,ofoster@gmail.com,ig,Lead form - IG,New
L-40391,2026-06-07 16:55:50,Edward Howard,ehoward@gmail.com,facebook,Lead form - IG,Contacted
L-40298,2026-06-07 18:15:21,Kenneth Patel,kpatel@hotmail.com,google / cpc,Furnace tune-up,Quoted
L-40316,2026-06-07 19:32:09,Charles Smith,charles_smith@gmail.com,google,Heat pump rebate,Contacted
L-40465,2026-06-07 20:06:32,Barbara Harris,bharris@protonmail.com,Yelp,Yelp CPC,Quoted
L-40387,2026-06-08 10:42:43,Rahul Ward,ward.rahul@protonmail.com,ig,Lead form - IG,Contacted
L-40295,2026-06-08 13:22:38,Sandra Okafor,sandra_okafor@yahoo.com,Google Ads,Brand search,Quoted
L-40508,2026-06-08 17:19:35,Mark Collins,mark.collins@protonmail.com,direct,-,Won
L-40458,2026-06-08 17:56:28,Ryan Green,ryangreen84@icloud.com,yelp,Yelp enhanced profile,Won
L-40304,2026-06-08 19:53:43,Lisa Ross,lisa.ross@protonmail.com,google / cpc,Brand search,Quoted
L-40461,2026-06-09 08:16:28,Daniel Long,long.daniel@gmail.com,yelp,Yelp CPC,Lost
L-40433,2026-06-09 09:35:57,Test Lead,tlead@outlook.com,linkedin,Property managers,Test
L-40320,2026-06-09 12:05:19,Dorothy Ward,dorothy.ward@hotmail.com,google,AC repair - Portland,New
L-40484,2026-06-09 13:19:20,Dmitri Brown,dmitri_brown@outlook.com,nextdoor,Neighborhood sponsorship,Won
L-40315,2026-06-09 13:49:52,Andrew Johnson,johnson.andrew@aol.com,adwords,Furnace tune-up,Lost
L-40505,2026-06-10 07:14:41,Daniel Cox,cox.daniel@protonmail.com,organic,-,Quoted
L-40430,2026-06-10 13:16:17,Nadia Okafor,nadiaokafor82@yahoo.com,linkedin,Property managers,Contacted
L-40495,2026-06-10 14:20:41,Nancy Lewis,nancy_lewis@hotmail.com,referral,-,New
L-40312,2026-06-10 19:25:38,Carol Murphy,carol.murphy@outlook.com,adwords,Brand search,Contacted
L-40307,2026-06-11 07:19:33,Amy Gomez,amy_gomez@gmail.com,adwords,Furnace tune-up,Lost
L-40324,2026-06-11 09:48:40,Kenneth Gomez,kgomez@outlook.com,google / cpc,Heat pump rebate,Lost
L-40383,2026-06-11 14:24:43,Christopher Tanaka,christopher_tanaka@icloud.com,Facebook,Summer AC promo,Won
L-40425,2026-06-11 17:09:39,Daniel Murphy,dmurphy@gmail.com,linkedin,Property managers,Contacted
L-40380,2026-06-12 14:46:56,Edward Brown,edward_brown@me.com,ig,Summer AC promo,New
