Kinjo Ramen - Closed checks with tips
Export window: 08/10/2026 12:00 AM - 08/17/2026 03:00 AM
Check #,Closed date,Closed time,Server,Tender,Check total,Tip,Status
40290,08/11/2026,12:29 PM,Laura Stewart,Apple Pay,71.29,14.07,Closed
40296,08/11/2026,12:47 PM,Anthony Gonzalez,Visa,105.18,22.28,Closed
40302,08/11/2026,12:54 PM,Anthony Gonzalez,Amex,156.87,26.36,Closed
40314,08/11/2026,1:08 PM,Aisha Carter,Visa,138.60,25.81,Closed
40292,08/11/2026,1:15 PM,David Allen,Amex,63.81,15.14,Closed
40318,08/11/2026,1:23 PM,Sarah Reed,Cash,76.08,0.00,Closed
40306,08/11/2026,1:24 PM,Deborah Parker,Apple Pay,30.51,6.18,Closed
40303,08/11/2026,1:26 PM,Deborah Parker,Mastercard,159.80,33.69,Closed
40312,08/11/2026,1:29 PM,Jessica Murphy,Apple Pay,90.77,21.58,Closed
40309,08/11/2026,1:31 PM,Laura Stewart,Amex,163.35,32.49,Closed
40294,08/11/2026,1:34 PM,Anthony Gonzalez,Amex,98.63,21.03,Closed
40304,08/11/2026,1:39 PM,Anthony Gonzalez,Visa,48.93,11.74,Closed
40297,08/11/2026,1:44 PM,Anthony Gonzalez,Mastercard,39.85,9.35,Closed
40300,08/11/2026,1:46 PM,Laura Stewart,Visa,104.24,17.68,Closed
40310,08/11/2026,1:46 PM,Aisha Carter,Discover,108.33,24.23,Closed
40298,08/11/2026,1:58 PM,Gary Brown,Apple Pay,26.20,5.62,Closed
40317,08/11/2026,2:02 PM,Aisha Carter,Amex,140.77,31.30,Closed
40295,08/11/2026,2:31 PM,Gary Brown,Amex,73.48,14.09,Closed
40320,08/11/2026,2:41 PM,Aisha Carter,Discover,65.04,12.76,Voided
40293,08/11/2026,2:48 PM,Aisha Carter,Apple Pay,163.74,26.54,Closed
40301,08/11/2026,2:54 PM,Gary Brown,Discover,46.40,0.00,Closed
40316,08/11/2026,2:56 PM,Jessica Murphy,Discover,18.78,4.14,Closed
40315,08/11/2026,3:19 PM,Sarah Reed,Visa,125.96,29.38,Closed
40311,08/11/2026,3:24 PM,Gary Brown,Apple Pay,102.84,18.22,Closed
40308,08/11/2026,3:25 PM,Sarah Reed,Visa,67.04,15.01,Closed
40325,08/11/2026,5:06 PM,Deborah Parker,Visa,32.60,6.46,Closed
40370,08/11/2026,5:09 PM,Sarah Reed,Discover,151.56,35.59,Closed
40391,08/11/2026,5:11 PM,David Allen,Visa,79.62,18.69,Closed
40348,08/11/2026,5:15 PM,Laura Stewart,Apple Pay,152.63,33.10,Closed
40381,08/11/2026,5:25 PM,David Allen,Amex,133.35,27.51,Closed
40376,08/11/2026,5:26 PM,Gary Brown,Cash,154.27,0.00,Closed
40329,08/11/2026,5:29 PM,Deborah Parker,Visa,146.84,23.66,Closed
40345,08/11/2026,5:30 PM,Sarah Reed,Cash,110.25,0.00,Closed
40382,08/11/2026,5:33 PM,Sarah Reed,Discover,119.08,25.94,Closed
40384,08/11/2026,5:33 PM,Gary Brown,Apple Pay,73.95,15.37,Closed
40354,08/11/2026,5:45 PM,Laura Stewart,Amex,40.77,8.46,Closed
40371,08/11/2026,5:56 PM,Deborah Parker,Cash,93.28,0.00,Closed
40353,08/11/2026,5:57 PM,Sarah Reed,Amex,67.14,12.26,Closed
40363,08/11/2026,5:58 PM,Anthony Gonzalez,Apple Pay,140.04,28.01,Closed
40346,08/11/2026,6:04 PM,Anthony Gonzalez,Apple Pay,55.06,12.64,Closed
40323,08/11/2026,6:11 PM,Deborah Parker,Mastercard,51.77,8.25,Closed
40365,08/11/2026,6:12 PM,David Allen,Cash,43.52,0.00,Closed
40344,08/11/2026,6:16 PM,Laura Stewart,Visa,132.41,29.74,Closed
40377,08/11/2026,6:16 PM,Aisha Carter,Amex,104.90,23.13,Closed
40352,08/11/2026,6:18 PM,Laura Stewart,Amex,129.60,27.90,Closed
40339,08/11/2026,6:21 PM,David Allen,Discover,85.79,14.93,Closed
40324,08/11/2026,6:24 PM,Laura Stewart,Visa,96.60,20.78,Closed
40341,08/11/2026,6:37 PM,Jessica Murphy,Discover,139.11,21.59,Closed
40389,08/11/2026,6:44 PM,Laura Stewart,Apple Pay,88.77,17.22,Closed
40386,08/11/2026,6:52 PM,Laura Stewart,Mastercard,80.78,13.77,Closed
40340,08/11/2026,6:54 PM,Anthony Gonzalez,Discover,99.71,16.54,Closed
40361,08/11/2026,6:55 PM,Laura Stewart,Apple Pay,165.00,0.00,Closed
40355,08/11/2026,7:08 PM,Sarah Reed,Amex,33.37,0.00,Closed
40387,08/11/2026,7:12 PM,David Allen,Amex,72.98,16.10,Closed
40328,08/11/2026,7:20 PM,Jessica Murphy,Discover,130.15,27.77,Closed
40390,08/11/2026,7:21 PM,Deborah Parker,Cash,155.58,0.00,Closed
40349,08/11/2026,7:28 PM,Gary Brown,Amex,129.52,27.81,Closed
40336,08/11/2026,7:38 PM,Laura Stewart,Visa,142.49,24.89,Closed
40356,08/11/2026,7:49 PM,Jessica Murphy,Mastercard,36.38,8.31,Closed
40342,08/11/2026,7:51 PM,Sarah Reed,Mastercard,104.58,20.33,Closed
40343,08/11/2026,7:53 PM,Laura Stewart,Cash,37.39,0.00,Closed
40367,08/11/2026,7:56 PM,Gary Brown,Mastercard,77.81,17.24,Closed
40383,08/11/2026,7:59 PM,David Allen,Mastercard,90.25,17.75,Closed
40326,08/11/2026,8:02 PM,Gary Brown,Visa,25.70,5.43,Closed
40351,08/11/2026,8:02 PM,Jessica Murphy,Cash,40.84,0.00,Closed
40380,08/11/2026,8:08 PM,Aisha Carter,Cash,160.86,0.00,Closed
40350,08/11/2026,8:19 PM,Gary Brown,Cash,21.78,0.00,Closed
40357,08/11/2026,8:32 PM,David Allen,Apple Pay,32.92,6.35,Closed
40358,08/11/2026,8:39 PM,Sarah Reed,Amex,105.77,21.89,Closed
40321,08/11/2026,8:40 PM,David Allen,Amex,131.26,25.43,Closed
40347,08/11/2026,8:41 PM,Laura Stewart,Cash,71.68,0.00,Closed
40372,08/11/2026,8:46 PM,Sarah Reed,Amex,116.06,21.68,Closed
40368,08/11/2026,8:50 PM,Anthony Gonzalez,Cash,84.46,0.00,Closed
40330,08/11/2026,8:54 PM,Anthony Gonzalez,Discover,66.20,10.62,Closed
40388,08/11/2026,9:01 PM,Sarah Reed,Discover,139.73,29.30,Closed
40374,08/11/2026,9:06 PM,Aisha Carter,Cash,145.65,0.00,Closed
40331,08/11/2026,9:10 PM,Aisha Carter,Cash,35.33,0.00,Closed
40385,08/11/2026,9:14 PM,David Allen,Visa,164.54,25.00,Closed
40360,08/11/2026,9:25 PM,Aisha Carter,Cash,36.00,0.00,Closed
40333,08/11/2026,9:39 PM,David Allen,Apple Pay,65.28,14.43,Closed
40362,08/11/2026,9:40 PM,Anthony Gonzalez,Amex,62.38,11.62,Closed
40359,08/11/2026,9:46 PM,Jessica Murphy,Cash,39.81,0.00,Closed
40378,08/11/2026,9:55 PM,Gary Brown,Discover,125.29,21.56,Closed
40366,08/11/2026,10:01 PM,Aisha Carter,Mastercard,41.25,9.16,Closed
40369,08/11/2026,10:12 PM,Sarah Reed,Apple Pay,41.78,8.29,Closed
40373,08/11/2026,10:15 PM,Anthony Gonzalez,Cash,93.69,0.00,Closed
40332,08/11/2026,10:19 PM,Gary Brown,Apple Pay,133.07,28.86,Closed
40379,08/11/2026,10:23 PM,Deborah Parker,Cash,57.29,0.00,Closed
40334,08/11/2026,10:24 PM,Gary Brown,Visa,73.22,0.00,Closed
40338,08/11/2026,10:27 PM,Deborah Parker,Visa,116.05,23.77,Closed
40335,08/11/2026,10:41 PM,Jessica Murphy,Amex,74.83,15.44,Closed
40327,08/11/2026,10:48 PM,Sarah Reed,Cash,139.42,0.00,Closed
40375,08/11/2026,11:05 PM,Aisha Carter,Cash,132.25,0.00,Closed
40337,08/11/2026,11:06 PM,Gary Brown,Mastercard,58.36,10.90,Closed
40322,08/11/2026,11:11 PM,Jessica Murphy,Discover,153.92,24.35,Closed
40364,08/11/2026,11:15 PM,Jessica Murphy,Visa,101.12,19.22,Closed
40395,08/12/2026,11:21 AM,Aisha Carter,Discover,107.14,22.46,Closed
40398,08/12/2026,11:30 AM,Deborah Parker,Apple Pay,102.48,21.40,Closed
40420,08/12/2026,11:46 AM,Deborah Parker,Apple Pay,36.43,6.15,Closed
40410,08/12/2026,11:55 AM,Jessica Murphy,Mastercard,108.75,25.46,Closed
40411,08/12/2026,11:59 AM,Gary Brown,Visa,146.80,27.08,Closed
40397,08/12/2026,12:04 PM,Deborah Parker,Apple Pay,79.55,13.62,Closed
40394,08/12/2026,12:25 PM,Laura Stewart,Mastercard,21.07,3.90,Closed
40407,08/12/2026,12:25 PM,Laura Stewart,Amex,59.33,8.97,Closed
40418,08/12/2026,12:25 PM,Aisha Carter,Cash,119.31,0.00,Closed
40402,08/12/2026,12:31 PM,David Allen,Apple Pay,136.44,27.36,Closed
40405,08/12/2026,12:31 PM,Aisha Carter,Amex,76.98,17.40,Closed
40396,08/12/2026,12:47 PM,Aisha Carter,Apple Pay,126.52,29.91,Closed
40415,08/12/2026,12:49 PM,Laura Stewart,Visa,98.62,17.45,Closed
40400,08/12/2026,12:59 PM,Deborah Parker,Discover,32.69,0.00,Closed
40414,08/12/2026,1:01 PM,Laura Stewart,Mastercard,76.46,16.35,Closed
40421,08/12/2026,1:29 PM,Deborah Parker,Cash,83.01,0.00,Closed
40401,08/12/2026,1:32 PM,Gary Brown,Visa,57.18,10.18,Closed
40393,08/12/2026,1:34 PM,Anthony Gonzalez,Cash,153.33,0.00,Closed
40399,08/12/2026,1:37 PM,Laura Stewart,Discover,30.65,6.37,Closed
40409,08/12/2026,1:37 PM,Gary Brown,Discover,119.32,20.47,Closed
40404,08/12/2026,1:41 PM,David Allen,Discover,45.46,8.85,Closed
40412,08/12/2026,2:14 PM,Gary Brown,Mastercard,40.52,8.07,Closed
40416,08/12/2026,2:20 PM,Deborah Parker,Cash,93.93,0.00,Closed
40424,08/12/2026,2:35 PM,David Allen,Discover,110.19,18.82,Closed
40392,08/12/2026,2:36 PM,Laura Stewart,Amex,79.77,13.07,Closed
40406,08/12/2026,2:39 PM,Deborah Parker,Amex,136.12,22.17,Closed
40417,08/12/2026,2:44 PM,Sarah Reed,Visa,150.74,32.85,Closed
40423,08/12/2026,2:48 PM,David Allen,Visa,135.35,30.15,Closed
40403,08/12/2026,2:51 PM,Sarah Reed,Discover,70.15,15.59,Closed
40419,08/12/2026,2:52 PM,Aisha Carter,Mastercard,146.00,30.17,Closed
40422,08/12/2026,3:11 PM,Anthony Gonzalez,Discover,133.97,26.33,Closed
40413,08/12/2026,3:17 PM,Deborah Parker,Mastercard,57.52,12.05,Closed
40408,08/12/2026,3:24 PM,Aisha Carter,Mastercard,39.34,8.74,Closed
40465,08/12/2026,5:15 PM,Aisha Carter,Apple Pay,35.16,8.29,Closed
40433,08/12/2026,5:27 PM,Gary Brown,Mastercard,154.65,36.26,Closed
40461,08/12/2026,5:48 PM,David Allen,Visa,103.90,17.46,Closed
40440,08/12/2026,6:03 PM,Deborah Parker,Visa,24.05,4.33,Closed
40427,08/12/2026,6:11 PM,Gary Brown,Discover,48.58,9.42,Closed
40454,08/12/2026,6:28 PM,Deborah Parker,Apple Pay,163.30,33.75,Closed
40467,08/12/2026,6:44 PM,Anthony Gonzalez,Discover,132.95,29.90,Closed
40448,08/12/2026,7:21 PM,Anthony Gonzalez,Cash,85.79,0.00,Closed
40457,08/12/2026,7:21 PM,Gary Brown,Visa,93.09,17.78,Closed
40426,08/12/2026,7:25 PM,Deborah Parker,Discover,143.97,22.86,Closed
40449,08/12/2026,7:29 PM,Gary Brown,Amex,108.24,17.20,Closed
40447,08/12/2026,7:30 PM,Gary Brown,Visa,112.00,18.52,Closed
40452,08/12/2026,7:46 PM,Aisha Carter,Apple Pay,73.65,13.98,Closed
40439,08/12/2026,8:09 PM,Laura Stewart,Apple Pay,86.01,17.36,Closed
40445,08/12/2026,8:09 PM,Sarah Reed,Apple Pay,73.93,15.82,Closed
40453,08/12/2026,8:11 PM,Laura Stewart,Visa,148.91,27.93,Closed
40441,08/12/2026,8:13 PM,Aisha Carter,Amex,140.92,27.29,Closed
40428,08/12/2026,8:26 PM,Laura Stewart,Amex,152.82,24.22,Closed
40436,08/12/2026,8:26 PM,David Allen,Discover,61.89,9.56,Closed
40435,08/12/2026,8:27 PM,Jessica Murphy,Apple Pay,33.07,6.88,Closed
40430,08/12/2026,8:41 PM,Sarah Reed,Mastercard,154.60,25.83,Closed
40466,08/12/2026,8:46 PM,Laura Stewart,Amex,153.54,31.97,Closed
40462,08/12/2026,8:51 PM,David Allen,Apple Pay,65.31,12.10,Closed
40472,08/12/2026,8:59 PM,Laura Stewart,Mastercard,92.96,15.69,Closed
40434,08/12/2026,9:05 PM,Anthony Gonzalez,Visa,25.05,5.64,Closed
40473,08/12/2026,9:08 PM,Gary Brown,Mastercard,72.98,13.82,Closed
40437,08/12/2026,9:09 PM,Jessica Murphy,Apple Pay,20.85,4.62,Closed
40459,08/12/2026,9:15 PM,Aisha Carter,Cash,23.28,0.00,Closed
40431,08/12/2026,9:25 PM,Jessica Murphy,Mastercard,81.04,16.96,Closed
40451,08/12/2026,9:27 PM,Laura Stewart,Mastercard,67.36,10.56,Closed
40455,08/12/2026,9:34 PM,Deborah Parker,Mastercard,87.56,17.76,Closed
40471,08/12/2026,9:41 PM,Aisha Carter,Visa,60.45,9.32,Closed
40443,08/12/2026,9:43 PM,Deborah Parker,Amex,18.55,3.03,Closed
40460,08/12/2026,9:47 PM,Deborah Parker,Cash,24.53,0.00,Closed
40468,08/12/2026,9:53 PM,Laura Stewart,Apple Pay,126.20,25.74,Closed
40469,08/12/2026,9:59 PM,Jessica Murphy,Apple Pay,158.43,35.63,Closed
40444,08/12/2026,10:02 PM,Jessica Murphy,Discover,42.28,8.28,Closed
40464,08/12/2026,10:02 PM,Deborah Parker,Amex,87.83,0.00,Closed
40432,08/12/2026,10:05 PM,Gary Brown,Visa,142.05,21.97,Closed
40456,08/12/2026,10:05 PM,Aisha Carter,Cash,100.94,0.00,Closed
40438,08/12/2026,10:10 PM,Sarah Reed,Amex,114.55,23.44,Closed
40458,08/12/2026,10:19 PM,Aisha Carter,Visa,136.49,0.00,Closed
40446,08/12/2026,10:27 PM,Deborah Parker,Amex,58.41,10.85,Closed
40442,08/12/2026,10:29 PM,Aisha Carter,Discover,31.72,7.38,Closed
40425,08/12/2026,10:31 PM,Laura Stewart,Apple Pay,45.48,10.32,Closed
40463,08/12/2026,10:39 PM,Anthony Gonzalez,Mastercard,30.03,6.19,Closed
40470,08/12/2026,10:50 PM,Jessica Murphy,Apple Pay,152.25,28.27,Closed
40429,08/12/2026,10:52 PM,Gary Brown,Cash,140.24,0.00,Closed
40450,08/12/2026,11:14 PM,Anthony Gonzalez,Cash,96.71,0.00,Closed
40484,08/13/2026,11:20 AM,Laura Stewart,Amex,134.76,22.29,Closed
40475,08/13/2026,11:33 AM,Gary Brown,Amex,68.20,13.85,Closed
40509,08/13/2026,11:38 AM,Deborah Parker,Amex,144.63,33.68,Closed
40507,08/13/2026,11:42 AM,Sarah Reed,Discover,87.81,20.37,Closed
40474,08/13/2026,11:48 AM,Sarah Reed,Visa,76.37,15.17,Closed
40485,08/13/2026,11:57 AM,Aisha Carter,Discover,23.10,5.28,Closed
40479,08/13/2026,12:06 PM,David Allen,Apple Pay,141.78,29.44,Closed
40499,08/13/2026,12:07 PM,Jessica Murphy,Amex,53.77,8.54,Closed
40502,08/13/2026,12:11 PM,David Allen,Mastercard,148.00,24.90,Closed
40496,08/13/2026,12:19 PM,Sarah Reed,Visa,47.92,9.58,Closed
40501,08/13/2026,12:19 PM,Gary Brown,Amex,25.06,3.96,Closed
40492,08/13/2026,12:34 PM,Gary Brown,Visa,25.91,5.45,Closed
40480,08/13/2026,12:37 PM,David Allen,Apple Pay,66.12,14.74,Closed
40488,08/13/2026,12:39 PM,Sarah Reed,Cash,141.24,0.00,Closed
40506,08/13/2026,12:43 PM,Aisha Carter,Apple Pay,75.33,15.90,Closed
40478,08/13/2026,1:04 PM,Jessica Murphy,Visa,117.52,25.04,Closed
40493,08/13/2026,1:08 PM,Aisha Carter,Visa,137.88,20.79,Closed
40497,08/13/2026,1:15 PM,Jessica Murphy,Discover,23.79,4.77,Closed
40495,08/13/2026,1:20 PM,Gary Brown,Apple Pay,50.78,8.77,Closed
40489,08/13/2026,1:25 PM,Aisha Carter,Apple Pay,36.83,8.01,Closed
40498,08/13/2026,1:29 PM,David Allen,Cash,122.88,0.00,Closed
40486,08/13/2026,1:31 PM,Gary Brown,Apple Pay,98.23,20.44,Closed
40491,08/13/2026,1:31 PM,David Allen,Cash,101.77,0.00,Closed
40505,08/13/2026,1:34 PM,Anthony Gonzalez,Visa,87.27,19.10,Closed
40494,08/13/2026,1:37 PM,Aisha Carter,Visa,73.56,14.73,Closed
40508,08/13/2026,1:54 PM,Aisha Carter,Cash,124.35,0.00,Closed
40482,08/13/2026,1:58 PM,Deborah Parker,Mastercard,57.44,10.58,Closed
40483,08/13/2026,1:59 PM,Gary Brown,Amex,42.90,9.83,Closed
40477,08/13/2026,2:11 PM,Laura Stewart,Mastercard,152.51,26.92,Closed
40503,08/13/2026,2:31 PM,Sarah Reed,Cash,137.33,0.00,Closed
40476,08/13/2026,2:41 PM,Gary Brown,Mastercard,153.00,27.48,Closed
40500,08/13/2026,2:43 PM,Deborah Parker,Mastercard,69.42,13.18,Closed
40487,08/13/2026,2:47 PM,Aisha Carter,Discover,107.79,0.00,Closed
40481,08/13/2026,2:59 PM,Jessica Murphy,Discover,30.15,6.17,Voided
40490,08/13/2026,3:17 PM,Jessica Murphy,Mastercard,61.36,12.50,Closed
40504,08/13/2026,3:23 PM,Anthony Gonzalez,Mastercard,146.82,31.46,Closed
40529,08/13/2026,5:30 PM,Sarah Reed,Apple Pay,146.34,31.12,Closed
40521,08/13/2026,5:36 PM,Jessica Murphy,Amex,58.46,10.89,Closed
40566,08/13/2026,5:36 PM,David Allen,Apple Pay,148.84,33.71,Closed
40535,08/13/2026,5:41 PM,Sarah Reed,Cash,60.93,0.00,Closed
40545,08/13/2026,5:41 PM,Sarah Reed,Discover,24.31,5.18,Closed
40561,08/13/2026,5:48 PM,Sarah Reed,Cash,136.29,0.00,Closed
40516,08/13/2026,6:00 PM,Jessica Murphy,Cash,156.41,0.00,Closed
40513,08/13/2026,6:14 PM,Laura Stewart,Cash,44.39,0.00,Closed
40528,08/13/2026,6:17 PM,Aisha Carter,Visa,39.88,7.28,Closed
40555,08/13/2026,6:31 PM,Gary Brown,Cash,72.05,0.00,Closed
40565,08/13/2026,6:33 PM,Laura Stewart,Mastercard,155.93,23.78,Closed
40518,08/13/2026,6:43 PM,Anthony Gonzalez,Amex,124.40,28.40,Closed
40564,08/13/2026,6:44 PM,Anthony Gonzalez,Discover,114.73,20.81,Closed
40530,08/13/2026,6:53 PM,Aisha Carter,Mastercard,32.26,5.32,Closed
40537,08/13/2026,7:00 PM,David Allen,Amex,69.29,16.33,Closed
40523,08/13/2026,7:33 PM,Gary Brown,Mastercard,132.31,21.46,Closed
40515,08/13/2026,7:43 PM,Aisha Carter,Apple Pay,30.65,5.84,Closed
40517,08/13/2026,7:46 PM,Aisha Carter,Discover,29.33,7.00,Closed
40534,08/13/2026,7:47 PM,Deborah Parker,Visa,163.88,30.71,Closed
40541,08/13/2026,7:50 PM,David Allen,Discover,41.39,8.98,Closed
40559,08/13/2026,7:59 PM,Aisha Carter,Apple Pay,37.50,7.71,Closed
40549,08/13/2026,8:05 PM,Laura Stewart,Apple Pay,89.72,14.17,Closed
40527,08/13/2026,8:07 PM,Jessica Murphy,Visa,50.02,8.53,Closed
40550,08/13/2026,8:07 PM,Sarah Reed,Cash,49.98,0.00,Closed
40522,08/13/2026,8:09 PM,Jessica Murphy,Cash,144.55,0.00,Closed
40552,08/13/2026,8:11 PM,Deborah Parker,Mastercard,110.95,21.42,Closed
40524,08/13/2026,8:13 PM,Anthony Gonzalez,Mastercard,100.92,15.82,Closed
40510,08/13/2026,8:14 PM,Sarah Reed,Amex,85.05,20.09,Closed
40520,08/13/2026,8:17 PM,Sarah Reed,Apple Pay,23.34,5.18,Closed
40563,08/13/2026,8:28 PM,Jessica Murphy,Apple Pay,47.81,7.33,Closed
40538,08/13/2026,8:37 PM,David Allen,Amex,19.96,0.00,Closed
40539,08/13/2026,8:45 PM,Sarah Reed,Mastercard,88.55,19.40,Closed
40526,08/13/2026,8:46 PM,Deborah Parker,Apple Pay,159.34,26.52,Closed
40560,08/13/2026,8:50 PM,David Allen,Discover,91.63,15.45,Closed
40551,08/13/2026,8:51 PM,Jessica Murphy,Cash,154.46,0.00,Closed
40567,08/13/2026,8:51 PM,Deborah Parker,Visa,72.93,15.84,Closed
40548,08/13/2026,8:55 PM,Anthony Gonzalez,Amex,45.09,9.71,Closed
40533,08/13/2026,9:14 PM,Gary Brown,Apple Pay,29.19,5.20,Closed
40519,08/13/2026,9:22 PM,David Allen,Amex,120.73,19.42,Closed
