MileTrack - Trips export
Account: Brightside Home Health | Range: 07/27/2026 - 09/04/2026
Trip date,Start time,Driver,From,To,Purpose,Miles,Round trip
07/30/2026,10:49 AM,Joshua Morris,Pt 7306,Home,Drive home,10.3,
07/30/2026,7:42 AM,Kimberly Rogers,Home,Pt 2501,Patient visit,9.4,
07/30/2026,9:07 AM,Kimberly Rogers,Pt 2501,Pt 4329,Patient visit,8.4,
07/30/2026,10:00 AM,Kimberly Rogers,Pt 4329,Pt 2314,Patient visit,15.0,
07/30/2026,11:25 AM,Kimberly Rogers,Pt 2314,Pt 4966,Patient visit,13.4,
07/30/2026,12:30 PM,Kimberly Rogers,Pt 4966,Quest lab - Elm Dr,Supply pickup,2.9,Yes
07/30/2026,1:37 PM,Kimberly Rogers,Pt 4966,Home,Drive home,6.9,
07/30/2026,7:23 AM,Margaret Cook,Home,Pt 2131,Patient visit,13.6,
07/30/2026,8:56 AM,Margaret Cook,Pt 2131,Pt 7306,Patient visit,16.0,
07/30/2026,10:27 AM,Margaret Cook,Pt 7306,Pt 2494,Patient visit,3.9,
07/30/2026,11:43 AM,Margaret Cook,Pt 2494,Pt 1540,Patient visit,8.9,
07/30/2026,12:57 PM,Margaret Cook,Pt 1540,Office,Charting / drop paperwork,11.6,
07/30/2026,2:30 PM,Margaret Cook,Office,Home,Drive home,13.2,
07/30/2026,8:16 AM,Sarah Foster,Home,Pt 5712,Patient visit,9.7,
07/30/2026,9:43 AM,Sarah Foster,Pt 5712,Pt 9896,Patient visit,10.3,
07/30/2026,10:39 AM,Sarah Foster,Pt 9896,Pt 7306,Patient visit,7.7,
07/30/2026,11:53 AM,Sarah Foster,Pt 7306,Pt 2494,Patient visit,3.0,
07/30/2026,12:54 PM,SARAH FOSTER,Pt 2494,Home,Drive home,21.9,
07/31/2026,7:36 AM,Deborah Okafor,Home,Pt 9016,Patient visit,9.1,
07/31/2026,8:48 AM,DEBORAH OKAFOR,Pt 9016,Pt 9969,Patient visit,14.1,
07/31/2026,10:15 AM,Deborah Okafor,Pt 9969,Pt 9086,Patient visit,10.8,
07/31/2026,11:37 AM,Deborah Okafor,Pt 9086,Pt 2031,Patient visit,9.1,
07/31/2026,12:35 PM,DEBORAH OKAFOR,Pt 2031,Pt 6243,Patient visit,10.9,
07/31/2026,1:31 PM,Deborah Okafor,Pt 6243,Home,Drive home,18.1,
07/31/2026,8:26 AM,Gary Phillips,Home,Office,Team meeting,12.2,
07/31/2026,9:52 AM,Gary Phillips,Office,Pt 6194,Patient visit,4.2,
07/31/2026,10:53 AM,Gary Phillips,Pt 6194,Pt 9086,Patient visit,8.0,
07/31/2026,12:05 PM,Gary Phillips,Pt 9086,Pt 6180,Patient visit,13.1,
07/31/2026,1:37 PM,Gary Phillips,Pt 6180,Pt 4012,Patient visit,7.5,
07/31/2026,2:39 PM,Gary Phillips,Pt 4012,Home,Drive home,19.9,
07/31/2026,7:34 AM,Joshua Morris,Home,Pt 9989,Patient visit,6.6,
07/31/2026,8:43 AM,Joshua Morris,Pt 9989,Pt 7306,Patient visit,14.7,
07/31/2026,9:47 AM,JOSHUA MORRIS,Pt 7306,Home,Drive home,6.4,
07/31/2026,8:14 AM,Kimberly Rogers,Home,Pt 4350,Patient visit,17.2,
07/31/2026,9:45 AM,KIMBERLY ROGERS,Pt 4350,Medline supply depot,Supply pickup,3.8,Yes
07/31/2026,11:12 AM,Kimberly Rogers,Pt 4350,Pt 5260,Patient visit,3.2,
07/31/2026,12:14 PM,Kimberly Rogers,Pt 5260,Pt 9896,Patient visit,15.7,
07/31/2026,1:44 PM,Kimberly Rogers,Pt 9896,Pt 4966,Patient visit,3.9,
07/31/2026,2:58 PM,Kimberly Rogers,Pt 4966,Pt 4329,Patient visit,15.0,
07/31/2026,4:26 PM,Kimberly Rogers,Pt 4329,Home,Drive home,11.7,
07/31/2026,8:18 AM,Margaret Cook,Home,Pt 4102,Patient visit,10.8,
07/31/2026,9:22 AM,Margaret Cook,Pt 4102,Pt 2528,Patient visit,12.8,
07/31/2026,10:53 AM,Margaret Cook,Pt 2528,Pt 6328,Patient visit,3.5,
07/31/2026,11:55 AM,MARGARET COOK,Pt 6328,Pt 1540,Patient visit,7.4,
07/31/2026,1:12 PM,Margaret Cook,Pt 1540,Pt 2131,Patient visit,4.2,
07/31/2026,2:04 PM,Margaret Cook,Pt 2131,Home,Drive home,7.2,
07/31/2026,8:10 AM,Rebecca Garcia,Home,Pt 2020,Patient visit,16.4,
07/31/2026,9:17 AM,REBECCA GARCIA,Pt 2020,Pt 6194,Patient visit,3.5,
07/31/2026,10:22 AM,Rebecca Garcia,Pt 6194,Home,Drive home,5.0,
07/31/2026,7:50 AM,SARAH FOSTER,Home,Pt 3450,Patient visit,3.7,
07/31/2026,9:03 AM,SARAH FOSTER,Pt 3450,Pt 4350,Patient visit,15.5,
07/31/2026,10:43 AM,Sarah Foster,Pt 4350,Pt 9896,Patient visit,9.8,
07/31/2026,12:08 PM,Sarah Foster,Pt 9896,Home,Drive home,6.8,
07/31/2026,8:05 AM,SARAH TORRES,Home,Pt 8253,Patient visit,11.8,
07/31/2026,9:05 AM,Sarah Torres,Pt 8253,Pt 9541,Patient visit,4.3,
07/31/2026,9:48 AM,SARAH TORRES,Pt 9541,Home,Drive home,10.6,
08/02/2026,10:30 AM,DEBORAH OKAFOR,Home,Dentist,Personal,7.7,
08/02/2026,11:46 AM,Deborah Okafor,Dentist,Home,Personal,7.8,
08/03/2026,8:01 AM,Deborah Okafor,Home,Pt 5769,Patient visit,9.6,
08/03/2026,9:14 AM,Deborah Okafor,Pt 5769,Pt 9594,Patient visit,5.8,
08/03/2026,10:29 AM,DEBORAH OKAFOR,Pt 9594,Pt 9016,Patient visit,13.2,
08/03/2026,11:33 AM,DEBORAH OKAFOR,Pt 9016,Pt 2031,Patient visit,15.3,
08/03/2026,1:04 PM,Deborah Okafor,Pt 2031,Pt 2131,Patient visit,14.2,
08/03/2026,2:19 PM,Deborah Okafor,Pt 2131,Home,Drive home,17.3,
08/03/2026,4:03 PM,Deborah Okafor,Home,Target,Personal,7.8,
08/03/2026,4:58 PM,DEBORAH OKAFOR,Target,Home,Personal,7.8,
08/03/2026,8:07 AM,Gary Phillips,Home,Office,Team meeting,12.2,
08/03/2026,9:08 AM,Gary Phillips,Office,Pt 8290,Patient visit,5.3,
08/03/2026,9:54 AM,Gary Phillips,Pt 8290,Pt 5260,Patient visit,4.7,
08/03/2026,11:03 AM,Gary Phillips,Pt 5260,Pt 2494,Patient visit,5.7,
08/03/2026,12:02 PM,Gary Phillips,Pt 2494,Pt 1230,Patient visit,11.8,
08/03/2026,1:05 PM,Gary Phillips,Pt 1230,Pt 4329,Patient visit,13.6,
08/03/2026,2:33 PM,Gary Phillips,Pt 4329,Home,Drive home,21.1,
08/03/2026,8:28 AM,Joshua Morris,Home,Pt 4909,Patient visit,14.5,
08/03/2026,10:05 AM,Joshua Morris,Pt 4909,Pt 5769,Patient visit,10.2,
08/03/2026,11:05 AM,Joshua Morris,Pt 5769,Home,Drive home,20.4,
08/03/2026,8:09 AM,Kimberly Rogers,Home,Pt 9896,Patient visit,18.5,
08/03/2026,9:24 AM,Kimberly Rogers,Pt 9896,Pt 5260,Patient visit,6.7,
08/03/2026,10:22 AM,Kimberly Rogers,Pt 5260,Pt 2494,Patient visit,2.9,
08/03/2026,11:24 AM,Kimberly Rogers,Pt 2494,Medline supply depot,Supply pickup,6.4,Yes
08/03/2026,12:37 PM,Kimberly Rogers,Pt 2494,Home,Drive home,13.5,
08/03/2026,7:32 AM,Margaret Cook,Home,Pt 9086,Patient visit,9.7,
08/03/2026,8:45 AM,Margaret Cook,Pt 9086,Pt 1540,Patient visit,11.8,
08/03/2026,9:51 AM,Margaret Cook,Pt 1540,Pt 9322,Patient visit,15.4,
08/03/2026,11:28 AM,MARGARET COOK,Pt 9322,Office,Charting / drop paperwork,10.8,
08/03/2026,12:32 PM,Margaret Cook,Office,Home,Drive home,13.2,
08/03/2026,8:10 AM,SARAH FOSTER,Home,Pt 7306,Patient visit,21.8,
08/03/2026,9:28 AM,Sarah Foster,Pt 7306,Pt 2471,Patient visit,10.5,
08/03/2026,10:27 AM,Sarah Foster,Pt 2471,Home,Drive home,19.0,
08/03/2026,8:30 AM,Sarah Torres,Home,Pt 6451,Patient visit,14.6,
08/03/2026,9:40 AM,Sarah Torres,Pt 6451,Pt 4329,Patient visit,15.5,
08/03/2026,10:47 AM,Sarah Torres,Pt 4329,Pt 9541,Patient visit,3.5,
08/03/2026,11:31 AM,Sarah Torres,Pt 9541,Pt 2471,Patient visit,2.1,
08/03/2026,12:35 PM,Sarah Torres,Pt 2471,Quest lab - Elm Dr,Supply pickup,5.3,Yes
08/03/2026,2:05 PM,Sarah Torres,Pt 2471,Pt 2494,Patient visit,2.9,
08/03/2026,3:03 PM,Sarah Torres,Pt 2494,Home,Drive home,5.3,
08/04/2026,7:43 AM,Deborah Okafor,Home,Office,Team meeting,12.4,
08/04/2026,8:48 AM,Deborah Okafor,Office,Pt 9594,Patient visit,12.1,
08/04/2026,10:17 AM,Deborah Okafor,Pt 9594,Pt 4966,Patient visit,1.8,
08/04/2026,11:21 AM,Deborah Okafor,Pt 4966,Pt 9086,Patient visit,15.3,
08/04/2026,12:31 PM,Deborah Okafor,Pt 9086,Pt 2031,Patient visit,4.3,
08/04/2026,1:15 PM,Deborah Okafor,Pt 2031,Pt 4996,Patient visit,6.6,
08/04/2026,2:20 PM,Deborah Okafor,Pt 4996,Home,Drive home,6.0,
08/04/2026,3:35 PM,Deborah Okafor,Home,Planet Fitness,Personal,5.0,
08/04/2026,4:27 PM,DEBORAH OKAFOR,Planet Fitness,Home,Personal,5.0,
08/04/2026,7:28 AM,Gary Phillips,Home,Pt 2494,Patient visit,15.5,
08/04/2026,8:39 AM,Gary Phillips,Pt 2494,Pt 2031,Patient visit,9.7,
08/04/2026,10:04 AM,Gary Phillips,Pt 2031,Home,Drive home,12.7,
08/04/2026,7:24 AM,Joshua Morris,Home,Pt 2786,Patient visit,4.8,
08/04/2026,8:32 AM,Joshua Morris,Pt 2786,Quest lab - Elm Dr,Supply pickup,4.4,Yes
08/04/2026,9:40 AM,Joshua Morris,Pt 2786,Pt 5938,Patient visit,7.4,
08/04/2026,10:33 AM,Joshua Morris,Pt 5938,Pt 3334,Patient visit,5.4,
08/04/2026,11:51 AM,Joshua Morris,Pt 3334,Pt 5712,Patient visit,12.0,
08/04/2026,1:07 PM,JOSHUA MORRIS,Pt 5712,Pt 8253,Patient visit,14.8,
08/04/2026,2:30 PM,Joshua Morris,Pt 8253,Home,Drive home,11.0,
08/04/2026,7:46 AM,Rebecca Garcia,Home,Pt 7410,Patient visit,13.7,
08/04/2026,8:59 AM,REBECCA GARCIA,Pt 7410,Pt 2501,Patient visit,10.2,
08/04/2026,10:22 AM,REBECCA GARCIA,Pt 2501,Walgreens #3310,Supply pickup,4.1,Yes
08/04/2026,11:45 AM,REBECCA GARCIA,Pt 2501,Pt 2031,Patient visit,11.6,
08/04/2026,1:07 PM,Rebecca Garcia,Pt 2031,Pt 8113,Patient visit,6.1,
08/04/2026,2:21 PM,REBECCA GARCIA,Pt 8113,Home,Drive home,13.1,
08/04/2026,8:12 AM,Sarah Foster,Home,Pt 8807,Patient visit,7.1,
08/04/2026,9:25 AM,Sarah Foster,Pt 8807,Pt 6458,Patient visit,5.7,
08/04/2026,10:12 AM,Sarah Foster,Pt 6458,Pt 4996,Patient visit,3.8,
08/04/2026,11:17 AM,Sarah Foster,Pt 4996,Pt 3450,Patient visit,5.3,
08/04/2026,12:20 PM,Sarah Foster,Pt 3450,Home,Drive home,6.8,
08/04/2026,7:51 AM,SARAH TORRES,Home,Pt 3450,Patient visit,16.2,
08/04/2026,9:00 AM,Sarah Torres,Pt 3450,Pt 8253,Patient visit,6.9,
08/04/2026,10:14 AM,Sarah Torres,Pt 8253,Home,Drive home,16.1,
08/05/2026,7:25 AM,Deborah Okafor,Home,Office,Team meeting,12.4,
08/05/2026,8:55 AM,DEBORAH OKAFOR,Office,Pt 9969,Patient visit,5.1,
08/05/2026,10:09 AM,DEBORAH OKAFOR,Pt 9969,Pt 2131,Patient visit,8.4,
08/05/2026,11:27 AM,DEBORAH OKAFOR,Pt 2131,Pt 3450,Patient visit,16.0,
08/05/2026,12:57 PM,Deborah Okafor,Pt 3450,Pt 2031,Patient visit,9.8,
08/05/2026,2:25 PM,Deborah Okafor,Pt 2031,Home,Drive home,12.3,
08/05/2026,7:34 AM,Gary Phillips,Home,Pt 5756,Patient visit,9.1,
08/05/2026,8:55 AM,Gary Phillips,Pt 5756,Pt 5267,Patient visit,2.5,
08/05/2026,9:52 AM,Gary Phillips,Pt 5267,Pt 9086,Patient visit,14.9,
08/05/2026,11:10 AM,Gary Phillips,Pt 9086,Pt 4012,Patient visit,11.2,
08/05/2026,12:31 PM,Gary Phillips,Pt 4012,Home,Drive home,6.9,
08/05/2026,8:25 AM,Joshua Morris,Home,Pt 5938,Patient visit,11.8,
08/05/2026,9:23 AM,Joshua Morris,Pt 5938,Pt 1633,Patient visit,7.7,
08/05/2026,10:28 AM,Joshua Morris,Pt 1633,Pt 5769,Patient visit,14.6,
08/05/2026,11:36 AM,Joshua Morris,Pt 5769,Pt 7306,Patient visit,2.7,
08/05/2026,12:46 PM,Joshua Morris,Pt 7306,Pt 2786,Patient visit,11.6,
08/05/2026,1:51 PM,Joshua Morris,Pt 2786,Home,Drive home,12.3,
08/05/2026,7:35 AM,Kimberly Rogers,Home,Pt 2786,Patient visit,3.7,
08/05/2026,8:18 AM,Kimberly Rogers,Pt 2786,Walgreens #3310,Supply pickup,3.7,Yes
08/05/2026,9:39 AM,Kimberly Rogers,Pt 2786,Pt 2314,Patient visit,13.4,
08/05/2026,10:41 AM,Kimberly Rogers,Pt 2314,Pt 9965,Patient visit,8.5,
08/05/2026,11:44 AM,Kimberly Rogers,Pt 9965,Pt 5756,Patient visit,6.6,
08/05/2026,12:57 PM,Kimberly Rogers,Pt 5756,Home,Drive home,12.9,
08/05/2026,7:53 AM,MARGARET COOK,Home,Pt 1540,Patient visit,17.6,
08/05/2026,9:08 AM,MARGARET COOK,Pt 1540,Pt 9016,Patient visit,15.2,
08/05/2026,10:32 AM,Margaret Cook,Pt 9016,Quest lab - Elm Dr,Supply pickup,9.7,Yes
08/05/2026,12:17 PM,MARGARET COOK,Pt 9016,Home,Drive home,4.2,
08/05/2026,7:43 AM,REBECCA GARCIA,Home,Pt 9969,Patient visit,3.2,
08/05/2026,8:47 AM,Rebecca Garcia,Pt 9969,Pt 2501,Patient visit,11.7,
08/05/2026,9:48 AM,Rebecca Garcia,Pt 2501,Pt 6194,Patient visit,2.6,
08/05/2026,10:39 AM,Rebecca Garcia,Pt 6194,Office,Charting / drop paperwork,5.4,
08/05/2026,11:38 AM,Rebecca Garcia,Office,Home,Drive home,18.2,
08/05/2026,7:28 AM,SARAH FOSTER,Home,Pt 2020,Patient visit,12.4,
08/05/2026,8:53 AM,Sarah Foster,Pt 2020,Pt 8807,Patient visit,11.2,
08/05/2026,10:02 AM,Sarah Foster,Pt 8807,Office,Charting / drop paperwork,6.8,
08/05/2026,11:13 AM,Sarah Foster,Office,Walgreens #3310,Supply pickup,7.1,Yes
08/05/2026,12:42 PM,SARAH FOSTER,Office,Home,Drive home,5.7,
08/05/2026,7:24 AM,Sarah Torres,Home,Pt 9016,Patient visit,21.6,
08/05/2026,8:54 AM,Sarah Torres,Pt 9016,Pt 6243,Patient visit,6.5,
08/05/2026,9:49 AM,SARAH TORRES,Pt 6243,Home,Drive home,17.5,
08/06/2026,8:06 AM,DEBORAH OKAFOR,Home,Pt 2031,Patient visit,12.4,
08/06/2026,9:30 AM,DEBORAH OKAFOR,Pt 2031,Pt 2131,Patient visit,4.1,
08/06/2026,10:48 AM,DEBORAH OKAFOR,Pt 2131,Pt 5769,Patient visit,10.4,
08/06/2026,11:51 AM,Deborah Okafor,Pt 5769,Pt 3450,Patient visit,2.7,
08/06/2026,12:49 PM,Deborah Okafor,Pt 3450,Home,Drive home,4.0,
08/06/2026,1:39 PM,Deborah Okafor,Home,Costco,Personal,5.2,
08/06/2026,2:54 PM,Deborah Okafor,Costco,Home,Personal,5.2,
08/06/2026,8:09 AM,Gary Phillips,Home,Office,Team meeting,12.2,
08/06/2026,9:09 AM,Gary Phillips,Office,Pt 6180,Patient visit,6.5,
08/06/2026,10:04 AM,Gary Phillips,Pt 6180,Pt 9989,Patient visit,14.2,
08/06/2026,11:34 AM,Gary Phillips,Pt 9989,Pt 5756,Patient visit,3.4,
08/06/2026,12:23 PM,Gary Phillips,Pt 5756,Pt 5267,Patient visit,15.2,
08/06/2026,1:37 PM,GARY PHILLIPS,Pt 5267,Home,Drive home,15.2,
08/06/2026,7:54 AM,Joshua Morris,Home,Pt 3334,Patient visit,4.0,
08/06/2026,9:08 AM,JOSHUA MORRIS,Pt 3334,Pt 9989,Patient visit,10.9,
08/06/2026,10:34 AM,Joshua Morris,Pt 9989,Pt 2528,Patient visit,2.8,
08/06/2026,11:40 AM,JOSHUA MORRIS,Pt 2528,Home,Drive home,12.3,
