Juniper Hollow Event Rentals - payments and vendor refunds
01/01/2025 to 12/31/2025
Date,Payee,Memo,Method,Type,Amount
06/30/2025,Dana Whitfield,refund - overpaid,Venmo Business refund,Vendor refund,($73.10)
07/02/2025,Bello Event Design,event services,Visa x4417,Payment,$740.74
07/02/2025,Cascade Staging Partners,deposit,Wire out,Payment,"$1,978.84"
07/02/2025,Google Workspace,monthly,Amex x1008,Payment,"$1,369.55"
07/07/2025,Riverbank Sound,rental support,ACH,Payment,"$2,325.67"
07/10/2025,Hollis Tent Repair,repairs,ACH,Payment,"$1,119.14"
07/12/2025,Summit Forklift Rental,invoice,Amex x1008,Payment,$828.80
07/14/2025,Petal & Stem Florals,event services,Amex x1008,Payment,"$1,571.37"
07/16/2025,Mensah Mobile Welding,setup/teardown,Zelle,Payment,"$1,920.85"
07/18/2025,Dana Whitfield,crew labor,ACH,Payment,"$1,032.83"
07/19/2025,Cascade Staging Partners,balance due,Wire out,Payment,"$1,538.13"
07/19/2025,Vega Frames Photography,rental support,Zelle,Payment,$383.42
07/20/2025,Home Depot,monthly,Amex x1008,Payment,$193.50
07/20/2025,Ridgeway Party Supply,setup/teardown,ACH,Payment,"$1,620.63"
07/20/2025,Tomasz Kowalczyk,setup/teardown,Zelle,Payment,"$2,307.80"
07/23/2025,Riverbank Sound,event services,ACH,Payment,"$1,514.68"
07/25/2025,Ortiz Lighting & Rigging,event services,Check #2742,Payment,"$1,235.84"
07/27/2025,Bayview Generator Svc,deposit,Check #2794,Payment,"$2,370.74"
07/29/2025,Hollis Tent Repair,deposit,ACH,Payment,$509.45
08/01/2025,Summit Forklift Rental,deposit,ACH,Payment,"$1,359.65"
08/03/2025,Ridgeway Party Supply,event services,Amex x1008,Payment,"$1,041.40"
08/03/2025,Summit Forklift Rental,repairs,Amex x1008,Payment,"$1,583.29"
08/05/2025,Riverbank Sound,crew labor,ACH,Payment,$826.15
08/06/2025,Tallyrun Payroll,monthly,ACH,Payment,"$2,105.30"
08/07/2025,Bello Event Design,event services,Check #2186,Payment,"$2,159.89"
08/09/2025,Home Depot,monthly,Visa x4417,Payment,"$2,599.29"
08/14/2025,Hollis Tent Repair,refund overbilled repair,Deposit - vendor refund check,Vendor refund,($699.27)
08/21/2025,Northbeat DJ Services,balance due,Zelle,Payment,"$1,466.92"
08/22/2025,Ortiz Lighting & Rigging,setup/teardown,Check #2218,Payment,$789.86
08/25/2025,Oak & Ember Catering,deposit,Check #2755,Payment,"$1,761.43"
08/27/2025,Tanaka Valet,crew labor,Zelle,Payment,"$1,176.98"
08/31/2025,Harborside Linen,invoice,ACH,Payment,$757.50
08/31/2025,Mensah Mobile Welding,event services,Zelle,Payment,"$1,748.15"
09/01/2025,Graystone Portable Toilets,invoice,Check #2193,Payment,$831.15
09/01/2025,Tanaka Valet,event services,PayPal,Payment,"$1,747.97"
09/06/2025,Cascade Staging Partners,deposit,ACH,Payment,"$2,270.93"
09/06/2025,Dana Whitfield,deposit,Venmo Business,Payment,"$2,013.05"
09/06/2025,Petal & Stem Florals,balance due,Amex x1008,Payment,$400.67
09/06/2025,Ridgeway Party Supply,rental support,Amex x1008,Payment,$479.34
09/09/2025,Bayview Generator Svc,crew labor,ACH,Payment,"$1,170.93"
09/10/2025,Hollis Tent Repair,repairs,Check #2698,Payment,"$1,175.77"
09/11/2025,Tomasz Kowalczyk,event services,Zelle,Payment,"$1,031.18"
09/14/2025,Petal & Stem Florals,deposit,PayPal,Payment,$437.54
09/19/2025,Dana Whitfield,setup/teardown,Venmo Business,Payment,$583.97
09/26/2025,Tomasz Kowalczyk,repairs,Check #2782,Payment,"$2,180.38"
09/27/2025,Oak & Ember Catering,event services,Check #2846,Payment,$578.68
09/27/2025,Tanaka Valet,invoice,Zelle,Payment,$935.66
09/28/2025,Home Depot,monthly,Amex x1008,Payment,"$1,072.98"
09/30/2025,Graystone Portable Toilets,deposit,Check #2159,Payment,"$1,594.24"
10/01/2025,Mensah Mobile Welding,crew labor,Amex x1008,Payment,"$1,301.10"
10/02/2025,Mensah Mobile Welding,refund - job cancelled,Amex x1008 credit,Vendor refund,($608.24)
10/03/2025,Tentline Crew LLC,event services,Visa x4417,Payment,"$1,587.94"
10/05/2025,Oak & Ember Catering,invoice,Visa x4417,Payment,"$1,006.84"
10/10/2025,Oak & Ember Catering,setup/teardown,Check #2232,Payment,"$1,056.44"
10/10/2025,Vega Frames Photography,rental support,Amex x1008,Payment,"$1,748.57"
10/12/2025,Marisol Vega,setup/teardown,Zelle,Payment,$422.11
10/15/2025,Graystone Portable Toilets,invoice,ACH,Payment,$794.87
10/27/2025,Google Workspace,monthly,Amex x1008,Payment,"$1,503.81"
10/27/2025,Tanaka Valet,deposit,PayPal,Payment,"$1,064.51"
11/01/2025,Ridgeway Party Supply,invoice,Amex x1008,Payment,"$1,674.96"
11/05/2025,Dana Whitfield,deposit,ACH,Payment,"$1,368.62"
11/07/2025,Cascade Staging Partners,event services,Wire out,Payment,"$1,271.86"
11/07/2025,Marisol Vega,setup/teardown,Amex x1008,Payment,$631.11
11/10/2025,Ortiz Lighting & Rigging,repairs,Check #2764,Payment,$602.82
11/11/2025,Tomasz Kowalczyk,balance due,Check #2817,Payment,"$2,136.43"
11/12/2025,Northbeat DJ Services,event services,Zelle,Payment,$362.87
11/16/2025,Harbor Trust Equipment Loan,monthly,ACH,Payment,$101.63
11/20/2025,Mensah Mobile Welding,refund - unused welding rod,Zelle received,Vendor refund,($137.50)
11/20/2025,Tomasz Kowalczyk,deposit,Zelle,Payment,$387.52
11/21/2025,Tanaka Valet,invoice,Check #2408,Payment,$842.80
11/22/2025,Google Workspace,monthly,Amex x1008,Payment,"$2,257.06"
11/23/2025,Bayview Generator Svc,event services,ACH,Payment,$597.36
11/25/2025,Ridgeway Party Supply,balance due,ACH,Payment,$711.50
11/25/2025,Tanaka Valet,event services,PayPal,Payment,"$1,206.61"
11/30/2025,Harborside Linen,setup/teardown,ACH,Payment,$670.24
12/01/2025,Cascade Staging Partners,rental support,Wire out,Payment,"$1,734.18"
12/02/2025,Ortiz Lighting & Rigging,rental support,Check #2760,Payment,"$1,630.92"
12/02/2025,Pacific Gas & Power,monthly,ACH,Payment,"$3,070.69"
12/05/2025,Vega Frames Photography,balance due,Check #2366,Payment,$253.20
12/13/2025,Ridgeway Party Supply,deposit,Amex x1008,Payment,"$1,756.98"
12/13/2025,Summit Forklift Rental,repairs,ACH,Payment,"$2,114.28"
12/18/2025,Tomasz Kowalczyk,setup/teardown,Check #2830,Payment,"$1,624.05"
12/20/2025,Harbor Trust Equipment Loan,monthly,ACH,Payment,"$3,042.35"
12/20/2025,Petal & Stem Florals,invoice,Amex x1008,Payment,$850.22
12/22/2025,Ridgeway Party Supply,crew labor,Amex x1008,Payment,$520.58
12/24/2025,Pacific Gas & Power,monthly,ACH,Payment,"$1,649.87"
12/26/2025,Ridgeway Party Supply,rental support,ACH,Payment,"$1,499.96"
12/27/2025,Harborside Linen,deposit,ACH,Payment,"$1,504.20"
12/28/2025,Ridgeway Party Supply,deposit,ACH,Payment,"$1,073.03"
12/29/2025,Google Workspace,monthly,Amex x1008,Payment,"$1,569.28"
12/29/2025,Google Workspace,monthly,Amex x1008,Payment,"$2,792.10"
