Donor ID,First Name,Last Name,Email,Phone,Street,City,State,ZIP,Donor Since,Preferred Contact
D-00145,Chloe,Jones,chloejones11@comcast.net,(207) 555-2879,1213 Highland Court,South Portland,ME,04106,"October 01, 2018",Mail
D-00015,Carlos,Walker,walker.carlos@outlook.com,2075556207,1172 Danforth Street,Portland,ME,04103,27-Feb-2019,Email
D-00040,Laura,Phillips,lphillips@gmail.com,(207) 555-4678,121 Chestnut Street,Falmouth,ME,04105,11-Oct-2012,Mail
D-00175,Yuki,Ross,yukiross20@outlook.com,(207) 555-2434,1183 Vaughan Avenue,South Portland,ME,04106,08/13/2014,Email
D-00139,Kenneth,Miller,kenneth.miller@gmail.com,2075555098,212 Chestnut Avenue,Cape Elizabeth,ME,04107,09/25/18,Email
D-00103,Joseph,Campbell,josephcampbell45@gmail.com,(207) 555-8034,1260 Grant Lane Apt 4,Scarborough,ME,04074,2017-01-29,Email
D-00165,Patricia,Thompson,thompson.patricia@yahoo.com,2075559341,602 Ludlow Street,Westbrook,ME,04092,"December 03, 2024",Phone
D-00114,Mateo,Hill,mateo.hill@comcast.net,2075552484,786 Bramhall Road,Westbrook,ME,04092,2017-03-02,Mail
D-00180,Emily,Garcia,EGARCIA@OUTLOOK.COM,2075553333,445 Stevens Ct Apt 3B,Falmouth,ME,04105,05/20/26,Email
D-00021,Betty,Collins,bcollins@yahoo.com,(207) 555-4316,1426 Birch Avenue,Portland,ME,04101,"July 08, 2025",Mail
D-00155,Anthony,Bailey,bailey.anthony@yahoo.com,(207) 555-1101,1311  SUMMIT LN.,Scarborough,ME,04074,2015-04-23,Mail
D-00080,Donald,Rodriguez,donaldrodriguez71@icloud.com,2075556173,1167 Vaughan Court,Scarborough,ME,04074,2012-08-09,Mail
D-00116,Rahul,Williams,williams.rahul@outlook.com,2075556777,1080 Mackworth Lane,Portland,ME,04103,07/21/16,Email
D-00107,William,Green,william.green@maine.rr.com,(207) 555-3846,1288  Shore Ct.,Scarborough,ME,04074,12/20/24,Email
D-00007,Carlos,Sanchez,csanchez@yahoo.com,(207) 555-8516,911 Shore Lane,South Portland,ME,04106,04-Nov-2022,Phone
D-00137,Dana,Johnson,danajohnson32@icloud.com,(207) 555-5895,312 Chestnut Drive,Portland,ME,04101,2012-03-03,Email
D-00129,Hiroshi,Hernandez,hhernandez@yahoo.com,(207) 555-1303,446 Bramhall Lane,Portland,ME,04102,"November 16, 2022",Email
D-00068,Hiroshi,Wilson,hiroshi.wilson@comcast.net,2075558325,930 Chestnut Avenue,Scarborough,ME,04074,12/11/23,Phone
D-00073,Thomas,Jones,thomas.jones@maine.rr.com,2075552009,175 Mackworth Lane,South Portland,ME,04106,2020-07-22,Phone
D-00028,Wei,Jones,wjones@outlook.com,2075559920,,,,,05-Oct-2017,Phone
D-00177,Carlos,Sanchez,Csanchez@yahoo.com,2075558516,911 Shore Ln.,South Portland,ME,04106,11-Jun-2026,Email
D-00049,Sharon,Diaz,diaz.sharon@icloud.com,(207) 555-3829,971 Shore Drive,Falmouth,ME,04105,"November 08, 2012",Email
D-00059,Edward,Ruiz,ruiz.edward@gmail.com,2075558617,314 Birch Avenue Apt 2,South Portland,ME,04106,12/28/2017,Email
D-00168,James,Carter,carter.james@comcast.net,(207) 555-8543,97 Congress Lane,Portland,ME,04102,2022-04-21,Phone
D-00115,Nancy,Mensah,nancy.mensah@comcast.net,2075559576,408 Ocean Avenue,Scarborough,ME,04074,2014-08-21,Phone
D-00076,Donald,Edwards,donald.edwards@gmail.com,(207) 555-1363,1233 Baxter Court,Cape Elizabeth,ME,04107,01/01/2023,Mail
D-00167,James,Cox,jamescox27@icloud.com,(207) 555-6339,1279 Deering Lane,Cape Elizabeth,ME,04107,"December 20, 2021",Email
D-00045,Christopher,Howard,howard.christopher@yahoo.com,2075552290,510 Washington Road,Cape Elizabeth,ME,04107,"June 05, 2017",Email
D-00102,Ronald,Johnson,rjohnson@maine.rr.com,2075555293,1053 Baxter Drive,Portland,ME,04101,"January 06, 2018",Email
D-00112,Amanda,Lopez,alopez@gmail.com,(207) 555-9396,1385 Cumberland Road,Portland,ME,04103,11-Jun-2014,Phone
D-00171,Jennifer,Garcia,jennifergarcia26@comcast.net,(207) 555-9509,1260 Grant Lane Apt 7,Scarborough,ME,04074,2023-07-26,Email
D-00075,Anthony,Torres,torres.anthony@gmail.com,(207) 555-8118,166 Allen Court,Westbrook,ME,04092,06-Nov-2021,Email
D-00061,Jacob,Anderson,jacob.anderson@gmail.com,(207) 555-7248,887 Stevens Road Apt 1,South Portland,ME,04106,2014-08-04,Email
D-00170,Nancy,Morgan,nancy.morgan@gmail.com,(207) 555-9151,314 Birch Avenue Apt 5,South Portland,ME,04106,2024-05-09,Mail
D-00072,Carol,Rogers,carol.rogers@gmail.com,(207) 555-6275,,,,,"February 13, 2020",Mail
D-00056,Ronald,Richardson,ronald.richardson@gmail.com,2075554127,212 Chestnut Drive,Cape Elizabeth,ME,04107,"December 14, 2017",Email
D-00037,Aisha,Bennett,bennett.aisha@icloud.com,2075558515,386 Bramhall Court,Portland,ME,04103,2025-09-03,Email
D-00101,Jeffrey,Gonzalez,jeffrey.gonzalez@comcast.net,2075555181,1057 Spring Drive,Portland,ME,04102,2019-09-24,Mail
D-00162,Betty,Rivera,betty.rivera@outlook.com,2075556167,427 Allen Court,Falmouth,ME,04105,2021-06-05,Email
D-00105,Jonathan,Rivera,jonathanrivera80@icloud.com,(207) 555-3856,445 Allen Lane,Portland,ME,04103,27-Apr-2014,Phone
D-00002,Paul,Collins,collins.paul@yahoo.com,2075554827,1443 Spring Court,Portland,ME,04101,30-Mar-2013,Mail
D-00087,Christopher,Kelly,kelly.christopher@icloud.com,(207) 555-3220,40 Clifford Lane,Portland,ME,04102,01/02/2020,Phone
D-00043,Sofia,Gutierrez,gutierrez.sofia@yahoo.com,2075552101,415 Maple Lane,Cape Elizabeth,ME,04107,06/04/2017,Mail
D-00005,Kenneth,Carter,kenneth.carter@yahoo.com,(207) 555-7618,580 Danforth Street,South Portland,ME,04106,"January 15, 2017",Email
D-00003,Carol,Rivera,rivera.carol@gmail.com,2075552062,1084 Deering Lane Unit 4,Portland,ME,04101,"September 12, 2013",Phone
D-00111,Stephanie,Phillips,phillips.stephanie@maine.rr.com,(207) 555-2198,699 Danforth Court,Cape Elizabeth,ME,04107,02/13/12,Phone
D-00069,Kwame,Turner,kwameturner52@maine.rr.com,(207) 555-7033,1093 Shore Court,South Portland,ME,04106,"October 22, 2015",Phone
D-00179,Fatima,Bailey,FATIMA.BAILEY@MAINE.RR.COM,2075557242,1318 MAPLE DR APT 1,Falmouth,ME,04105,10-Apr-2026,Email
D-00147,Kevin,Bailey,kbailey@icloud.com,(207) 555-3821,1311 Summit Lane,Scarborough,ME,04074,"March 24, 2019",Email
D-00095,Rebecca,Chavez,chavez.rebecca@comcast.net,(207) 555-8989,984 Highland Lane,Scarborough,ME,04074,02-Jun-2014,Email
D-00138,Eric,Lopez,lopez.eric@comcast.net,(207) 555-2256,557 Pleasant Road,South Portland,ME,04106,04/22/22,Phone
D-00030,Kenneth,Baker,kennethbaker58@icloud.com,(207) 555-6971,1186 Baxter St,Portland,ME,04102,27-Jul-2024,Phone
D-00029,Chloe,Hernandez,chloe.hernandez@comcast.net,2075559783,593 Baxter Road,Westbrook,ME,04092,2017-03-06,Phone
D-00141,Paul,Nguyen,paulnguyen27@comcast.net,2075558839,981 Congress Avenue,Portland,ME,04102,04/04/2013,Phone
D-00130,James,Roberts,roberts.james@icloud.com,(207) 555-8559,874 ELM LN,Portland,ME,04102,11/13/2012,Phone
D-00154,Luis,Myers,luismyers42@icloud.com,(207) 555-7440,82 Cumberland Lane,Portland,ME,04102,2013-11-25,Mail
D-00070,Gary,Okafor,garyokafor58@maine.rr.com,(207) 555-9941,968 Spring Court,Westbrook,ME,04092,09-Apr-2025,Email
D-00181,Linda,Flores,Flores.linda@icloud.com,2075554851,768 GRANT AVE,Portland,ME,04103,02/18/2026,Email
D-00122,Christopher,Cruz,cruz.christopher@yahoo.com,2075558389,787 Ludlow Court,Cape Elizabeth,ME,04107,2015-10-21,Email
D-00094,Kenneth,Walker,kwalker@outlook.com,(207) 555-3413,918 Ocean Street,Westbrook,ME,04092,"July 26, 2018",Mail
D-00127,Fatima,Kelly,fatima.kelly@yahoo.com,(207) 555-3542,1443 Spring Ct.,Portland,ME,04101,"September 11, 2018",Email
D-00054,Priya,Allen,pallen@comcast.net,2075556500,1084 Bramhall Court,Westbrook,ME,04092,08/10/2018,Email
D-00082,Tomasz,Diaz,tomasz.diaz@comcast.net,(207) 555-9259,787 Elm Road,Portland,ME,04103,05/11/2020,Email
D-00031,Joseph,Johnson,joseph.johnson@icloud.com,(207) 555-6253,370 Highland Avenue Apt 3B,Scarborough,ME,04074,2023-06-02,Mail
D-00131,Mary,Morris,mmorris@gmail.com,(207) 555-2565,311 Pleasant Court,Scarborough,ME,04074,2018-02-20,Email
D-00039,Jonathan,Garcia,jonathangarcia22@maine.rr.com,(207) 555-2961,1213 Pine Street,Falmouth,ME,04105,2024-03-13,Phone
D-00125,Fatima,Bailey,fatima.bailey@maine.rr.com,2075557242,1318 Maple Drive Apt 1,Falmouth,ME,04105,12/10/2019,Email
D-00016,Angela,Brown,angela.brown@yahoo.com,2075554016,610 Summit Drive,Scarborough,ME,04074,2024-06-12,Phone
D-00027,Jonathan,Baker,jonathanbaker85@gmail.com,(207) 555-9516,1186 Baxter Street,Portland,ME,04102,07/26/18,Mail
D-00008,Marcus,Roberts,roberts.marcus@icloud.com,(207) 555-6600,874 Elm Lane,Portland,ME,04102,2013-07-03,Email
D-00066,Shirley,Gonzalez,gonzalez.shirley@gmail.com,2075553814,1067 Danforth Court,Portland,ME,04103,2013-11-29,Email
D-00089,Mary,Martinez,martinez.mary@maine.rr.com,(207) 555-8350,99 Birch Road,Cape Elizabeth,ME,04107,06/08/2020,Email
D-00140,Jacob,Hughes,jacob.hughes@comcast.net,2075555257,654 Danforth Drive,Portland,ME,04103,01/10/20,Mail
D-00058,Cynthia,Phillips,cynthiaphillips55@maine.rr.com,2075551472,1289 Baxter Drive,Scarborough,ME,04074,01/20/22,Email
D-00082,Tomasz,Diaz,tomasz.diaz@comcast.net,(207) 555-9259,787 Elm Road,Portland,ME,04103,05/11/2020,Email
D-00174,Cynthia,Allen,cynthia.allen@outlook.com,2075554952,,,,,03/06/19,Phone
D-00042,Christopher,Tanaka,christopher.tanaka@yahoo.com,2075553238,1226 Danforth Avenue,Portland,ME,04102,23-Oct-2023,Email
D-00172,Emily,Garcia,egarcia@outlook.com,(207) 555-3333,445 Stevens Court Apt 3B,Falmouth,ME,04105,07/07/23,Email
D-00132,Shirley,Diaz,sdiaz@icloud.com,(207) 555-4683,425 Deering Court,Portland,ME,04101,2017-12-03,Email
D-00126,Amanda,Morales,amanda.morales@outlook.com,2075557757,663 Chestnut Street Apt 1,Scarborough,ME,04074,2013-02-10,Mail
D-00004,Patricia,Wright,wright.patricia@yahoo.com,2075556485,1348 Birch Court,Falmouth,ME,04105,"March 28, 2025",Email
D-00056,Ronald,Richardson,ronald.richardson@gmail.com,2075554127,212 Chestnut Drive,Cape Elizabeth,ME,04107,"December 14, 2017",Email
D-00093,Dana,Young,dyoung@icloud.com,2075552103,389 Elm Drive,Portland,ME,04102,01-Mar-2021,Phone
D-00046,Margaret,Young,margaretyoung77@gmail.com,2075551727,389  Elm Dr.,Portland,ME,04102,2021-07-08,Phone
D-00014,Yuki,Ramirez,ramirez.yuki@yahoo.com,2075556142,1329 Ocean St,Falmouth,ME,04105,11/10/18,Mail
D-00052,Linda,Flores,flores.linda@icloud.com,2075554851,768 Grant Avenue,Portland,ME,04103,04/19/23,Email
D-00081,Dmitri,Collins,dmitri.collins@maine.rr.com,2075555265,445 Veranda Avenue,Westbrook,ME,04092,07/09/18,Mail
D-00146,Leila,Hughes,leila.hughes@gmail.com,2075553969,820 Brackett Rd,Westbrook,ME,04092,03/12/18,Email
D-00120,Kenneth,Tanaka,kenneth.tanaka@yahoo.com,(207) 555-3349,1226  Danforth Ave.,Portland,ME,04102,02/05/2024,Email
D-00083,David,Lopez,lopez.david@gmail.com,(207) 555-2007,688 Forest Lane,Portland,ME,04103,2015-09-09,Email
D-00022,Cynthia,Walker,walker.cynthia@gmail.com,2075553771,1172 DANFORTH ST,Portland,ME,04103,08/11/2021,Email
D-00108,Timothy,Peterson,peterson.timothy@gmail.com,(207) 555-9742,601 Cumberland Drive Apt 1,Falmouth,ME,04105,"February 27, 2023",Phone
D-00084,Hiroshi,Phillips,hiroshiphillips79@yahoo.com,2075559675,1140 Pine Drive,Westbrook,ME,04092,12/10/2024,Mail
D-00019,Jacob,Torres,torres.jacob@icloud.com,(207) 555-2765,282 Danforth Road,Portland,ME,04101,2022-06-19,Phone
D-00071,Carlos,Morales,carlosmorales99@gmail.com,2075559559,725 Chestnut Drive,Portland,ME,04101,2025-02-16,Mail
D-00160,Amy,Wright,wright.amy@comcast.net,2075552122,1143 Woodford Avenue,Scarborough,ME,04074,"May 12, 2015",Mail
D-00117,Matthew,Gutierrez,mgutierrez@gmail.com,2075559841,617 Pleasant Avenue,Falmouth,ME,04105,03/16/2023,Mail
D-00092,Amy,Okafor,amy.okafor@outlook.com,2075556096,1437 Harbor Avenue,Portland,ME,04103,"October 07, 2023",Phone
D-00057,Sandra,Hughes,shughes@maine.rr.com,2075553457,1298 Ocean Court,Scarborough,ME,04074,01/27/24,Email
D-00173,Aisha,Lopez,aisha.lopez@comcast.net,(207) 555-1919,1192 Veranda Street,South Portland,ME,04106,2015-12-30,Phone
D-00078,Sarah,Young,sarah.young@gmail.com,2075551028,455 Bramhall Street Apt 3B,Portland,ME,04101,"April 14, 2019",Email
D-00012,Sharon,Rivera,sharon.rivera@comcast.net,2075553054,326 Birch Drive,South Portland,ME,04106,"March 04, 2018",Phone
D-00159,Linda,Martin,linda.martin@gmail.com,2075553849,841 Grant Dr,South Portland,ME,04106,2021-02-20,Email
D-00032,Kwame,Alvarez,kalvarez@outlook.com,(207) 555-9116,488 Highland Court Apt 2,Falmouth,ME,04105,08/28/2014,Mail
D-00166,Kenneth,Young,kyoung@outlook.com,(207) 555-1544,721 GRANT ST,Portland,ME,04101,03/03/12,Email
D-00062,Dorothy,Green,green.dorothy@gmail.com,(207) 555-4435,968  Spring Ct.,Westbrook,ME,04092,07/18/2013,Phone
D-00005,Kenneth,Carter,kenneth.carter@yahoo.com,(207) 555-7618,580 Danforth Street,South Portland,ME,04106,"January 15, 2017",Email
D-00031,Joseph,Johnson,joseph.johnson@icloud.com,(207) 555-6253,370 Highland Avenue Apt 3B,Scarborough,ME,04074,2023-06-02,Mail
D-00137,Dana,Johnson,danajohnson32@icloud.com,(207) 555-5895,312 Chestnut Drive,Portland,ME,04101,2012-03-03,Email
D-00044,Jennifer,Hill,jhill@yahoo.com,(207) 555-1150,,,,,10/07/2013,Mail
D-00006,Ingrid,Wright,iwright@icloud.com,2075551953,272 Mackworth Drive,South Portland,ME,04106,17-May-2016,Mail
D-00036,Andrew,Lindqvist,lindqvist.andrew@yahoo.com,(207) 555-8445,1249 Maple Drive,Scarborough,ME,04074,07/25/25,Email
D-00034,Dana,Hughes,danahughes90@icloud.com,2075557593,1211 Woodford Road,Portland,ME,04103,2025-04-27,Email
D-00136,William,Davis,williamdavis75@gmail.com,2075559131,559 Congress Avenue,Westbrook,ME,04092,02/24/21,Phone
