First Name,Last Name,Title,Email,Phone,Account,Primary
Marcus,Johnson,COO,marcus.johnson@deltaridgefoods.com,+1 971 555 1119,Delta Ridge Foods,N
Edward,Mitchell,HR Director,edward.mitchell@granitestatetooling.com,(206) 555-3258,Granite State Tooling,Y
Marcus,Martinez,Plant Manager,marcus.martinez@yellowstoneranch.com,+1 360 555 5151,Yellowstone Ranch Supply,N
Joshua,Lewis,Director of Operations,joshua.lewis@stonefieldauto.com,+1 360 555 5849,Stonefield Auto Group,Y
Karen,Myers,Owner,karen.myers@evergreencu.org,1-425-555-2328,Evergreen Credit Union,Y
Fatima,Scott,Office Manager,fatima.scott@junipersoft.io,425.555.4427,Juniper Software,N
Dmitri,King,Controller,DMITRI.KING@ELLERYTEXTILES.COM,+1 206 555 9140,Ellery Textiles,N
Nadia,Perez,COO,,(425) 555-9119,Foxhollow Veterinary Group,N
Yuki,Gomez,Office Manager,yuki.gomez@vantagefleet.com,+1 503 555 6062,Vantage Fleet Solutions,Y
Sarah,Jackson,Office Manager,sarah.jackson@orchardvalleycoop.com,503-555-1480,Orchard Valley Farms Co-op,N
Anthony,Murphy,Managing Partner,anthony.murphy@millbrookortho.com,1-206-555-6986,Millbrook Orthopedics,Y
Ingrid,White,HR Director,ingrid.white@evergreencu.org,425.555.7128,Evergreen Credit Union,N
Kimberly,Harris,Owner,kimberly.harris@northwindenergy.coop,+1 (425) 555-9138,Northwind Energy Cooperative,Y
Cynthia,Martin,CEO,cynthia.martin@goldleaftea.com,+1 206 555 9933,Goldleaf Tea Importers,Y
Daniel,Adams,CFO,daniel.adams@riverlaneliving.com,971.555.5141,Riverlane Apartments,Y
Linda,Brown,Office Manager,linda.brown@kingswaytransit.gov,360.555.6305,Kingsway Transit Authority,Y
Ashley,Cox,Head of Procurement,ashley.cox@yellowstoneranch.com,2065555503,Yellowstone Ranch Supply,Y
Emily,Castillo,Office Manager,,360-555-5573,Ashgrove Manufacturing,N
Mark,Ortiz,HR Director,mark.ortiz@westbridgebank.com,+1 (206) 555-1290,Westbridge Community Bank,Y
James,Harris,Director of IT,james.harris@deltaridgefoods.com,1-206-555-9082,Delta Ridge Foods,Y
Mark,Ruiz,General Manager,mark.ruiz@oaklinefurniture.com,+1 503 555 6065,Oakline Furniture,Y
Steven,Murphy,HR Director,steven.murphy@junipersoft.io,206.555.7175,Juniper Software,N
Linda,Phillips,CFO,linda.phillips@zephyrcoldchain.com,503-555-4115,Zephyr Cold Chain,N
Angela,Morales,Managing Partner,angela.morales@ellerytextiles.com,1-425-555-8390,Ellery Textiles,N
Ashley,Price,Managing Partner,ashley.price@islandviewresorts.com,2065557163,Islandview Resorts,Y
Karen,Anderson,Director of IT,karen.anderson@pilgrimfreight.com,+1 503 555 6773,Pilgrim Freight Lines,N
Chloe,Perez,General Manager,chloe.perez@verityaccounting.com,(971) 555-6676,Verity Accounting Partners,Y
Mateo,Hill,Plant Manager,mateo.hill@yarroworganics.com,3605559694,Yarrow Organics,Y
Mateo,Lewis,VP Operations,mateo.lewis@larkfieldprint.com,1-503-555-5794,Larkfield Printing,N
Stephanie,Cox,Plant Manager,stephanie.cox@kestrelaviation.com,(503) 555-8746,Kestrel Aviation Services,Y
Nancy,Clark,HR Director,nclark@pilgrimfreight.com,360-555-4285,Pilgrim Freight Lines,N
Brian,Torres,Plant Manager,brian.torres@driftwoodstudios.tv,(425) 555-3493,Driftwood Studios,Y
Mark,Harris,HR Director,mark.harris@islandviewresorts.com,1-360-555-1354,Islandview Resorts,N
Brian,Castillo,Owner,brian.castillo@vantagefleet.com,360.555.4918,Vantage Fleet Solutions ,N
George,Walker,VP Finance,george.walker@wolfcreekoutdoor.com,(360) 555-5290,Wolfcreek Outdoor Co.,Y
Carol,Chavez,Managing Partner,carol.chavez@brixtonfasteners.com,(425) 555-1204,Brixton Fasteners,N
John,Moore,COO,john.moore@deltaridgefoods.com,+1 360 555 8838,Delta Ridge Foods,N
Nicholas,Ortiz,Owner,nicholas.ortiz@norwichtool.com,503-555-4437,Norwich Tool & Die,N
Emily,Carter,VP Finance,emily.carter@brightwaterutil.com,971-555-8305,Brightwater Utilities,Y
Edward,Wilson,Director of Operations,edward.wilson@brixtonfasteners.com,(360) 555-5919,Brixton Fasteners,Y
Carlos,Tanaka,General Manager,carlos.tanaka@copperminedata.com,360-555-3345,Coppermine Analytics,N
Ingrid,Harris,Director of Operations,ingrid.harris@larkfieldprint.com,1-503-555-2261,Larkfield Printing,Y
James,Lindqvist,COO,james.lindqvist@lindenwoodal.com,4255553575,Lindenwood Assisted Living,N
Anthony,Osei,CFO,anthony.osei@crestlinecharter.org,+1 (206) 555-1074,Crestline Charter Schools,Y
Jacob,Miller,Director of Operations,jacob.miller@whitlockaero.com,206.555.9253,Whitlock Aerospace Components,N
Sarah,Baker,COO,sarah.baker@cairnhealth.org,1-503-555-6632,Cairn Health Partners,Y
George,Collins,VP Finance,george.collins@parkstoneeng.com,(425) 555-5760,Parkstone Engineering,Y
Kathleen,Stewart,CEO,kathleen.stewart@umbercreative.com,503-555-8230,Umber Creative Agency,Y
William,Nguyen,VP Operations,william.nguyen@northwindenergy.coop,+1 425 555 9778,Northwind Energy Cooperative,N
Christopher,Mensah,VP Finance,christopher.mensah@zephyrcoldchain.com,+1 (425) 555-9985,Zephyr Cold Chain,N
Marcus,Reed,COO,marcus.reed@arborlanekids.com,9715558773,Arbor Lane Childcare,Y
Nadia,Alvarez,CEO,nadia.alvarez@harborviewins.com,(503) 555-8248,Harborview Insurance Group,N
Kathleen,Stewart,COO,KATHLEEN.STEWART@UMBERCREATIVE.COM,+1 (503) 555-8230,Umber Creative Agency,Y
Andrew,Richardson,Director of Operations,andrew.richardson@glenmoortitle.com,4255555581,Glenmoor Title & Escrow,Y
Dana,White,Managing Partner,dana.white@yarroworganics.com,206.555.6206,Yarrow Organics,N
Dana,Flores,Owner,dana.flores@pinecrestschools.org,+1 (360) 555-8267,Pinecrest Schools Trust,Y
Jessica,Howard,Owner,jessica.howard@harborviewins.com,360.555.9208,Harborview Insurance Group,Y
Deborah,Allen,CEO,deborah.allen@thornburychem.com,1-503-555-8945,Thornbury Chemicals,Y
Anna,Baker,CEO,anna.baker@valenciasolar.com,971.555.1419,Valencia Solar,Y
Angela,Okafor,Head of Procurement,ANGELA.OKAFOR@NORWICHTOOL.COM,1-503-555-4870,Norwich Tool & Die,Y
Omar,Torres,Managing Partner,omar.torres@underwoodpaper.com,+1 (503) 555-8527,Underwood Paper Mills,N
Ryan,Reyes,Director of IT,ryan.reyes@lumendental.com,(503) 555-3588,Lumen Dental Group,Y
Melissa,Green,CEO,melissa.green@ironbarkbuild.com,+1 (503) 555-3449,Ironbark Construction,N
Jacob,Ross,COO,jacob.ross@foxhollowvets.com,+1 (206) 555-2790,Foxhollow Veterinary Group,Y
Mateo,Ramos,Managing Partner,mateo.ramos@larkfieldprint.com,971-555-5734,Larkfield Printing,N
John,Nguyen,Owner,john.nguyen@mosaicstaffing.com,1-360-555-2012,Mosaic Staffing,Y
Patricia,Collins,Director of Operations,patricia.collins@brightwaterutil.com,+1 971 555 7846,Brightwater Utilities,N
Carlos,Mensah,Owner,carlos.mensah@zephyrcoldchain.com,1-971-555-6254,Zephyr Cold Chain,Y
Cynthia,Ward,Plant Manager,cynthia.ward@ironbarkbuild.com,9715557887,Ironbark Construction,N
Amy,Diaz,HR Director,amy.diaz@arborlanekids.com,971.555.4327,Arbor Lane Childcare,N
Hiroshi,Long,CEO,hiroshi.long@lindenwoodal.com,425-555-8141,Lindenwood Assisted Living,N
Shirley,Evans,COO,shirley.evans@granitestatetooling.com,+1 206 555 8306,Granite State Tooling,N
David,Hall,Office Manager,david.hall@kettleridgebrew.com,+1 (360) 555-9960,Kettleridge Brewing,N
Stephanie,Stewart,VP Finance,stephanie.stewart@highfieldrobotics.com,971-555-8921,Highfield Robotics,Y
Dana,Ruiz,CEO,dana.ruiz@ellerytextiles.com,+1 206 555 7499,Ellery Textiles,Y
Paul,Rivera,CEO,paul.rivera@orchardvalleycoop.com,+1 (206) 555-6942,Orchard Valley Farms Co-op,Y
Jeffrey,Mitchell,Plant Manager,jeffrey.mitchell@sablepointlh.org,2065552121,Sable Point Lighthouse Foundation,Y
Paul,Cook,CFO,paul.cook@kingswaytransit.gov,(425) 555-1770,Kingsway Transit Authority,N
Marcus,Ruiz,VP Finance,marcus.ruiz@hartwellplastics.com,206.555.2731,Hartwell Plastics,Y
Jennifer,Peterson,VP Operations,jennifer.peterson@alderclinics.com,503-555-4782,Alder Street Clinics,Y
Linda,Allen,Owner,linda.allen@crestlinecharter.org,1-971-555-4140,Crestline Charter Schools,N
Dmitri,King,Plant Manager,dmitri.king@ellerytextiles.com,(206) 555-9140,Ellery Textiles,N
Patricia,Anderson,HR Director,patricia.anderson@silverbrookrx.com,(503) 555-6358,Silverbrook Pharmacy Network,Y
Brian,Lewis,General Manager,brian.lewis@yarroworganics.com,+1 (360) 555-7864,Yarrow Organics,N
Emily,Carter,Plant Manager,EMILY.CARTER@BRIGHTWATERUTIL.COM,971-555-8305,Brightwater Utilities,Y
Mateo,Ortiz,VP Finance,mateo.ortiz@dovetailcabinets.com,971.555.5230,Dovetail Cabinetry,Y
Jonathan,Phillips,VP Operations,jonathan.phillips@clearwaterdialysis.com,(971) 555-9981,Clearwater Dialysis Centers,Y
Jessica,Foster,Owner,jessica.foster@goldleaftea.com,(206) 555-6929,Goldleaf Tea Importers,N
Stephanie,Castillo,Office Manager,stephanie.castillo@marlowfinch.com,206-555-2729,Marlow & Finch LLP,Y
Jacob,Stewart,Director of IT,jacob.stewart@foxhollowvets.com,971-555-8938,Foxhollow Veterinary Group,N
Joshua,King,CEO,joshua.king@redstonepg.com,206-555-7435,Redstone Property Group,Y
Kimberly,Wright,HR Director,kimberly.wright@ironbarkbuild.com,5035558251,Ironbark Construction,Y
Rebecca,Myers,Director of Operations,rebecca.myers@dunmorehotels.com,360-555-5835,Dunmore Hospitality,Y
Anthony,Peterson,CFO,anthony.peterson@underwoodpaper.com,+1 (971) 555-3937,Underwood Paper Mills,N
Jacob,Moore,CEO,jacob.moore@cairnhealth.org,+1 206 555 8407,Cairn Health Partners,N
Amy,Kim,CFO,,+1 (971) 555-9555,Stonefield Auto Group,N
Wei,Diaz,CEO,wei.diaz@bellwetherlogistics.com,971-555-2158,Bellwether Logistics,N
Ingrid,Murphy,Managing Partner,ingrid.murphy@nightingalehc.com,425-555-1171,Nightingale Home Care,N
Susan,Diaz,CFO,susan.diaz@xanderdc.com,+1 971 555 4403,Xander Data Centers,Y
Nancy,Clark,COO,nancy.clark@driftwoodstudios.tv,1-971-555-5377,Driftwood Studios,N
Mateo,Wood,HR Director,mateo.wood@underwoodpaper.com,2065554148,Underwood Paper Mills,Y
Kenneth,Thomas,Owner,,+1 360 555 4043,ASHGROVE MANUFACTURING,N
Andrew,Ramos,HR Director,andrew.ramos@nightingalehc.com,+1 425 555 9827,Nightingale Home Care,Y
Jason,Edwards,CEO,jason.edwards@copperminedata.com,2065557280,Coppermine Analytics,Y
Kimberly,Diaz,CFO,kimberly.diaz@quarterdeckmarine.com,4255554517,Quarterdeck Marine,Y
Anna,Jackson,VP Operations,anna.jackson@junopetfoods.com,+1 (971) 555-2203,Juno Pet Foods,Y
Kevin,Castillo,CEO,kevin.castillo@kettleridgebrew.com,206.555.5360,Kettleridge Brewing,Y
Robert,Campbell,Owner,robert.campbell@quillonsec.com,1-503-555-5726,Quillon Cybersecurity,Y
Paul,Watson,CFO,paul.watson@millbrookortho.com,9715556802,Millbrook Orthopedics,N
Luis,Tanaka,Controller,,9715556939,Arbor Lane Childcare,N
