Lead ID,Created,First Name,Last Name,Email,Phone,Interested In,Campaign Code,Stage,Deal Value,Close Date
L-5331,04/03/2026 07:21 AM,Marcus,Lewis,lewis.marcus@gmail.com,415.555.6070,Discovery Flight,EVT-KAEG-FLYIN,Closed Lost,$189.00,04/17/2026
L-5332,04/03/2026 12:07 PM,Jennifer,King,jennifer_king@hotmail.com,+1 512 555 7560,Instrument Rating,,Proposal Sent,"$9,850.00",
L-5333,04/03/2026 03:10 PM,Marcus,Cox,mcox@outlook.com,512-555-4238,Block Time 10 hrs,REF-EAA-1257,Closed Won,"$2,450.00",05/12/2026
L-5334,04/03/2026 05:55 PM,Marcus,Ortiz,marcus.ortiz@gmail.com,(512) 555-3327,Private Pilot Package,IG-DISC-SPRING,New,,
L-5335,04/04/2026 02:19 PM,Kevin,Stewart,kevinstewart69@yahoo.com,919.555.9803,Private Pilot Package, EVT-KAEG-FLYIN ,New,"$14,700.00",
L-5336,04/06/2026 05:51 PM,Amara,Brooks,amara.brooks@hotmail.com,+1 720 555 6705,Discovery Flight,GADS-DISC-Q2,Closed Won,$189.00,04/23/2026
L-5337,04/06/2026 06:10 PM,Carol,Alvarez,alvarez.carol@outlook.com,971-555-9898,Private Pilot Package,GADS-DISC-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-disc-q2,New,,
L-5338,04/06/2026 08:08 PM,Patricia,Thomas,patriciathomas61@aol.com,(617) 555-9739,Instrument Rating,,Discovery Flight Scheduled,,
L-5339,04/07/2026 12:35 PM,Wei,Morris,wei.morris@icloud.com,802.555.8558,Private Pilot Package,,Discovery Flight Scheduled,,
L-5340,04/07/2026 04:59 PM,Jessica,Cox,jcox@me.com,617.555.6182,Discovery Flight,GADS-IFR-Q1,Discovery Flight Scheduled,,
L-5341,04/07/2026 05:15 PM,William,Williams,william.williams@icloud.com,+1 720 555 4254,Discovery Flight,,Discovery Flight Scheduled,,
L-5342,04/08/2026 09:31 AM,Rahul,Lee,lee.rahul@gmail.com,206-555-9819,Discovery Flight,YT-PREROLL-PPL&gclid=Cj0KCQjwhkiE6LDm5cv0GN,Closed Lost,$189.00,04/16/2026
L-5343,04/08/2026 02:21 PM,Amara,Nguyen,nguyen.amara@hotmail.com,(303) 555-6688,Discovery Flight,GADS-IFR-Q1%20,Discovery Flight Scheduled,$189.00,
L-5344,04/09/2026 05:23 PM,Leila,Cox,leila_cox@icloud.com,617.555.6884,Commercial Pilot,GADS-DISC-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-disc-q2,Discovery Flight Scheduled,,
L-5345,04/10/2026 06:31 AM,Sharon,Mitchell,smitchell@hotmail.com,+1 512 555 4820,Private Pilot Package,ig-disc-spring?utm_source=instagram,Contacted,,
L-5346,04/10/2026 06:37 AM,Deborah,Bennett,bennett.deborah@icloud.com,608-555-4558,Discovery Flight,REF-EAA-1257,Discovery Flight Scheduled,$189.00,
L-5347,04/10/2026 08:27 PM,Michael,Turner,michael_turner@gmail.com,(919) 555-9399,Discovery Flight,GADS-PPL-Q2&gclid=Cj0KCQjwG9X6Tnb26AxsyP,New,,
L-5348,04/10/2026 09:19 PM,James,Jones,james_jones@gmail.com,617.555.4392,Discovery Flight,ref-eaa-1257,Closed Won,$189.00,05/20/2026
L-5349,04/11/2026 03:10 PM,Rebecca,Green,rebecca.green@aol.com,+1 720 555 6313,Discovery Flight,IG-REEL-CHECKRIDE,Closed Won,$189.00,05/08/2026
L-5350,04/12/2026 10:42 AM,Wei,Hughes,hughes.wei@protonmail.com,+1 971 555 3853,Discovery Flight,IG-DISC-SPRING,Closed Won,$189.00,05/15/2026
L-5351,04/12/2026 12:00 PM,Joseph,Morales,joseph.morales@outlook.com,512-555-5539,Discovery Flight,YT-FIRSTSOLO,Discovery Flight Scheduled,,
L-5352,04/12/2026 04:57 PM,Carlos,Garcia,cgarcia@gmail.com,(206) 555-9138,Block Time 10 hrs, GADS-DISC-Q2 ,Closed Won,"$2,450.00",05/22/2026
L-5353,04/12/2026 08:49 PM,Yuki,Hernandez,yhernandez@gmail.com,802.555.1750,Commercial Pilot,IG-DISC-SPRING&gclid=Cj0KCQjwLepwZEMXQ2g1k3,New,,
L-5354,04/13/2026 07:12 AM,Lisa,Price,lprice@icloud.com,+1 206 555 2463,Discovery Flight,YT-FIRSTSOLO,Contacted,,
L-5355,04/13/2026 10:39 AM,Kathleen,Anderson,kathleenanderson37@gmail.com,971-555-3084,Discovery Flight,NEWS-APR,Closed Lost,$189.00,04/16/2026
L-5356,04/13/2026 03:39 PM,Dorothy,Myers,myers.dorothy@protonmail.com,(512) 555-5793,Discovery Flight,GADS-DISC-Q2,Contacted,,
L-5357,04/13/2026 04:13 PM,Amanda,Thomas,amanda.thomas@protonmail.com,720.555.3855,Instrument Rating,GADS-DISC-Q2,Contacted,,
L-5358,04/14/2026 07:58 AM,Priya,Johnson,priya_johnson@me.com,+1 802 555 2201,Discovery Flight,REF-CAP-SQDN,Proposal Sent,$189.00,
L-5359,04/14/2026 11:01 AM,Dmitri,King,king.dmitri@protonmail.com,802-555-1771,Discovery Flight,GADS-DISC-Q2%20,Closed Won,$189.00,05/08/2026
L-5360,04/14/2026 01:29 PM,Mateo,Price,mateoprice32@me.com,720-555-1247,Discovery Flight,yt-firstsolo,Discovery Flight Scheduled,,
L-5361,04/14/2026 06:38 PM,Joseph,Martin,joseph_martin@hotmail.com,(617) 555-1159,Discovery Flight,EVT-KAEG-FLYIN,Contacted,,
L-5362,04/14/2026 07:23 PM,Mark,Davis,mdavis@aol.com,720.555.4978,Instrument Rating,yt-firstsolo?utm_source=youtube,New,,
L-5363,04/15/2026 04:16 PM,Richard,Stewart,richard.stewart@me.com,+1 415 555 1391,Commercial Pilot,,Discovery Flight Scheduled,"$24,600.00",
L-5364,04/17/2026 09:52 AM,Charles,Price,cprice@me.com,206-555-8715,Private Pilot Package,IG-DISC-SPRING,Closed Won,"$14,000.00",05/08/2026
L-5365,04/17/2026 08:42 PM,Amara,Watson,amara_watson@yahoo.com,(415) 555-3251,Private Pilot Package,GADS-PPL-Q2,Proposal Sent,"$15,350.00",
L-5366,04/18/2026 11:59 AM,Donald,Ramirez,donald_ramirez@icloud.com,303.555.7976,Discovery Flight,IG-DISC-SPRING,Closed Won,$189.00,05/05/2026
L-5367,04/18/2026 01:07 PM,Rebecca,Tanaka,rtanaka@icloud.com,+1 512 555 7318,Commercial Pilot,,Closed Lost,"$26,100.00",05/13/2026
L-5368,04/18/2026 03:47 PM,Richard,Harris,richard.harris@protonmail.com,919-555-4612,Private Pilot Package,GADS-DISC-Q2|utm_medium=video,Closed Lost,"$14,350.00",05/02/2026
L-5369,04/19/2026 10:16 AM,Richard,Haddad,richard.haddad@protonmail.com,(720) 555-3879,Block Time 10 hrs,REF-EAA-1257,Closed Won,"$2,450.00",05/06/2026
L-5370,04/19/2026 12:39 PM,Sofia,Jones,sofiajones13@outlook.com,(608) 555-2047,Private Pilot Package,GADS-PPL-Q3|utm_source=google,Closed Won,"$16,150.00",05/06/2026
L-5371,04/20/2026 08:15 AM,Charles,Flores,charlesflores57@gmail.com,720.555.5180,Private Pilot Package,GADS-DISC-Q2|utm_medium=video,Discovery Flight Scheduled,,
L-5372,04/20/2026 11:24 AM,Fatima,Brooks,fatima_brooks@icloud.com,+1 720 555 6468,Discovery Flight,GADS-PPL-Q2,Contacted,$189.00,
L-5373,04/20/2026 03:47 PM,Aisha,Rivera,arivera@yahoo.com,415-555-5552,Private Pilot Package, EVT-KAEG-FLYIN ,New,,
L-5374,04/20/2026 04:47 PM,Mateo,Hall,mateo.hall@aol.com,(971) 555-2078,Instrument Rating, GADS-DISC-Q2 ,Proposal Sent,"$10,450.00",
L-5375,04/20/2026 04:55 PM,Matthew,White,matthew.white@gmail.com,415.555.8306,Private Pilot Package,GADS-DISC-Q2,Discovery Flight Scheduled,"$15,850.00",
L-5376,04/21/2026 08:06 AM,Barbara,Baker,barbara_baker@outlook.com,+1 617 555 3302,Private Pilot Package,YT-FIRSTSOLO,Closed Lost,"$14,300.00",05/12/2026
L-5377,04/21/2026 10:45 AM,Jessica,Kim,kim.jessica@protonmail.com,512-555-4051,Discovery Flight,IG-DISC-SPRING,Discovery Flight Scheduled,,
L-5378,04/21/2026 11:53 AM,Ingrid,Kelly,ikelly@protonmail.com,(802) 555-8565,Instrument Rating,gads-ppl-q2,New,"$9,800.00",
L-5379,04/21/2026 07:13 PM,Dana,Chavez,dchavez@me.com,971.555.5379,Discovery Flight,IG-REEL-CHECKRIDE|utm_medium=video,Discovery Flight Scheduled,,
L-5380,04/21/2026 08:22 PM,Joshua,Nelson,jnelson@me.com,617.555.1654,Private Pilot Package,YT-FIRSTSOLO|utm_medium=video,Closed Won,"$15,150.00",05/19/2026
L-5381,04/21/2026 08:30 PM,Joshua,Hall,jhall@aol.com,+1 971 555 3551,Discovery Flight,YT-FIRSTSOLO%20,New,,
L-5382,04/22/2026 10:05 AM,Dana,Thomas,dana_thomas@icloud.com,206-555-3146,Discovery Flight,GADS-PPL-Q2,New,,
L-5383,04/22/2026 10:22 AM,Nadia,Martinez,nadiamartinez86@aol.com,(608) 555-6134,Private Pilot Package,NEWS-APR&gclid=Cj0KCQjwZp6c06dJ3eWErE,Discovery Flight Scheduled,"$14,450.00",
L-5384,04/22/2026 03:29 PM,Leila,Reed,lreed@aol.com,415.555.6113,Commercial Pilot,GADS-DISC-Q2,Closed Lost,"$23,250.00",05/21/2026
L-5385,04/23/2026 09:12 AM,Test,Lead,test.lead@bluemesaflight.com,+1 206 555 5657,Discovery Flight,GADS-DISC-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-disc-q2,Closed Won,$189.00,04/23/2026
L-5386,04/23/2026 09:53 AM,Ingrid,Williams,ingrid_williams@hotmail.com,303-555-8016,Instrument Rating,GADS-PPL-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-ppl-q2,New,,
L-5387,04/23/2026 02:32 PM,Daniel,Johnson,djohnson@me.com,(608) 555-9942,Discovery Flight,PROMO-FATHERSDAY,Proposal Sent,$189.00,
L-5388,04/24/2026 11:50 AM,Mary,Castillo,mcastillo@protonmail.com,720.555.2318,Discovery Flight,,Proposal Sent,$189.00,
L-5389,04/25/2026 11:22 AM,Deborah,Johnson,deborah_johnson@aol.com,+1 608 555 8854,Private Pilot Package,REF-EAA-1257,New,,
L-5390,04/25/2026 05:57 PM,Jonathan,Thompson,jonathan_thompson@outlook.com,+1 206 555 8629,Instrument Rating,REF-CAP-SQDN,Proposal Sent,"$10,600.00",
L-5391,04/26/2026 06:03 PM,Betty,Ross,bettyross81@icloud.com,802-555-7069,Private Pilot Package,NEWS-JUN,Closed Won,"$16,150.00",05/30/2026
L-5392,04/28/2026 10:53 AM,Emily,Gutierrez,emily_gutierrez@aol.com,(919) 555-9897,Commercial Pilot,GADS-PPL-Q2%20,Discovery Flight Scheduled,"$26,450.00",
L-5393,04/28/2026 08:21 PM,Christopher,Martin,christopher.martin@protonmail.com,303.555.5304,Instrument Rating, GADS-DISC-Q2 ,Closed Won,"$9,900.00",05/19/2026
L-5394,04/29/2026 09:03 AM,Dmitri,Alvarez,alvarez.dmitri@protonmail.com,+1 720 555 4259,Private Pilot Package,ig-disc-spring?utm_source=instagram,Closed Lost,"$14,350.00",05/12/2026
L-5395,04/29/2026 03:43 PM,Steven,Martin,steven.martin@yahoo.com,802-555-8468,Discovery Flight,NEWS-APR,Closed Won,$189.00,05/31/2026
L-5396,04/30/2026 09:45 AM,Richard,Gomez,richardgomez38@gmail.com,(303) 555-8157,Discovery Flight,GADS-DISC-Q2,Closed Lost,$189.00,05/15/2026
L-5397,04/30/2026 06:37 PM,Stephanie,Haddad,stephanie_haddad@yahoo.com,303.555.6280,Discovery Flight,,Closed Lost,$189.00,05/11/2026
L-5398,05/01/2026 06:02 AM,Donald,Okafor,donald.okafor@outlook.com,+1 971 555 9882,Discovery Flight, GADS-PPL-Q2 ,Closed Lost,$189.00,05/06/2026
L-5399,05/01/2026 10:58 AM,Michelle,Reyes,michellereyes54@outlook.com,919-555-4689,Discovery Flight,gads-disc-q2?utm_source=google,Proposal Sent,$189.00,
L-5400,05/01/2026 12:53 PM,Donna,Anderson,donnaanderson13@hotmail.com,+1 512 555 2043,Discovery Flight,yt-firstsolo,Closed Lost,$189.00,05/23/2026
L-5401,05/01/2026 03:59 PM,Donald,Miller,donald_miller@icloud.com,303-555-3752,Commercial Pilot,NEWS-JUN,Closed Lost,"$25,200.00",06/04/2026
L-5402,05/01/2026 09:33 PM,Tomasz,White,tomasz_white@hotmail.com,(617) 555-7311,Commercial Pilot,IG-SUMMER-SOLO,New,,
L-5403,05/02/2026 08:21 PM,Amara,Torres,torres.amara@aol.com,303.555.2395,Instrument Rating,,Closed Lost,"$10,000.00",05/26/2026
L-5404,05/03/2026 12:13 PM,Lisa,Nelson,lisanelson60@outlook.com,+1 608 555 6740,Block Time 10 hrs,utm_source=newsletter&utm_medium=organic,Closed Lost,"$2,450.00",06/09/2026
L-5405,05/04/2026 01:05 PM,Marcus,Mendoza,mendoza.marcus@hotmail.com,303-555-1526,Discovery Flight,GADS-PPL-Q2%20,Proposal Sent,$189.00,
L-5406,05/04/2026 01:09 PM,Kenneth,Ward,ward.kenneth@hotmail.com,(512) 555-2076,Block Time 10 hrs,GADS-PPL-Q2,Discovery Flight Scheduled,,
L-5407,05/04/2026 02:22 PM,Jessica,Gomez,jgomez@protonmail.com,512.555.4262,Private Pilot Package,,Contacted,"$14,350.00",
L-5408,05/04/2026 04:23 PM,Chloe,Watson,chloe.watson@outlook.com,+1 720 555 2582,Private Pilot Package,REF-EAA-1257,Contacted,,
L-5409,05/05/2026 06:18 AM,Steven,Morgan,steven.morgan@icloud.com,415-555-2917,Commercial Pilot,,Closed Won,"$24,200.00",05/14/2026
L-5410,05/05/2026 10:02 AM,Kevin,Baker,kevin.baker@aol.com,512-555-5219,Discovery Flight,IG-DISC-SPRING,Proposal Sent,$189.00,
L-5411,05/06/2026 10:11 AM,Rahul,Rivera,rahul_rivera@me.com,(415) 555-3824,Discovery Flight,,Closed Lost,$189.00,05/21/2026
L-5412,05/06/2026 07:38 PM,John,Hernandez,jhernandez@me.com,720.555.3700,Discovery Flight,GADS-DISC-Q2,Contacted,,
L-5413,05/07/2026 09:55 AM,Eric,Myers,myers.eric@yahoo.com,+1 919 555 3228,Instrument Rating,,Closed Won,"$10,800.00",05/22/2026
L-5414,05/07/2026 04:16 PM,Yuki,Harris,yukiharris56@me.com,919-555-1533,Private Pilot Package,IG-DISC-SPRING,Proposal Sent,"$16,350.00",
L-5415,05/07/2026 04:34 PM,Rebecca,Wood,rebecca_wood@me.com,(802) 555-2224,Discovery Flight,REF-CAP-SQDN,Closed Lost,$189.00,06/04/2026
L-5416,05/08/2026 09:42 AM,Jason,Richardson,richardson.jason@hotmail.com,971.555.4095,Discovery Flight,YT-FIRSTSOLO|utm_medium=video,Closed Lost,$189.00,06/15/2026
L-5417,05/08/2026 07:03 PM,Rahul,Ramos,rahul.ramos@protonmail.com,+1 303 555 3693,Discovery Flight,IG-REEL-CHECKRIDE,Closed Lost,$189.00,05/24/2026
L-5418,05/08/2026 07:25 PM,Elizabeth,Chavez,elizabethchavez31@protonmail.com,608-555-3463,Discovery Flight,REF-EAA-1257,Closed Lost,$189.00,05/19/2026
L-5419,05/09/2026 12:31 PM,Jacob,Reed,jreed@yahoo.com,(919) 555-2339,Discovery Flight,gads-ppl-q2,Contacted,,
L-5420,05/09/2026 12:33 PM,Anthony,Carter,anthony_carter@yahoo.com,(608) 555-3762,Private Pilot Package,IG-REEL-CHECKRIDE?utm_source=instagram&utm_medium=cpc&utm_campaign=ig-reel-checkride,Closed Won,"$15,750.00",06/06/2026
L-5421,05/10/2026 11:22 AM,William,Nelson,william_nelson@me.com,802.555.4171,Private Pilot Package, EVT-SF-OUTDOOR-EXPO ,Discovery Flight Scheduled,,
L-5422,05/10/2026 05:16 PM,Elizabeth,Hill,ehill@gmail.com,+1 919 555 2802,Discovery Flight,GADS-DISC-Q2,Proposal Sent,$189.00,
L-5423,05/11/2026 09:13 AM,Wei,Gutierrez,test1@bluemesaflight.com,617-555-7320,Discovery Flight,GADS-PPL-Q2?utm_source=google&utm_medium=cpc&utm_campaign=gads-ppl-q2,New,$189.00,05/11/2026
L-5424,05/11/2026 02:03 PM,Jacob,Baker,jacobbaker66@hotmail.com,(720) 555-2340,Discovery Flight,GADS-PPL-Q3,Closed Lost,$189.00,05/26/2026
L-5425,05/11/2026 06:25 PM,Kathleen,Myers,kathleen.myers@outlook.com,206.555.5256,Private Pilot Package,GADS-DISC-Q2|utm_medium=video,Discovery Flight Scheduled,"$14,600.00",
L-5426,05/11/2026 07:47 PM,Christopher,Edwards,cedwards@outlook.com,+1 802 555 2942,Instrument Rating, NEWS-JUN ,Proposal Sent,"$10,750.00",
L-5427,05/11/2026 09:05 PM,Luis,Mensah,mensah.luis@protonmail.com,608-555-1288,Commercial Pilot,IG-REEL-CHECKRIDE,Proposal Sent,"$25,150.00",
L-5428,05/12/2026 07:11 PM,Richard,Myers,richard_myers@aol.com,(919) 555-2455,Private Pilot Package,IG-DISC-SPRING%20,Closed Won,"$15,550.00",06/09/2026
L-5429,05/12/2026 09:26 PM,Deborah,Ross,deborah_ross@outlook.com,415.555.7956,Instrument Rating,IG-REEL-CHECKRIDE,Contacted,,
L-5430,05/14/2026 03:17 PM,Stephanie,Nelson,stephanienelson68@aol.com,415.555.1687,Private Pilot Package,REF-EAA-1257,Proposal Sent,"$15,400.00",
L-5431,05/15/2026 03:25 PM,Ronald,Watson,ronald.watson@yahoo.com,+1 617 555 1246,Commercial Pilot,GADS-IFR-Q1,Closed Won,"$25,550.00",06/11/2026
L-5432,05/15/2026 08:39 PM,Jeffrey,Gray,gray.jeffrey@icloud.com,415-555-9570,Instrument Rating, GADS-IFR-Q1 ,Proposal Sent,"$10,850.00",
L-5433,05/16/2026 09:51 AM,Jennifer,Wright,wright.jennifer@aol.com,(971) 555-3830,Discovery Flight,evt-kaeg-flyin?utm_source=event,Proposal Sent,$189.00,
L-5434,05/17/2026 07:58 PM,Rahul,Clark,rahul.clark@me.com,608.555.2478,Private Pilot Package, EVT-SF-OUTDOOR-EXPO ,Closed Won,"$14,250.00",05/27/2026
L-5435,05/17/2026 09:24 PM,Yuki,Clark,yclark@icloud.com,+1 802 555 3099,Discovery Flight,IG-DISC-SPRING|utm_medium=video,Proposal Sent,$189.00,
L-5436,05/18/2026 08:43 AM,Elizabeth,Ruiz,eruiz@protonmail.com,608-555-7470,Private Pilot Package,GADS-PPL-Q2&gclid=Cj0KCQjwua5WERFapvh1Sv,Closed Lost,"$14,550.00",06/19/2026
L-5437,05/19/2026 11:34 AM,Kathleen,Rivera,krivera@aol.com,(720) 555-6232,Discovery Flight,YT-PREROLL-PPL?utm_source=youtube&utm_medium=cpc&utm_campaign=yt-preroll-ppl,Proposal Sent,$189.00,
L-5438,05/19/2026 02:26 PM,Jessica,Peterson,jpeterson@outlook.com,720.555.9874,Commercial Pilot,,Closed Lost,"$22,700.00",05/29/2026
L-5439,05/20/2026 06:51 PM,Dorothy,Howard,dorothy.howard@outlook.com,+1 415 555 3444,Discovery Flight,IG-DISC-SPRING&gclid=Cj0KCQjw673bU8aZmvJNsx,Discovery Flight Scheduled,,
L-5440,05/21/2026 06:04 AM,Leila,Murphy,murphy.leila@protonmail.com,+1 512 555 6073,Private Pilot Package,EVT-SF-OUTDOOR-EXPO,Closed Lost,"$14,700.00",05/29/2026
L-5441,05/21/2026 09:55 AM,Anthony,Ruiz,anthony.ruiz@protonmail.com,802-555-9116,Discovery Flight,,Closed Lost,$189.00,06/06/2026
L-5442,05/21/2026 04:29 PM,Jason,Jones,jjones@me.com,(720) 555-1522,Block Time 10 hrs,REF-EAA-1257,Closed Won,"$2,450.00",06/28/2026
L-5443,05/21/2026 04:40 PM,Carlos,Carter,ccarter@icloud.com,919.555.6274,Commercial Pilot,EVT-KAEG-FLYIN,Closed Won,"$27,050.00",06/15/2026
L-5444,05/21/2026 05:34 PM,Leila,Gomez,leilagomez76@icloud.com,+1 608 555 6656,Discovery Flight,YT-FIRSTSOLO&gclid=Cj0KCQjwUmFwU8EqTSYtVX,Closed Lost,$189.00,06/09/2026
L-5445,05/22/2026 01:47 PM,Jonathan,Cox,jonathan_cox@hotmail.com,720-555-4536,Discovery Flight,GADS-PPL-Q3,New,$189.00,
L-5446,05/23/2026 04:08 PM,Joseph,Jones,josephjones41@me.com,(802) 555-7235,Discovery Flight,,Contacted,,
L-5447,05/24/2026 07:46 AM,Kevin,Cooper,kevin.cooper@protonmail.com,415.555.4529,Discovery Flight,,Closed Won,$189.00,06/25/2026
L-5448,05/24/2026 09:39 AM,James,Ward,ward.james@aol.com,+1 802 555 5664,Discovery Flight,GADS-PPL-Q2,Proposal Sent,$189.00,
L-5449,05/24/2026 04:21 PM,James,Ramirez,jamesramirez94@outlook.com,415-555-6906,Discovery Flight,EVT-SF-OUTDOOR-EXPO,Closed Won,$189.00,06/13/2026
L-5450,05/25/2026 05:23 PM,Charles,Mensah,charlesmensah38@aol.com,802-555-9016,Instrument Rating,GADS-DISC-Q2%20,New,,
L-5451,05/25/2026 07:55 PM,Susan,Gonzalez,susan.gonzalez@aol.com,(720) 555-3854,Instrument Rating,GADS-PPL-Q2,Closed Lost,"$10,100.00",06/07/2026
