Name,Email,Created at,Customer ID,Financial Status,Total,Refunded Amount,Tags,Lineitem name,Lineitem quantity,Lineitem price
#1026,amara_torres@yahoo.com,2024-04-21 16:31:57 -0700,7331608507,,,,,Nightjar mug,1,16.00
#1027,johnson.priya@outlook.com,2024-04-23 16:59:13 -0700,7388263752,paid,62.00,0.00,,Ethiopia Guji 12oz,2,21.00
#1027,johnson.priya@outlook.com,2024-04-23 16:59:13 -0700,7388263752,,,,,Guatemala Antigua 12oz,1,20.00
#1028,wilson.gary@hotmail.com,2024-05-01 16:28:02 -0700,7370033481,paid,194.00,0.00,,Espresso 5lb,2,78.00
#1028,wilson.gary@hotmail.com,2024-05-01 16:28:02 -0700,7370033481,,,,,Colombia Huila 12oz,2,19.00
#1029,stephanie_alvarez@yahoo.com,2024-05-05 10:31:57 -0700,7323463874,paid,20.00,0.00,,Guatemala Antigua 12oz,1,20.00
#1030,myers.richard@outlook.com,2024-05-07 16:53:20 -0700,7334914494,partially_refunded,176.00,66.86,,Espresso 5lb,2,78.00
#1030,myers.richard@outlook.com,2024-05-07 16:53:20 -0700,7334914494,,,,,Guatemala Antigua 12oz,1,20.00
#1031,fatima_walker@outlook.com,2024-05-10 15:46:12 -0700,7329589712,voided,24.45,0.00,,House Espresso 12oz,1,17.50
#1032,sarahtorres29@outlook.com,2024-05-24 07:02:03 -0700,SQ-00445,paid,26.95,0.00,,Guatemala Antigua 12oz,1,20.00
#1033,donald.mensah@yahoo.com,2024-05-26 09:15:28 -0700,7366123086,paid,17.50,0.00,,House Espresso 12oz,1,17.50
#1034,ops@nightjar.coffee,2024-05-28 08:26:00 -0700,7393861560,paid,42.00,0.00,,Pour-over kit,1,42.00
#1035,jward@outlook.com,2024-06-01 16:14:42 -0700,7344999241,paid,66.50,0.00,,Decaf Swiss Water 12oz,1,19.50
#1035,jward@outlook.com,2024-06-01 16:14:42 -0700,7344999241,,,,,Ethiopia Guji 12oz,1,21.00
#1035,jward@outlook.com,2024-06-01 16:14:42 -0700,7344999241,,,,,House Espresso 12oz,1,17.50
#1036,fatima_walker@outlook.com,2024-06-13 08:55:48 -0700,7329589712,paid,44.95,0.00,,Colombia Huila 12oz,2,19.00
#1037,donnaalvarez34@protonmail.com,2024-06-18 15:27:59 -0700,7328883828,paid,132.00,0.00,,Colombia Huila 12oz,1,19.00
#1037,donnaalvarez34@protonmail.com,2024-06-18 15:27:59 -0700,7328883828,,,,,Espresso 5lb,1,78.00
#1037,donnaalvarez34@protonmail.com,2024-06-18 15:27:59 -0700,7328883828,,,,,House Espresso 12oz,2,17.50
#1038,kenneth_ward@me.com,2024-06-22 11:56:43 -0700,7378795832,refunded,133.50,133.50,,Espresso 5lb,1,78.00
#1038,kenneth_ward@me.com,2024-06-22 11:56:43 -0700,7378795832,,,,,Colombia Huila 12oz,2,19.00
#1038,kenneth_ward@me.com,2024-06-22 11:56:43 -0700,7378795832,,,,,House Espresso 12oz,1,17.50
#1039,jessica_peterson@gmail.com,2024-06-25 12:31:43 -0700,7380058851,paid,56.50,0.00,,House Espresso 12oz,1,17.50
#1039,jessica_peterson@gmail.com,2024-06-25 12:31:43 -0700,7380058851,,,,,Guatemala Antigua 12oz,1,20.00
#1039,jessica_peterson@gmail.com,2024-06-25 12:31:43 -0700,7380058851,,,,,Colombia Huila 12oz,1,19.00
#1040,richard.richardson@gmail.com,2024-06-28 10:10:23 -0700,7348124477,paid,82.00,0.00,,Pour-over kit,1,42.00
#1040,richard.richardson@gmail.com,2024-06-28 10:10:23 -0700,7348124477,,,,,Guatemala Antigua 12oz,2,20.00
#1041,johnson.priya@outlook.com,2024-06-28 15:53:22 -0700,7388263752,paid,63.50,0.00,,Kenya AA 12oz,2,23.00
#1041,johnson.priya@outlook.com,2024-06-28 15:53:22 -0700,7388263752,,,,,House Espresso 12oz,1,17.50
#1042,watson.chloe@gmail.com,2024-06-30 14:25:28 -0700,7381891021,paid,37.00,0.00,,Ethiopia Guji 12oz,1,21.00
#1042,watson.chloe@gmail.com,2024-06-30 14:25:28 -0700,7381891021,,,,,Nightjar mug,1,16.00
#1043,dorothy_howard@icloud.com,2024-07-15 12:54:29 -0700,SQ-00729,paid,45.95,0.00,,Decaf Swiss Water 12oz,2,19.50
#1044,edwards.anna@protonmail.com,2024-07-21 08:09:14 -0700,7305186383,paid,48.95,0.00,,Pour-over kit,1,42.00
#1045,calvarez@me.com,2024-07-21 08:48:09 -0700,7377303096,paid,77.00,0.00,,Pour-over kit,1,42.00
#1045,calvarez@me.com,2024-07-21 08:48:09 -0700,7377303096,,,,,House Espresso 12oz,2,17.50
#1046,donna.white@outlook.com,2024-07-31 13:29:45 -0700,7341801574,paid,27.50,0.00,,Colombia Huila 12oz,1,19.00
#1047,dmitri_king@me.com,2024-08-01 15:13:57 -0700,7373057326,paid,28.50,0.00,,Guatemala Antigua 12oz,1,20.00
#1048,ashley_myers@aol.com,2024-08-02 12:45:02 -0700,7376385018,paid,82.00,0.00,,Pour-over kit,1,42.00
#1048,ashley_myers@aol.com,2024-08-02 12:45:02 -0700,7376385018,,,,,Guatemala Antigua 12oz,2,20.00
#1049,krogers@icloud.com,2024-08-04 07:25:13 -0700,SQ-00724,paid,19.50,0.00,,Decaf Swiss Water 12oz,1,19.50
#1050,krogers@icloud.com,2024-08-07 08:54:26 -0700,SQ-00724,paid,35.00,0.00,,Colombia Huila 12oz,1,19.00
#1050,krogers@icloud.com,2024-08-07 08:54:26 -0700,SQ-00724,,,,,Nightjar mug,1,16.00
#1051,cflores@gmail.com,2024-08-09 16:36:55 -0700,7311055915,paid,28.00,0.00,,Decaf Swiss Water 12oz,1,19.50
#1052,marcus_cox@protonmail.com,2024-08-15 13:34:13 -0700,7371064827,paid,27.95,0.00,,Ethiopia Guji 12oz,1,21.00
#1053,sfoster@aol.com,2024-08-18 07:42:08 -0700,SQ-00766,paid,130.00,0.00,,Espresso 5lb,1,78.00
#1053,sfoster@aol.com,2024-08-18 07:42:08 -0700,SQ-00766,,,,,Nightjar mug,2,16.00
#1053,sfoster@aol.com,2024-08-18 07:42:08 -0700,SQ-00766,,,,,Guatemala Antigua 12oz,1,20.00
#1054,steven_morgan@icloud.com,2024-09-03 14:19:24 -0700,7364669736,paid,28.00,0.00,,Decaf Swiss Water 12oz,1,19.50
#1055,gonzalez.wei@me.com,2024-09-03 15:41:58 -0700,7319643903,paid,39.00,0.00,,Nightjar mug,1,16.00
#1055,gonzalez.wei@me.com,2024-09-03 15:41:58 -0700,7319643903,,,,,Kenya AA 12oz,1,23.00
#1056,kcooper@icloud.com,2024-09-04 15:34:04 -0700,7396383539,paid,198.00,0.00,,Espresso 5lb,2,78.00
#1056,kcooper@icloud.com,2024-09-04 15:34:04 -0700,7396383539,,,,,Pour-over kit,1,42.00
#1057,myers.richard@outlook.com,2024-09-10 08:38:46 -0700,7334914494,paid,218.00,0.00,,Kenya AA 12oz,1,23.00
#1057,myers.richard@outlook.com,2024-09-10 08:38:46 -0700,7334914494,,,,,Decaf Swiss Water 12oz,2,19.50
#1057,myers.richard@outlook.com,2024-09-10 08:38:46 -0700,7334914494,,,,,Espresso 5lb,2,78.00
#1058,joshua_morris@hotmail.com,2024-09-18 14:48:00 -0700,SQ-00578,paid,124.50,0.00,,Ethiopia Guji 12oz,1,21.00
#1058,joshua_morris@hotmail.com,2024-09-18 14:48:00 -0700,SQ-00578,,,,,Pour-over kit,2,42.00
#1058,joshua_morris@hotmail.com,2024-09-18 14:48:00 -0700,SQ-00578,,,,,Decaf Swiss Water 12oz,1,19.50
#1059,patel.barbara@hotmail.com,2024-09-24 10:26:39 -0700,7360473556,paid,104.00,0.00,,Kenya AA 12oz,1,23.00
#1059,patel.barbara@hotmail.com,2024-09-24 10:26:39 -0700,7360473556,,,,,Decaf Swiss Water 12oz,2,19.50
#1059,patel.barbara@hotmail.com,2024-09-24 10:26:39 -0700,7360473556,,,,,Pour-over kit,1,42.00
#1060,marcus_cox@protonmail.com,2024-09-24 12:19:05 -0700,7371064827,paid,23.00,0.00,,Kenya AA 12oz,1,23.00
#1061,margaret.cook@aol.com,2024-09-26 07:49:51 -0700,SQ-00747,paid,19.00,0.00,,Colombia Huila 12oz,1,19.00
#1062,luis.mensah@me.com,2024-10-02 08:40:00 -0700,7365289435,paid,24.45,0.00,test order - ignore,House Espresso 12oz,1,17.50
#1063,barbara_hernandez@icloud.com,2024-10-02 10:39:55 -0700,7322739785,paid,17.50,0.00,,House Espresso 12oz,1,17.50
#1064,marcus_cox@protonmail.com,2024-10-06 07:37:55 -0700,7371064827,paid,50.50,0.00,,Pour-over kit,1,42.00
#1065,amara_torres@yahoo.com,2024-10-09 15:23:09 -0700,7331608507,paid,40.50,0.00,,Nightjar mug,2,16.00
#1066,donnaalvarez34@protonmail.com,2024-10-24 14:16:07 -0700,7328883828,paid,64.95,0.00,,Ethiopia Guji 12oz,1,21.00
#1066,donnaalvarez34@protonmail.com,2024-10-24 14:16:07 -0700,7328883828,,,,,Decaf Swiss Water 12oz,1,19.50
#1066,donnaalvarez34@protonmail.com,2024-10-24 14:16:07 -0700,7328883828,,,,,House Espresso 12oz,1,17.50
#1067,fatima_walker@outlook.com,2024-11-01 16:28:17 -0700,7329589712,paid,60.50,0.00,,Guatemala Antigua 12oz,1,20.00
#1067,fatima_walker@outlook.com,2024-11-01 16:28:17 -0700,7329589712,,,,,Nightjar mug,2,16.00
#1068,gary_phillips@gmail.com,2024-11-02 10:24:24 -0700,SQ-00817,paid,36.50,0.00,,House Espresso 12oz,1,17.50
#1068,gary_phillips@gmail.com,2024-11-02 10:24:24 -0700,SQ-00817,,,,,Colombia Huila 12oz,1,19.00
#1069,gary_phillips@gmail.com,2024-11-06 15:59:21 -0700,SQ-00817,paid,46.00,0.00,,House Espresso 12oz,1,17.50
#1069,gary_phillips@gmail.com,2024-11-06 15:59:21 -0700,SQ-00817,,,,,Guatemala Antigua 12oz,1,20.00
#1070,kcooper@icloud.com,2024-11-15 10:52:37 -0700,7396383539,paid,61.00,0.00,,Pour-over kit,1,42.00
#1070,kcooper@icloud.com,2024-11-15 10:52:37 -0700,7396383539,,,,,Colombia Huila 12oz,1,19.00
#1071,pmorris@icloud.com,2024-11-22 11:59:05 -0700,7352507238,paid,156.00,0.00,,Espresso 5lb,2,78.00
#1072,donald.mensah@yahoo.com,2024-11-27 07:09:20 -0700,7366123086,paid,60.00,0.00,,Decaf Swiss Water 12oz,2,19.50
#1072,donald.mensah@yahoo.com,2024-11-27 07:09:20 -0700,7366123086,,,,,Ethiopia Guji 12oz,1,21.00
#1073,anthonymensah37@gmail.com,2024-11-28 16:36:31 -0700,7383295518,paid,24.50,0.00,,Nightjar mug,1,16.00
#1074,donna.white@outlook.com,2024-12-07 08:33:30 -0700,7341801574,paid,47.45,0.00,,Ethiopia Guji 12oz,1,21.00
#1074,donna.white@outlook.com,2024-12-07 08:33:30 -0700,7341801574,,,,,Decaf Swiss Water 12oz,1,19.50
#1075,okafor.deborah@protonmail.com,2024-12-08 07:07:27 -0700,SQ-00213,paid,172.00,0.00,,Nightjar mug,1,16.00
#1075,okafor.deborah@protonmail.com,2024-12-08 07:07:27 -0700,SQ-00213,,,,,Espresso 5lb,2,78.00
#1076,gonzalez.wei@me.com,2024-12-08 13:20:24 -0700,7319643903,paid,133.00,0.00,,Guatemala Antigua 12oz,1,20.00
#1076,gonzalez.wei@me.com,2024-12-08 13:20:24 -0700,7319643903,,,,,Espresso 5lb,1,78.00
#1076,gonzalez.wei@me.com,2024-12-08 13:20:24 -0700,7319643903,,,,,House Espresso 12oz,2,17.50
#1077,stephanie_alvarez@yahoo.com,2024-12-10 16:42:59 -0700,7323463874,partially_refunded,78.00,27.76,,Espresso 5lb,1,78.00
#1078,richard.richardson@gmail.com,2024-12-11 09:48:09 -0700,7348124477,paid,20.00,0.00,,Guatemala Antigua 12oz,1,20.00
#1079,marcus_cox@protonmail.com,2024-12-18 07:07:45 -0700,7371064827,paid,66.45,0.00,,Guatemala Antigua 12oz,2,20.00
#1079,marcus_cox@protonmail.com,2024-12-18 07:07:45 -0700,7371064827,,,,,Decaf Swiss Water 12oz,1,19.50
#1080,fatima_walker@outlook.com,2024-12-25 13:15:02 -0700,7329589712,paid,35.50,0.00,,Nightjar mug,1,16.00
#1080,fatima_walker@outlook.com,2024-12-25 13:15:02 -0700,7329589712,,,,,Decaf Swiss Water 12oz,1,19.50
#1081,yukiclark87@me.com,2024-12-26 11:16:24 -0700,7398178821,refunded,74.00,74.00,,House Espresso 12oz,2,17.50
#1081,yukiclark87@me.com,2024-12-26 11:16:24 -0700,7398178821,,,,,Decaf Swiss Water 12oz,2,19.50
#1082,cflores@gmail.com,2024-12-27 08:22:18 -0700,7311055915,paid,107.00,0.00,,Kenya AA 12oz,1,23.00
#1082,cflores@gmail.com,2024-12-27 08:22:18 -0700,7311055915,,,,,Pour-over kit,2,42.00
#1083,ward.john@aol.com,2024-12-28 12:39:51 -0700,7361465572,paid,47.50,0.00,,Colombia Huila 12oz,1,19.00
#1083,ward.john@aol.com,2024-12-28 12:39:51 -0700,7361465572,,,,,Guatemala Antigua 12oz,1,20.00
#1084,deborah_green@gmail.com,2025-01-05 10:47:52 -0700,7321234402,paid,191.50,0.00,,Nightjar mug,1,16.00
#1084,deborah_green@gmail.com,2025-01-05 10:47:52 -0700,7321234402,,,,,Decaf Swiss Water 12oz,1,19.50
#1084,deborah_green@gmail.com,2025-01-05 10:47:52 -0700,7321234402,,,,,Espresso 5lb,2,78.00
#1085,luis.mensah@me.com,2025-01-05 15:34:03 -0700,7365289435,paid,59.50,0.00,,Pour-over kit,1,42.00
#1085,luis.mensah@me.com,2025-01-05 15:34:03 -0700,7365289435,,,,,House Espresso 12oz,1,17.50
#1086,luis.mensah@me.com,2025-01-06 07:02:00 -0700,7365289435,paid,24.45,0.00,TEST,House Espresso 12oz,1,17.50
#1087,pmorris@icloud.com,2025-01-08 12:32:35 -0700,7352507238,paid,105.00,0.00,,Ethiopia Guji 12oz,1,21.00
#1087,pmorris@icloud.com,2025-01-08 12:32:35 -0700,7352507238,,,,,Pour-over kit,2,42.00
#1088,calvarez@me.com,2025-01-11 07:10:58 -0700,7377303096,refunded,41.00,41.00,,Guatemala Antigua 12oz,1,20.00
#1088,calvarez@me.com,2025-01-11 07:10:58 -0700,7377303096,,,,,Ethiopia Guji 12oz,1,21.00
#1089,joshua_morris@hotmail.com,2025-01-20 14:52:01 -0700,SQ-00578,paid,175.50,0.00,,Decaf Swiss Water 12oz,1,19.50
#1089,joshua_morris@hotmail.com,2025-01-20 14:52:01 -0700,SQ-00578,,,,,Espresso 5lb,2,78.00
#1090,kevinstewart49@outlook.com,2025-02-04 11:21:08 -0700,7315732041,paid,97.00,0.00,,Colombia Huila 12oz,1,19.00
#1090,kevinstewart49@outlook.com,2025-02-04 11:21:08 -0700,7315732041,,,,,Espresso 5lb,1,78.00
#1091,richard.richardson@gmail.com,2025-02-04 12:06:39 -0700,7348124477,paid,41.95,0.00,,House Espresso 12oz,2,17.50
#1092,ops@nightjar.coffee,2025-02-05 14:56:00 -0700,7393861560,paid,42.00,0.00,test,Pour-over kit,1,42.00
#1093,edwards.anna@protonmail.com,2025-02-07 15:26:50 -0700,7305186383,paid,56.00,0.00,,Guatemala Antigua 12oz,2,20.00
#1093,edwards.anna@protonmail.com,2025-02-07 15:26:50 -0700,7305186383,,,,,Nightjar mug,1,16.00
#1094,ingrid_peterson@protonmail.com,2025-02-08 08:16:36 -0700,7357125592,paid,22.95,0.00,,Nightjar mug,1,16.00
#1095,steven_morgan@icloud.com,2025-02-08 08:33:04 -0700,7364669736,paid,26.95,0.00,,Guatemala Antigua 12oz,1,20.00
#1096,charles_mensah@icloud.com,2025-02-09 16:08:31 -0700,7316065254,paid,17.50,0.00,,House Espresso 12oz,1,17.50
#1097,joshua.peterson@me.com,2025-02-11 07:33:53 -0700,7364321652,paid,20.00,0.00,,Guatemala Antigua 12oz,1,20.00
#1098,ashley_myers@aol.com,2025-02-18 10:22:06 -0700,7376385018,paid,47.45,0.00,,House Espresso 12oz,1,17.50
#1098,ashley_myers@aol.com,2025-02-18 10:22:06 -0700,7376385018,,,,,Kenya AA 12oz,1,23.00
#1099,margaret.cook@aol.com,2025-02-18 15:53:45 -0700,SQ-00747,paid,101.00,0.00,,Kenya AA 12oz,1,23.00
#1099,margaret.cook@aol.com,2025-02-18 15:53:45 -0700,SQ-00747,,,,,Espresso 5lb,1,78.00
#1100,dorothy_howard@icloud.com,2025-02-19 10:11:44 -0700,SQ-00729,paid,193.00,0.00,,House Espresso 12oz,1,17.50
#1100,dorothy_howard@icloud.com,2025-02-19 10:11:44 -0700,SQ-00729,,,,,Espresso 5lb,2,78.00
#1100,dorothy_howard@icloud.com,2025-02-19 10:11:44 -0700,SQ-00729,,,,,Decaf Swiss Water 12oz,1,19.50
#1101,deborah_green@gmail.com,2025-02-21 10:25:12 -0700,7321234402,paid,120.00,0.00,,Espresso 5lb,1,78.00
#1101,deborah_green@gmail.com,2025-02-21 10:25:12 -0700,7321234402,,,,,Pour-over kit,1,42.00
#1102,barbara_hernandez@icloud.com,2025-02-22 16:44:47 -0700,7322739785,paid,42.00,0.00,,Pour-over kit,1,42.00
#1103,watson.chloe@gmail.com,2025-02-24 14:22:10 -0700,7381891021,paid,85.00,0.00,,Pour-over kit,1,42.00
#1103,watson.chloe@gmail.com,2025-02-24 14:22:10 -0700,7381891021,,,,,Kenya AA 12oz,1,23.00
#1103,watson.chloe@gmail.com,2025-02-24 14:22:10 -0700,7381891021,,,,,Guatemala Antigua 12oz,1,20.00
#1104,eruiz@me.com,2025-03-07 11:46:57 -0700,7394668208,paid,28.00,0.00,,Decaf Swiss Water 12oz,1,19.50
#1105,sfoster@aol.com,2025-03-08 12:35:54 -0700,SQ-00766,partially_refunded,24.50,9.65,,Nightjar mug,1,16.00
#1106,dorothy_howard@icloud.com,2025-03-14 10:13:29 -0700,7333646685,paid,58.00,0.00,,Ethiopia Guji 12oz,2,21.00
#1106,dorothy_howard@icloud.com,2025-03-14 10:13:29 -0700,7333646685,,,,,Nightjar mug,1,16.00
#1107,dmitri_king@me.com,2025-03-14 12:08:17 -0700,7373057326,paid,60.95,0.00,,Colombia Huila 12oz,2,19.00
#1107,dmitri_king@me.com,2025-03-14 12:08:17 -0700,7373057326,,,,,Nightjar mug,1,16.00
#1108,rebecca.garcia@yahoo.com,2025-03-15 15:42:49 -0700,7391180437,paid,77.00,0.00,,House Espresso 12oz,2,17.50
#1108,rebecca.garcia@yahoo.com,2025-03-15 15:42:49 -0700,7391180437,,,,,Ethiopia Guji 12oz,2,21.00
#1109,amynelson6@gmail.com,2025-03-19 07:05:42 -0700,7384576944,paid,66.00,0.00,,Kenya AA 12oz,2,23.00
#1109,amynelson6@gmail.com,2025-03-19 07:05:42 -0700,7384576944,,,,,Guatemala Antigua 12oz,1,20.00
#1110,johnson.priya@outlook.com,2025-03-20 12:19:55 -0700,7388263752,paid,193.50,0.00,,Espresso 5lb,2,78.00
#1110,johnson.priya@outlook.com,2025-03-20 12:19:55 -0700,7388263752,,,,,House Espresso 12oz,1,17.50
#1110,johnson.priya@outlook.com,2025-03-20 12:19:55 -0700,7388263752,,,,,Guatemala Antigua 12oz,1,20.00
#1111,jessica_peterson@gmail.com,2025-03-23 12:02:05 -0700,7380058851,paid,60.45,0.00,,House Espresso 12oz,1,17.50
#1111,jessica_peterson@gmail.com,2025-03-23 12:02:05 -0700,7380058851,,,,,Nightjar mug,1,16.00
#1111,jessica_peterson@gmail.com,2025-03-23 12:02:05 -0700,7380058851,,,,,Guatemala Antigua 12oz,1,20.00
#1112,watson.chloe@gmail.com,2025-03-24 16:00:18 -0700,7381891021,paid,44.95,0.00,,Colombia Huila 12oz,2,19.00
#1113,dorothy_howard@icloud.com,2025-03-25 08:10:45 -0700,7333646685,paid,65.00,0.00,,Colombia Huila 12oz,1,19.00
#1113,dorothy_howard@icloud.com,2025-03-25 08:10:45 -0700,7333646685,,,,,Kenya AA 12oz,2,23.00
#1114,myers.richard@outlook.com,2025-04-02 11:12:32 -0700,7334914494,paid,62.00,0.00,,Kenya AA 12oz,1,23.00
#1114,myers.richard@outlook.com,2025-04-02 11:12:32 -0700,7334914494,,,,,Guatemala Antigua 12oz,1,20.00
#1114,myers.richard@outlook.com,2025-04-02 11:12:32 -0700,7334914494,,,,,Colombia Huila 12oz,1,19.00
#1115,joshua_morris@hotmail.com,2025-04-07 15:22:55 -0700,7340407795,partially_refunded,24.45,9.35,,House Espresso 12oz,1,17.50
#1116,fatima_walker@outlook.com,2025-04-08 14:05:26 -0700,7329589712,paid,162.00,0.00,,Espresso 5lb,1,78.00
#1116,fatima_walker@outlook.com,2025-04-08 14:05:26 -0700,7329589712,,,,,Pour-over kit,2,42.00
#1117,amara_torres@yahoo.com,2025-04-18 15:34:53 -0700,7331608507,paid,58.00,0.00,,Guatemala Antigua 12oz,1,20.00
#1117,amara_torres@yahoo.com,2025-04-18 15:34:53 -0700,7331608507,,,,,Colombia Huila 12oz,2,19.00
#1118,richard.richardson@gmail.com,2025-04-23 13:07:05 -0700,7348124477,partially_refunded,100.00,18.37,,Pour-over kit,2,42.00
