Member #,Name,Checked In,Door
M-02239,Christopher Nguyen,2026-08-13 13:11,Side
M-00109,Mateo Gomez,13-Aug-2026 14:39,Main
364,Richard Jones,2026-08-13 17:54,Main
M-01470,Michelle Gutierrez,2026-08-13 18:09,Main
M-00899,Tomasz Gomez,13-Aug-2026 19:12,Side
M-00266,Jonathan Price,8/13/2026 7:55 PM,Main
M-01817,Melissa Nelson,2026-08-14 06:01,Main
02470,Angela Lopez,08/14/26 17:56,Side
M-00578,Susan Gonzalez,08/15/26 07:17,Main
M-00271,SARAH THOMAS,2026-08-15 09:55,Main
M-01975,Michelle Rodriguez,08/15/26 10:20,Main
1817,Melissa Nelson,15-Aug-2026 11:01,Side
00506,Deborah Anderson,08/15/26 12:47,Main
00506,Deborah Anderson,08/15/26 12:49,Main
M-02078,Shirley Ramos,2026-08-15 13:37,Main
M-01107,Laura Edwards,8/15/2026 5:52 PM,Side
M-00692,Kathleen Cox,2026-08-15 21:38,Main
763,Kenneth Ramos,16-Aug-2026 06:12,Main
1870,Tomasz Campbell,16-Aug-2026 06:43,Main
1816,Dmitri Green,2026-08-16 07:02,Main
01034,Carlos Osei,08/16/26 07:35,Main
M-01312,Dorothy Kelly,16-Aug-2026 08:55,Main
797,Michelle Wright,08/16/26 09:03,Main
00622,Matthew Ramos,8/16/2026 12:19 PM,Main
01570,Sofia Wilson,16-Aug-2026 12:35,Main
M-00271,Sarah Thomas,16-Aug-2026 21:06,Main
1196,Jennifer Lopez,8/17/2026 7:06 AM,Side
M-02002,Kathleen Gray,8/17/2026 7:18 AM,Main
221,Anna Campbell,8/17/2026 10:53 AM,Main
M-01533,Steven Rivera,2026-08-17 18:21,Side
00578,Susan Gonzalez,8/18/2026 6:24 AM,Main
M-02356,Betty Cox,08/18/26 08:51,Side
M-01111,Anthony Foster,08/18/26 09:07,Main
M-00265,Andrew Lewis,2026-08-18 17:17,Main
943,Steven Gray,18-Aug-2026 19:20,Main
1277,Brian Alvarez,2026-08-19 10:09,Main
M-01297,Martin Whitfield,8/19/2026 2:44 PM,Main
M-00273,Barbara Hernandez,8/19/2026 4:08 PM,Side
896,Kevin Ward,8/20/2026 6:10 AM,Side
M-01457,Donald Peterson,8/20/2026 8:10 AM,Main
01470,Michelle Gutierrez,8/20/2026 10:37 AM,Side
1816,DMITRI GREEN,08/20/26 16:05,Main
M-01891,Nancy Cook,20-Aug-2026 17:16,Side
M-02470,Angela Lopez,2026-08-20 18:34,Main
M-02470,Angela Lopez,2026-08-20 18:35,Main
M-01588,Angela Murphy,08/20/26 19:00,Main
M-02211,Margaret Torres,2026-08-20 19:43,Main
M-02211,Margaret Torres,2026-08-20 19:45,Main
M-00266,Jonathan Price,21-Aug-2026 05:19,Main
01277,Brian Alvarez,21-Aug-2026 07:41,Main
M-02211,Margaret Torres,8/21/2026 8:35 AM,Main
M-00924,Kenneth Hall,21-Aug-2026 16:17,Main
M-02588,Michael Walker,08/21/26 17:15,Main
M-02588,Michael Walker,08/21/26 17:17,Main
M-00875,Rebecca Morales,22-Aug-2026 07:34,Main
M-00749,William Davis,8/22/2026 7:45 AM,Main
M-00452,CARLOS WARD,22-Aug-2026 18:33,Main
M-00713,Yuki Lee,22-Aug-2026 19:07,Main
M-00943,STEVEN GRAY,8/22/2026 8:35 PM,Side
02517,Margaret Phillips,22-Aug-2026 20:45,Main
1933,Charles Haddad,23-Aug-2026 09:11,Main
M-00221,Anna Campbell,2026-08-23 19:36,Main
M-00506,Deborah Anderson,24-Aug-2026 10:22,Main
M-00577,Stephanie Rodriguez,24-Aug-2026 18:55,Side
578,Susan Gonzalez,8/24/2026 8:48 PM,Side
138,Kwame Wood,25-Aug-2026 07:13,Main
01467,Michael Reed,25-Aug-2026 07:23,Main
M-00773,William Campbell,25-Aug-2026 08:50,Main
M-00657,Andrew Okafor,08/25/26 10:44,Side
01533,STEVEN RIVERA,2026-08-25 11:09,Main
M-00622,Matthew Ramos,08/25/26 15:48,Side
M-00622,Matthew Ramos,08/25/26 15:50,Side
1535,Nancy Sanchez,08/25/26 16:52,Main
2363,KENNETH WRIGHT,8/25/2026 5:02 PM,Main
01675,Stephanie Ortiz,8/25/2026 5:34 PM,Side
749,William Davis,25-Aug-2026 19:51,Side
00179,Jacob Patel,8/26/2026 1:36 PM,Main
01666,Mary Miller,2026-08-26 13:48,Side
2356,Betty Cox,2026-08-26 17:15,Side
M-01196,JENNIFER LOPEZ,26-Aug-2026 17:21,Main
M-01481,Charles Kim,08/26/26 17:53,Main
M-02002,Kathleen Gray,8/26/2026 6:41 PM,Side
657,Andrew Okafor,8/26/2026 8:46 PM,Side
01470,Michelle Gutierrez,8/27/2026 7:07 AM,Side
01666,MARY MILLER,08/27/26 08:01,Main
00577,STEPHANIE RODRIGUEZ,2026-08-27 12:25,Side
M-00179,Jacob Patel,8/27/2026 6:45 PM,Main
M-02002,Kathleen Gray,28-Aug-2026 06:51,Side
M-02596,MATEO SCOTT,8/28/2026 2:28 PM,Main
M-00749,William Davis,08/28/26 16:03,Main
M-01470,Michelle Gutierrez,28-Aug-2026 16:27,Main
1308,DMITRI JOHNSON,08/28/26 18:45,Main
1815,Laura Ramirez,08/28/26 18:49,Main
188,Stephanie Green,08/29/26 17:47,Side
506,Deborah Anderson,8/29/2026 7:08 PM,Main
01891,Nancy Cook,2026-08-29 20:18,Main
M-00221,Anna Campbell,30-Aug-2026 06:18,Side
M-01312,Dorothy Kelly,30-Aug-2026 07:04,Main
01891,Nancy Cook,8/30/2026 9:25 AM,Main
M-00506,Deborah Anderson,30-Aug-2026 12:10,Main
M-00506,Deborah Anderson,30-Aug-2026 12:13,Main
M-00763,Kenneth Ramos,2026-08-30 13:15,Main
00452,Carlos Ward,30-Aug-2026 15:28,Side
M-02239,CHRISTOPHER NGUYEN,30-Aug-2026 19:23,Side
M-01470,Michelle Gutierrez,2026-08-30 19:44,Main
M-02596,Mateo Scott,8/30/2026 7:54 PM,Side
00506,Deborah Anderson,2026-08-31 07:21,Main
M-02470,Angela Lopez,08/31/26 07:56,Side
M-02588,Michael Walker,8/31/2026 3:30 PM,Main
00692,Kathleen Cox,31-Aug-2026 16:00,Main
M-00452,Carlos Ward,8/31/2026 5:25 PM,Main
