Member #,First Name,Last Name,Email,Phone,Plan,Joined,Expires,Fee,Trainer,Status,Date of Birth,Notes
M-01085,Maeve,Brannigan,brannigans@outlook.com,(512) 555-1315,Monthly ,07/13/2023,03/25/2027,$65.00,Aiko Tanaka,Active,10/22/2001,
M-02111,Sarah,Carter,scarter@hotmail.com,9195554119,Monthly,2021-12-12,03/26/27,65.00,,Active,03-Nov-1998,
M02078,Shirley,Ramos,Shirley.ramos@hotmail.com,(512) 555-4573,Quarterly,"May 17, 2022",2027-03-30,$ 180.00,Tom Brennan,Active,11/29/1974,
M-00573,Melissa,Scott,melissa.scott@icloud.com,415.555.8229,Monthly,"December 24, 2025","April 06, 2027",65.00,,Active,03/11/1954,
M-01815,Laura,Ramirez,ramirez.laura@icloud.com,512-555-6662,MONTHLY,2021-12-13,09-Apr-2027,65.00,ravi desai,Active,06-Apr-1978,
M-01600,Elizabeth,Gray,elizabeth.gray@yahoo.com,608-555-8544,monthly,2021-04-03,"December 25, 2025",$65.00,Aiko Tanaka,CANCELLED,02/26/1980,
M-00692,Kathleen,Cox,kathleen_cox@protonmail.com,+1 (720) 555-8226,Monthly,"September 18, 2024",02-Mar-2027,$65.00,Jess Alvarez,ACTIVE,05/15/1965,Student ID on file
M-01308,Dmitri,Johnson,johnson.dmitri@me.com,6175557286,Annual ,"October 24, 2022","July 26, 2027",$ 660.00,Kofi Mensah,active,07/13/1997,
M-00577,Stephanie,Rodriguez,srodriguez@hotmail.com,+1 971 555 5909,Quarterly,27-Aug-2021,"June 27, 2027",$ 180.00,,Active,06/09/1964,Moved from Off-Peak
M-01312,Dorothy,Kelly,kelly.dorothy@gmail.com,206-555-5359,Annual,06/23/20,10/20/2027,660.00,,ACTIVE,01/24/1995,
M-02588,Michael,Walker,michael.walker@me.com,+1 415 555 2538,Annual ,2019-10-22,2027-10-06,$660.00,Mia Kowalczyk,ACTIVE,12-May-1976,Knee injury - check with trainer
573,Melissa,Scott,MELISSA.SCOTT@ICLOUD.COM,+1 (415) 555-8229,Monthly,"December 24, 2025","April 06, 2027",65.00,,Active,03/11/1954,
M-02055,George,White,white.george@me.com,3035551367,ANNUAL,03/17/24,2026-06-29,660.00,,Cancelled,08/21/1962,
M-01361,Ingrid,Ruiz,ingrid_ruiz@icloud.com,+1 (617) 555-9217,MONTHLY,10/28/2022,"August 01, 2025",$ 65.00,Ravi Desai,Canceled,1963-12-19,
M-00104,David,Ramos,dramos@gmail.com,5125559355,MONTHLY,2026-06-22,"April 18, 2027",65,,Active,20-Mar-1993,
M-00833,Barbara,White,bwhite@me.com,+1 608 555 9854,Annual ,20-Jun-2025,02-Aug-2027,$660.00,,active,27-Jan-2000,
M-02482,Charles,Turner,turner.charles@me.com,720.555.6180,ANNUAL,2021-08-10,03/15/2026,660,,Active,01/08/1996,Student ID on file
M-01196,Jennifer,Lopez,jennifer.lopez@outlook.com,+1 (720) 555-5676,Quarterly,21-Apr-2026,2027-06-04,180.00,Tom Brennan,Active,1957-05-22,
M-02211,Margaret,Torres,margaret.torres@protonmail.com,+1 206 555 4891,Annual,24-Jan-2025,01-Aug-2027,$ 660.00,Kofi Mensah,Active,1981-05-04,
M-00763,Kenneth,Ramos,ramos.kenneth@me.com,617.555.7604,Quarterly,"October 14, 2020",2027-05-20,$ 180.00,,Active,10/08/1999,Paid by card on file
M-02524,Andrew,Cruz,cruz.andrew@hotmail.com,4155553303,Annual,"April 08, 2025",30-Jul-2027,$ 660.00,Jess Alvarez,ACTIVE,07/13/1959,Paid by card on file
M-01550,Melissa,Hall,melissahall5@yahoo.com,1-617-555-9794,annual,"March 17, 2024","July 08, 2026",$660.00,,Expired,1954-02-24,
M-02557,Sean,Brannigan,brannigans@outlook.com,1-512-555-9710,monthly,07-Oct-2024,03/24/27,$ 65.00,,ACTIVE,09/28/1958,Referred by a friend
M-00352,Daniel,Okonkwo,okonkwo.home@yahoo.com,(206) 555-6202,monthly,10/13/24,04/25/27,65.00,,Active,11/09/2004,
M-01513,Nicholas,Howard,nhoward@icloud.com,(720) 555-5062,Annual ,2026-10-30,30-Dec-2027,660.00,,active,12/21/1995,Student ID on file
M-02380,Joseph,Ramos,ramos.joseph@hotmail.com,919-555-7327,Annual ,12/12/19,2026-07-14,$660.00,Tom Brennan,Active,26-May-2001,
M-01681,Barbara,Haddad,bhaddad@gmail.com,+1 (512) 555-9426,QUARTERLY,03/06/21,2025-12-15,$180.00,mia kowalczyk,Expired,17-Aug-1958,
M-01302,Hiroshi,Mitchell,hiroshi.mitchell@protonmail.com,617.555.4147,annual,02/28/23,12/16/25,660.00,Aiko Tanaka,Cancelled,1983-03-04,Prefers mornings
M-00749,William,Davis,davis.william@protonmail.com,802.555.2875,ANNUAL,"July 25, 2024",05/06/27,$660.00,tom brennan,Active,06/19/1984,
M-01719,Emily,Ortiz,ortiz.emily@outlook.com,608.555.3400,Quarterly,01/03/26,31-May-2027,$180.00,,active,01-Feb-2001,
M-01572,Betty,Thompson,betty_thompson@icloud.com,5125559659,Quarterly,10/03/20,18-Apr-2027,180.00,,active,1972-12-10,Locker 114
M-00907,Jason,Castillo,jason.castillo@protonmail.com,303-555-8238,Quarterly ,2025-03-13,25-Mar-2026,$180.00,,CANCELLED,25-Mar-1985,Prefers mornings
M-02433,Kimberly,Kim,kimberly.kim@yahoo.com,6085557010,Monthly ,12/13/19,10/23/2025,65,,Active,04/08/1978,Locker 114
2265,Chloe,Nguyen,CNGUYEN@ICLOUD.COM,608-555-5480,Monthly,"August 04, 2021",03/12/2027,$65.00,,active,09/27/1999,Student ID on file
M-00957,Omar,Carter,omar.carter@outlook.com,206.555.7817,Monthly,"March 25, 2022","August 05, 2025",$ 65.00,,Cancelled,1968-07-02,Prefers mornings
M-00233,Sarah,Rodriguez,rodriguez.sarah@gmail.com,512.555.9533,Monthly,05/20/2019,17-Jun-2026,$65.00,,Active,27-Mar-1986,Locker 114
M-01458,Tomasz,Ross,ross.tomasz@hotmail.com,+1 802 555 7946,QUARTERLY,06/27/19,"September 19, 2024",$180.00,,Canceled,17-Feb-1986,
M-02200,Joshua,Tanaka,jtanaka@me.com,1-512-555-6228,monthly,"June 23, 2023",19-Dec-2025,$ 65.00,,Active,06/19/1986,Moved from Off-Peak
M-01804,Michelle,Robinson,robinson.michelle@me.com,(720) 555-4926,Quarterly ,"August 09, 2022",07/02/26,$180.00,,Active,08-Jun-2002,Paid by card on file
M-01637,Mark,Myers,mark.myers@outlook.com,+1 (617) 555-9160,monthly,01/11/23,12-Apr-2027,65,,ACTIVE,03/11/1973,
M-00382,Andrew,Hughes,andrew.hughes@outlook.com,+1 206 555 2727,Monthly ,2022-06-12,31-Mar-2027,$ 65.00,,active,1994-06-02,
M-01852,Joshua,Castillo,castillo.joshua@aol.com,971.555.7340,Annual,2019-12-22,2027-11-24,660,,ACTIVE,17-Dec-1971,Referred by a friend
M-01783,Donald,Taylor,donald.taylor@yahoo.com,(512) 555-8943,Monthly,06/14/2021,07/13/26,$65.00,,Active,05/04/1985,Knee injury - check with trainer
M-00448,Jessica,Okafor,jessicaokafor13@icloud.com,(802) 555-8942,monthly,"May 22, 2024",04/06/27,65,Kofi Mensah,Active,19-Feb-2001,
M-01247,Anna,Turner,anna.turner@gmail.com,+1 206 555 6585,monthly,"December 05, 2024","April 16, 2026",$65.00,,Expired,06/19/1984,
M-00852,James,Patel,james.patel@protonmail.com,919-555-8444,Monthly,10/14/25,"April 10, 2027",$65.00,,Active,1969-02-07,
M-02239,Christopher,Nguyen,christopher.nguyen@yahoo.com,1-303-555-1409,Annual ,17-Aug-2025,07/04/2027,$ 660.00,Kofi Mensah,ACTIVE,1984-09-24,
M-00797,Michelle,Wright,michelle.wright@outlook.com,1-206-555-9722,monthly,11/25/2024,27-Mar-2027,$65.00,,Active,01/22/1981,Prefers mornings
M-01639,Christopher,Miller,cmiller@yahoo.com,(617) 555-7762,Annual,2021-11-06,2027-08-04,$660.00,,Active,08/04/2000,
M-00875,Rebecca,Morales,rebecca_morales@protonmail.com,1-802-555-1842,monthly,06-Jan-2024,23-Mar-2027,65,jess alvarez,active,06/01/1992,Referred by a friend
M-00835,Cynthia,Parker,parker.cynthia@outlook.com,1-802-555-1961,Annual ,08/18/2021,09/12/2025,$ 660.00,,CANCELLED,08/20/1988,
M-01626,Ryan,Cruz,ryancruz28@gmail.com,512-555-6962,Annual,05/14/2026,2027-05-30,660,Aiko Tanaka,ACTIVE,27-May-1967,
M-01380,Michelle,Bailey,michellebailey19@icloud.com,+1 608 555 4072,QUARTERLY,2022-12-08,05/31/27,180.00,Kofi Mensah,active,28-Apr-2002,
M-02327,Mary,Edwards,mary.edwards@hotmail.com,6085557137,Quarterly ,12/16/19,05/09/26,$180.00,,Active,05/13/2001,Prefers mornings
M-02483,Patricia,Nguyen,pnguyen@protonmail.com,(608) 555-6160,Monthly ,05-Apr-2019,"October 05, 2025",$65.00,,CANCELLED,27-Sep-1966,
M-02287,William,Kim,william_kim@yahoo.com,(206) 555-2159,MONTHLY,11/29/25,02/17/26,$65.00,jess alvarez,Active,09/20/1953,Prefers mornings
M-01492,Thomas,Ortiz,thomas.ortiz@protonmail.com,+1 971 555 9938,ANNUAL,12/04/2025,"June 19, 2027",660,,ACTIVE,02/26/1981,Referred by a friend
M-01765,Anna,Gutierrez,gutierrez.anna@me.com,(971) 555-6917,Quarterly ,19-Jul-2023,01/27/25,$180.00,Ravi Desai,Canceled,02-Sep-1961,Knee injury - check with trainer
M-01122,Chloe,Young,chloe.young@yahoo.com,(802) 555-1692,Monthly,"July 28, 2021","July 22, 2026",65,jess alvarez,Active,01/30/1989,Locker 114
M-00335,Ingrid,Garcia,igarcia@aol.com,720.555.7915,Monthly,11/01/2023,2027-04-12,65,Kofi Mensah,Active,2004-09-05,
M-00673,Nicholas,Reyes,reyes.nicholas@protonmail.com,(617) 555-7271,Quarterly,28-Feb-2023,"April 21, 2026",$180.00,mia kowalczyk,Active,03/01/1978,Student ID on file
M-00124,Karen,Campbell,campbell.karen@outlook.com,7205557217,MONTHLY,2024-09-10,2027-04-24,65.00,,ACTIVE,1996-01-15,
M-00779,Amy,Ortiz,amyortiz95@me.com,+1 (971) 555-1839,Monthly ,07/07/20,"July 31, 2026",65,,CANCELLED,08/26/1954,
M-00124,Karen,Campbell,campbell.karen@outlook.com,7205557217,MONTHLY,2024-09-10,2027-04-24,65.00,,ACTIVE,1996-01-15,
M-02154,Luis,Gomez,luisgomez34@yahoo.com,1-971-555-2827,monthly,11/19/2025,05/14/2026,$65.00,,Active,1969-01-21,
M-02363,Kenneth,Wright,kenneth.wright@me.com,+1 617 555 8663,Quarterly ,16-Oct-2025,04/08/27,180,,active,1953-10-10,
M-00943,Steven,Gray,steven_gray@me.com,(617) 555-8448,Quarterly,14-Aug-2019,05-Jun-2027,180.00,,Active,1991-05-03,Referred by a friend
M-01152,Luis,Tanaka,tanaka.luis@gmail.com,+1 206 555 1762,annual,2021-04-13,05/14/27,$660.00,,ACTIVE,05/04/1993,Referred by a friend
M-02445,Nadia,Foster,nadia_foster@protonmail.com,+1 (608) 555-1650,Monthly,06/02/26,03/17/27,$ 65.00,Ravi Desai,Active,02/01/1954,
M-00829,Christopher,Mensah,mensah.christopher@protonmail.com,(512) 555-1781,Monthly,16-Dec-2024,2027-03-21,$65.00,Kofi Mensah,Active,2000-03-31,Knee injury - check with trainer
M-02123,Aisha,Murphy,aisha_murphy@yahoo.com,720.555.2074,Monthly,04/27/2021,16-Nov-2025,$65.00,Kofi Mensah,Active,1987-01-18,Corporate discount ended
M-01951,Amy,Bailey,amy.bailey@protonmail.com,971.555.3434,ANNUAL,21-Jul-2022,06/30/26,$660.00,,Active,10/15/1960,Student ID on file
M-00273,Barbara,Hernandez,barbarahernandez34@icloud.com,(206) 555-2572,Quarterly,03/28/2026,"March 11, 2027",$180.00,,Active,11/24/1985,
M-00107,Anna,Wood,wood.anna@aol.com,7205557095,Annual,03-Nov-2022,02/18/26,$ 660.00,tom brennan,Active,13-Oct-2000,Prefers mornings
M-01535,Nancy,Sanchez,nancysanchez60@aol.com,+1 (720) 555-6655,Monthly,08-Aug-2025,04/16/27,$ 65.00,Ravi Desai,ACTIVE,1972-08-18,
M-02228,Ashley,Brooks,ashley_brooks@aol.com,+1 (919) 555-3414,Annual,05/24/22,28-Jun-2027,660.00,Jess Alvarez,ACTIVE,03/07/1991,
M-02356,Betty,Cox,bettycox92@protonmail.com,971.555.5549,ANNUAL,04-May-2020,"June 21, 2027",$660.00,Jess Alvarez,Active,31-Dec-1975,Locker 114
M-02257,Kwame,Gray,kgray@protonmail.com,(919) 555-7044,Quarterly ,"June 05, 2022",04/09/27,$180.00,Aiko Tanaka,Active,06-Nov-1998,Student ID on file
M-01128,Patricia,Kim,pkim@hotmail.com,8025555519,Monthly,09/15/22,2026-06-27,$65.00,,Active,1953-03-09,Referred by a friend
M-01909,Brian,Young,brian.young@me.com,+1 206 555 3491,ANNUAL,06/24/2020,2027-11-02,660,,ACTIVE,04/12/1978,Moved from Off-Peak
M-02561,Sharon,Evans,sharon_evans@aol.com,(802) 555-7670,Annual ,03/13/24,23-Mar-2027,$ 660.00,Ravi Desai,Active,12/30/1967,Referred by a friend
M-01352,Patricia,Smith,patricia.smith@outlook.com,802-555-2609,ANNUAL,06/24/20,"November 05, 2027",$660.00,Jess Alvarez,Active,10/07/1990,
M-02078,Shirley,Ramos,shirley.ramos@hotmail.com,(512) 555-4573,Quarterly,05/17/2022,2027-03-30,$ 180.00,Tom Brennan,Active,11/29/1974,
M-01627,Betty,Gomez,bettygomez8@yahoo.com,720-555-3849,quarterly,03-May-2019,20-Mar-2027,$ 180.00,,active,09/27/1996,
M-01467,Michael,Reed,mreed@hotmail.com,+1 (608) 555-9849,MONTHLY,2025-04-13,2027-03-29,65,Kofi Mensah,ACTIVE,01-Mar-1972,
M-02016,Amara,Price,amara_price@outlook.com,9195559007,Annual,2025-02-17,06/23/2027,660,Tom Brennan,Active,10/14/1993,
M-02002,Kathleen,Gray,kathleen.gray@protonmail.com,+1 (802) 555-9486,Annual,06/13/2020,2027-07-24,$660.00,,active,1976-10-15,Corporate discount ended
M-00954,Kimberly,Perez,kimberly.perez@protonmail.com,617.555.7016,Annual,12/09/2022,2027-04-16,660.00,,ACTIVE,1996-01-25,Knee injury - check with trainer
M-00684,Deborah,Lindqvist,deborah_lindqvist@aol.com,+1 971 555 7391,monthly,"March 01, 2022",11/12/25,65,Mia Kowalczyk,Active,08/06/1986,
M-02460,Eric,Phillips,ephillips@me.com,(720) 555-8914,Quarterly,04/27/23,2025-08-05,180.00,Aiko Tanaka,CANCELLED,30-Nov-1979,
M-01675,Stephanie,Ortiz,sortiz@aol.com,5125552687,ANNUAL,08/31/25,09-Dec-2027,$660.00,,Active,08/16/1962,
M-02517,Margaret,Phillips,phillips.margaret@hotmail.com,1-512-555-2779,Quarterly,01/27/2023,21-Mar-2027,$ 180.00,,active,09/24/1974,
M-00693,Barbara,Myers,barbaramyers59@protonmail.com,720.555.2932,Quarterly,23-May-2019,03/05/2027,180,Kofi Mensah,Active,08/03/1969,
M-01211,Stephanie,Morgan,stephanie_morgan@protonmail.com,802.555.6714,Annual ,03/28/25,08/17/2027,$660.00,,active,04-Aug-1995,
M-01818,Dmitri,Brooks,brooks.dmitri@outlook.com,8025557565,Annual,"December 05, 2021","August 23, 2026",660,Jess Alvarez,Cancelled,05/15/1967,Locker 114
M-02592,Hiroshi,Cook,hiroshi.cook@yahoo.com,(608) 555-4288,Quarterly,16-Mar-2021,01/29/25,$180.00,Tom Brennan,Canceled,01-Mar-1979,
M-02467,Daniel,Jackson,djackson@aol.com,+1 802 555 5077,Quarterly ,2019-10-01,16-Jun-2026,$180.00,Tom Brennan,Canceled,03/11/1963,Referred by a friend
M-02220,Amara,Peterson,amarapeterson35@aol.com,+1 919 555 9298,annual,"December 08, 2020",06/07/2027,660.00,,Active,31-Jul-1970,
M-00143,Laura,Whitfield,thewhitfields@gmail.com,802.555.1569,Annual,07/06/2019,10/18/2027,660,,Active,26-Apr-1994,Paid by card on file
M-01111,Anthony,Foster,anthony.foster@gmail.com,720.555.2265,Monthly,2020-11-16,2027-03-09,65,,active,03/13/1962,Moved from Off-Peak
M-00128,Kevin,Okafor,kevin.okafor@me.com,(919) 555-6473,Monthly,12/31/20,10/05/2025,$ 65.00,Mia Kowalczyk,Active,06/24/1973,Referred by a friend
M-00940,Jacob,Gomez,jacob.gomez@yahoo.com,971.555.5359,Monthly,"October 13, 2021",2026-03-29,$65.00,Ravi Desai,Active,31-Oct-2001,Knee injury - check with trainer
M-01290,Aisha,Lopez,alopez@outlook.com,617.555.2374,Annual ,"July 28, 2019",05/29/2027,$ 660.00,,ACTIVE,1976-11-29,
M-01470,Michelle,Gutierrez,michelle.gutierrez@yahoo.com,(720) 555-8623,monthly,12/27/2019,04/08/27,65,,ACTIVE,01-May-1953,
M-02521,Ashley,Reed,ashley.reed@outlook.com,1-303-555-1457,Monthly,2024-09-05,04/16/27,$65.00,kofi mensah,Active,11/12/1996,Student ID on file
M-01107,Laura,Edwards,edwards.laura@outlook.com,(617) 555-6638,Monthly,08/14/2021,07-Apr-2027,$65.00,Jess Alvarez,Active,04/03/1996,Locker 114
M-00403,Carlos,Roberts,carlosroberts92@protonmail.com,720.555.9630,Monthly ,12/17/2020,05/07/2026,65,Jess Alvarez,Active,1996-06-28,Paid by card on file
M-01200,Barbara,Ross,barbara_ross@protonmail.com,919-555-1645,Quarterly,12/12/2022,2027-06-02,180,,Active,10/18/1975,Paid by card on file
M-01610,Jason,Foster,jason.foster@me.com,(720) 555-9589,monthly,2022-10-17,"October 11, 2024",$ 65.00,Jess Alvarez,CANCELLED,05-Jul-1993,Paid by card on file
M-02478,Betty,Phillips,bettyphillips90@gmail.com,206-555-1133,monthly,2021-02-28,"November 16, 2024",65.00,Jess Alvarez,CANCELLED,1970-07-22,Paid by card on file
M-00266,Jonathan,Price,jprice@yahoo.com,919-555-4206,Monthly,2023-06-05,04/08/27,$65.00,,active,04-Jul-2003,Corporate discount ended
M-01517,Jason,Gomez,gomez.jason@yahoo.com,720-555-3909,Annual,01/15/2021,2027-05-30,660.00,,ACTIVE,02/11/1981,Student ID on file
M-01197,Cynthia,Lee,lee.cynthia@icloud.com,1-303-555-3691,annual,10/22/2024,15-Jun-2027,660,,Active,10/28/1985,
M-01728,Nicholas,Green,nicholasgreen64@hotmail.com,1-971-555-9611,annual,10/25/19,"April 21, 2026",660,,Active,11/23/1974,
M-00265,Andrew,Lewis,alewis@hotmail.com,1-512-555-7818,Quarterly,01/03/20,05/26/2027,$ 180.00,mia kowalczyk,active,1998-08-03,Referred by a friend
M-00896,Kevin,Ward,kevin_ward@icloud.com,(802) 555-2882,MONTHLY,"July 23, 2020",2027-03-21,65.00,Mia Kowalczyk,ACTIVE,1953-05-25,
M-01788,Mary,Adams,madams@icloud.com,+1 (206) 555-6087,Annual ,02/06/2025,2027-05-28,660.00,,Active,1985-03-29,
M-00647,Priya,Rodriguez,priya.rodriguez@yahoo.com,415.555.7665,MONTHLY,01/24/2026,03/06/27,$65.00,,active,21-Aug-1983,Prefers mornings
M-01457,Donald,Peterson,donald.peterson@protonmail.com,(617) 555-7107,ANNUAL,05/24/21,09/12/2027,660.00,,ACTIVE,11/02/1984,Knee injury - check with trainer
M-02471,Robert,Myers,robertmyers86@yahoo.com,+1 919 555 4303,Quarterly,06/11/2022,06/15/2027,180,,active,06/10/1958,Referred by a friend
M-01511,Christopher,Perez,perez.christopher@protonmail.com,206-555-4252,ANNUAL,19-Apr-2021,2027-11-01,$ 660.00,Mia Kowalczyk,Active,08-Mar-1999,Locker 114
M-01277,Brian,Alvarez,alvarez.brian@icloud.com,1-971-555-3279,monthly,"January 20, 2025",16-Apr-2027,$ 65.00,Tom Brennan,ACTIVE,1975-04-01,Student ID on file
M-02577,Christopher,Mitchell,christopher.mitchell@hotmail.com,(206) 555-3342,MONTHLY,07/15/26,01-Apr-2027,65,Mia Kowalczyk,ACTIVE,06/26/2003,Prefers mornings
M-01117,Amanda,Baker,amanda_baker@gmail.com,1-303-555-4783,Monthly ,06-Dec-2020,01/29/2026,$65.00,,Active,03/23/2002,
M-00923,George,Kim,george_kim@aol.com,(802) 555-3584,monthly,"May 26, 2026",04/16/27,65,,Active,09/27/1991,
M-00899,Tomasz,Gomez,tomasz_gomez@icloud.com,+1 802 555 6991,MONTHLY,"January 21, 2022",2027-03-12,65,,ACTIVE,11/24/1976,Paid by card on file
M-02109,Mateo,Morales,mateo.morales@hotmail.com,+1 206 555 4034,Monthly ,09/11/25,"March 11, 2027",$65.00,Mia Kowalczyk,active,10/12/1978,
M-02076,Anna,Phillips,anna.phillips@gmail.com,802.555.8742,Annual,09/19/21,05-Mar-2026,660.00,,Expired,02/22/1990,Prefers mornings
M-02335,Jonathan,Davis,jonathan.davis@gmail.com,+1 608 555 4988,Quarterly,27-Dec-2020,04/21/2027,180.00,,active,04/21/1987,
