Request ID,Employee ID,Employee Name,Type,Start,End,Status,Submitted,Notes
LR-2026-0054,83,Kevin Bennett,Annual,27-Apr-2026,29-Apr-2026,Approved,04/05/2026,
LR-2026-0052,E0043,Kwame Campbell,Annual,04/22/2026,2026-04-27,Rejected,"April 05, 2026",
LR-2026-0084,E0007,Rafael Ortiz,SICK,30-Jun-2026,06/30/26,approved,2026-06-17,
LR-2026-0053,E0077,Michael Mendoza,annual,04/27/26,04/28/26,APPROVED,"April 19, 2026",
LR-2026-0002,E0007,Rafael Ortiz,Annual,01/06/2026,01/15/2026,approved,12-Dec-2025,
LR-2026-0090,E0082,Chloe Hughes,Annual,2026-07-15,07/22/26,Rejected,11-Jun-2026,
LR-2026-0101,E0078,Luis Haddad,annual,08/04/2026,08/04/2026,approved,Jul 20 2026,
LR-2026-0068,E0062,Deborah Thomas,Vacation,05/26/2026,27-May-2026,Approved,04/22/2026,
LR-2026-0073,E0063,Sharon Clark,Vacation,"June 04, 2026",15-Jun-2026,APPROVED,"May 01, 2026",
LR-2026-0087,E0006,Eric Gutierrez,annual,Jul 07 2026,07/16/2026,APPROVED,03-Jun-2026,
LR-2026-0047,E0069,Dmitri Walker,annual,"April 15, 2026",2026-04-23,Approved,03/22/2026,
LR-2026-0118,E0077,Michael Mendoza,annual,"September 14, 2026",2026-09-14,Approved,2026-08-19,
LR-2026-0071,82,Chloe Hughes,Annual,"May 29, 2026",Jun 04 2026,Cancelled,05/10/26,
LR-2026-0005,93,Luis Mensah,Annual,01/14/2026,26-Jan-2026,canceled,Dec 17 2025,
LR-2026-0142,7,Rafael Ortiz,Annual,11/11/26,11/20/2026,Cancelled,2026-09-12,
LR-2026-0036,E0007,Rafael Ortiz,SICK,03/24/2026,24-Mar-2026,Approved,Mar 06 2026,
LR-2026-0123,E0014,Barbara Sanchez,Annual,10/12/26,2026-10-16,APPROVED,06-Sep-2026,
LR-2026-0055,E0034,Jacob Okafor,Annual,2026-05-01,May 05 2026,APPROVED,21-Apr-2026,
LR-2026-0131,E0098,Jessica Parker,Annual,2026-10-23,10/21/2026,canceled,03-Sep-2026,entered wrong
LR-2026-0108,36,Mateo Mensah,Annual,08/21/26,27-Aug-2026,Canceled,07/18/26,
LR-2026-0013,19,Samir Qureshi,Annual,Feb 03 2026,Feb 04 2026,APPROVED,01/23/26,
LR-2026-0095,E0081,Susan Rogers,Annual,07/23/26,2026-07-30,Approved,19-Jun-2026,
LR-2026-0107,E0078,Luis Haddad,Annual,08/18/2026,08/26/26,approved,"July 24, 2026",
LR-2026-0065,E0066,Wei Tanaka,SICK,05/22/2026,"May 27, 2026",Approved,2026-04-27,
LR-2026-0067,22,Dorothy Edwards,annual,26-May-2026,2026-05-26,approved,04/28/26,
LR-2026-0009,E78,Luis Haddad,Vacation,"January 28, 2026",2026-01-29,Canceled,01/07/2026,
LR-2026-0062,E0034,Jacob Okafor,Annual,"May 20, 2026",01-Jun-2026,APPROVED,17-Apr-2026,
LR-2026-0042,E19,Samir Qureshi,annual,"April 13, 2026",04/16/26,approved,19-Mar-2026,
LR-2026-0043,91,Shirley Hernandez,Sick,2026-04-13,15-Apr-2026,approved,Mar 26 2026,
LR-2026-0148,E63,Sharon Clark,unpaid,12/10/2026,2026-12-14,approved,"August 30, 2026",
LR-2026-0126,E0062,Deborah Thomas,Unpaid,2026-10-14,Oct 14 2026,Rejected,09/04/26,
LR-2026-0058,E0036,Mateo Mensah,Annual,May 11 2026,2026-05-12,Approved,29-Apr-2026,
LR-2026-0129,E0084,William Miller,Vacation,2026-10-21,10/28/26,APPROVED,2026-08-30,
LR-2026-0003,E81,Susan Rogers,Annual,2026-01-08,Jan 08 2026,approved,2025-12-08,
LR-2026-0078,E0093,Luis Mensah,Annual,"June 15, 2026","June 17, 2026",APPROVED,May 06 2026,
LR-2026-0079,81,Susan Rogers,annual,18-Jun-2026,06/29/26,APPROVED,06/09/26,
LR-2026-0030,E77,Michael Mendoza,Sick,2026-03-06,2026-03-06,canceled,"January 31, 2026",
LR-2026-0039,E0096,Paul Perez,Annual,"April 06, 2026",Apr 09 2026,canceled,2026-03-10,
LR-2026-0070,E0063,Sharon Clark,Vacation,29-May-2026,06/01/26,APPROVED,16-May-2026,
LR-2026-0038,E0077,Michael Mendoza,Vacation,04/02/26,02-Apr-2026,Canceled,03/18/26,
LR-2026-0034,E0043,Kwame Campbell,annual,Mar 19 2026,"March 20, 2026",canceled,27-Feb-2026,
LR-2026-0033,E0078,Luis Haddad,annual,Mar 18 2026,03/19/2026,Approved,02/12/2026,
LR-2026-0068,E0062,Deborah Thomas,Vacation,05/26/2026,27-May-2026,Approved,04/22/2026,
LR-2026-0024,E0026,William Collins,Unpaid,2026-02-19,"February 24, 2026",Approved,2026-02-08,
LR-2026-0097,E15,Susan Parker,Annual,28-Jul-2026,2026-07-28,Approved,2026-07-09,
LR-2026-0046,62,Deborah Thomas,Annual,04/15/2026,"April 17, 2026",rejected,"March 14, 2026",
LR-2026-0106,25,Wei Hall,annual,"August 17, 2026",08/25/2026,Approved,2026-08-06,
LR-2026-0040,E0073,Helen Marsh,Annual,2026-04-08,2026-04-15,Canceled,2026-03-06,
LR-2026-0127,E0095,Cynthia Rogers,Vacation,Oct 14 2026,Oct 14 2026,Approved,"September 01, 2026",
LR-2026-0117,54,James Bennett,unpaid,09/11/26,09/15/26,Rejected,15-Aug-2026,
LR-2026-0060,E55,Joshua Wright,annual,2026-05-14,"May 20, 2026",APPROVED,14-Apr-2026,
LR-2026-0140,E0031,Jonathan Chavez,Annual,2026-11-10,11/10/26,Approved,2026-09-06,
LR-2026-0031,E0022,Dorothy Edwards,Annual,03/11/26,20-Mar-2026,approved,"February 03, 2026",
LR-2026-0011,E0078,Luis Haddad,SICK,30-Jan-2026,02/02/26,approved,01/22/2026,
LR-2026-0027,95,Cynthia Rogers,SICK,03-Mar-2026,2026-03-05,approved,02/19/2026,
LR-2026-0023,13,Lena Fischer,Vacation,Feb 19 2026,Feb 27 2026,approved,02/07/26,
LR-2026-0116,E0004,Ryan Osei,Annual,"September 09, 2026",09/18/2026,Canceled,2026-08-07,
LR-2026-0111,E0039,Sandra Price,Vacation,08/27/2026,09/04/2026,Approved,18-Jul-2026,
LR-2026-0099,E0014,Barbara Sanchez,Vacation,04-Aug-2026,08/05/2026,approved,2026-07-28,
LR-2026-0091,E19,Samir Qureshi,Annual,07/16/26,Jul 16 2026,approved,Jun 07 2026,
LR-2026-0143,E0069,Dmitri Walker,Unpaid,11/19/2026,20-Nov-2026,Pending,09/12/2026,
LR-2026-0096,E0039,Sandra Price,Unpaid,Jul 27 2026,07/27/2026,approved,07/01/2026,
LR-2026-0128,E0004,Ryan Osei,Vacation,10/19/2026,10/26/2026,APPROVED,09/09/26,
LR-2026-0074,E13,Lena Fischer,sick,2026-06-05,06/09/2026,approved,2026-04-29,
LR-2026-0032,E81,Susan Rogers,sick,"March 17, 2026",Mar 18 2026,approved,Feb 22 2026,
LR-2026-0134,91,Shirley Hernandez,annual,10/29/26,29-Oct-2026,pending,09/05/26,
LR-2026-0115,E0043,Kwame Campbell,Sick,2026-09-03,2026-09-08,Approved,13-Aug-2026,
LR-2026-0026,E0015,Susan Parker,SICK,Mar 03 2026,Mar 04 2026,APPROVED,02/15/26,
LR-2026-0133,E0019,Samir Qureshi,annual,27-Oct-2026,10/29/26,pending,11-Sep-2026,
LR-2026-0098,69,Dmitri Walker,SICK,2026-07-30,31-Jul-2026,APPROVED,20-Jun-2026,
LR-2026-0063,4,Ryan Osei,Annual,05/22/26,06/01/2026,Rejected,05/09/2026,
LR-2026-0135,E0022,Dorothy Edwards,Vacation,2026-11-02,09-Nov-2026,pending,Sep 07 2026,
LR-2026-0083,78,Luis Haddad,Vacation,06/29/2026,2026-07-06,approved,30-May-2026,Family trip
LR-2026-0006,E0055,Joshua Wright,annual,2026-01-20,01/20/2026,APPROVED,Jan 09 2026,
LR-2026-0069,E0081,Susan Rogers,Sick,05/27/2026,27-May-2026,approved,2026-05-19,
LR-2026-0029,E0034,Jacob Okafor,annual,2026-03-05,2026-03-16,Canceled,15-Feb-2026,
LR-2026-0024,E0026,William Collins,Unpaid,2026-02-19,"February 24, 2026",Approved,2026-02-08,
LR-2026-0125,6,Eric Gutierrez,Annual,10/14/2026,15-Oct-2026,pending,2026-08-24,
LR-2026-0019,E0073,Helen Marsh,sick,2026-02-11,Feb 13 2026,approved,"February 02, 2026",
LR-2026-0010,31,Jonathan Chavez,Vacation,01/30/2026,2026-02-05,Cancelled,01/07/2026,
LR-2026-0102,6,Eric Gutierrez,Sick,08/05/2026,Aug 07 2026,Approved,"July 18, 2026",
LR-2026-0087,E0006,Eric Gutierrez,annual,Jul 07 2026,07/16/2026,APPROVED,03-Jun-2026,
LR-2026-0015,E84,William Miller,annual,02/05/2026,"February 17, 2026",canceled,Jan 20 2026,
LR-2026-0037,E0073,Helen Marsh,Annual,25-Mar-2026,"March 26, 2026",Approved,Mar 03 2026,
LR-2026-0086,80,Rebecca Perez,SICK,Jul 02 2026,Jul 06 2026,APPROVED,2026-05-26,
LR-2026-0016,E0045,Martin Keane,sick,02/06/2026,02/10/26,Approved,01/24/2026,
LR-2026-0145,E0026,William Collins,Annual,Dec 04 2026,Dec 04 2026,pending,09/10/26,
LR-2026-0104,E0083,Kevin Bennett,Annual,Aug 10 2026,"August 14, 2026",Approved,07/04/26,
LR-2026-0088,E0015,Susan Parker,Vacation,09-Jul-2026,2026-07-09,Canceled,2026-06-19,
LR-2026-0045,E0037,Owen Pratt,Annual,2026-04-14,Apr 20 2026,canceled,Apr 05 2026,
LR-2026-0137,E13,Lena Fischer,Vacation,03-Nov-2026,11/11/26,rejected,09/03/26,
LR-2026-0077,E0080,Rebecca Perez,Sick,"June 10, 2026",2026-06-11,APPROVED,May 18 2026,
LR-2026-0136,E0063,Sharon Clark,Annual,11/02/2026,Nov 06 2026,approved,08/28/26,
LR-2026-0113,55,Joshua Wright,Annual,Aug 28 2026,01-Sep-2026,APPROVED,07/26/2026,
LR-2026-0008,E0077,Michael Mendoza,unpaid,2026-01-26,"January 27, 2026",Rejected,01/13/26,
LR-2026-0149,E36,Mateo Mensah,Annual,21-Dec-2026,12/31/2026,APPROVED,Aug 30 2026,
LR-2026-0147,E55,Joshua Wright,annual,12/09/2026,Dec 14 2026,APPROVED,12-Sep-2026,
LR-2026-0012,E0022,Dorothy Edwards,Vacation,2026-02-02,09-Feb-2026,approved,Jan 18 2026,
LR-2026-0120,E0096,Paul Perez,annual,25-Sep-2026,"September 28, 2026",Pending,09/10/26,
LR-2026-0059,13,Lena Fischer,SICK,"May 12, 2026",2026-05-12,APPROVED,"April 15, 2026",
LR-2026-0100,E36,Mateo Mensah,Annual,08/04/2026,08/13/26,APPROVED,06/29/2026,
LR-2026-0109,E0069,Dmitri Walker,annual,21-Aug-2026,08/27/26,approved,"August 01, 2026",
LR-2026-0138,E0084,William Miller,Annual,11/09/2026,Nov 11 2026,approved,Sep 04 2026,
LR-2026-0085,E14,Barbara Sanchez,annual,Jul 01 2026,07/08/26,APPROVED,May 24 2026,
LR-2026-0132,E69,Dmitri Walker,Annual,10/26/26,10/30/26,pending,08/31/26,
LR-2026-0021,E0034,Jacob Okafor,Annual,Feb 17 2026,"February 23, 2026",Approved,Feb 08 2026,
LR-2026-0028,E25,Wei Hall,Annual,03/04/26,12-Mar-2026,Canceled,02/05/26,
LR-2026-0093,E0036,Mateo Mensah,annual,07/21/26,2026-07-22,Approved,"June 25, 2026",
LR-2026-0141,E0082,Chloe Hughes,Annual,11/10/26,11/13/26,Approved,31-Aug-2026,
LR-2026-0064,E0063,Sharon Clark,Sick,05/22/2026,"May 22, 2026",approved,"April 26, 2026",
LR-2026-0103,98,Jessica Parker,sick,07-Aug-2026,08/10/26,Approved,2026-06-28,
LR-2026-0056,E0014,Barbara Sanchez,unpaid,05/06/26,06-May-2026,APPROVED,"April 01, 2026",
LR-2026-0018,E0019,Samir Qureshi,Annual,Feb 10 2026,Feb 20 2026,approved,01/05/2026,
LR-2026-0144,E0084,William Miller,Annual,11/25/26,12/02/2026,rejected,07-Sep-2026,
LR-2026-0020,E0093,Luis Mensah,Annual,2026-02-11,"February 13, 2026",APPROVED,01/29/2026,
LR-2026-0025,E0084,William Miller,Vacation,02/27/2026,05-Mar-2026,APPROVED,2026-01-25,
LR-2026-0022,E0091,Shirley Hernandez,Annual,02/17/26,02/25/26,APPROVED,01/10/26,
LR-2026-0150,E0054,James Bennett,Annual,Dec 28 2026,30-Dec-2026,Approved,09/07/2026,
LR-2026-0044,E14,Barbara Sanchez,Sick,04/14/2026,15-Apr-2026,approved,Mar 23 2026,
